,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,4 Series,2019,19999,Semi-Auto,39026,Diesel,47.1,2.0,bmw,30233446
1,208,2021,18995,Semi-Auto,1600,Petrol,55.4,1.2,peugeot,30559703
2,Juke,2023,26295,Automatic,6513,Hybrid,55.4,1.6,nissan,30482903
3,Grandland,2022,23995,Manual,6817,Petrol,47.9,1.2,vauxhall,30517112
4,Kamiq,2020,16695,Manual,8629,Petrol,47.9,1,skoda,30623720
5,Qashqai,2019,19995,Manual,10800,Diesel,51.4,1.5,nissan,30629847
6,Micra,2020,13995,Manual,11680,Petrol,47.9,1,nissan,30611450
7,Juke,2020,14995,Manual,11934,Petrol,47.9,1,nissan,30611451
8,Micra,2020,12495,Manual,11966,Diesel,58.9,1.5,nissan,30590214
9,Puma,2021,19595,Manual,12368,Petrol,49.6,1,ford,30559707
10,Qashqai,2020,17995,Manual,13197,Petrol,44.1,1.3,nissan,30623721
11,Leon,2021,13599,Manual,54484,Petrol,51.4,1.0,seat,30354477
12,E-PACE,2019,25749,Automatic,24161,Diesel,47.1,2.0,jaguar,30490139
13,Focus,2020,18995,Manual,13607,Petrol,53.3,1,ford,30579514
14,Micra,2020,12195,Manual,14916,Petrol,47.9,1,nissan,30629851
15,Juke,2019,14495,Manual,15861,Petrol,47.9,1,nissan,30623722
16,Astra,2021,15995,Manual,17260,Petrol,52.3,1.2,vauxhall,30629852
17,X Trail,2020,24495,Automatic,19886,Petrol,33.6,1.3,nissan,30623719
18,Qashqai,2020,17495,Manual,20321,Petrol,40.4,1.3,nissan,30629853
19,Q2,2019,20995,Semi-Auto,21438,Petrol,40.9,1.5,audi,30487479
20,Qashqai,2020,17895,Manual,21936,Petrol,40.4,1.3,nissan,30517111
21,Qashqai,2019,14695,Manual,23235,Petrol,41.5,1.3,nissan,30441477
22,Hatch,2021,19395,Manual,23455,Petrol,50.4,1.5,mini,30482904
23,Up,2018,9899,Manual,29186,Petrol,64.2,1.0,volkswagen,30514509
24,Fortwo,2016,8199,Manual,15911,Petrol,68.9,1.0,smart,30281243
25,Kuga,2019,17695,Manual,23799,Petrol,35.3,1.5,ford,30554027
26,5008,2020,23995,Semi-Auto,24633,Petrol,54.3,1.2,peugeot,30623717
27,XE,2019,21395,Automatic,25729,Diesel,50.4,2,jaguar,30565276
28,Sandero,2020,8995,Manual,25800,Petrol,57.6,0.9,dacia,30596086
29,Captur,2019,11395,Manual,29538,Diesel,67.3,1.5,renault,30419098
30,Qashqai,2020,15495,Manual,31457,Petrol,41.5,1.3,nissan,30629850
31,Crossland X,2017,9795,Manual,32355,Petrol,54.3,1.2,vauxhall,30487486
32,2 Series,2016,14599,Manual,32472,Petrol,42.2,2,bmw,30629844
33,Sportage,2017,15495,Manual,33331,Petrol,38.7,1.6,kia,30584503
34,Juke,2018,11795,Manual,34673,Petrol,34.9,1.6,nissan,30565271
35,Astra,2018,11799,N/A,31913,Petrol,62.8,1.0,vauxhall,30587879
36,Hatch,2018,11049,Manual,65670,Petrol,61.4,1.5,mini,30519598
37,Captur,2019,11695,Manual,37105,Diesel,67.3,1.5,renault,30584504
38,X Trail,2020,19395,Manual,37406,Diesel,42.8,1.7,nissan,30590217
39,Qashqai,2018,13995,Manual,39034,Petrol,50.4,1.2,nissan,30596084
40,Qashqai,2019,15495,Manual,41291,Petrol,39.8,1.3,nissan,30600266
41,Mokka X,2019,11595,Manual,42653,Petrol,39.2,1.4,vauxhall,30611447
42,Qashqai,2020,17295,Semi-Auto,43631,Petrol,44.1,1.3,nissan,30419100
43,Q3,2018,20395,Manual,44728,Diesel,45.6,2,audi,30500636
44,Kuga,2018,12495,Manual,45385,Diesel,54.3,1.5,ford,30500637
45,Qashqai,2021,17795,Semi-Auto,45413,Petrol,44.1,1.3,nissan,30419097
46,Qashqai,2017,14195,Manual,46254,Diesel,74.3,1.5,nissan,30611448
47,Mondeo,2019,17749,N/A,35865,Diesel,49.6,2.0,ford,30643276
48,3 Series,2019,16899,N/A,43161,Petrol,51.4,1.5,bmw,30602956
