,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Golf,2019,15249,N/A,43712,Diesel,55.4,2.0,volkswagen,30700836
1,Rapid,2013,4995,Manual,79392,Petrol,52.3,1.2,skoda,30558553
2,Clio,2018,7995,Manual,82330,Diesel,56.5,1.5,renault,30628688
3,A4,2016,11750,Manual,82869,Diesel,70.6,2.0,audi,30208929
4,Scirocco,2012,6995,Manual,83037,Petrol,42.8,1.4,volkswagen,30564231
5,Macan,2014,22450,Automatic,84329,Diesel,46.3,3.0,porsche,30042698
6,A1,2015,8495,Manual,85731,Diesel,80.7,1.6,audi,30558552
7,Q5,2011,9750,Automatic,86004,Diesel,40.4,2.0,audi,30677215
8,Astra,2010,3995,Manual,90353,Petrol,44.8,1.6,vauxhall,30129393
9,X Trail,2017,10750,Manual,93892,Diesel,57.6,1.6,nissan,30481749
10,Range Rover Evoque,2012,12750,Automatic,94502,Diesel,43.5,2.2,land rover,29957424
11,Focus,2019,14049,N/A,27292,Diesel,80.7,1.5,ford,30572227
12,Kadjar,2019,17949,N/A,16330,Petrol,41.54,1.3,renault,30608132
13,Qashqai,2014,6995,Manual,95330,Diesel,74.3,1.5,nissan,30701049
14,i30,2011,3250,Manual,97445,Petrol,46.3,1.4,hyundai,29905274
15,C Class,2009,4995,Automatic,98144,Diesel,42.2,2.1,mercedes-benz,30525089
16,A3,2018,11950,Automatic,98461,Petrol,56.5,1.5,audi,30252312
17,Grand C-MAX,2011,4795,Manual,99966,Diesel,53.3,2.0,ford,30481750
18,Venga,2016,6495,Manual,101209,Petrol,47.9,1.6,kia,29658878
19,Range Rover,2016,29750,Automatic,102658,Diesel,33.6,4.4,land rover,30344552
20,Ka,2010,2295,Manual,104321,Petrol,55.4,1.2,ford,30344553
21,Ceed,2016,6995,Automatic,108464,Diesel,67.3,1.6,kia,29505441
22,Q5,2013,9995,Manual,109693,Diesel,47.9,2.0,audi,28720035
23,Vitara,2018,11849,N/A,49839,Petrol,53.3,1.6,suzuki,30490031
24,Vitara,2018,11649,N/A,51067,Petrol,53.3,1.6,suzuki,30700586
25,C Class,2009,4995,Automatic,98144,Diesel,42.2,2.1,mercedes-benz,30525089
26,A3,2018,11950,Automatic,98461,Petrol,56.5,1.5,audi,30252312
27,Venga,2016,6495,Manual,101209,Petrol,47.9,1.6,kia,29658878
28,Q5,2013,9995,Manual,109693,Diesel,47.9,2.0,audi,28720035
29,Wind,2011,1995,Manual,141948,Petrol,44.8,1.1,renault,29013067
30,TT,2013,6500,Manual,144146,Diesel,53.3,2.0,audi,29750997
31,Civic,2015,7695,Manual,72689,Diesel,78.5,1.6,honda,30727832
32,Ceed,2016,6995,Automatic,108464,Diesel,67.3,1.6,kia,29505441
33,3 Series,2015,4995,Manual,159562,Diesel,61.4,2.0,bmw,27360784
34,Karoq,2023,31495,Automatic,6,Petrol,44.8,1.5,skoda,30656210
35,Focus,2019,12599,N/A,56745,Petrol,58.9,1.0,ford,30703210
36,Range Rover Evoque,2018,23749,N/A,42151,Diesel,44.8,2.0,land rover,30531375
37,Enyaq,2022,45295,White,Electric,Automatic,785,,skoda,30272776
38,Octavia,2023,31995,Semi-Auto,2958,Petrol,40.9,2,skoda,30675274
39,Kamiq,2022,19295,Manual,4000,Petrol,None,1,skoda,30686385
40,Karoq,2023,29995,Automatic,4331,Petrol,44.1,1.5,skoda,30620833
41,Fabia,2021,16299,Semi-Auto,5001,Petrol,49.6,1,skoda,30620830
42,Fabia,2022,15395,Manual,5030,Petrol,55.4,1,skoda,30649857
43,Octavia,2023,31995,Semi-Auto,5095,Petrol,40.9,2,skoda,30620823
44,Karoq,2023,30999,Automatic,5926,Petrol,44.8,1.5,skoda,30620825
45,Octavia,2021,19299,Manual,6780,Petrol,50.4,1.5,skoda,30620822
46,Octavia,2019,24995,Semi-Auto,6872,Petrol,36.7,2,skoda,30620817
47,S4,2018,27999,N/A,37683,Petrol,38.7,3.0,audi,30348691
48,i30,2018,11449,N/A,24169,Petrol,56.5,1.0,hyundai,30674532
49,Karoq,2022,26799,Automatic,7049,Petrol,42.8,1.5,skoda,30448368
50,Octavia,2022,30995,Semi-Auto,8031,Petrol,40.9,2,skoda,30675276
51,Kamiq,2021,22999,Semi-Auto,8399,Petrol,45.6,1.5,skoda,30620820
52,Octavia,2022,23295,Manual,9116,Petrol,53.3,1.5,skoda,30620821
53,Octavia,2020,19249,Manual,9653,Petrol,50.4,1.5,skoda,30461034
54,Karoq,2022,30799,Automatic,10472,Petrol,37.2,2,skoda,30620826
55,Superb,2022,30995,Semi-Auto,10700,Diesel,51.4,2,skoda,30620832
56,Enyaq,2021,26995,Silver,Electric,Automatic,15609,,skoda,30656208
57,Karoq,2020,22795,Automatic,21344,Petrol,42.8,1.5,skoda,30620834
58,Superb,2022,23995,Semi-Auto,22430,Petrol,43.5,1.5,skoda,30675275
59,Fiesta,2019,11799,N/A,22623,Petrol,58.9,1.0,ford,30325198
60,Karoq,2018,17549,N/A,34443,Petrol,53.3,1.0,skoda,30620702
61,Octavia,2022,21899,Manual,23357,Petrol,50.4,1.5,skoda,30454873
62,Octavia,2022,17899,Manual,23638,Petrol,52.3,1.5,skoda,30429541
63,Golf,2020,24995,Semi-Auto,29762,Petrol,37.7,2,volkswagen,30630816
64,Superb,2019,17995,Semi-Auto,38858,Petrol,36.7,1.5,skoda,30676614
65,Octavia,2021,25395,Semi-Auto,45477,Diesel,56.5,2,skoda,30649854
66,Karoq,2023,33995,Automatic,1530,Petrol,35.8,2,skoda,30675273
67,Kamiq,2022,20295,Manual,10156,Petrol,52.3,1,skoda,30620819
68,Octavia,2021,21897,Semi-Auto,13579,Hybrid,53.3,1.5,skoda,30620815
