,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,MG3,2019,9999,Manual,22865,Petrol,47.1,1.5,mg,30531335
1,Kuga,2021,29124,Automatic,8328,Hybrid,48.7,2.5,ford,30621628
2,Arkana,2022,21608,Semi-Auto,8703,Hybrid,57.7,1.6,renault,30583065
3,Sandero Stepway,2021,13710,Manual,9374,Petrol,50.4,1,dacia,30620897
4,Aygo,2021,12700,Semi-Auto,9596,Petrol,56.5,1,toyota,30069697
5,Clio,2020,13841,Manual,9674,Petrol,54.3,1,renault,30444429
6,Mokka,2021,18863,Manual,10000,Petrol,50.4,1.2,vauxhall,30621627
7,Clio,2020,11865,Manual,10598,Petrol,49.6,1,renault,30616389
8,Clio,2020,12700,Manual,10897,Petrol,49.6,1,renault,30318480
9,DS 7 Crossback,2018,19700,Semi-Auto,12716,Petrol,38.7,1.6,ds,29802133
10,Fiesta,2020,13250,Manual,12900,Petrol,58.9,1,ford,29777778
11,Leon,2020,13999,N/A,26396,Petrol,53.3,1.0,seat,30643215
12,Arona,2019,12299,Manual,46369,Petrol,50.4,1.0,seat,30551671
13,Juke,2020,15685,Manual,13000,Petrol,47.9,1,nissan,30456474
14,Kadjar,2019,14505,Manual,13044,Petrol,42.16,1.3,renault,30452954
15,Duster,2020,14734,Manual,13238,Petrol,41.5,1.3,dacia,30620901
16,Qashqai,2019,16939,Manual,14118,Petrol,40.4,1.3,nissan,30514767
17,Arona,2019,16024,Semi-Auto,14208,Diesel,48.7,1.6,seat,30295787
18,Ibiza,2021,16970,Manual,14483,Petrol,55.4,1,seat,30568762
19,Kadjar,2020,15214,Manual,15436,Petrol,42.16,1.3,renault,30577928
20,Captur,2020,17710,Semi-Auto,15717,Petrol,44.8,1.3,renault,30616388
21,Clio,2022,16094,Manual,15876,Petrol,53.3,1,renault,30481379
22,X Trail,2020,18500,Manual,16000,Diesel,43.5,1.7,nissan,30287204
23,Range Rover Velar,2019,33549,Automatic,67142,Diesel,40.9,2.0,land rover,30507601
24,Qashqai,2019,12949,Manual,55581,Diesel,54.3,1.5,nissan,30572369
25,Arkana,2022,23915,Semi-Auto,16238,Hybrid,56.5,1.6,renault,30499704
26,Fiesta,2020,11831,Manual,16551,Petrol,52.3,1.1,ford,30558174
27,Xceed,2022,18000,Manual,16847,Petrol,44.8,1.5,kia,30362371
28,Fiesta,2020,14378,Manual,18044,Petrol,51.4,1,ford,30495715
29,Yaris,2020,16176,Automatic,18076,Hybrid,67.3,1.5,toyota,30558175
30,Kadjar,2020,17460,Semi-Auto,18465,Petrol,41.54,1.3,renault,30588518
31,Octavia,2020,14700,Manual,18871,Petrol,51.4,1.5,skoda,29995979
32,Captur,2022,20500,Automatic,19278,Hybrid,2.5,1.6,renault,29914808
33,Juke,2020,15694,Manual,19495,Petrol,47.9,1,nissan,30627449
34,Qashqai,2020,21108,Semi-Auto,19799,Petrol,39.8,1.3,nissan,30590154
35,208,2018,11299,Manual,12158,Petrol,58.9,1.2,peugeot,30514567
36,T-Cross,2020,19049,Manual,10317,Petrol,47.9,1.0,volkswagen,30484643
37,Crossland,2021,14899,Manual,20304,Petrol,47.9,1.2,vauxhall,30616387
38,C-HR,2020,21000,Automatic,20500,Hybrid,54.3,2,toyota,29708645
39,208,2020,14259,Manual,20730,Petrol,53.3,1.2,peugeot,30609409
40,Qashqai,2020,20662,Semi-Auto,22206,Petrol,39.8,1.3,nissan,30621263
41,Captur,2020,15124,Manual,23149,Petrol,46.3,1,renault,30609413
42,X Trail,2019,20469,Automatic,23417,Petrol,34,1.3,nissan,30557959
43,Sandero Stepway,2019,8918,Manual,24813,Petrol,45.6,1,dacia,30620899
44,Focus,2018,11326,Manual,25500,Petrol,60.1,1,ford,30520952
45,X Trail,2020,19000,Manual,26391,Diesel,42.8,1.7,nissan,30580428
46,Qashqai,2020,18248,Semi-Auto,26411,Diesel,52.3,1.5,nissan,30546575
47,500,2016,8399,Manual,27271,Petrol,60.1,1.2,fiat,30602852
48,CLA Class,2020,24499,Semi-Auto,25345,Petrol,44.8,1.3,mercedes-benz,30429191
49,Juke,2020,14594,Manual,27139,Petrol,47.9,1,nissan,30448473
50,C3,2019,12456,Manual,29241,Petrol,58.9,1.2,citroen,30499701
51,Kadjar,2019,16517,Semi-Auto,29512,Petrol,41.54,1.3,renault,30568765
52,Soul,2017,12453,Manual,30000,Petrol,43.5,1.6,kia,30590363
53,Kadjar,2020,14217,Manual,30194,Petrol,42.16,1.3,renault,30588519
54,Kadjar,2019,14927,Manual,30751,Petrol,42.16,1.3,renault,30481378
55,F-PACE,2019,32200,Automatic,31019,Petrol,30.7,2,jaguar,30390036
56,Swift,2019,10300,Manual,31581,Hybrid,49.6,1.2,suzuki,29738073
57,Fabia,2019,11251,Manual,33517,Petrol,51.4,1,skoda,30609410
58,Sportage,2020,19700,Automatic,33916,Hybrid,48.7,1.6,kia,30290709
59,Corsa,2019,10899,Manual,16722,Petrol,43.5,1.4,vauxhall,30417342
60,Picanto,2020,12049,Manual,14293,Petrol,50.4,1.0,kia,30572028
61,X2,2019,18600,Semi-Auto,36756,Petrol,38.7,2,bmw,30285665
