,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A3,2019,19899,N/A,22907,Petrol,44.1,1.0,audi,30424960
1,Kuga,2021,27899,Automatic,8328,Hybrid,48.7,2.5,ford,30621628
2,Juke,2020,17001,Manual,8526,Petrol,46.3,1,nissan,30631117
3,Kadjar,2020,17680,Manual,9143,Petrol,42.16,1.3,renault,30710609
4,Clio,2020,13458,Manual,9674,Petrol,54.3,1,renault,30444429
5,Kadjar,2020,17083,Manual,9872,Petrol,42.16,1.3,renault,30644399
6,Mokka,2021,18557,Manual,10000,Petrol,50.4,1.2,vauxhall,30621627
7,Arkana,2022,24464,Semi-Auto,10280,Hybrid,56.5,1.6,renault,30665327
8,Clio,2021,13780,Manual,10689,Petrol,54.3,1,renault,30631401
9,Clio,2020,12445,Manual,10897,Petrol,49.6,1,renault,30318480
10,Juke,2020,15037,Manual,10997,Petrol,47.9,1,nissan,30631118
11,EcoSport,2018,11249,N/A,37687,Petrol,53.3,1.0,ford,30664160
12,1 Series,2019,17699,N/A,53206,Diesel,57.7,1.5,bmw,30703142
13,Kadjar,2020,16982,Semi-Auto,12222,Petrol,41.54,1.3,renault,30710608
14,DS 7 Crossback,2018,19500,Semi-Auto,12716,Petrol,38.7,1.6,ds,29802133
15,Juke,2020,15579,Manual,13000,Petrol,47.9,1,nissan,30456474
16,T-Roc,2020,19504,Manual,13000,Petrol,44.1,1,volkswagen,30636155
17,Kadjar,2019,14000,Manual,13044,Petrol,42.16,1.3,renault,30452954
18,Captur,2020,14209,Manual,13927,Petrol,47.1,1,renault,30495716
19,Micra,2019,12504,Manual,14423,Petrol,50.4,1,nissan,30649986
20,Ibiza,2021,16742,Manual,14483,Petrol,55.4,1,seat,30568762
21,Kadjar,2020,14917,Manual,15436,Petrol,42.16,1.3,renault,30577928
22,Juke,2019,14913,Manual,16000,Petrol,47.9,1,nissan,30653916
23,Mokka X,2019,15049,N/A,14678,Petrol,37.2,1.4,vauxhall,30392921
24,Ibiza,2020,12199,N/A,20393,Petrol,55.4,1.0,seat,30476728
25,X Trail,2020,18500,Manual,16000,Diesel,43.5,1.7,nissan,30287204
26,Arkana,2022,23408,Semi-Auto,16528,Hybrid,56.5,1.6,renault,30499704
27,Fiesta,2020,11703,Manual,16551,Petrol,52.3,1.1,ford,30558174
28,Juke,2020,17016,Semi-Auto,16985,Petrol,46.3,1,nissan,30660971
29,Captur,2020,13530,Manual,17000,Petrol,47.1,1,renault,30660972
30,Juke,2020,18577,Semi-Auto,17089,Petrol,44.8,1,nissan,30660970
31,Captur,2020,15080,Manual,17700,Petrol,44.1,1.3,renault,30681176
32,Fiesta,2020,14212,Manual,18044,Petrol,51.4,1,ford,30495715
33,Yaris,2020,16068,Automatic,18076,Hybrid,67.3,1.5,toyota,30558175
34,Kadjar,2020,16904,Manual,18724,Petrol,42.16,1.3,renault,30654033
35,Civic,2019,14299,N/A,43011,Petrol,58.9,1.0,honda,30572233
36,Corsa,2017,9299,N/A,20449,Petrol,54.3,1.4,vauxhall,30700782
37,Kadjar,2020,15588,Manual,20122,Petrol,42.16,1.3,renault,30710611
38,Micra,2021,12934,Manual,20458,Petrol,49.6,1,nissan,30635915
39,208,2020,13884,Manual,20730,Petrol,53.3,1.2,peugeot,30609409
40,X Trail,2020,20458,Manual,21713,Diesel,42.8,1.7,nissan,29755450
41,Clio,2021,17404,Semi-Auto,21819,Hybrid,64.2,1.6,renault,30710610
42,Fiesta,2021,13917,Manual,21897,Petrol,58.9,1,ford,30665326
43,Qashqai,2020,20517,Semi-Auto,22206,Petrol,39.8,1.3,nissan,30621263
44,Juke,2020,15269,Manual,22751,Petrol,47.9,1,nissan,30668527
45,Micra,2020,11051,Manual,23000,Petrol,47.9,1,nissan,30635917
46,Corolla,2020,18658,Automatic,23000,Hybrid,57.7,1.8,toyota,30660968
47,C4,2020,20549,N/A,26651,Diesel,58.9,1.5,citroen,30674526
48,V40,2017,13149,N/A,34172,Petrol,51.4,2.0,volvo,30643454
49,Qashqai,2020,20517,Semi-Auto,22206,Petrol,39.8,1.3,nissan,30621263
50,Juke,2020,15269,Manual,22751,Petrol,47.9,1,nissan,30668527
51,Micra,2020,11051,Manual,23000,Petrol,47.9,1,nissan,30635917
52,Corolla,2020,18658,Automatic,23000,Hybrid,57.7,1.8,toyota,30660968
53,X Trail,2019,20343,Automatic,23417,Petrol,34,1.3,nissan,30557959
54,Qashqai,2019,15978,Manual,24000,Petrol,40.4,1.3,nissan,30608615
55,Sandero Stepway,2020,11020,Manual,25466,Petrol,47.9,0.9,dacia,30630844
56,X Trail,2020,19000,Manual,26391,Diesel,42.8,1.7,nissan,30580428
57,Juke,2020,14489,Manual,27139,Petrol,47.9,1,nissan,30448473
58,C3,2019,12118,Manual,29241,Petrol,58.9,1.2,citroen,30499701
59,E-PACE,2019,21899,N/A,14604,Diesel,42.8,2.0,jaguar,30719589
60,Passat,2019,18449,N/A,42505,Diesel,53.3,2.0,volkswagen,30531263
61,Kadjar,2016,11177,Manual,43000,Petrol,48.7,1.2,renault,30636156
62,5008,2017,18200,Manual,46000,Petrol,55.4,1.2,peugeot,30318478
63,Koleos,2020,18363,Automatic,47218,Diesel,47.1,1.7,renault,29897710
64,Juke,2020,14667,Manual,47228,Petrol,46.3,1,nissan,30608616
65,Captur,2019,11038,Manual,48687,Petrol,42.8,1.3,renault,30681175
66,Corsa,2019,8050,Manual,54000,Petrol,43.5,1.4,vauxhall,30452953
67,Tucson,2018,13892,Manual,55012,Diesel,61.4,1.7,hyundai,30668579
68,Fiesta,2015,6967,Manual,57485,Petrol,65.7,1,ford,30568761
69,Duster,2019,10984,Manual,64997,Petrol,36.7,1.6,dacia,30668475
70,Juke,2023,23639,Automatic,871,Hybrid,55.4,1.6,nissan,30627448
71,Astra,2016,9699,N/A,60189,Petrol,52.3,1.4,vauxhall,30700560
72,Fiesta,2019,10799,N/A,29429,Petrol,55.4,1.1,ford,30719661
73,Corsa,2019,8050,Manual,54000,Petrol,43.5,1.4,vauxhall,30452953
74,Tucson,2018,13892,Manual,55012,Diesel,61.4,1.7,hyundai,30668579
75,Fiesta,2015,6967,Manual,57485,Petrol,65.7,1,ford,30568761
76,Duster,2019,10984,Manual,64997,Petrol,36.7,1.6,dacia,30668475
77,Sandero Stepway,2023,15300,Manual,1873,Hybrid,48.7,1,dacia,30362080
78,Fiesta,2020,12800,Manual,12900,Petrol,58.9,1,ford,29777778
79,Xceed,2022,17800,Manual,16847,Petrol,44.8,1.5,kia,30362371
80,F-PACE,2019,31800,Automatic,31019,Petrol,30.7,2,jaguar,30390036
