,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Yaris,2019,12899,N/A,46785,Hybrid,None,1.5,toyota,30657470
1,F-PACE,2022,45481,Automatic,5196,Diesel,45.6,2,jaguar,30630238
2,Discovery Sport,2022,48986,Automatic,5498,Hybrid,176.6,1.5,land rover,30493602
3,Range Rover Evoque,2023,49386,Automatic,5554,Hybrid,188.3,1.5,land rover,30687134
4,XF,2023,49844,Automatic,5781,Petrol,32.8,2,jaguar,30687007
5,Defender,2022,81497,Automatic,6000,Hybrid,27.4,2,land rover,30687163
6,E-PACE,2022,42394,Automatic,7128,Hybrid,141.3,1.5,jaguar,30667675
7,F-PACE,2022,45562,Automatic,7438,Diesel,45.6,2,jaguar,30419369
8,Defender,2023,83330,Automatic,8179,Hybrid,27.4,2,land rover,30483051
9,Range Rover Sport,2023,98691,Semi-Auto,8426,Diesel,38.2,3,land rover,30689832
10,Defender,2022,75016,Automatic,8742,Diesel,32.5,3,land rover,30687160
11,GLC Class,2019,24799,N/A,50417,Diesel,56.5,2.1,mercedes-benz,30477055
12,Octavia,2019,15599,N/A,24224,Petrol,50.4,1.5,skoda,30476932
13,Range Rover Evoque,2023,50629,Automatic,8871,Hybrid,188.3,1.5,land rover,30687158
14,Defender,2022,76724,Automatic,9000,Hybrid,85.6,2,land rover,30687155
15,Discovery Sport,2022,42103,Automatic,9008,Hybrid,176.6,1.5,land rover,30667698
16,Range Rover Evoque,2021,36078,Automatic,9587,Diesel,44.1,2,land rover,30687137
17,Range Rover Sport,2022,86842,Semi-Auto,9795,Petrol,30.1,3,land rover,30689833
18,Discovery,2021,59453,Automatic,9997,Diesel,34,3,land rover,30687151
19,Range Rover Velar,2022,53328,Automatic,10128,Diesel,44.8,2,land rover,30687144
20,F-PACE,2022,44685,Automatic,11407,Diesel,45.6,2,jaguar,30501092
21,Range Rover Sport,2022,79891,Semi-Auto,11775,Diesel,38.2,3,land rover,30667695
22,E-PACE,2020,27394,Automatic,11927,Diesel,47.1,2,jaguar,30687180
23,Countryman,2019,19899,N/A,26570,Petrol,42.2,1.5,mini,30683527
24,Corsa,2016,8299,N/A,23963,Petrol,55.4,1.4,vauxhall,30477043
25,I-PACE,2022,43323,Grey,Electric,Automatic,12125,,jaguar,29899862
26,F-PACE,2021,45049,Automatic,12444,Diesel,38.2,3,jaguar,30376421
27,XE,2023,34844,Automatic,12614,Diesel,58.9,2,jaguar,30687006
28,Discovery Sport,2020,37844,Automatic,12687,Petrol,30.1,2,land rover,30689829
29,Range Rover Sport,2021,55222,Semi-Auto,12865,Diesel,34,3,land rover,30687164
30,Range Rover Evoque,2021,36418,Automatic,12951,Hybrid,188.3,1.5,land rover,30653113
31,XE,2020,26166,Automatic,13180,Petrol,36.2,2,jaguar,30474816
32,Range Rover Evoque,2021,37038,Automatic,14020,Diesel,43.5,2,land rover,30687136
33,Range Rover Evoque,2021,35949,Automatic,14691,Diesel,43.5,2,land rover,30687139
34,F-PACE,2022,43963,Automatic,15018,Diesel,45.6,2,jaguar,30432540
35,HRV,2018,13449,N/A,43527,Petrol,49.6,1.5,honda,30531343
36,Clio,2019,12049,N/A,21006,Petrol,49.6,1.0,renault,30384533
37,Range Rover Sport,2021,79488,Semi-Auto,15151,Petrol,18.8,5,land rover,30663859
38,Discovery Sport,2020,37318,Automatic,15226,Diesel,39.8,2,land rover,30687140
39,XF,2018,24260,Automatic,18143,Petrol,39.2,2,jaguar,30677021
40,Discovery Sport,2021,41052,Automatic,18434,Diesel,41.5,2,land rover,30315378
41,F-PACE,2021,34828,Automatic,18587,Diesel,40.9,2,jaguar,30687174
42,Discovery Sport,2022,40078,Automatic,18883,Hybrid,156.9,1.5,land rover,30517343
43,F-PACE,2020,34989,Automatic,19102,Diesel,42.2,2,jaguar,30687156
44,Discovery Sport,2021,37531,Automatic,19167,Hybrid,166.2,1.5,land rover,29478731
45,Discovery Sport,2021,40836,Automatic,19819,Diesel,41.5,2,land rover,30483048
46,Discovery Sport,2020,38194,Automatic,19844,Diesel,38.7,2,land rover,30334121
47,Fortwo,2016,7549,N/A,17702,Petrol,68.9,1.0,smart,30348770
48,Range Rover Evoque,2017,18599,N/A,47950,Diesel,55.4,2.0,land rover,30294997
49,Range Rover Evoque,2020,31875,Automatic,21015,Hybrid,201.8,1.5,land rover,30517341
50,Range Rover Velar,2019,38030,Automatic,21060,Diesel,38.2,3,land rover,30663860
