,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Civic,2019,15049,Manual,54913,Diesel,80.7,1.6,honda,30674551
1,Zoe,2022,21389,Black,Electric,Automatic,5644,,renault,30627962
2,Panda,2020,12470,Manual,5700,Petrol,49.6,1,fiat,30119809
3,Sandero Stepway,2019,9515,Manual,6651,Petrol,45.6,1,dacia,30590070
4,Duster,2021,14853,Manual,8120,Petrol,45.6,1,dacia,30490334
5,Clio,2018,11101,Manual,8517,Petrol,60.1,0.9,renault,30499705
6,Elise,2015,34000,Manual,9500,Petrol,37.5,1.8,lotus,30273158
7,Clio,2020,12700,Manual,10028,Petrol,49.6,1,renault,30394235
8,Arona,2021,16700,Manual,10713,Petrol,51.4,1,seat,30149484
9,Clio,2019,11786,Manual,11851,Petrol,47.1,0.9,renault,30563789
10,Clio,2020,14503,Manual,12928,Petrol,49.6,1,renault,30609419
11,Leon,2019,14599,Manual,45830,Petrol,49.6,1.5,seat,30448079
12,Fabia,2016,11199,Manual,15324,Petrol,60.1,1.2,skoda,30360533
13,i20,2021,13200,Manual,13300,Petrol,53.3,1,hyundai,29998715
14,Sandero Stepway,2021,12400,Manual,13489,Petrol,50.4,1,dacia,30149124
15,Fiesta,2021,12471,Manual,14675,Petrol,56.5,1,ford,30234653
16,Grandland X,2020,16500,Automatic,15900,Petrol,42.8,1.2,vauxhall,29846317
17,Aygo,2019,12634,Semi-Auto,16321,Petrol,55.4,1,toyota,30590366
18,208,2020,13182,Manual,16363,Petrol,53.3,1.2,peugeot,30452468
19,Kadjar,2020,17299,Semi-Auto,17668,Diesel,None,1.5,renault,30621631
20,i10,2021,14449,Semi-Auto,18159,Petrol,52.3,1.2,hyundai,30609416
21,Crossland X,2020,12502,Manual,18517,Petrol,47.1,1.2,vauxhall,30621632
22,Captur,2020,15568,Manual,18588,Petrol,46.3,1,renault,30609418
23,HRV,2017,16449,N/A,44666,Petrol,52.3,1.5,honda,30664247
24,Viva,2018,8499,Manual,17584,Petrol,61.4,1.0,vauxhall,30456373
25,208,2018,12656,Manual,19575,Petrol,52.3,1.6,peugeot,30547344
26,Sandero Stepway,2019,10000,Manual,20127,Petrol,45.6,0.9,dacia,30308606
27,Clio,2019,10930,Manual,21817,Petrol,47.1,0.9,renault,30609414
28,C4,2021,18000,Semi-Auto,22843,Diesel,64.2,1.5,citroen,30524720
29,Yaris,2017,10500,Manual,23162,Petrol,56.5,1.5,toyota,30288237
30,Puma,2020,17700,Manual,23200,Petrol,50.4,1,ford,30355600
31,Captur,2019,11761,Manual,24450,Petrol,52.3,0.9,renault,30621630
32,Sandero Stepway,2021,14248,Automatic,24814,Petrol,45.6,1,dacia,30590068
33,Polo,2019,13000,Manual,25376,Petrol,52.3,1,volkswagen,30308978
34,Captur,2020,13500,Manual,25458,Petrol,47.1,1,renault,30391959
35,GLC Class,2018,24799,Semi-Auto,33185,Diesel,41.5,2.1,mercedes-benz,30392951
36,Vitara,2019,11949,N/A,57474,Petrol,44.1,1.0,suzuki,30620732
37,Clio,2020,12357,Manual,26530,Petrol,49.6,1,renault,30558181
38,Clio,2019,10248,Manual,28540,Petrol,49.6,1,renault,30508776
39,i20,2016,9361,Manual,32463,Petrol,62.8,1,hyundai,30508775
40,Captur,2019,11737,Manual,34316,Diesel,67.3,1.5,renault,30424320
41,Polo,2015,9129,Manual,35379,Petrol,60.1,1,volkswagen,30401757
42,DS 4,2018,11066,Manual,37600,Diesel,72.4,1.6,ds,30627964
43,Megane,2020,12967,Manual,45428,Petrol,43.5,1.3,renault,30470326
44,T-Roc,2020,21000,Manual,48755,Petrol,42.2,1.5,volkswagen,30355599
45,Auris,2017,13400,Automatic,49620,Hybrid,78.5,1.8,toyota,29789727
46,A110,2023,57545,Semi-Auto,1500,Petrol,41.5,1.8,alpine,30661481
