,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Model 3,2019,25049,White,Electric,Automatic,24353,,tesla,30603030
1,Mokka X,2018,11995,Automatic,44400,Petrol,43.5,1.4,vauxhall,30428901
2,RAV4,2017,17495,Automatic,44500,Other,57.6,2.5,toyota,30382869
3,Leon,2006,3795,Manual,49800,Petrol,37.2,1.6,seat,29858377
4,Aygo,2013,4795,Manual,51790,Petrol,65.7,1.0,toyota,30614367
5,Juke,2014,7495,Automatic,59125,Petrol,44.8,1.6,nissan,29911525
6,i10,2014,6695,Manual,67920,Petrol,57.6,1.2,hyundai,30526343
7,Kuga,2011,6495,Manual,73500,Diesel,47.9,2.0,ford,30304179
8,Astra,2016,7795,Manual,75320,Petrol,52.3,1.4,vauxhall,30089874
9,Corsa,2016,6795,Manual,81750,Petrol,55.4,1.4,vauxhall,30379055
10,Defender,2010,26995,Manual,89200,Diesel,25.7,2.4,land rover,30304183
11,Qashqai,2020,16549,N/A,22957,Petrol,41.5,1.3,nissan,30627125
12,V40,2019,15699,Manual,34000,Petrol,46.3,2.0,volvo,30451741
13,Corsa,2016,6795,Manual,81750,Petrol,55.4,1.4,vauxhall,30379055
14,Defender,2010,26995,Manual,89200,Diesel,25.7,2.4,land rover,30304183
15,Zafira,2014,5995,Manual,90518,Petrol,39.2,1.8,vauxhall,29965028
16,S-MAX,2013,6495,Manual,95060,Diesel,54.3,1.6,ford,30379056
17,S-MAX,2010,5995,Manual,98865,Diesel,47.1,2.0,ford,30379053
18,Astra,2013,4995,Manual,99250,Diesel,60.1,1.7,vauxhall,29517340
19,Juke,2013,5295,Manual,99450,Diesel,70.6,1.5,nissan,30272101
20,E Class,2012,9695,Automatic,99750,Petrol,42.2,1.8,mercedes-benz,30519357
21,Kuga,2010,5495,Manual,102800,Diesel,44.1,2.0,ford,30289655
22,1 Series,2013,7695,Manual,105750,Diesel,60.1,2.0,bmw,29883128
23,Note,2016,7849,N/A,56743,Petrol,60.1,1.2,nissan,30643480
24,Passat,2018,14299,Manual,47422,Diesel,62.8,2.0,volkswagen,30577503
25,Aygo,2016,7995,Manual,39165,Petrol,69,1.0,toyota,29764227
26,Coupe,2008,4795,Automatic,27035,Petrol,33.2,2.0,hyundai,30519356
27,Aygo,2016,4995,Manual,83060,Petrol,69,1.0,toyota,30654546
28,208,2023,24990,Manual,453,Petrol,57.7,1.2,peugeot,30610973
29,Ibiza,2023,19695,Semi-Auto,1103,Petrol,47.9,1,seat,30554015
30,408,2023,32495,Semi-Auto,3871,Hybrid,217.3,1.6,peugeot,30118564
31,208,2022,23990,Manual,5087,Petrol,56.5,1.2,peugeot,30579450
32,108,2018,10650,Semi-Auto,5869,Petrol,67.3,1,peugeot,30383521
33,5008,2019,26450,Semi-Auto,14303,Diesel,56.5,1.5,peugeot,30462841
34,208,2022,24594,Semi-Auto,14827,Petrol,52.3,1.2,peugeot,30579448
35,Golf,2019,14549,N/A,45284,Diesel,57.7,1.6,volkswagen,30649196
36,Zoe,2021,13999,White,Electric,Automatic,12151,,renault,30284849
37,208,2021,15730,Manual,15988,Petrol,56.5,1.2,peugeot,30432228
38,2008,2022,21550,Manual,17566,Petrol,52.3,1.2,peugeot,30540003
39,2008,2021,19390,Semi-Auto,20106,Petrol,48.7,1.2,peugeot,30340382
40,MG3,2022,11770,Manual,20916,Petrol,42.8,1.5,mg,30579452
41,C4,2018,15230,Manual,22238,Diesel,68.9,1.5,citroen,30548514
42,Swift,2018,10942,Manual,27723,Petrol,64.2,1.2,suzuki,30623567
43,5008,2018,20995,Manual,27743,Petrol,44.1,1.2,peugeot,30482624
