,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,108,2018,8049,Manual,15611,Petrol,68.9,1.0,peugeot,30281080
1,V50,2011,5550,Manual,85000,Diesel,65.7,1.6,volvo,30484243
2,Mokka,2013,5499,Manual,87000,Diesel,62.8,1.7,vauxhall,28228115
3,Corsa,2011,3100,Manual,96000,Diesel,62.8,1.7,vauxhall,30077869
4,Astra,2012,4499,Automatic,96000,Petrol,39.8,1.6,vauxhall,30471156
5,Freelander,2012,7750,Automatic,96000,Diesel,40.4,2.2,land rover,30473790
6,Focus,2012,4150,Manual,97000,Diesel,67.3,1.6,ford,28997301
7,Corsa,2012,2750,Manual,98000,Diesel,67.3,1.2,vauxhall,30040677
8,Qashqai,2012,4550,Manual,101000,Diesel,53.3,1.5,nissan,29315128
9,Astra,2012,2950,Manual,102000,Diesel,76.3,1.7,vauxhall,29611694
10,Zafira,2013,5150,Manual,103000,Diesel,55.4,2.0,vauxhall,29729067
11,Focus,2018,16049,Manual,33796,Petrol,41.5,2.0,ford,30460872
12,Yaris,2020,11049,Manual,50724,Petrol,47.9,1.5,toyota,30519510
13,Focus,2014,4550,Manual,104000,Diesel,67.3,1.6,ford,30600993
14,Insignia,2011,2499,Manual,105000,Diesel,52.3,2.0,vauxhall,30460270
15,V60,2011,5599,Manual,105000,Diesel,55.4,2.0,volvo,30406342
16,V50,2010,3350,Manual,107000,Diesel,72.4,1.6,volvo,29939632
17,V50,2009,3650,Manual,114000,Diesel,62.8,1.6,volvo,30099771
18,Focus,2009,1999,Manual,117000,Petrol,42.2,1.6,ford,30465537
19,X Type,2008,2650,Automatic,117000,Diesel,40.9,2.2,jaguar,29502606
20,A4,2012,5750,Manual,120000,Diesel,65.7,2.0,audi,28330561
21,Zafira,2013,4550,Automatic,126000,Diesel,47.1,2.0,vauxhall,29964671
22,Insignia,2012,3100,Automatic,127000,Diesel,49.6,2.0,vauxhall,30435765
23,X1,2016,16649,Semi-Auto,43019,Diesel,60.1,2.0,bmw,30348889
24,Stonic,2021,16249,Manual,13629,Petrol,49.6,1.0,kia,30519647
25,Astra,2010,2250,Manual,92000,Petrol,43.5,1.6,vauxhall,30648102
26,Galaxy,2009,3599,Automatic,104000,Diesel,38.1,2.0,ford,30613730
27,Corsa,2014,3399,Manual,105000,Diesel,67.3,1.2,vauxhall,30176090
28,MG5,2022,25995,Silver,Electric,Automatic,50,,mg,29652680
29,MX-5,2023,23995,Manual,100,Petrol,44.8,1.5,mazda,30474348
30,CX-5,2023,26995,Manual,100,Petrol,43.5,2.0,mazda,30474349
31,MG5,2022,24995,Blue,Electric,Automatic,500,,mg,29652679
32,MG5,2022,21995,Blue,Electric,Automatic,750,,mg,29652676
33,Mazda2,2022,20495,Automatic,1000,Petrol/Ele,74.3,1.5,mazda,29831715
34,CX-60,2022,41995,Automatic,1000,Petrol/Plu,188.3,2.5,mazda,29826583
35,3 Series,2019,19599,Semi-Auto,29560,Petrol,48.7,2.0,bmw,30498535
36,Arona,2018,13849,Semi-Auto,31239,Petrol,56.5,1.0,seat,30572297
37,MX-30,2022,21995,White,Electric,Automatic,1500,,mazda,29023758
38,MG4,2022,28995,Orange,Electric,Automatic,2250,,mg,30326886
39,MG5,2022,21995,White,Electric,Automatic,3200,,mg,29652678
40,Mazda3,2021,25495,Automatic,3300,Petrol,44.8,2.0,mazda,30385965
41,MG5,2022,26995,White,Electric,Automatic,4800,,mg,30461731
42,MG3,2020,10495,Manual,8300,Petrol,47.1,1.5,mg,30051171
43,e-2008,2021,21495,Red,Electric,Automatic,9000,,peugeot,29813283
44,500,2020,13750,Automatic,11000,Petrol,None,1.2,fiat,30394416
45,CX-5,2020,25995,Automatic,11500,Petrol,36.7,2.0,mazda,30588856
46,CX-5,2021,30995,Automatic,12500,Petrol,35.3,2.5,mazda,30526601
47,Q5,2017,24949,N/A,42933,Diesel,55.4,2.0,audi,30649117
48,500,2019,9699,Manual,23045,Petrol,51.4,1.2,fiat,30498668
49,Mazda2,2018,12995,Manual,13400,Petrol,None,1.5,mazda,30616554
50,CX-5,2020,26495,Automatic,14500,Petrol,36.7,2.0,mazda,30616553
51,E-PACE,2021,33995,Automatic,17200,Petrol,31.7,2.0,jaguar,29916936
52,Leaf,2020,15495,White,Electric,Automatic,17700,,nissan,29813281
53,CX-30,2020,21995,Manual,17800,Petrol,47.9,2.0,mazda,30526600
54,MG3,2019,12995,Manual,19100,Petrol,49.6,1.5,mg,30205060
55,Corsa,2019,9995,Manual,20500,Petrol,43.5,1.4,vauxhall,30583564
56,CX-5,2020,23495,Manual,21300,Petrol,39.8,2.0,mazda,30385966
57,MG3,2021,20995,Automatic,22250,Petrol,36.7,1.5,mg,30497985
58,Sportage,2021,21495,Automatic,23700,Diesel,50.4,1.6,kia,30509077
59,Golf,2019,17049,N/A,27405,Petrol,47.1,1.5,volkswagen,30593592
60,E-PACE,2019,26549,Automatic,20068,Diesel,47.1,2.0,jaguar,30498517
61,Mazda3,2019,16995,Manual,27750,Petrol,44.8,2.0,mazda,30583565
62,GT86,2017,17995,Manual,33500,Petrol,36.2,2.0,toyota,30564212
63,CX-5,2020,22495,Automatic,38300,Petrol,36.7,2.0,mazda,30583561
64,CX-30,2020,23495,Automatic,41250,Petrol,40.4,2.0,mazda,30066560
65,CX-5,2017,16995,Automatic,46700,Diesel,50.4,2.2,mazda,30583563
66,Mazda6,2020,17495,Manual,50950,Petrol,42.2,2.0,mazda,30208912
67,Sportage,2020,17995,Manual,52000,Diesel,46.3,1.6,kia,30564211
68,CX-5,2017,16495,Manual,53500,Petrol,44.1,2.0,mazda,30426432
69,Mazda6,2015,8995,Manual,62900,Petrol,51.4,2.0,mazda,30616555
70,Mazda2,2018,12995,Manual,13400,Petrol,None,1.5,mazda,30616554
71,Captur,2019,13349,Manual,18650,Diesel,67.3,1.5,renault,30466676
72,Tucson,2016,14549,Semi-Auto,68063,Diesel,57.6,1.7,hyundai,30480215
73,Mazda3,2019,16995,Manual,27750,Petrol,44.8,2.0,mazda,30645067
74,Mazda3,2020,16495,Manual,43950,Petrol,44.8,2.0,mazda,30645066
