,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Vitara,2018,11349,N/A,43088,Petrol,53.3,1.6,suzuki,30602763
1,Transit Connect,2015,8695,Manual,120251,Diesel,60.1,1.6,ford,30581652
2,Corsa,2010,1995,Manual,150000,Diesel,None,1.2,vauxhall,29972720
3,Berlingo,2009,1995,Manual,180500,Diesel,49.6,1.6,citroen,29706985
4,500,2011,4695,Manual,43343,Petrol,68.9,0.9,fiat,30049343
5,Fiesta,2013,6995,Manual,49835,Petrol,65.7,1.0,ford,30294410
6,Clio,2015,5995,Manual,52500,Petrol,50.4,1.1,renault,30023805
7,Clubman,2013,5995,Manual,58583,Diesel,72.4,1.6,mini,30266700
8,Wrangler,1998,14995,Manual,59976,Petrol,23,4.0,jeep,30132067
9,Panda,2015,5495,Manual,60768,Petrol,67.3,0.9,fiat,30232828
10,3008,2013,5995,Automatic,65000,Diesel,65.7,1.6,peugeot,30602635
11,Civic,2018,12699,Manual,39874,Petrol,58.9,1.0,honda,30654908
12,1 Series,2021,22999,Semi-Auto,12963,Petrol,44.1,1.5,bmw,30208474
13,Corsa,2013,4995,Manual,66602,Petrol,51.4,1.4,vauxhall,30556592
14,208,2013,5495,Manual,67500,Petrol,62.8,1.2,peugeot,28472511
15,Duster,2016,7995,Manual,68782,Diesel,64.2,1.5,dacia,28021173
16,500,2014,5495,Manual,70231,Petrol,58.9,1.2,fiat,30556588
17,Clio,2010,3495,Manual,70301,Petrol,48.7,1.1,renault,30412563
18,Fiesta,2013,5995,Manual,70672,Petrol,65.7,1.4,ford,30556594
19,XF,2015,9995,Automatic,71351,Diesel,57.7,2.2,jaguar,30232826
20,Polo,2009,3795,Manual,72344,Petrol,43.5,1.4,volkswagen,30620097
21,C Class,2012,8495,Automatic,72528,Diesel,53.3,2.1,mercedes-benz,30372433
22,Cascada,2013,4995,Manual,73696,Diesel,54.3,2.0,vauxhall,29806047
23,Viva,2019,8849,Manual,14497,Petrol,46.3,1.0,vauxhall,30447963
24,Golf,2019,16899,Semi-Auto,41634,Petrol,44.1,1.5,volkswagen,30308283
25,Scenic,2013,6995,Automatic,73827,Diesel,60.1,1.5,renault,30023803
26,Korando,2015,6995,Manual,74785,Diesel,45.6,2.0,ssangyong,29280286
27,Carens,2015,7995,Automatic,86644,Diesel,46.3,1.7,kia,30421183
28,Polo,2009,3495,Manual,87792,Petrol,48.7,1.2,volkswagen,30620095
29,Range Rover Sport,2016,36995,Automatic,90000,Diesel,40.4,3.0,land rover,29343973
30,Compass,2012,6995,Manual,91245,Diesel,42.8,2.1,jeep,29672948
31,500,2012,4695,Manual,91500,Petrol,58.9,1.2,fiat,30514221
32,C4 Picasso,2014,7495,Manual,91734,Diesel,70.6,1.6,citroen,30421185
33,Scenic,2011,3495,Manual,93000,Diesel,54.3,1.5,renault,30476592
34,Aygo,2006,2395,Manual,93500,Petrol,61.4,1.0,toyota,30607585
35,Aygo,2019,10349,Manual,9237,Petrol,57.7,1.0,toyota,30417339
