,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A4,2016,16799,N/A,37048,Petrol,53.3,2.0,audi,30476815
1,Other,2010,3795,Manual,74927,Petrol,52.3,1.3,mazda,30466474
2,Picanto,2011,3695,Manual,76813,Petrol,67.3,1.0,kia,30626658
3,500,2010,3695,Manual,79951,Petrol,55.4,1.2,fiat,30437433
4,Fiesta,2010,3995,Manual,81177,Petrol,49.6,1.2,ford,30514294
5,Aygo,2012,3795,Manual,82844,Petrol,65.7,1.0,toyota,30480095
6,Fiesta,2008,3795,Manual,84237,Petrol,49.6,1.2,ford,30672706
7,A8,2022,63991,Semi-Auto,100,Diesel,39.2,3,audi,29473641
8,RS5,2023,67991,Semi-Auto,100,Petrol,29.7,2.9,audi,30152079
9,A7,2022,43991,Semi-Auto,1000,Diesel,49.6,2,audi,29473642
10,A7,2022,45991,Semi-Auto,1000,Diesel,47.1,2,audi,29473617
11,Cooper S,2016,15649,N/A,47729,Petrol,50.4,2.0,mini,30678949
12,Fiesta,2021,17549,N/A,4080,Petrol,49.6,1.0,ford,30700724
13,Tiguan,2023,34994,Semi-Auto,1988,Petrol,40.4,1.5,volkswagen,30463106
14,TT,2022,31991,Semi-Auto,2000,Petrol,41.5,2,audi,29473637
15,A3,2022,35241,Semi-Auto,2000,Diesel,57.7,2,audi,29473643
16,Taigo,2023,23242,Manual,2972,Petrol,51.4,1,volkswagen,30432449
17,GLB Class,2023,34295,Semi-Auto,2986,Petrol,39.2,1.3,mercedes-benz,30215480
18,T-Cross,2023,24493,Manual,2992,Petrol,47.9,1,volkswagen,30275152
19,Taigo,2023,26242,Automatic,2992,Petrol,47.9,1,volkswagen,30469482
20,T-Cross,2023,23992,Manual,3701,Petrol,47.9,1,volkswagen,30364424
21,Tiguan,2023,36242,Semi-Auto,3992,Diesel,49.6,2,volkswagen,30364425
22,A3,2023,32991,Manual,4000,Petrol,44.8,1.5,audi,30710723
23,108,2019,8849,N/A,17832,Petrol,68.9,1.0,peugeot,30490151
24,Aygo,2018,8399,N/A,20850,Petrol,69,1.0,toyota,30602996
25,Tiguan,2023,35992,Semi-Auto,4437,Diesel,49.6,2,volkswagen,30351430
26,T-Cross,2023,21994,Automatic,4988,Petrol,45.6,1,volkswagen,30152105
27,A3,2022,23491,Manual,5000,Petrol,51.4,1,audi,29473610
28,A4,2022,32991,Semi-Auto,5000,Petrol,40.9,2,audi,29473605
29,CLA Class,2022,30995,Semi-Auto,5064,Petrol,45.6,1.3,mercedes-benz,30444289
30,C Class,2022,47495,Semi-Auto,5120,Diesel,53.3,2,mercedes-benz,30385783
31,GLC Class,2022,45995,Semi-Auto,5965,Diesel,40.9,2,mercedes-benz,30058498
32,Q5,2021,37491,Semi-Auto,6059,Diesel,43.5,2,audi,30253533
33,EQA,2021,32995,Grey,Electric,Automatic,6630,,mercedes-benz,30481252
34,A4,2023,30991,Semi-Auto,7500,Petrol,44.8,2,audi,29509359
35,e-2008,2020,19099,Blue,Electric,N/A,14627,,peugeot,30674428
36,I-PACE,2019,29849,Silver,Electric,N/A,22002,,jaguar,30664136
37,A4,2023,30991,Semi-Auto,7500,Petrol,44.8,2,audi,29509359
38,TT,2021,28491,Semi-Auto,8177,Petrol,39.2,2,audi,30469471
39,A3,2022,25841,Manual,8920,Petrol,50.4,1,audi,30403910
40,A3,2022,22991,Manual,9000,Petrol,51.4,1,audi,29473607
41,A3,2022,22991,Manual,9000,Petrol,51.4,1,audi,29473635
42,A5,2022,31341,Semi-Auto,9000,Diesel,58.9,2,audi,29473618
43,Golf,2022,20492,Manual,9241,Petrol,52.3,1,volkswagen,30463102
44,A Class,2020,24995,Semi-Auto,9669,Diesel,62.8,1.5,mercedes-benz,30710299
45,GLB Class,2022,35795,Semi-Auto,9784,Petrol,37.2,1.3,mercedes-benz,30391818
46,A3,2022,24991,Manual,10000,Petrol,48.7,1.5,audi,29473619
47,Viva,2019,8149,N/A,35232,Petrol,46.3,1.0,vauxhall,30602804
48,GLA Class,2019,21249,N/A,19579,Petrol,44.8,1.6,mercedes-benz,30627175
49,A3,2022,28241,Semi-Auto,10000,Diesel,61.4,2,audi,29608275
50,GLS Class,2022,82495,Semi-Auto,11640,Diesel,32.1,3,mercedes-benz,30066952
51,A3,2022,26491,Manual,12000,Petrol,50.4,1,audi,29473616
52,GLA Class,2021,29995,Semi-Auto,12418,Diesel,52.3,2,mercedes-benz,30699792
53,GLB Class,2022,39295,Semi-Auto,12882,Diesel,44.8,2,mercedes-benz,30430501
54,TT,2019,26741,Automatic,12939,Petrol,38.7,2,audi,30315156
55,A1,2021,18991,Manual,13737,Petrol,49.6,1,audi,30186484
56,GLC Class,2020,31995,Semi-Auto,13995,Diesel,44.8,2,mercedes-benz,30349332
57,A5,2022,31491,Semi-Auto,14000,Diesel,57.7,2,audi,29473600
58,A5,2021,29491,Semi-Auto,14500,Diesel,57.7,2,audi,29473634
59,Polo,2021,15799,N/A,19438,Petrol,47.9,1.0,volkswagen,30649179
60,Corsa,2018,8399,N/A,34756,Petrol,43.5,1.4,vauxhall,30755117
61,Q5,2022,43991,Semi-Auto,14877,Diesel,42.8,2,audi,30253536
62,CLA Class,2022,29995,Semi-Auto,14979,Diesel,55.4,2,mercedes-benz,30243649
63,A3,2022,36991,Semi-Auto,15531,Petrol,35.3,2,audi,30253531
64,Q5,2021,34991,Semi-Auto,15614,Diesel,44.8,2,audi,29769145
65,Q5,2021,33491,Semi-Auto,15708,Diesel,44.8,2,audi,30216603
66,CLA Class,2021,53495,Semi-Auto,16268,Petrol,33.2,2,mercedes-benz,30430499
67,A5,2022,30491,Semi-Auto,18000,Diesel,57.7,2,audi,29473629
68,A3,2020,22391,Manual,18726,Petrol,47.1,1.5,audi,30098019
69,TT,2020,26491,Semi-Auto,18788,Petrol,40.9,2,audi,29877877
70,CLA Class,2017,19752,Semi-Auto,19845,Petrol,53.3,1.6,mercedes-benz,30267873
71,Focus,2019,13899,N/A,27292,Diesel,80.7,1.5,ford,30572227
72,Q3,2017,17549,N/A,65264,Diesel,55.4,2.0,audi,30683569
73,Q3,2020,29241,Semi-Auto,20680,Diesel,47.1,2,audi,30186480
74,A5,2022,31491,Semi-Auto,22000,Diesel,55.4,2,audi,29473625
75,A4,2020,26441,Semi-Auto,24248,Diesel,50.4,2,audi,30011350
76,TT,2020,31991,Semi-Auto,25097,Petrol,35.3,2,audi,30357820
77,A Class,2021,23995,Semi-Auto,27452,Diesel,56.5,2,mercedes-benz,30710298
78,Q3,2020,38491,Semi-Auto,28010,Petrol,31.4,2,audi,30710724
79,EQC,2021,44495,Grey,Electric,Automatic,29802,,mercedes-benz,30401670
80,T-Roc,2018,16993,Manual,30391,Petrol,55.4,1,volkswagen,30419267
81,Golf,2021,28996,Semi-Auto,39999,Petrol,38.2,2,volkswagen,30396015
82,GLE Class,2019,39950,Semi-Auto,45000,Diesel,36.7,2,mercedes-benz,30452359
83,A Class,2021,22549,N/A,35945,Hybrid,None,1.3,mercedes-benz,30603056
84,Focus,2018,11299,N/A,46181,Petrol,57.7,1.0,ford,30755232
85,GLE Class,2018,28450,Semi-Auto,76500,Diesel,37.7,3,mercedes-benz,30481251
86,A3,2022,26491,Manual,20,Petrol,50.4,1,audi,30305663
87,GLC Class,2023,46795,Semi-Auto,2412,Diesel,43.5,2,mercedes-benz,30444300
88,A Class,2022,27495,Semi-Auto,5000,Diesel,55.4,2,mercedes-benz,30243648
89,Touareg,2020,44448,Semi-Auto,12426,Petrol,26.2,3,volkswagen,29932262
90,Polo,2021,19993,Semi-Auto,13784,Petrol,49.6,1,volkswagen,30419273
91,Polo,2019,12993,Manual,22252,Petrol,48.7,1,volkswagen,30441686
92,Polo,2018,11998,Manual,28424,Petrol,64.2,1,volkswagen,30224442
