,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Kuga,2017,16449,Automatic,14603,Petrol,38.2,1.5,ford,30389266
1,Ka,2014,5995,Manual,58750,Petrol,57.7,1.2,ford,30400257
2,Fiesta,2015,7895,Manual,60000,Petrol,54.3,1.2,ford,28561451
3,500,2015,6295,Manual,62226,Petrol,60.1,1.2,fiat,30161247
4,Adam,2016,8495,Manual,63269,Petrol,53.3,1.4,vauxhall,30037548
5,One,2013,7295,Manual,64000,Petrol,49.6,1.6,mini,27561226
6,Fiesta,2017,7995,Manual,67084,Petrol,54.3,1.2,ford,30324075
7,Countryman,2013,8495,Manual,67713,Petrol,42.2,1.6,mini,30620236
8,Ibiza,2014,6795,Manual,69378,Petrol,47.9,1.4,seat,29955699
9,Mokka,2014,6895,Manual,69904,Petrol,47.1,1.4,vauxhall,30537881
10,Juke,2012,6795,Manual,72906,Petrol,40.9,1.6,nissan,30343369
11,Aygo,2019,9399,Manual,41852,Petrol,56.5,1.0,toyota,30502711
12,GLC Class,2019,25049,Semi-Auto,27303,Diesel,41.5,2.1,mercedes-benz,30281149
13,Jetta,2017,8995,Manual,75400,Petrol,52.3,1.4,volkswagen,30537888
14,Tiguan,2012,7995,Manual,75897,Diesel,53.3,2.0,volkswagen,30620237
15,Fiesta,2013,6495,Manual,76767,Petrol,54.3,1.2,ford,30324072
16,Juke,2016,8295,Manual,76817,Diesel,70.6,1.5,nissan,30537884
17,Golf,2013,7995,Manual,82518,Diesel,64.2,1.6,volkswagen,29664322
18,E Class,2013,9695,Automatic,85291,Diesel,47.1,3.0,mercedes-benz,30634792
19,Golf,2015,9995,Manual,85520,Diesel,74.3,1.6,volkswagen,30634793
20,Mokka,2015,7995,Manual,85755,Petrol,44.8,1.4,vauxhall,30173357
21,108,2015,4595,Manual,96645,Petrol,68.9,1.0,peugeot,29930659
22,A1,2013,8495,Manual,59619,Petrol,52.3,1.4,audi,30659417
23,3 Series,2018,20699,Semi-Auto,9952,Diesel,64.2,2.0,bmw,30251067
24,Aygo,2019,9599,Manual,16865,Petrol,56.5,1.0,toyota,30360663
25,Fiesta,2023,25999,Manual,1843,Petrol,40.3,1.5,ford,30520047
26,Puma,2023,23499,Manual,2874,Petrol,50.4,1,ford,29866810
27,Mustang,2022,50999,Red,Electric,Automatic,11287,,ford,30158925
28,Fiesta,2021,15399,Manual,12660,Petrol,54.3,1,ford,30524635
29,EcoSport,2022,17999,Manual,13617,Petrol,47.1,1,ford,30524632
30,Puma,2020,17999,Manual,25977,Petrol,50.4,1,ford,30495423
31,Kuga,2022,24299,Manual,5800,Diesel,57.7,1.5,ford,30568432
32,Fiesta,2022,17999,Manual,13670,Petrol,54.3,1,ford,30578249
33,EcoSport,2020,12899,Manual,28244,Petrol,53.3,1,ford,30582636
34,Focus,2017,9299,Manual,71286,Diesel,74.3,1.5,ford,30572480
35,T-Cross,2019,16649,Manual,11641,Petrol,48.7,1.0,volkswagen,30477041
36,Polo,2019,13299,Manual,28442,Petrol,52.3,1.0,volkswagen,30389347
37,Fiesta,2022,19199,Manual,814,Petrol,56.5,1,ford,30532200
38,Focus,2022,19499,Manual,3507,Petrol,52.3,1,ford,30480885
39,Fiesta,2022,17999,Manual,4040,Petrol,56.5,1,ford,30520041
40,Focus,2022,20999,Manual,4227,Petrol,51.4,1,ford,30532206
41,Fiesta,2022,17299,Manual,4817,Petrol,56.5,1,ford,30532208
42,Puma,2022,22999,Semi-Auto,7574,Petrol,48.7,1,ford,30532201
43,Focus,2022,19999,Manual,8165,Petrol,51.4,1,ford,30495422
44,Focus,2022,19999,Manual,12679,Petrol,51.4,1,ford,30617798
45,Puma,2022,24999,Manual,12837,Petrol,41.5,1.5,ford,30480976
46,Focus,2020,16699,Automatic,18551,Diesel,67.3,1.5,ford,30421868
47,Picanto,2021,11799,Manual,19925,Petrol,52.3,1.0,kia,30360602
48,Leon,2020,21299,Semi-Auto,28935,Petrol,38.7,2.0,seat,30367164
49,Fiesta,2022,19199,Manual,814,Petrol,56.5,1,ford,30532200
50,Kuga,2023,38499,Automatic,2512,Hybrid,201.8,2.5,ford,30152038
51,Mustang,2023,64499,Semi-Auto,2874,Petrol,24.1,5,ford,30304730
52,Focus,2022,19799,Manual,3336,Petrol,51.4,1,ford,30520039
53,Focus,2022,20999,Manual,4227,Petrol,51.4,1,ford,30532206
54,Fiesta,2022,17299,Manual,4817,Petrol,56.5,1,ford,30532208
55,Kuga,2022,23999,Manual,5051,Diesel,57.7,1.5,ford,30520048
56,Kuga,2022,24299,Manual,5800,Diesel,57.7,1.5,ford,30568432
57,Puma,2022,22999,Semi-Auto,7574,Petrol,48.7,1,ford,30532201
58,Kuga,2022,23999,Manual,8146,Diesel,54.3,1.5,ford,30568669
59,A Class,2019,17499,Manual,42818,Petrol,28.5,1.3,mercedes-benz,30557523
60,Fiesta,2020,15299,Manual,17149,Petrol,51.4,1.0,ford,30480303
61,Focus,2020,24999,Manual,9003,Petrol,34.5,2.3,ford,30520045
62,Mondeo,2022,24999,Automatic,9283,Hybrid,47.1,2,ford,30568434
63,Focus,2022,20699,Manual,9739,Petrol,48.7,1,ford,30520043
64,Fiesta,2016,9299,Manual,19367,Petrol,54.3,1.25,ford,30568435
65,Puma,2020,16999,Manual,21165,Petrol,51.4,1,ford,30568443
66,Puma,2020,17499,Manual,30118,Petrol,50.4,1,ford,30575415
67,Focus,2020,13499,Manual,40006,Petrol,55.4,1,ford,30520052
68,Kuga,2018,15799,Manual,41256,Diesel,60.1,2,ford,30585418
69,Focus,2019,16199,Automatic,42004,Petrol,50.4,1,ford,30588142
70,S-MAX,2020,22799,Semi-Auto,44418,Diesel,43.5,2,ford,30532216
71,A Class,2019,19049,Manual,23349,Petrol,28.5,1.3,mercedes-benz,30476879
72,A Class,2019,20899,Manual,28697,Diesel,58.9,1.5,mercedes-benz,30572045
73,Kona,2020,18999,Automatic,29984,Hybrid,52.3,1.6,hyundai,30532211
74,Puma,2020,17499,Manual,30118,Petrol,50.4,1,ford,30575415
75,Focus,2017,10999,Manual,32183,Petrol,60.1,1,ford,30554517
