,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Q3,2016,14499,N/A,52098,Petrol,49.6,1.4,audi,30348592
1,Q5,2020,31000,Semi-Auto,13375,Diesel,38.2,2,audi,30687575
2,A3,2021,26250,Semi-Auto,14049,Hybrid,235.4,1.4,audi,30698280
3,A5,2020,28600,Semi-Auto,14148,Diesel,51.4,2,audi,30695322
4,TT,2021,27000,Semi-Auto,14174,Petrol,40.9,2,audi,30695309
5,A5,2021,30250,Semi-Auto,14423,Petrol,42.8,2,audi,30695333
6,A5,2020,30400,Semi-Auto,14431,Petrol,37.7,2,audi,30689320
7,A5,2020,27850,Semi-Auto,14745,Diesel,54.3,2,audi,30695318
8,A3,2020,24450,Semi-Auto,15141,Petrol,48.7,1.5,audi,30695324
9,A3,2020,20050,Semi-Auto,15176,Hybrid,141.3,1.4,audi,30695359
10,A3,2020,25200,Semi-Auto,15248,Diesel,57.7,2,audi,30695360
11,A5,2020,21499,N/A,67692,Petrol,40.4,2.0,audi,30337836
12,A3,2018,16199,N/A,38949,Petrol,60.1,1.0,audi,30608114
13,A5,2020,23750,Semi-Auto,15796,Petrol,40.4,2,audi,30689342
14,Q8,2020,46650,Semi-Auto,15927,Diesel,33.2,3,audi,30689360
15,A4,2021,27750,Semi-Auto,16373,Diesel,53.3,2,audi,30689327
16,A5,2020,24750,Semi-Auto,16556,Diesel,54.3,2,audi,30687577
17,A4,2021,30500,Semi-Auto,17448,Diesel,52.3,2,audi,30687573
18,A3,2021,25750,Semi-Auto,18017,Hybrid,235.4,1.4,audi,30689358
19,A3,2020,24950,Semi-Auto,18328,Petrol,41.5,1.5,audi,30695362
20,A5,2020,25150,Semi-Auto,18353,Diesel,54.3,2,audi,30687564
21,Q5,2020,30050,Semi-Auto,18360,Diesel,38.2,2,audi,30689309
22,A6,2019,27250,Semi-Auto,19458,Petrol,34.9,2,audi,30695337
23,Q5,2019,24049,N/A,66548,Diesel,38.2,2.0,audi,30360626
24,Q2,2021,25899,N/A,25855,Petrol,44.8,1.5,audi,30498510
25,A3,2020,18500,Manual,19519,Petrol,51.4,1,audi,30698235
26,e-tron,2020,36050,Red,Electric,Automatic,20345,,audi,30689350
27,Q3,2020,29350,Semi-Auto,20949,Diesel,47.1,2,audi,30698303
28,A3,2020,22500,Semi-Auto,21367,Petrol,43.5,1.5,audi,30695365
29,Q3,2020,29400,Semi-Auto,21808,Petrol,39.8,1.5,audi,30687560
30,A1,2020,16600,Manual,22077,Petrol,49.6,1,audi,30689299
31,Q2,2021,20600,Manual,22108,Petrol,48.7,1,audi,30698244
32,A4,2019,24650,Semi-Auto,22703,Petrol,38.2,2,audi,30698287
33,Q5,2020,36550,Semi-Auto,22829,Hybrid,117.7,2,audi,30698282
34,TT,2020,23500,Semi-Auto,22951,Petrol,40.9,2,audi,30689363
35,Q5,2019,29299,N/A,37996,Petrol,32.1,2.0,audi,30572165
36,Q2,2019,19549,N/A,47193,Petrol,42.2,1.0,audi,30514546
37,A7,2021,33550,Semi-Auto,23114,Diesel,47.1,2,audi,30689330
38,A5,2020,27150,Semi-Auto,23216,Diesel,54.3,2,audi,30695361
39,A5,2019,21850,Semi-Auto,23267,Petrol,40.4,2,audi,30687532
40,A5,2022,26050,Semi-Auto,23423,Diesel,57.7,2,audi,30689359
41,A5,2020,28600,Semi-Auto,23742,Petrol,39.8,2,audi,30689325
42,A6 allroad,2020,40750,Semi-Auto,24865,Diesel,37.7,3,audi,30687542
43,Q8,2020,47900,Semi-Auto,25145,Diesel,33.2,3,audi,30689370
44,e-tron,2020,29600,Black,Electric,Automatic,25173,,audi,30689329
45,Q8,2020,46000,Semi-Auto,25173,Diesel,33.2,3,audi,30695313
46,Q3,2020,30300,Manual,25576,Petrol,40.9,1.5,audi,30698268
47,A4,2019,19199,N/A,48739,Diesel,48.7,2.0,audi,30531400
48,A4,2020,19299,N/A,17793,Petrol,42.2,2.0,audi,30438207
49,A5,2020,27250,Semi-Auto,25582,Diesel,47.1,2,audi,30687546
50,Q5,2020,30050,Semi-Auto,26155,Diesel,38.2,2,audi,30698291
51,A5,2020,19550,Semi-Auto,26911,Petrol,40.4,2,audi,30695296
52,A4,2020,27100,Semi-Auto,27853,Petrol,38.2,2,audi,30689362
53,A3,2019,16400,Manual,27864,Petrol,47.9,1,audi,30687530
54,Q5,2020,26700,Semi-Auto,28362,Diesel,39.2,2,audi,30689366
55,A3,2020,22000,Semi-Auto,28726,Petrol,43.5,1.5,audi,30698249
56,A5,2020,28750,Semi-Auto,28930,Diesel,50.4,2,audi,30687563
57,TT,2020,22450,Semi-Auto,29698,Petrol,40.9,2,audi,30695350
58,Q7,2020,43350,Semi-Auto,30390,Diesel,33.2,3,audi,30689295
59,A4,2020,23549,N/A,15332,Petrol,39.2,2.0,audi,30389343
60,S5,2017,28589,N/A,40792,Petrol,37.7,3.0,audi,30654997
61,A5,2019,18950,Semi-Auto,30600,Petrol,40.4,2,audi,30689328
62,Q5,2020,32050,Semi-Auto,30749,Hybrid,117.7,2,audi,30689338
63,A4,2021,27750,Semi-Auto,31440,Diesel,52.3,2,audi,30698283
64,Q7,2020,40750,Semi-Auto,33297,Diesel,33.2,3,audi,30689351
65,Q7,2020,49550,Semi-Auto,33418,Diesel,33.2,3,audi,30689324
66,A4,2020,19600,Semi-Auto,33718,Diesel,55.4,2,audi,30689296
67,Q5,2020,36550,Semi-Auto,34721,Hybrid,117.7,2,audi,30695315
68,Q5,2020,31750,Semi-Auto,36038,Hybrid,117.7,2,audi,30689322
69,Q7,2020,41100,Semi-Auto,36435,Diesel,33.2,3,audi,30689345
70,A3,2020,17100,Manual,37376,Petrol,51.4,1,audi,30689355
71,A3,2016,13049,N/A,62956,Petrol,60.1,1.4,audi,30654927
72,A7,2018,30049,N/A,26802,Diesel,38.2,3.0,audi,30348878
73,TT,2020,24600,Semi-Auto,38664,Petrol,39.8,2,audi,30698240
74,Q7,2020,41400,Semi-Auto,39098,Diesel,33.2,3,audi,30687541
75,Q5,2021,31900,Semi-Auto,41644,Diesel,43.5,2,audi,30695305
76,A4,2020,20950,Semi-Auto,41807,Petrol,39.2,2,audi,30689332
77,A6,2019,28550,Semi-Auto,45240,Diesel,45.6,2,audi,30695308
78,A4,2020,22000,Semi-Auto,45724,Petrol,42.2,2,audi,30695340
79,A5,2020,25300,Semi-Auto,47223,Petrol,41.5,2,audi,30689312
80,Q5,2019,30750,Semi-Auto,50804,Hybrid,117.7,2,audi,30695358
81,A3,2018,15550,Semi-Auto,50933,Hybrid,None,1.4,audi,30695351
82,Q7,2020,44550,Semi-Auto,55881,Diesel,33.2,3,audi,30687576
83,A4,2020,18049,N/A,64629,Diesel,55.4,2.0,audi,30674646
84,A5,2018,18899,N/A,68503,Diesel,65.7,2.0,audi,30438174
85,Q3,2020,30200,Semi-Auto,9311,Petrol,32.5,2,audi,30699834
86,A5,2021,28600,Semi-Auto,15823,Diesel,54.3,2,audi,30700097
87,A5,2020,25500,Semi-Auto,18902,Diesel,54.3,2,audi,30699840
88,A4,2020,34150,Semi-Auto,23689,Diesel,48.7,2,audi,30700098
89,Q7,2020,44400,Semi-Auto,24325,Diesel,33.2,3,audi,30699843
90,A7,2020,31300,Semi-Auto,29602,Diesel,47.1,2,audi,30699839
91,A4,2018,18700,Semi-Auto,29248,Petrol,50.4,2,audi,30060568
92,S1,2014,12395,Manual,108028,Petrol,40.4,2.0,audi,30671248
93,RS4,2014,31995,Automatic,32180,Petrol,26.4,4.2,audi,30048188
94,Q7,2019,33750,Automatic,60000,Diesel,33.2,3.0,audi,30654341
95,A4,2019,21499,N/A,27439,Diesel,54.3,2.0,audi,30447788
96,A6,2020,28049,N/A,33955,Diesel,50.4,2.0,audi,30407562
97,A3,2019,25900,Semi-Auto,31113,Petrol,34.5,2,audi,30623485
98,A1,2021,16900,Manual,32382,Petrol,50.4,1,audi,30610830
99,A1,2019,15840,Manual,19800,Petrol,50.4,1.0,audi,29823746
100,A1,2012,8995,Manual,52039,Petrol,52.3,1.4,audi,30523740
101,TT,2018,19995,Manual,29885,Petrol,47.1,1.8,audi,30678475
102,A1,2022,20349,N/A,3368,Petrol,49.6,1.0,audi,30498582
103,e-tron,2022,37599,Grey,Electric,N/A,8535,,audi,30686134
104,A1,2020,21299,N/A,10871,Petrol,44.1,1.0,audi,30490006
105,Q2,2018,19999,N/A,11125,Petrol,50.4,1.4,audi,30460843
106,Q3,2016,23049,N/A,12081,Petrol,40.4,2.0,audi,30654941
107,Q3,2017,22299,N/A,32638,Diesel,51.4,2.0,audi,30643312
108,Q3,2017,16049,N/A,55219,Petrol,47.9,1.4,audi,30587929
109,A1,2018,13049,N/A,12464,Petrol,67.3,1.0,audi,30447875
110,A1,2017,17049,N/A,13844,Diesel,70.6,1.6,audi,30627130
111,e-tron,2022,36349,Grey,Electric,N/A,15097,,audi,30678115
112,Q3,2020,28049,N/A,15307,Diesel,47.1,2.0,audi,30384445
113,Q2,2019,18599,N/A,15777,Petrol,47.1,1.0,audi,30502667
114,Q3,2017,20899,N/A,15787,Diesel,53.3,2.0,audi,30587925
115,A4,2019,22999,N/A,15883,Petrol,38.7,2.0,audi,30572181
116,A4,2020,28799,N/A,16600,Petrol,38.2,2.0,audi,30608157
117,A5,2019,27049,N/A,17503,Petrol,39.2,2.0,audi,30531542
118,A3,2019,19549,N/A,17787,Petrol,42.8,1.5,audi,30360583
119,Q3,2018,21799,N/A,36205,Petrol,45.6,1.4,audi,30417289
120,Q2,2020,22549,N/A,29539,Petrol,43.5,1.5,audi,30678980
121,A4,2020,19299,N/A,17793,Petrol,42.2,2.0,audi,30438207
122,Q3,2018,22499,N/A,17828,Petrol,42.2,2.0,audi,30531379
123,A3,2019,18249,N/A,18142,Petrol,47.1,1.0,audi,30447771
