,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A1,2018,13949,N/A,35256,Petrol,55.4,1.4,audi,30546366
1,RS5,2021,55989,Semi-Auto,11051,Petrol,29.1,2.9,audi,30186277
2,Q3,2021,30489,Semi-Auto,14285,Petrol,40.4,1.5,audi,30623552
3,A1,2022,20049,N/A,3368,Petrol,49.6,1.0,audi,30498582
4,A1,2020,20999,N/A,10871,Petrol,44.1,1.0,audi,30490006
5,Q2,2018,19049,N/A,11125,Petrol,50.4,1.4,audi,30460843
6,Q3,2016,23049,N/A,12081,Petrol,40.4,2.0,audi,30654941
7,Q2,2017,18299,N/A,12396,Petrol,50.4,1.4,audi,30354455
8,A4,2020,25899,N/A,12485,Petrol,39.2,2.0,audi,30373351
9,A1,2017,17049,N/A,13844,Diesel,70.6,1.6,audi,30627130
10,Q3,2020,27799,N/A,15307,Diesel,47.1,2.0,audi,30384445
11,A4,2017,14599,N/A,52364,Diesel,70.6,2.0,audi,30466623
12,A4,2020,25899,N/A,12485,Petrol,39.2,2.0,audi,30373351
13,A4,2020,23549,N/A,15332,Petrol,39.2,2.0,audi,30389343
14,A5,2019,22949,N/A,15481,Diesel,47.1,2.0,audi,30201042
15,Q2,2019,18049,N/A,15777,Petrol,47.1,1.0,audi,30502667
16,Q3,2017,20094,N/A,15787,Diesel,53.3,2.0,audi,30587925
17,A4,2019,22549,N/A,15883,Petrol,38.7,2.0,audi,30572181
18,A3,2021,21049,N/A,16562,Petrol,48.7,1.5,audi,30438227
19,A4,2020,28499,N/A,16600,Petrol,38.2,2.0,audi,30608157
20,A5,2019,26549,N/A,17503,Petrol,39.2,2.0,audi,30531542
21,A3,2018,19299,N/A,17658,Petrol,44.1,1.0,audi,30354550
22,A4,2020,19049,N/A,17793,Petrol,42.2,2.0,audi,30438207
23,A3,2019,17049,N/A,38822,Diesel,53.3,1.6,audi,30643395
24,A3,2019,13899,N/A,54982,Petrol,47.1,1.0,audi,30557516
25,Q3,2018,22499,N/A,17828,Petrol,42.2,2.0,audi,30531379
26,A3,2019,17899,N/A,18142,Petrol,47.1,1.0,audi,30447771
27,A1,2019,17899,N/A,18356,Petrol,47.9,1.0,audi,30726809
28,Q2,2017,19349,N/A,18737,Petrol,52.3,1.4,audi,30476980
29,A4,2017,17499,N/A,19234,Petrol,55.4,2.0,audi,30447891
30,Q2,2020,18049,N/A,19544,Petrol,47.1,1.0,audi,30741018
31,Q2,2017,19049,N/A,19659,Petrol,52.3,1.4,audi,30438124
32,Q2,2019,16349,N/A,19811,Diesel,49.6,1.6,audi,30255934
33,TT,2020,26449,N/A,20020,Petrol,40.9,2.0,audi,30687371
34,A1,2016,13599,N/A,20261,Petrol,55.4,1.4,audi,30498623
35,Q5,2017,21449,N/A,65390,Diesel,56.5,2.0,audi,30614925
36,A4,2016,14849,N/A,63563,Diesel,67.3,2.0,audi,30593626
37,A5,2019,23549,N/A,20415,Petrol,39.8,2.0,audi,30557493
38,A3,2019,16599,N/A,20439,Petrol,47.1,1.0,audi,30700853
39,A3,2020,25999,N/A,20507,Petrol,46.3,1.5,audi,30719683
40,Q2,2017,18049,N/A,21339,Petrol,50.4,1.4,audi,30643389
41,Q2,2018,16849,N/A,21464,Diesel,49.6,1.6,audi,30740976
42,Q2,2019,16699,N/A,21634,Diesel,49.6,1.6,audi,30407515
43,A3,2019,19549,N/A,22907,Petrol,44.1,1.0,audi,30424960
44,A4,2021,26049,N/A,23030,Petrol,40.9,2.0,audi,30726793
45,Q2,2018,18049,N/A,23068,Petrol,53.3,1.0,audi,30477080
46,A6,2019,21849,N/A,23233,Diesel,50.4,2.0,audi,30255917
47,S1,2016,17249,N/A,40518,Petrol,40.4,2.0,audi,30643179
