,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A3,2018,19899,N/A,37940,Petrol,41.5,1.5,audi,30614989
1,Q3,2020,27799,N/A,15307,Diesel,47.1,2.0,audi,30384445
2,A4,2020,23549,N/A,15332,Petrol,39.2,2.0,audi,30389343
3,A5,2019,22949,N/A,15481,Diesel,47.1,2.0,audi,30201042
4,Q2,2019,18599,N/A,15777,Petrol,47.1,1.0,audi,30502667
5,Q3,2017,20899,N/A,15787,Diesel,53.3,2.0,audi,30587925
6,A4,2019,22999,N/A,15883,Petrol,38.7,2.0,audi,30572181
7,A4,2020,28499,N/A,16600,Petrol,38.2,2.0,audi,30608157
8,A5,2019,27049,N/A,17503,Petrol,39.2,2.0,audi,30531542
9,A3,2018,19299,N/A,17658,Petrol,44.1,1.0,audi,30354550
10,A4,2020,19049,N/A,17793,Petrol,42.2,2.0,audi,30438207
11,A1,2018,13449,N/A,35262,Petrol,57.7,1.4,audi,30700559
12,Q5,2016,23799,N/A,29193,Petrol,37.7,2.0,audi,30643488
13,A3,2020,19149,N/A,23454,Hybrid,141.3,1.4,audi,30703116
14,TT,2017,18299,N/A,24011,Petrol,47.1,1.8,audi,30557572
15,A1,2017,12699,N/A,24324,Petrol,57.6,1.4,audi,30678934
16,A1,2016,14049,N/A,24814,Petrol,57.6,1.4,audi,30654982
17,A4,2019,26749,N/A,25060,Petrol,38.2,2.0,audi,30664241
18,Q2,2017,19849,N/A,25392,Petrol,52.3,1.4,audi,30614892
19,A3,2020,22199,N/A,25442,Petrol,50.4,1.5,audi,30514568
20,A1,2016,12249,N/A,25615,Petrol,67.3,1.0,audi,30643304
21,Q5,2018,29049,N/A,25952,Petrol,40.4,2.0,audi,30687408
22,Q3,2017,20899,N/A,26824,Petrol,42.2,2.0,audi,30466681
23,Q5,2017,22449,N/A,61653,Diesel,55.4,2.0,audi,30700823
24,A3,2016,15399,N/A,48571,Petrol,58.9,1.4,audi,30502686
25,A1,2016,13749,N/A,20261,Petrol,55.4,1.4,audi,30498623
26,A5,2019,24299,N/A,20415,Petrol,39.8,2.0,audi,30557493
27,A3,2019,16599,N/A,20439,Petrol,47.1,1.0,audi,30700853
28,A3,2020,25999,N/A,20507,Petrol,46.3,1.5,audi,30719683
29,Q2,2017,18049,N/A,21339,Petrol,50.4,1.4,audi,30643389
30,Q2,2019,17049,N/A,21634,Diesel,49.6,1.6,audi,30407515
31,A3,2019,19899,N/A,22907,Petrol,44.1,1.0,audi,30424960
32,A1,2016,13299,N/A,22969,Petrol,56.5,1.4,audi,30551720
33,A4,2021,26049,N/A,23030,Petrol,40.9,2.0,audi,30726793
34,Q2,2018,18299,N/A,23068,Petrol,53.3,1.0,audi,30477080
35,Q3,2016,16299,N/A,50304,Petrol,47.9,1.4,audi,30498656
36,A3,2018,17749,N/A,42893,Petrol,60.1,1.0,audi,30703119
37,A3,2019,15049,N/A,30474,Petrol,48.7,1.0,audi,30674710
38,A1,2017,15399,N/A,30745,Petrol,56.5,1.4,audi,30703150
39,A3,2020,18499,N/A,31051,Petrol,47.9,1.0,audi,30438119
40,Q5,2016,22049,N/A,31533,Diesel,47.1,2.0,audi,30674515
41,A3,2018,17699,N/A,32214,Petrol,46.3,1.0,audi,30447992
42,A1,2017,12049,N/A,32250,Petrol,57.6,1.4,audi,30674571
43,A3,2019,18199,N/A,32601,Diesel,51.4,1.6,audi,30421767
44,Q3,2017,22299,N/A,32638,Diesel,51.4,2.0,audi,30643312
45,A4,2019,20799,N/A,32814,Petrol,38.7,2.0,audi,30572225
46,A1,2016,13549,N/A,32984,Petrol,55.4,1.4,audi,30700694
47,A5,2016,14899,N/A,59164,Diesel,52.3,2.0,audi,30700651
48,A4,2017,19599,N/A,37423,Diesel,65.7,2.0,audi,30417167
49,Q3,2018,18699,N/A,32995,Diesel,53.3,2.0,audi,30614935
50,TT,2016,23299,N/A,33263,Petrol,40.9,2.0,audi,30456317
51,A5,2017,20799,N/A,33710,Diesel,62.8,2.0,audi,30425012
52,A3,2017,17299,N/A,33836,Petrol,60.1,1.4,audi,30577489
53,A3,2018,17699,N/A,34061,Petrol,46.3,1.0,audi,30557499
54,TT,2017,16999,N/A,34141,Petrol,47.1,1.8,audi,30572067
55,Q3,2018,19849,N/A,34249,Petrol,47.9,1.4,audi,30691287
56,A3,2018,17699,N/A,34702,Petrol,46.3,1.0,audi,30587951
57,Q2,2017,17749,N/A,34865,Petrol,54.3,1.4,audi,30700542
58,A3,2019,19549,N/A,34906,Diesel,51.4,1.6,audi,30602963
59,Q5,2017,21049,N/A,47762,Petrol,40.9,2.0,audi,30299722
60,A1,2017,15399,N/A,30745,Petrol,56.5,1.4,audi,30703150
61,A3,2019,17499,N/A,26872,Petrol,42.8,1.5,audi,30531364
62,Q3,2019,25049,N/A,26916,Diesel,48.7,2.0,audi,30643373
63,Q2,2020,20299,N/A,27157,Petrol,45.6,1.0,audi,30507531
64,A3,2019,17299,N/A,27158,Petrol,42.8,1.5,audi,30531545
65,Q5,2019,27099,N/A,27320,Diesel,39.2,2.0,audi,30659939
66,TT,2016,16049,N/A,27353,Petrol,47.1,1.8,audi,30498591
67,A4,2019,21199,N/A,27439,Diesel,54.3,2.0,audi,30447788
68,A4,2018,20449,N/A,27497,Diesel,67.3,2.0,audi,30608130
69,A3,2015,16599,N/A,27531,Petrol,42.8,1.8,audi,30562667
70,A1,2017,14049,N/A,27622,Petrol,56.5,1.4,audi,30643380
71,A1,2016,15899,N/A,29430,Petrol,56.5,1.4,audi,30498603
72,A1,2018,12199,N/A,40961,Petrol,55.4,1.4,audi,30593622
73,Q3,2019,25049,N/A,38189,Petrol,38.2,1.5,audi,30692293
74,A3,2019,17049,N/A,38822,Diesel,53.3,1.6,audi,30643395
75,A3,2016,15399,N/A,38863,Petrol,60.1,1.4,audi,30687380
76,A4,2017,17099,N/A,38878,Diesel,70.6,2.0,audi,30674517
77,A3,2018,16199,N/A,38949,Petrol,60.1,1.0,audi,30608114
78,Q2,2018,16499,N/A,39512,Petrol,52.3,1.4,audi,30551707
79,A1,2017,12049,N/A,40377,Petrol,55.4,1.4,audi,30664163
80,A3,2019,17049,N/A,40623,Petrol,42.2,1.5,audi,30703137
81,A5,2019,25049,N/A,40646,Petrol,39.2,2.0,audi,30620718
82,Q2,2018,17999,N/A,40721,Petrol,50.4,1.4,audi,30593625
83,TT,2016,16049,N/A,27353,Petrol,47.1,1.8,audi,30498591
84,A3,2018,14049,N/A,66180,Diesel,54.3,2.0,audi,30678895
85,S5,2017,28589,N/A,40792,Petrol,37.7,3.0,audi,30654997
86,A1,2018,12199,N/A,40961,Petrol,55.4,1.4,audi,30593622
87,A3,2016,14949,N/A,40976,Petrol,60.1,1.4,audi,30703162
88,A3,2019,19899,N/A,41286,Diesel,53.3,1.6,audi,30678948
89,A1,2018,12599,N/A,41516,Petrol,67.3,1.0,audi,30664240
90,A3,2019,18799,N/A,41517,Petrol,42.2,1.5,audi,30602776
91,Q2,2018,16299,N/A,41551,Petrol,52.3,1.4,audi,30582290
92,S1,2017,17799,N/A,41943,Petrol,40.4,2.0,audi,30674481
93,Q3,2019,23699,N/A,42214,Diesel,48.7,2.0,audi,30572277
94,A3,2020,23049,N/A,42494,Petrol,46.3,1.5,audi,30674790
95,A4,2016,15699,N/A,69853,Diesel,65.7,2.0,audi,30546299
96,A3,2019,14299,N/A,57337,Petrol,47.9,1.0,audi,30460853
97,A1,2017,12999,N/A,42764,Petrol,55.4,1.4,audi,30519542
98,A3,2019,18049,N/A,42764,Diesel,51.4,1.6,audi,30643477
99,A3,2018,17749,N/A,42893,Petrol,60.1,1.0,audi,30703119
