,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A5,2019,20699,N/A,59952,Petrol,39.8,2.0,audi,30531474
1,A1,2019,18100,Semi-Auto,19768,Petrol,45.6,1,audi,30357669
2,Q3,2019,26350,Semi-Auto,21701,Diesel,40.9,2,audi,30283085
3,TT,2015,12995,Manual,64578,Diesel,67.3,2,audi,30673497
4,Q3,2012,11295,Automatic,61548,Diesel,47.9,2.0,audi,30388302
5,A3,2012,6295,Manual,71685,Petrol,41.5,1.8,audi,30182566
6,Q3,2018,22450,Automatic,10000,Petrol,47.9,1.4,audi,30435544
7,A6,2015,16995,Automatic,88000,Diesel,50.4,3.0,audi,28415678
8,A1,2013,9995,Manual,53500,Diesel,74.3,1.6,audi,30739339
9,A1,2022,20049,N/A,3368,Petrol,49.6,1.0,audi,30498582
10,A1,2020,20999,N/A,10871,Petrol,44.1,1.0,audi,30490006
11,Q3,2016,14499,N/A,52098,Petrol,49.6,1.4,audi,30348592
12,A4,2019,26749,N/A,25060,Petrol,38.2,2.0,audi,30664241
13,Q2,2019,18599,N/A,15777,Petrol,47.1,1.0,audi,30502667
14,A4,2020,19049,N/A,17793,Petrol,42.2,2.0,audi,30438207
15,Q3,2018,22499,N/A,17828,Petrol,42.2,2.0,audi,30531379
16,A3,2019,17899,N/A,18142,Petrol,47.1,1.0,audi,30447771
17,A4,2017,17499,N/A,19234,Petrol,55.4,2.0,audi,30447891
18,Q2,2017,19399,N/A,19659,Petrol,52.3,1.4,audi,30438124
19,TT,2020,26449,N/A,20020,Petrol,40.9,2.0,audi,30687371
20,A1,2016,13749,N/A,20261,Petrol,55.4,1.4,audi,30498623
21,A5,2019,24299,N/A,20415,Petrol,39.8,2.0,audi,30557493
22,A3,2019,16599,N/A,20439,Petrol,47.1,1.0,audi,30700853
23,A3,2019,17349,N/A,26872,Petrol,42.8,1.5,audi,30531364
24,A3,2019,14549,N/A,50352,Diesel,49.6,1.6,audi,30654960
25,Q2,2017,18049,N/A,21339,Petrol,50.4,1.4,audi,30643389
26,A3,2019,19899,N/A,22907,Petrol,44.1,1.0,audi,30424960
27,A3,2020,19149,N/A,23454,Hybrid,141.3,1.4,audi,30703116
28,A1,2017,12699,N/A,24324,Petrol,57.6,1.4,audi,30678934
29,A1,2016,14049,N/A,24814,Petrol,57.6,1.4,audi,30654982
30,A4,2019,26749,N/A,25060,Petrol,38.2,2.0,audi,30664241
31,Q2,2017,19849,N/A,25392,Petrol,52.3,1.4,audi,30614892
32,A3,2020,22199,N/A,25442,Petrol,50.4,1.5,audi,30514568
33,A1,2016,12249,N/A,25615,Petrol,67.3,1.0,audi,30643304
34,Q5,2018,29049,N/A,25952,Petrol,40.4,2.0,audi,30687408
35,Q5,2017,24399,N/A,52447,Petrol,40.4,2.0,audi,30674637
36,Q2,2018,15049,N/A,43397,Diesel,64.2,1.6,audi,30740921
37,A5,2019,24299,N/A,20415,Petrol,39.8,2.0,audi,30557493
38,A3,2019,16599,N/A,20439,Petrol,47.1,1.0,audi,30700853
39,A3,2020,25999,N/A,20507,Petrol,46.3,1.5,audi,30719683
40,Q2,2017,18049,N/A,21339,Petrol,50.4,1.4,audi,30643389
41,Q2,2019,17049,N/A,21634,Diesel,49.6,1.6,audi,30407515
42,A3,2019,19899,N/A,22907,Petrol,44.1,1.0,audi,30424960
43,A4,2021,26049,N/A,23030,Petrol,40.9,2.0,audi,30726793
44,Q2,2018,18299,N/A,23068,Petrol,53.3,1.0,audi,30477080
45,A6,2019,21849,N/A,23233,Diesel,50.4,2.0,audi,30255917
46,A3,2020,19149,N/A,23454,Hybrid,141.3,1.4,audi,30703116
47,A4,2019,19049,N/A,48739,Diesel,48.7,2.0,audi,30531400
48,A3,2019,19899,N/A,41286,Diesel,53.3,1.6,audi,30678948
49,A3,2020,18499,N/A,31051,Petrol,47.9,1.0,audi,30438119
50,Q5,2016,22049,N/A,31533,Diesel,47.1,2.0,audi,30674515
51,A3,2018,17699,N/A,32214,Petrol,46.3,1.0,audi,30447992
52,A1,2017,12049,N/A,32250,Petrol,57.6,1.4,audi,30674571
53,A3,2019,18199,N/A,32601,Diesel,51.4,1.6,audi,30421767
54,Q3,2017,22299,N/A,32638,Diesel,51.4,2.0,audi,30643312
55,A1,2016,13549,N/A,32984,Petrol,55.4,1.4,audi,30700694
56,Q3,2018,18699,N/A,32995,Diesel,53.3,2.0,audi,30614935
57,TT,2016,23299,N/A,33263,Petrol,40.9,2.0,audi,30456317
58,A5,2017,20799,N/A,33710,Diesel,62.8,2.0,audi,30425012
59,A4,2020,19049,N/A,17793,Petrol,42.2,2.0,audi,30438207
60,Q5,2017,21799,N/A,63893,Diesel,55.4,2.0,audi,30460817
61,A1,2016,12249,N/A,25615,Petrol,67.3,1.0,audi,30643304
62,Q2,2019,16899,N/A,25702,Diesel,49.6,1.6,audi,30407524
63,Q2,2021,25499,N/A,25855,Petrol,44.8,1.5,audi,30498510
64,Q5,2018,29049,N/A,25952,Petrol,40.4,2.0,audi,30687408
65,A3,2018,19049,N/A,26351,Petrol,56.5,1.5,audi,30307975
66,A7,2018,30049,N/A,26802,Diesel,38.2,3.0,audi,30348878
67,Q3,2019,25049,N/A,26916,Diesel,48.7,2.0,audi,30643373
68,Q2,2020,20299,N/A,27157,Petrol,45.6,1.0,audi,30507531
69,A3,2019,17299,N/A,27158,Petrol,42.8,1.5,audi,30531545
70,Q5,2019,27099,N/A,27320,Diesel,39.2,2.0,audi,30659939
71,A3,2019,17899,N/A,34695,Diesel,52.3,1.6,audi,30490075
72,A4,2020,18049,N/A,64629,Diesel,55.4,2.0,audi,30674646
73,TT,2016,16049,N/A,27353,Petrol,47.1,1.8,audi,30498591
74,A4,2019,21199,N/A,27439,Diesel,54.3,2.0,audi,30447788
75,A4,2018,20449,N/A,27497,Diesel,67.3,2.0,audi,30608130
76,A3,2015,16599,N/A,27531,Petrol,42.8,1.8,audi,30562667
77,A1,2017,14049,N/A,27622,Petrol,56.5,1.4,audi,30643380
78,A4,2019,21049,N/A,27639,Petrol,38.7,2.0,audi,30643455
79,Q3,2019,23049,N/A,27654,Diesel,42.8,2.0,audi,30407545
80,A3,2018,20049,N/A,27943,Petrol,45.6,2.0,audi,30290025
81,A4,2020,22049,N/A,28206,Petrol,40.9,2.0,audi,30700716
82,A3,2019,19199,N/A,28552,Petrol,42.2,1.5,audi,30392945
83,Q5,2017,24949,N/A,42933,Diesel,55.4,2.0,audi,30649117
84,Q3,2020,27799,N/A,15307,Diesel,47.1,2.0,audi,30384445
85,A1,2018,12199,N/A,40961,Petrol,55.4,1.4,audi,30593622
86,A3,2016,14949,N/A,40976,Petrol,60.1,1.4,audi,30703162
87,A3,2019,19899,N/A,41286,Diesel,53.3,1.6,audi,30678948
88,A1,2018,12599,N/A,41516,Petrol,67.3,1.0,audi,30664240
89,A3,2019,18799,N/A,41517,Petrol,42.2,1.5,audi,30602776
90,S1,2017,17799,N/A,41943,Petrol,40.4,2.0,audi,30674481
91,Q3,2019,23699,N/A,42214,Diesel,48.7,2.0,audi,30572277
92,A3,2020,23049,N/A,42494,Petrol,46.3,1.5,audi,30674790
93,A1,2017,12999,N/A,42764,Petrol,55.4,1.4,audi,30519542
94,A3,2019,18049,N/A,42764,Diesel,51.4,1.6,audi,30643477
95,A1,2017,15399,N/A,30745,Petrol,56.5,1.4,audi,30703150
96,A5,2017,18349,N/A,44057,Diesel,70.6,2.0,audi,30348687
97,A3,2018,17749,N/A,42893,Petrol,60.1,1.0,audi,30703119
98,Q5,2017,24949,N/A,42933,Diesel,55.4,2.0,audi,30649117
99,A3,2019,21549,N/A,42940,Diesel,51.4,2.0,audi,30691308
100,Q3,2017,15599,N/A,43097,Petrol,51.4,1.4,audi,30700721
101,A1,2016,15049,N/A,43286,Petrol,70.6,1.4,audi,30615012
102,A3,2019,19849,N/A,43436,Petrol,41.5,1.5,audi,30679003
103,A3,2018,17999,N/A,43877,Petrol,44.1,1.0,audi,30456408
104,Q3,2017,20599,N/A,44204,Diesel,53.3,2.0,audi,30531402
105,A3,2017,15649,N/A,44438,Diesel,65.7,2.0,audi,30674739
106,A4,2020,19099,N/A,44446,Petrol,42.2,2.0,audi,30674670
107,A3,2016,15199,N/A,62756,Diesel,57.6,2.0,audi,30587910
108,Q2,2019,16899,N/A,25702,Diesel,49.6,1.6,audi,30407524
109,A1,2018,12799,N/A,33149,Petrol,55.4,1.4,audi,30502634
110,TT,2016,23299,N/A,33263,Petrol,40.9,2.0,audi,30456317
111,Q2,2020,19749,N/A,33664,Petrol,43.5,1.5,audi,30726825
