,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A3,2020,25999,N/A,20507,Petrol,46.3,1.5,audi,30719683
1,A1,2012,7995,Manual,81000,Diesel,74.3,1.6,audi,29306741
2,A1,2015,10450,Manual,59000,Diesel,80.7,1.6,audi,30113915
3,A3,2010,5950,Manual,70000,Diesel,61.4,2.0,audi,30208957
4,A4,2017,12950,Manual,58000,Petrol,53.3,1.4,audi,30492223
5,A3,2018,18100,Manual,31500,Petrol,60.1,1.0,audi,30731896
6,Q3,2018,21495,Manual,31600,Petrol,40.4,1.4,audi,30451548
7,Q5,2018,25995,Automatic,49097,Diesel,55.4,2.0,audi,30715555
8,Q3,2016,23049,N/A,12081,Petrol,40.4,2.0,audi,30654941
9,A1,2017,17049,N/A,13844,Diesel,70.6,1.6,audi,30627130
10,Q2,2019,18599,N/A,15777,Petrol,47.1,1.0,audi,30502667
11,A5,2018,17999,N/A,68653,Diesel,68.9,2.0,audi,30498567
12,A3,2019,17049,N/A,38822,Diesel,53.3,1.6,audi,30643395
13,Q3,2017,20899,N/A,15787,Diesel,53.3,2.0,audi,30587925
14,A4,2019,22999,N/A,15883,Petrol,38.7,2.0,audi,30572181
15,A5,2019,27049,N/A,17503,Petrol,39.2,2.0,audi,30531542
16,A4,2020,19049,N/A,17793,Petrol,42.2,2.0,audi,30438207
17,Q3,2018,22499,N/A,17828,Petrol,42.2,2.0,audi,30531379
18,A3,2019,17899,N/A,18142,Petrol,47.1,1.0,audi,30447771
19,A4,2017,17499,N/A,19234,Petrol,55.4,2.0,audi,30447891
20,Q2,2017,19399,N/A,19659,Petrol,52.3,1.4,audi,30438124
21,TT,2020,26449,N/A,20020,Petrol,40.9,2.0,audi,30687371
22,A1,2016,13749,N/A,20261,Petrol,55.4,1.4,audi,30498623
23,Q2,2019,18599,N/A,15777,Petrol,47.1,1.0,audi,30502667
24,A3,2015,16599,N/A,27531,Petrol,42.8,1.8,audi,30562667
25,A4,2020,28499,N/A,16600,Petrol,38.2,2.0,audi,30608157
26,A5,2019,27049,N/A,17503,Petrol,39.2,2.0,audi,30531542
27,A3,2018,19299,N/A,17658,Petrol,44.1,1.0,audi,30354550
28,A4,2020,19049,N/A,17793,Petrol,42.2,2.0,audi,30438207
29,Q3,2018,22499,N/A,17828,Petrol,42.2,2.0,audi,30531379
30,A3,2019,17899,N/A,18142,Petrol,47.1,1.0,audi,30447771
31,A1,2019,17899,N/A,18356,Petrol,47.9,1.0,audi,30726809
32,Q2,2017,19699,N/A,18737,Petrol,52.3,1.4,audi,30476980
33,A4,2017,17499,N/A,19234,Petrol,55.4,2.0,audi,30447891
34,Q2,2017,19399,N/A,19659,Petrol,52.3,1.4,audi,30438124
35,A4,2019,19049,N/A,67679,Diesel,49.6,2.0,audi,30337834
36,A3,2018,17699,N/A,34702,Petrol,46.3,1.0,audi,30587951
37,A3,2020,22199,N/A,25442,Petrol,50.4,1.5,audi,30514568
38,A1,2016,12249,N/A,25615,Petrol,67.3,1.0,audi,30643304
39,Q5,2018,29049,N/A,25952,Petrol,40.4,2.0,audi,30687408
40,A3,2019,17499,N/A,26872,Petrol,42.8,1.5,audi,30531364
41,Q3,2019,25049,N/A,26916,Diesel,48.7,2.0,audi,30643373
42,Q5,2019,27099,N/A,27320,Diesel,39.2,2.0,audi,30659939
43,A4,2019,21199,N/A,27439,Diesel,54.3,2.0,audi,30447788
44,A4,2018,20449,N/A,27497,Diesel,67.3,2.0,audi,30608130
45,A4,2019,21049,N/A,27639,Petrol,38.7,2.0,audi,30643455
46,A4,2020,22049,N/A,28206,Petrol,40.9,2.0,audi,30700716
47,A1,2020,17599,N/A,39221,Petrol,47.9,1.0,audi,30643423
48,A3,2016,15399,N/A,48571,Petrol,58.9,1.4,audi,30502686
49,A4,2021,26049,N/A,23030,Petrol,40.9,2.0,audi,30726793
50,Q2,2018,18299,N/A,23068,Petrol,53.3,1.0,audi,30477080
51,A6,2019,21849,N/A,23233,Diesel,50.4,2.0,audi,30255917
52,A3,2020,19149,N/A,23454,Hybrid,141.3,1.4,audi,30703116
53,A3,2019,15799,N/A,23720,Petrol,47.9,1.0,audi,30317352
54,A4,2019,21999,N/A,23762,Petrol,38.2,2.0,audi,30295009
55,TT,2017,18299,N/A,24011,Petrol,47.1,1.8,audi,30557572
56,A1,2017,12699,N/A,24324,Petrol,57.6,1.4,audi,30678934
57,A3,2018,19349,N/A,24410,Petrol,56.5,1.5,audi,30480271
58,A1,2016,14049,N/A,24814,Petrol,57.6,1.4,audi,30654982
59,A1,2016,13749,N/A,20261,Petrol,55.4,1.4,audi,30498623
60,A4,2019,19799,N/A,52862,Diesel,47.1,2.0,audi,30373332
61,Q3,2017,22299,N/A,32638,Diesel,51.4,2.0,audi,30643312
