,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A5,2016,14899,N/A,59164,Diesel,52.3,2.0,audi,30700651
1,A4,2013,9995,Other,129000,Diesel,57.6,2.0,audi,30632123
2,A3,2016,14995,Manual,63000,Petrol,58.9,1.4,audi,30218528
3,Q2,2018,14995,Manual,53591,Petrol,55.4,1.0,audi,30195792
4,A6,2016,16995,Automatic,65203,Diesel,61.4,2.0,audi,30421024
5,A3,2015,12350,Manual,65620,Petrol,60.1,1.4,audi,30614097
6,A3,2017,14250,Manual,47653,Diesel,67.3,1.6,audi,30536713
7,A1,2017,15650,Automatic,26847,Petrol,56.5,1.4,audi,30731404
8,A1,2016,9995,Manual,58856,Diesel,76.3,1.6,audi,30731406
9,Q3,2016,23049,N/A,12081,Petrol,40.4,2.0,audi,30654941
10,A1,2018,12899,N/A,12464,Petrol,67.3,1.0,audi,30447875
11,A4,2018,19849,N/A,65831,Diesel,61.4,2.0,audi,30687395
12,A6 allroad,2017,22999,N/A,64650,Diesel,50.4,3.0,audi,30700732
13,A1,2017,17049,N/A,13844,Diesel,70.6,1.6,audi,30627130
14,Q2,2019,18599,N/A,15777,Petrol,47.1,1.0,audi,30502667
15,Q3,2017,20899,N/A,15787,Diesel,53.3,2.0,audi,30587925
16,A4,2019,22999,N/A,15883,Petrol,38.7,2.0,audi,30572181
17,A5,2019,27049,N/A,17503,Petrol,39.2,2.0,audi,30531542
18,A4,2020,19049,N/A,17793,Petrol,42.2,2.0,audi,30438207
19,Q3,2018,22499,N/A,17828,Petrol,42.2,2.0,audi,30531379
20,A3,2019,17899,N/A,18142,Petrol,47.1,1.0,audi,30447771
21,A4,2017,17499,N/A,19234,Petrol,55.4,2.0,audi,30447891
22,Q2,2017,19399,N/A,19659,Petrol,52.3,1.4,audi,30438124
23,Q2,2019,17499,N/A,38155,Petrol,42.8,1.5,audi,30498637
24,A3,2016,15899,N/A,49055,Petrol,57.6,1.4,audi,30593645
25,TT,2020,26449,N/A,20020,Petrol,40.9,2.0,audi,30687371
26,A1,2016,13749,N/A,20261,Petrol,55.4,1.4,audi,30498623
27,A5,2019,24299,N/A,20415,Petrol,39.8,2.0,audi,30557493
28,A3,2019,16599,N/A,20439,Petrol,47.1,1.0,audi,30700853
29,Q2,2017,18049,N/A,21339,Petrol,50.4,1.4,audi,30643389
30,A3,2019,19899,N/A,22907,Petrol,44.1,1.0,audi,30424960
31,A3,2020,19149,N/A,23454,Hybrid,141.3,1.4,audi,30703116
32,TT,2017,18299,N/A,24011,Petrol,47.1,1.8,audi,30557572
33,A1,2017,12699,N/A,24324,Petrol,57.6,1.4,audi,30678934
34,A1,2016,14049,N/A,24814,Petrol,57.6,1.4,audi,30654982
35,A3,2018,15299,N/A,59583,Diesel,70.6,1.6,audi,30577530
36,A3,2019,19849,N/A,43436,Petrol,41.5,1.5,audi,30679003
37,Q2,2020,22549,N/A,29539,Petrol,43.5,1.5,audi,30678980
38,A4,2020,23599,N/A,30359,Petrol,38.7,2.0,audi,30588038
39,A3,2019,15049,N/A,30474,Petrol,48.7,1.0,audi,30674710
40,A1,2017,15399,N/A,30745,Petrol,56.5,1.4,audi,30703150
41,Q5,2016,22049,N/A,31533,Diesel,47.1,2.0,audi,30674515
42,A1,2017,12049,N/A,32250,Petrol,57.6,1.4,audi,30674571
43,Q3,2017,22299,N/A,32638,Diesel,51.4,2.0,audi,30643312
44,A4,2019,20799,N/A,32814,Petrol,38.7,2.0,audi,30572225
45,A1,2016,13549,N/A,32984,Petrol,55.4,1.4,audi,30700694
46,Q3,2018,18699,N/A,32995,Diesel,53.3,2.0,audi,30614935
47,Q3,2020,26049,N/A,51344,Petrol,39.8,1.5,audi,30620668
48,A4,2017,17099,N/A,38878,Diesel,70.6,2.0,audi,30674517
49,A3,2017,17299,N/A,33836,Petrol,60.1,1.4,audi,30577489
50,A3,2018,17699,N/A,34061,Petrol,46.3,1.0,audi,30557499
51,TT,2017,16999,N/A,34141,Petrol,47.1,1.8,audi,30572067
52,Q3,2018,19849,N/A,34249,Petrol,47.9,1.4,audi,30691287
53,A3,2018,17699,N/A,34702,Petrol,46.3,1.0,audi,30587951
54,Q2,2017,17749,N/A,34865,Petrol,54.3,1.4,audi,30700542
55,A3,2019,19549,N/A,34906,Diesel,51.4,1.6,audi,30602963
56,A1,2018,13449,N/A,35262,Petrol,57.7,1.4,audi,30700559
57,A1,2017,11849,N/A,35481,Petrol,57.6,1.4,audi,30703192
58,A3,2019,20999,N/A,35703,Petrol,43.5,1.5,audi,30593685
59,A1,2016,10049,N/A,45506,Petrol,67.3,1.0,audi,30572293
60,A3,2020,25999,N/A,20507,Petrol,46.3,1.5,audi,30719683
61,A3,2018,17699,N/A,32214,Petrol,46.3,1.0,audi,30447992
62,A1,2017,12049,N/A,32250,Petrol,57.6,1.4,audi,30674571
63,A3,2019,18199,N/A,32601,Diesel,51.4,1.6,audi,30421767
64,Q3,2017,22299,N/A,32638,Diesel,51.4,2.0,audi,30643312
65,A4,2019,20799,N/A,32814,Petrol,38.7,2.0,audi,30572225
66,A1,2016,13549,N/A,32984,Petrol,55.4,1.4,audi,30700694
67,Q3,2018,18699,N/A,32995,Diesel,53.3,2.0,audi,30614935
68,TT,2016,23299,N/A,33263,Petrol,40.9,2.0,audi,30456317
69,A5,2017,20799,N/A,33710,Diesel,62.8,2.0,audi,30425012
70,A3,2017,17299,N/A,33836,Petrol,60.1,1.4,audi,30577489
71,A3,2019,17749,N/A,53124,Petrol,42.2,1.5,audi,30687433
72,A3,2020,16499,N/A,53694,Hybrid,141.3,1.4,audi,30447775
73,A3,2018,16199,N/A,38949,Petrol,60.1,1.0,audi,30608114
74,Q2,2018,16499,N/A,39512,Petrol,52.3,1.4,audi,30551707
75,A1,2017,12049,N/A,40377,Petrol,55.4,1.4,audi,30664163
76,S1,2016,17249,N/A,40518,Petrol,40.4,2.0,audi,30643179
77,A3,2019,17049,N/A,40623,Petrol,42.2,1.5,audi,30703137
78,A5,2019,25049,N/A,40646,Petrol,39.2,2.0,audi,30620718
79,S5,2017,28589,N/A,40792,Petrol,37.7,3.0,audi,30654997
80,A3,2016,14949,N/A,40976,Petrol,60.1,1.4,audi,30703162
81,A3,2019,19899,N/A,41286,Diesel,53.3,1.6,audi,30678948
82,A1,2018,12599,N/A,41516,Petrol,67.3,1.0,audi,30664240
83,Q2,2018,15199,N/A,68935,Petrol,53.3,1.0,audi,30593609
84,Q3,2019,23249,N/A,58210,Petrol,38.2,1.5,audi,30700687
85,A5,2018,18549,N/A,35940,Petrol,52.3,1.4,audi,30643175
86,Q3,2018,21449,N/A,36205,Petrol,45.6,1.4,audi,30417289
87,A3,2016,13349,N/A,37152,Petrol,61.4,1.4,audi,30674684
88,A4,2017,19599,N/A,37423,Diesel,65.7,2.0,audi,30417167
89,A3,2018,19899,N/A,37940,Petrol,41.5,1.5,audi,30614989
90,Q5,2019,29299,N/A,37996,Petrol,32.1,2.0,audi,30572165
91,Q3,2019,25049,N/A,38189,Petrol,38.2,1.5,audi,30692293
92,A1,2018,11049,N/A,38391,Petrol,67.3,1.0,audi,30703170
93,A3,2019,17049,N/A,38822,Diesel,53.3,1.6,audi,30643395
94,A3,2016,15399,N/A,38863,Petrol,60.1,1.4,audi,30687380
95,A3,2017,13599,N/A,25420,Diesel,67.3,2.0,audi,30417305
96,A4,2020,23599,N/A,30359,Petrol,38.7,2.0,audi,30588038
97,A4,2017,17099,N/A,38878,Diesel,70.6,2.0,audi,30674517
98,A3,2018,16199,N/A,38949,Petrol,60.1,1.0,audi,30608114
99,Q2,2018,16499,N/A,39512,Petrol,52.3,1.4,audi,30551707
100,A1,2017,12049,N/A,40377,Petrol,55.4,1.4,audi,30664163
101,A3,2019,17049,N/A,40623,Petrol,42.2,1.5,audi,30703137
102,A5,2019,25049,N/A,40646,Petrol,39.2,2.0,audi,30620718
103,Q2,2018,17999,N/A,40721,Petrol,50.4,1.4,audi,30593625
104,S5,2017,28589,N/A,40792,Petrol,37.7,3.0,audi,30654997
105,A1,2018,12199,N/A,40961,Petrol,55.4,1.4,audi,30593622
106,A3,2016,14949,N/A,40976,Petrol,60.1,1.4,audi,30703162
107,A4,2019,21999,N/A,23762,Petrol,38.2,2.0,audi,30295009
108,A5,2016,14899,N/A,59164,Diesel,52.3,2.0,audi,30700651
109,A5,2017,20299,N/A,48177,Petrol,45.6,2.0,audi,30588063
110,A3,2019,14549,N/A,48467,Petrol,48.7,1.0,audi,30654969
111,A4,2019,19249,N/A,49509,Diesel,48.7,2.0,audi,30620713
112,A4,2016,15499,N/A,50138,Diesel,64.2,2.0,audi,30678942
113,A3,2019,14549,N/A,50352,Diesel,49.6,1.6,audi,30654960
114,A1,2018,15699,N/A,50541,Petrol,47.9,1.0,audi,30582274
115,Q2,2018,16049,N/A,50946,Petrol,52.3,1.4,audi,30687389
116,Q3,2020,26049,N/A,51344,Petrol,39.8,1.5,audi,30620668
117,Q2,2017,16599,N/A,51575,Petrol,50.4,1.4,audi,30700796
118,Q2,2018,19749,N/A,51640,Diesel,57.7,2.0,audi,30687359
119,A4,2016,13199,N/A,33985,Petrol,53.3,1.4,audi,30531512
120,Q2,2018,15349,N/A,45390,Petrol,55.4,1.0,audi,30476962
121,Q5,2017,24949,N/A,42933,Diesel,55.4,2.0,audi,30649117
122,A3,2019,21549,N/A,42940,Diesel,51.4,2.0,audi,30691308
123,Q3,2017,15599,N/A,43097,Petrol,51.4,1.4,audi,30700721
124,A1,2016,15049,N/A,43286,Petrol,70.6,1.4,audi,30615012
125,A3,2019,19849,N/A,43436,Petrol,41.5,1.5,audi,30679003
126,A3,2018,17999,N/A,43877,Petrol,44.1,1.0,audi,30456408
127,Q3,2017,20599,N/A,44204,Diesel,53.3,2.0,audi,30531402
128,A3,2017,15649,N/A,44438,Diesel,65.7,2.0,audi,30674739
129,A4,2020,19099,N/A,44446,Petrol,42.2,2.0,audi,30674670
130,Q2,2018,15999,N/A,44505,Petrol,47.1,1.0,audi,30700548
131,A1,2016,13549,N/A,32984,Petrol,55.4,1.4,audi,30700694
132,Q3,2017,15549,N/A,52512,Petrol,51.4,1.4,audi,30649173
133,Q3,2017,16049,N/A,55219,Petrol,47.9,1.4,audi,30587929
134,Q2,2016,14049,N/A,55429,Diesel,64.2,1.6,audi,30691301
135,A6 allroad,2017,25049,N/A,55451,Diesel,50.4,3.0,audi,30643507
136,A6,2016,17699,N/A,56337,Diesel,56.5,2.0,audi,30572294
137,A3,2017,16149,N/A,57244,Petrol,48.7,2.0,audi,30678893
138,A1,2019,15999,N/A,57455,Petrol,50.4,1.0,audi,30485000
139,Q3,2019,23249,N/A,58210,Petrol,38.2,1.5,audi,30700687
140,Q5,2019,26849,N/A,58229,Diesel,38.2,2.0,audi,30683487
141,A4,2016,14449,N/A,59153,Diesel,70.6,2.0,audi,30659943
142,A5,2016,14899,N/A,59164,Diesel,52.3,2.0,audi,30700651
143,TT,2017,18299,N/A,24011,Petrol,47.1,1.8,audi,30557572
144,Q3,2020,26049,N/A,51344,Petrol,39.8,1.5,audi,30620668
145,A3,2018,15299,N/A,59583,Diesel,70.6,1.6,audi,30577530
146,Q2,2018,14599,N/A,59931,Petrol,47.9,1.0,audi,30577471
147,A4,2017,12799,N/A,60263,Petrol,53.3,1.4,audi,30614946
148,Q5,2017,22449,N/A,61653,Diesel,55.4,2.0,audi,30700823
149,SQ5,2017,29049,N/A,62748,Diesel,42.2,3.0,audi,30588058
150,A6,2018,16249,N/A,63064,Diesel,67.3,2.0,audi,30679023
151,A3,2018,16299,N/A,63288,Petrol,47.1,1.0,audi,30664255
152,A5,2018,16699,N/A,63818,Diesel,67.3,2.0,audi,30562753
153,A4,2020,18049,N/A,64629,Diesel,55.4,2.0,audi,30674646
154,A6 allroad,2017,22999,N/A,64650,Diesel,50.4,3.0,audi,30700732
155,A1,2017,14199,N/A,46873,Petrol,56.5,1.4,audi,30593642
156,Q5,2017,24949,N/A,42933,Diesel,55.4,2.0,audi,30649117
157,A4,2018,18849,N/A,64822,Petrol,49.6,2.0,audi,30674725
158,Q3,2017,17549,N/A,65264,Diesel,55.4,2.0,audi,30683569
159,Q5,2017,21449,N/A,65390,Diesel,56.5,2.0,audi,30614925
160,A3,2017,17849,N/A,65401,Diesel,56.5,2.0,audi,30654947
161,A4,2018,19849,N/A,65831,Diesel,61.4,2.0,audi,30687395
162,A3,2018,14049,N/A,66180,Diesel,54.3,2.0,audi,30678895
163,Q5,2016,16849,N/A,66210,Diesel,48.7,2.0,audi,30643322
164,A4,2016,12349,N/A,66302,Diesel,74.3,2.0,audi,30692292
165,A3,2017,13049,N/A,68582,Diesel,62.8,2.0,audi,30587924
166,A6,2017,14049,N/A,68798,Diesel,65.7,2.0,audi,30627163
167,Q3,2018,15299,N/A,35154,Diesel,62.8,2.0,audi,30290031
168,A3,2016,15049,N/A,50034,Diesel,58.9,2.0,audi,30424919
169,SQ5,2016,22049,N/A,69096,Diesel,42.8,3.0,audi,30557532
170,Q3,2019,22849,N/A,69666,Diesel,40.9,2.0,audi,30643346
171,A1,2022,20049,N/A,3368,Petrol,49.6,1.0,audi,30498582
172,A1,2020,20999,N/A,10871,Petrol,44.1,1.0,audi,30490006
173,Q2,2018,19699,N/A,11125,Petrol,50.4,1.4,audi,30460843
174,Q2,2017,19699,N/A,18737,Petrol,52.3,1.4,audi,30476980
175,Q2,2018,18299,N/A,23068,Petrol,53.3,1.0,audi,30477080
176,A3,2018,19349,N/A,24410,Petrol,56.5,1.5,audi,30480271
177,Q2,2021,25499,N/A,25855,Petrol,44.8,1.5,audi,30498510
178,Q2,2020,20299,N/A,27157,Petrol,45.6,1.0,audi,30507531
179,A3,2018,16199,N/A,38949,Petrol,60.1,1.0,audi,30608114
180,Q5,2016,22049,N/A,31533,Diesel,47.1,2.0,audi,30674515
181,A3,2017,13299,N/A,54637,Petrol,55.4,1.5,audi,30700684
182,A1,2016,11349,N/A,54672,Petrol,56.5,1.4,audi,30664200
183,A3,2019,13899,N/A,54982,Petrol,47.1,1.0,audi,30557516
