,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A1,2017,11049,N/A,45565,Petrol,67.3,1.0,audi,30664172
1,A1,2020,21299,N/A,10871,Petrol,44.1,1.0,audi,30490006
2,Q2,2018,19999,N/A,11125,Petrol,50.4,1.4,audi,30460843
3,A1,2017,17049,N/A,13844,Diesel,70.6,1.6,audi,30627130
4,Q2,2019,18599,N/A,15777,Petrol,47.1,1.0,audi,30502667
5,Q3,2017,20899,N/A,15787,Diesel,53.3,2.0,audi,30587925
6,A4,2019,22999,N/A,15883,Petrol,38.7,2.0,audi,30572181
7,A4,2020,28799,N/A,16600,Petrol,38.2,2.0,audi,30608157
8,A5,2019,27049,N/A,17503,Petrol,39.2,2.0,audi,30531542
9,A3,2019,19549,N/A,17787,Petrol,42.8,1.5,audi,30360583
10,Q3,2018,22499,N/A,17828,Petrol,42.2,2.0,audi,30531379
11,A4,2018,21299,N/A,36333,Diesel,61.4,2.0,audi,30384325
12,A5,2019,20999,N/A,59952,Petrol,39.8,2.0,audi,30531474
13,Q3,2019,26999,N/A,18488,Petrol,31.4,2.0,audi,30225428
14,Q2,2017,20049,N/A,18737,Petrol,52.3,1.4,audi,30476980
15,A3,2017,19949,N/A,19450,Petrol,47.9,2.0,audi,30312224
16,Q2,2019,16349,N/A,19811,Diesel,49.6,1.6,audi,30255934
17,A1,2016,13749,N/A,20261,Petrol,55.4,1.4,audi,30498623
18,A5,2019,24299,N/A,20415,Petrol,39.8,2.0,audi,30557493
19,Q2,2017,18049,N/A,21339,Petrol,50.4,1.4,audi,30643389
20,Q2,2019,17049,N/A,21634,Diesel,49.6,1.6,audi,30407515
21,Q2,2018,18749,N/A,23068,Petrol,53.3,1.0,audi,30477080
22,A3,2019,15799,N/A,23720,Petrol,47.9,1.0,audi,30317352
23,A4,2020,19049,N/A,17793,Petrol,42.2,2.0,audi,30438207
24,A1,2016,10349,N/A,45506,Petrol,67.3,1.0,audi,30572293
25,TT,2017,18299,N/A,24011,Petrol,47.1,1.8,audi,30557572
26,Q3,2019,27499,N/A,24186,Diesel,47.1,2.0,audi,30519565
27,A3,2018,19599,N/A,24410,Petrol,56.5,1.5,audi,30480271
28,Q3,2020,28049,N/A,25003,Petrol,40.9,1.5,audi,30643177
29,Q2,2017,19849,N/A,25392,Petrol,52.3,1.4,audi,30614892
30,A3,2020,22199,N/A,25442,Petrol,50.4,1.5,audi,30514568
31,Q2,2021,22049,N/A,25474,Petrol,46.3,1.5,audi,30272298
32,A1,2016,12249,N/A,25615,Petrol,67.3,1.0,audi,30643304
33,Q2,2021,25899,N/A,25855,Petrol,44.8,1.5,audi,30498510
34,A3,2018,19049,N/A,26351,Petrol,56.5,1.5,audi,30307975
35,A5,2017,16849,N/A,49748,Diesel,68.9,2.0,audi,30485030
36,A1,2017,11599,N/A,53465,Petrol,56.5,1.4,audi,30401234
37,A5,2019,20049,N/A,26502,Petrol,37.7,2.0,audi,30148646
38,Q3,2017,20899,N/A,26824,Petrol,42.2,2.0,audi,30466681
39,A3,2019,17499,N/A,26872,Petrol,42.8,1.5,audi,30531364
40,Q3,2019,25049,N/A,26916,Diesel,48.7,2.0,audi,30643373
41,Q2,2020,20599,N/A,27157,Petrol,45.6,1.0,audi,30507531
42,A3,2019,17499,N/A,27158,Petrol,42.8,1.5,audi,30531545
43,TT,2016,16299,N/A,27353,Petrol,47.1,1.8,audi,30498591
44,A4,2018,20449,N/A,27497,Diesel,67.3,2.0,audi,30608130
45,A3,2015,16899,N/A,27531,Petrol,42.8,1.8,audi,30562667
46,A1,2017,14549,N/A,27622,Petrol,56.5,1.4,audi,30643380
47,A4,2016,13449,N/A,33985,Petrol,53.3,1.4,audi,30531512
48,A3,2018,19899,N/A,37940,Petrol,41.5,1.5,audi,30614989
49,A4,2019,21049,N/A,27639,Petrol,38.7,2.0,audi,30643455
50,Q2,2017,19049,N/A,28711,Petrol,52.3,1.4,audi,30281127
51,Q5,2016,24299,N/A,29193,Petrol,37.7,2.0,audi,30643488
52,A1,2016,16199,N/A,29430,Petrol,56.5,1.4,audi,30498603
53,A3,2018,17799,N/A,30119,Diesel,53.3,1.6,audi,30531561
54,A4,2020,23599,N/A,30359,Petrol,38.7,2.0,audi,30588038
55,A3,2018,17549,N/A,30976,Petrol,45.6,1.0,audi,30178653
56,A5,2020,25799,N/A,31049,Diesel,50.4,2.0,audi,30531275
57,A3,2018,18999,N/A,31117,Petrol,44.8,1.0,audi,30531530
58,A3,2016,16449,N/A,32618,Diesel,70.6,1.6,audi,30572351
59,A3,2018,19599,N/A,24410,Petrol,56.5,1.5,audi,30480271
60,A3,2019,17049,N/A,40623,Petrol,42.2,1.5,audi,30703137
61,Q3,2017,22299,N/A,32638,Diesel,51.4,2.0,audi,30643312
62,A1,2018,13799,N/A,32778,Petrol,55.4,1.4,audi,30360557
63,A4,2019,20799,N/A,32814,Petrol,38.7,2.0,audi,30572225
64,Q3,2018,18699,N/A,32995,Diesel,53.3,2.0,audi,30614935
65,A3,2018,18799,N/A,33025,Petrol,56.5,1.5,audi,30531457
66,A1,2018,13199,N/A,33149,Petrol,55.4,1.4,audi,30502634
67,TT,2016,23299,N/A,33263,Petrol,40.9,2.0,audi,30456317
68,TT,2016,17599,N/A,33737,Petrol,43.5,2.0,audi,30602790
69,A3,2017,17299,N/A,33836,Petrol,60.1,1.4,audi,30577489
70,A5,2018,21049,N/A,33931,Diesel,57.7,2.0,audi,30308229
71,SQ5,2016,22049,N/A,69096,Diesel,42.8,3.0,audi,30557532
72,A3,2018,17799,N/A,30119,Diesel,53.3,1.6,audi,30531561
73,A4,2016,13449,N/A,33985,Petrol,53.3,1.4,audi,30531512
74,A3,2018,17699,N/A,34061,Petrol,46.3,1.0,audi,30557499
75,TT,2017,16999,N/A,34141,Petrol,47.1,1.8,audi,30572067
76,A3,2020,17599,N/A,34204,Petrol,44.1,1.5,audi,30603071
77,Q3,2019,21049,N/A,34237,Petrol,42.2,1.5,audi,30290028
78,A3,2019,14799,N/A,34610,Diesel,49.6,1.6,audi,30572263
79,A3,2019,18149,N/A,34695,Diesel,52.3,1.6,audi,30490075
80,A3,2018,17699,N/A,34702,Petrol,46.3,1.0,audi,30587951
81,A3,2019,19549,N/A,34906,Diesel,51.4,1.6,audi,30602963
82,A1,2018,14049,N/A,35256,Petrol,55.4,1.4,audi,30546366
83,Q3,2020,23599,N/A,54477,Diesel,47.1,2.0,audi,30384446
84,S5,2017,28589,N/A,40792,Petrol,37.7,3.0,audi,30654997
85,A3,2019,20999,N/A,35703,Petrol,43.5,1.5,audi,30593685
86,A5,2018,18549,N/A,35940,Petrol,52.3,1.4,audi,30643175
87,A5,2018,21999,N/A,36064,Diesel,65.7,2.0,audi,30466712
88,Q3,2018,22549,N/A,36334,Petrol,45.6,1.4,audi,30643261
89,A4,2016,17049,N/A,37048,Petrol,53.3,2.0,audi,30476815
90,A5,2017,18899,N/A,37926,Petrol,53.3,2.0,audi,30507597
91,A3,2018,19899,N/A,37940,Petrol,41.5,1.5,audi,30614989
92,Q5,2019,29299,N/A,37996,Petrol,32.1,2.0,audi,30572165
93,Q2,2019,17699,N/A,38155,Petrol,42.8,1.5,audi,30498637
94,A3,2019,17049,N/A,38822,Diesel,53.3,1.6,audi,30643395
95,Q3,2019,23249,N/A,58210,Petrol,38.2,1.5,audi,30700687
96,A1,2017,11049,N/A,45565,Petrol,67.3,1.0,audi,30664172
97,A5,2018,23049,N/A,38874,Diesel,62.8,2.0,audi,30608123
98,A3,2018,16199,N/A,38949,Petrol,60.1,1.0,audi,30608114
99,Q3,2017,17899,N/A,38993,Petrol,47.9,1.4,audi,30392895
100,A1,2020,18249,N/A,39221,Petrol,47.9,1.0,audi,30643423
101,Q2,2018,16499,N/A,39512,Petrol,52.3,1.4,audi,30551707
102,A3,2019,18599,N/A,39661,Petrol,47.1,1.0,audi,30498620
