,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Q3,2018,21049,N/A,36205,Petrol,45.6,1.4,audi,30417289
1,Q5,2021,37491,Semi-Auto,6059,Diesel,43.5,2,audi,30253533
2,A4,2023,30991,Semi-Auto,7500,Petrol,44.8,2,audi,29509359
3,TT,2021,28491,Semi-Auto,8177,Petrol,39.2,2,audi,30469471
4,A3,2022,25841,Manual,8920,Petrol,50.4,1,audi,30403910
5,A3,2022,22991,Manual,9000,Petrol,51.4,1,audi,29473607
6,A3,2022,22991,Manual,9000,Petrol,51.4,1,audi,29473635
7,A5,2022,31341,Semi-Auto,9000,Diesel,58.9,2,audi,29473618
8,A3,2022,24991,Manual,10000,Petrol,48.7,1.5,audi,29473619
9,A3,2022,28241,Semi-Auto,10000,Diesel,61.4,2,audi,29608275
10,A3,2022,26491,Manual,12000,Petrol,50.4,1,audi,29473616
11,A1,2019,15249,N/A,37815,Petrol,51.4,1.0,audi,30746534
12,A3,2020,23049,N/A,42494,Petrol,46.3,1.5,audi,30674790
13,A1,2021,18991,Manual,13737,Petrol,49.6,1,audi,30186484
14,A5,2022,31491,Semi-Auto,14000,Diesel,57.7,2,audi,29473600
15,A5,2021,29491,Semi-Auto,14500,Diesel,57.7,2,audi,29473634
16,Q5,2022,43991,Semi-Auto,14877,Diesel,42.8,2,audi,30253536
17,A3,2022,36991,Semi-Auto,15531,Petrol,35.3,2,audi,30253531
18,Q5,2021,34991,Semi-Auto,15614,Diesel,44.8,2,audi,29769145
19,Q5,2021,33491,Semi-Auto,15708,Diesel,44.8,2,audi,30216603
20,A5,2022,30491,Semi-Auto,18000,Diesel,57.7,2,audi,29473629
21,A3,2020,22391,Manual,18726,Petrol,47.1,1.5,audi,30098019
22,TT,2020,26491,Semi-Auto,18788,Petrol,40.9,2,audi,29877877
23,A4,2020,23499,N/A,30359,Petrol,38.7,2.0,audi,30588038
24,Q3,2020,23599,N/A,54477,Diesel,47.1,2.0,audi,30384446
25,TT,2020,26491,Semi-Auto,18788,Petrol,40.9,2,audi,29877877
26,Q3,2020,29241,Semi-Auto,20680,Diesel,47.1,2,audi,30186480
27,A5,2022,31491,Semi-Auto,22000,Diesel,55.4,2,audi,29473625
28,A4,2020,26441,Semi-Auto,24248,Diesel,50.4,2,audi,30011350
29,TT,2020,31991,Semi-Auto,25097,Petrol,35.3,2,audi,30357820
30,Q3,2020,38491,Semi-Auto,28010,Petrol,31.4,2,audi,30710724
31,A3,2022,26491,Manual,20,Petrol,50.4,1,audi,30305663
32,Q3,2020,29991,Semi-Auto,16922,Diesel,47.1,2,audi,30758432
33,Q3,2020,24995,Manual,17431,Petrol,40.9,1.5,audi,30676577
34,A1,2019,21000,Automatic,4505,Petrol,47.1,1.0,audi,29717609
35,A4,2020,19049,N/A,17793,Petrol,42.2,2.0,audi,30438207
36,Q3,2018,19849,N/A,54517,Petrol,48.7,1.4,audi,30572033
37,A1,2021,19500,Manual,13185,Petrol,50.4,1.0,audi,30301387
38,A1,2014,10199,Manual,40597,Petrol,52.3,1.4,audi,29838290
39,A1,2015,9699,Manual,59500,Petrol,67.3,1.0,audi,30462528
40,A1,2013,8499,Manual,61706,Petrol,52.3,1.4,audi,30516477
41,A3,2014,7999,Manual,81139,Diesel,74.3,1.6,audi,30297091
42,A1,2015,9299,Manual,51848,Diesel,80.7,1.6,audi,30752751
43,A3,2015,11499,Manual,55072,Petrol,57.6,1.2,audi,30721807
44,A1,2018,10999,Manual,57394,Diesel,76.4,1.6,audi,30685594
45,A1,2016,13299,Manual,24263,Petrol,55.4,1.4,audi,30721816
46,A4,2016,13999,Manual,37425,Diesel,70.6,2,audi,30675915
47,A1,2016,10049,N/A,56729,Petrol,57.6,1.4,audi,30740907
48,A4,2017,12799,N/A,53681,Petrol,53.3,1.4,audi,30572056
49,A1,2016,9699,Manual,60624,Petrol,67.3,1,audi,30547744
50,TT,2015,15499,Automatic,68712,Petrol,44.1,2,audi,30628880
51,A1,2013,7299,Manual,69342,Petrol,53.3,1.4,audi,30733658
52,A6,2017,15499,Semi-Auto,78917,Diesel,64.2,2,audi,30558748
53,A3,2015,13299,Semi-Auto,79916,Diesel,57.6,2,audi,30733663
54,A6,2015,10299,Manual,82684,Diesel,62.8,2,audi,30583733
55,A1,2014,7499,Manual,79405,Diesel,74.3,1.6,audi,30701248
56,A3,2020,16599,Manual,36493,Petrol,51.4,1,audi,30656579
57,A3,2016,9999,Manual,84294,Petrol,60.1,1,audi,30701243
58,A1,2013,8495,Manual,63000,Petrol,53.3,1.4,audi,30727836
59,A1,2020,17599,N/A,39221,Petrol,47.9,1.0,audi,30643423
60,A4,2020,19099,N/A,44446,Petrol,42.2,2.0,audi,30674670
61,Q3,2016,13999,Manual,74000,Diesel,61.4,2,audi,30707873
62,S8,2008,12999,Automatic,89000,Petrol,20.9,5.2,audi,30539361
63,A4,2015,9495,Manual,81323,Diesel,67.3,2.0,audi,29763987
64,A3,2017,16000,Semi-Auto,36300,Petrol,50.4,2,audi,30252038
65,TT,2016,20500,Manual,48036,Petrol,38.7,2,audi,30758433
66,A1,2014,8595,Manual,54000,Diesel,74.3,1.6,audi,30316375
67,A1,2014,8850,Manual,69894,Petrol,52.3,1.4,audi,30597425
68,Q3,2014,8995,Manual,82804,Diesel,54.3,2.0,audi,30513799
69,A3,2012,9641,Automatic,29600,Petrol,37.7,2.0,audi,29690059
70,A3,2016,21995,Automatic,46500,Petrol,44.1,2.0,audi,29448540
71,S1,2016,16799,N/A,40518,Petrol,40.4,2.0,audi,30643179
72,Q3,2017,16049,N/A,55219,Petrol,47.9,1.4,audi,30587929
73,A1,2012,10595,Automatic,57000,Petrol,47.9,1.4,audi,30713793
74,A1,2015,11695,Manual,37000,Petrol,None,1.4,audi,30634821
75,TT,2016,16995,Manual,37835,Petrol,46.3,1.8,audi,30001157
76,A1,2015,12795,Automatic,38000,Petrol,57.6,1.4,audi,30707270
77,A3,2018,16995,Manual,58000,Diesel,51.4,1.6,audi,30457493
78,A1,2014,10995,Manual,65000,Petrol,53.3,1.4,audi,30324259
79,A3,2014,12995,Manual,65000,Petrol,53.3,1.4,audi,30537990
80,A4,2014,15495,Automatic,43000,Diesel,47.1,2.0,audi,30123459
81,TT,2011,11995,Manual,71000,Petrol,35.8,2.0,audi,30266715
82,A1,2012,13799,Automatic,70000,Petrol,None,1.4,audi,27035251
83,A3,2016,13049,N/A,37152,Petrol,61.4,1.4,audi,30674684
84,A1,2016,11699,N/A,29452,Petrol,67.3,1.0,audi,30740889
85,TT,2008,9000,Manual,74000,Diesel,None,2.0,audi,27035280
86,A3,2007,3500,Manual,113000,Diesel,53.3,1.9,audi,27035254
87,A3,2010,7500,Manual,122000,Diesel,64.2,2.0,audi,27035225
88,A3,2012,6500,Manual,132000,Diesel,68.9,1.6,audi,27035278
89,A4,2002,2500,Manual,146000,Diesel,60.1,1.9,audi,27035276
90,A4,2002,1499,Manual,193000,Diesel,49.6,1.9,audi,27035314
91,A1,2022,20049,N/A,3368,Petrol,49.6,1.0,audi,30498582
92,A1,2020,20999,N/A,10871,Petrol,44.1,1.0,audi,30490006
93,Q2,2018,19049,N/A,11125,Petrol,50.4,1.4,audi,30460843
94,Q2,2017,18299,N/A,12396,Petrol,50.4,1.4,audi,30354455
95,SQ5,2016,21499,N/A,68421,Diesel,42.8,3.0,audi,30429230
96,A3,2018,17449,N/A,30119,Diesel,53.3,1.6,audi,30531561
97,A4,2020,23549,N/A,15332,Petrol,39.2,2.0,audi,30389343
98,A5,2019,22949,N/A,15481,Diesel,47.1,2.0,audi,30201042
99,A4,2020,28499,N/A,16600,Petrol,38.2,2.0,audi,30608157
100,A3,2018,19299,N/A,17658,Petrol,44.1,1.0,audi,30354550
101,A4,2020,19049,N/A,17793,Petrol,42.2,2.0,audi,30438207
102,Q3,2018,22499,N/A,17828,Petrol,42.2,2.0,audi,30531379
103,A3,2019,17899,N/A,18142,Petrol,47.1,1.0,audi,30447771
104,A1,2019,17899,N/A,18356,Petrol,47.9,1.0,audi,30726809
105,A4,2017,17499,N/A,19234,Petrol,55.4,2.0,audi,30447891
106,Q2,2019,16349,N/A,19811,Diesel,49.6,1.6,audi,30255934
107,Q2,2020,19749,N/A,33664,Petrol,43.5,1.5,audi,30726825
108,A1,2017,11849,N/A,35481,Petrol,57.6,1.4,audi,30703192
109,TT,2020,26449,N/A,20020,Petrol,40.9,2.0,audi,30687371
110,A3,2019,16599,N/A,20439,Petrol,47.1,1.0,audi,30700853
111,A3,2020,25999,N/A,20507,Petrol,46.3,1.5,audi,30719683
112,Q2,2017,18049,N/A,21339,Petrol,50.4,1.4,audi,30643389
113,A4,2021,26049,N/A,23030,Petrol,40.9,2.0,audi,30726793
114,A6,2019,21849,N/A,23233,Diesel,50.4,2.0,audi,30255917
115,A3,2019,15799,N/A,23720,Petrol,47.9,1.0,audi,30317352
116,A4,2019,21999,N/A,23762,Petrol,38.2,2.0,audi,30295009
117,A1,2017,12699,N/A,24324,Petrol,57.6,1.4,audi,30678934
118,A4,2019,26749,N/A,25060,Petrol,38.2,2.0,audi,30664241
119,A4,2018,15949,N/A,61116,Diesel,72.4,2.0,audi,30726754
120,A1,2017,10199,N/A,64842,Diesel,76.3,1.6,audi,30572247
121,Q2,2020,17699,N/A,25202,Diesel,49.6,1.6,audi,30719669
122,Q2,2017,19849,N/A,25392,Petrol,52.3,1.4,audi,30614892
123,Q2,2021,25499,N/A,25855,Petrol,44.8,1.5,audi,30498510
124,A3,2018,19049,N/A,26351,Petrol,56.5,1.5,audi,30307975
125,A7,2018,30049,N/A,26802,Diesel,38.2,3.0,audi,30348878
126,Q3,2019,25049,N/A,26916,Diesel,48.7,2.0,audi,30643373
