,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Q3,2017,18999,N/A,52999,Diesel,54.3,2.0,audi,30608165
1,A1,2022,20349,N/A,3368,Petrol,49.6,1.0,audi,30498582
2,e-tron,2022,37599,Grey,Electric,N/A,8535,,audi,30686134
3,A1,2020,21299,N/A,10871,Petrol,44.1,1.0,audi,30490006
4,Q2,2018,19999,N/A,11125,Petrol,50.4,1.4,audi,30460843
5,Q3,2016,23049,N/A,12081,Petrol,40.4,2.0,audi,30654941
6,Q2,2017,18949,N/A,12396,Petrol,50.4,1.4,audi,30354455
7,A1,2018,13049,N/A,12464,Petrol,67.3,1.0,audi,30447875
8,A1,2017,17049,N/A,13844,Diesel,70.6,1.6,audi,30627130
9,e-tron,2022,36349,Grey,Electric,N/A,15097,,audi,30678115
10,Q3,2020,28049,N/A,15307,Diesel,47.1,2.0,audi,30384445
11,A3,2020,18799,N/A,31051,Petrol,47.9,1.0,audi,30438119
12,A3,2016,15499,N/A,62756,Diesel,57.6,2.0,audi,30587910
13,A4,2020,24549,N/A,15332,Petrol,39.2,2.0,audi,30389343
14,Q2,2019,18599,N/A,15777,Petrol,47.1,1.0,audi,30502667
15,Q3,2017,20899,N/A,15787,Diesel,53.3,2.0,audi,30587925
16,A4,2019,22999,N/A,15883,Petrol,38.7,2.0,audi,30572181
17,A4,2020,28799,N/A,16600,Petrol,38.2,2.0,audi,30608157
18,A5,2019,27049,N/A,17503,Petrol,39.2,2.0,audi,30531542
19,A3,2018,20049,N/A,17658,Petrol,44.1,1.0,audi,30354550
20,A3,2019,19549,N/A,17787,Petrol,42.8,1.5,audi,30360583
21,A4,2020,19299,N/A,17793,Petrol,42.2,2.0,audi,30438207
22,Q3,2018,22499,N/A,17828,Petrol,42.2,2.0,audi,30531379
23,A1,2020,18249,N/A,39221,Petrol,47.9,1.0,audi,30643423
24,A5,2019,27049,N/A,17503,Petrol,39.2,2.0,audi,30531542
25,A3,2019,18249,N/A,18142,Petrol,47.1,1.0,audi,30447771
26,Q3,2019,26999,N/A,18488,Petrol,31.4,2.0,audi,30225428
27,Q2,2017,20049,N/A,18737,Petrol,52.3,1.4,audi,30476980
28,A4,2017,17849,N/A,19234,Petrol,55.4,2.0,audi,30447891
29,A3,2017,19949,N/A,19450,Petrol,47.9,2.0,audi,30312224
30,Q2,2017,19699,N/A,19659,Petrol,52.3,1.4,audi,30438124
31,Q2,2019,16349,N/A,19811,Diesel,49.6,1.6,audi,30255934
32,TT,2020,26449,N/A,20020,Petrol,40.9,2.0,audi,30687371
33,A1,2016,13749,N/A,20261,Petrol,55.4,1.4,audi,30498623
34,A5,2019,24299,N/A,20415,Petrol,39.8,2.0,audi,30557493
35,Q5,2019,26949,N/A,47981,Diesel,38.2,2.0,audi,30643354
36,A3,2019,18949,N/A,47961,Petrol,42.2,1.5,audi,30429218
37,Q2,2017,18049,N/A,21339,Petrol,50.4,1.4,audi,30643389
38,Q2,2019,17049,N/A,21634,Diesel,49.6,1.6,audi,30407515
39,A3,2019,20199,N/A,22907,Petrol,44.1,1.0,audi,30424960
40,Q2,2018,18749,N/A,23068,Petrol,53.3,1.0,audi,30477080
41,A3,2019,15799,N/A,23720,Petrol,47.9,1.0,audi,30317352
42,TT,2017,18299,N/A,24011,Petrol,47.1,1.8,audi,30557572
43,Q3,2019,27499,N/A,24186,Diesel,47.1,2.0,audi,30519565
44,A1,2017,12699,N/A,24324,Petrol,57.6,1.4,audi,30678934
45,A3,2018,19599,N/A,24410,Petrol,56.5,1.5,audi,30480271
46,A1,2016,14049,N/A,24814,Petrol,57.6,1.4,audi,30654982
47,A5,2017,16849,N/A,49748,Diesel,68.9,2.0,audi,30485030
48,A5,2019,22949,N/A,15481,Diesel,47.1,2.0,audi,30201042
49,Q3,2020,28049,N/A,25003,Petrol,40.9,1.5,audi,30643177
50,A4,2019,26749,N/A,25060,Petrol,38.2,2.0,audi,30664241
51,Q2,2017,19849,N/A,25392,Petrol,52.3,1.4,audi,30614892
52,A3,2017,14049,N/A,25420,Diesel,67.3,2.0,audi,30417305
53,A3,2020,22199,N/A,25442,Petrol,50.4,1.5,audi,30514568
