,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,2 Series,2019,16749,N/A,56394,Petrol,35.3,1.5,bmw,30683535
1,2 Series,2018,12285,Manual,108000,Diesel,62.8,2.0,bmw,30576187
2,1 Series,2014,7995,Automatic,109000,Diesel,64.2,2.0,bmw,30586471
3,1 Series,2015,6150,Manual,101000,Petrol,None,1.6,bmw,30682696
4,M5,2021,69999,Automatic,9500,Petrol,25.2,4.4,bmw,30194793
5,3 Series,2014,8499,Manual,95000,Diesel,62.8,2.0,bmw,29258087
6,3 Series,2010,6275,Automatic,77000,Diesel,51.4,2.0,bmw,30443936
7,1 Series,2012,6000,Manual,102000,Petrol,49.6,1.6,bmw,30173813
8,5 Series,2010,7775,Automatic,106452,Diesel,43.5,3.0,bmw,30407288
9,5 Series,2008,4475,Automatic,115000,Diesel,50.4,2.0,bmw,30173739
10,3 Series,2013,6175,Manual,115000,Diesel,62.8,2.0,bmw,30068830
11,2 Series,2019,17299,N/A,37960,Diesel,67.3,2.0,bmw,30348741
12,2 Series,2022,28599,N/A,5445,Petrol,45.6,1.5,bmw,30572207
13,1 Series,2012,7000,Automatic,49000,Petrol,None,1.6,bmw,30672995
14,X1,2013,8885,Manual,65393,Diesel,51.4,2.0,bmw,30569778
15,5 Series,2010,6895,Automatic,100000,Petrol,37.2,3.0,bmw,30634675
16,X1,2020,28727,Semi-Auto,2781,Petrol,47.9,2,bmw,30505835
17,X1,2019,22380,Semi-Auto,25149,Petrol,37.7,2,bmw,30505837
18,X1,2015,10000,Manual,98000,Diesel,68.9,2.0,bmw,30533796
19,4 Series,2019,18399,Semi-Auto,55530,Petrol,48.7,2,bmw,30687814
20,4 Series,2018,21590,Semi-Auto,12851,Petrol,45.6,2,bmw,30611081
21,3 Series,2021,35980,Semi-Auto,19594,Diesel,43.5,3,bmw,30646073
22,M2,2023,74950,Automatic,80,Petrol,28.8,3.0,bmw,30629210
23,3 Series,2020,27299,N/A,28911,Diesel,56.5,2.0,bmw,30531536
24,1 Series,2019,21349,N/A,16843,Petrol,42.8,1.5,bmw,30654959
25,2 Series,2016,14450,Manual,55364,Petrol,36.2,3.0,bmw,30629211
26,5 Series,2018,19450,Automatic,73840,Diesel,65.7,2.0,bmw,30478646
27,X5,2019,44950,Automatic,76055,Diesel,33.6,3.0,bmw,30553514
28,3 Series,2015,14350,Automatic,90000,Diesel,51.4,3.0,bmw,29689124
29,3 Series,2015,15750,Automatic,118000,Diesel,52.3,3.0,bmw,30468897
30,Z4,2004,2985,Automatic,118113,Petrol,29.7,3.0,bmw,30314316
31,X3,2019,52995,Automatic,22000,Petrol,None,2.4,bmw,30545983
32,X1,2013,8995,Automatic,49997,Diesel,56.5,2.0,bmw,30545982
33,1 Series,2011,2995,Manual,102438,Petrol,46.3,2.0,bmw,30648957
34,X5,2018,24985,Automatic,81659,Other,85.6,2.0,bmw,30400870
35,5 Series,2017,20799,N/A,34515,Diesel,51.4,3.0,bmw,30593693
36,1 Series,2016,11099,N/A,48038,Diesel,72.4,1.5,bmw,30683482
37,2 Series,2015,9985,Automatic,83718,Petrol,53.3,1.5,bmw,30332694
38,1 Series,2014,7385,Automatic,84961,Diesel,68.9,2.0,bmw,29131759
39,X1,2011,8295,Automatic,94653,Diesel,45.6,2.0,bmw,29516696
40,X1,2011,11995,Automatic,15000,Petrol,None,3.0,bmw,29801276
41,1 Series,2022,33699,Semi-Auto,9019,Petrol,34.5,2.0,bmw,30476836
42,2 Series,2022,31049,N/A,13351,Diesel,53.3,2.0,bmw,30627178
43,3 Series,2016,18799,N/A,15607,Diesel,64.2,2.0,bmw,30643325
44,3 Series,2020,28649,N/A,18005,Petrol,41.5,2.0,bmw,30655032
45,4 Series,2020,21949,N/A,20156,Petrol,48.7,2.0,bmw,30602945
46,3 Series,2018,17549,N/A,22293,Hybrid,148.7,2.0,bmw,30602859
47,4 Series,2019,18999,N/A,64382,Diesel,65.7,2.0,bmw,30447869
48,3 Series,2018,15299,N/A,40521,Petrol,54.3,1.5,bmw,30348875
49,X2,2019,19549,N/A,24282,Diesel,55.4,2.0,bmw,30643333
50,X1,2018,18049,N/A,24638,Petrol,40.4,1.5,bmw,30643417
51,X2,2018,21049,N/A,24739,Diesel,49.6,2.0,bmw,30659841
52,i3,2018,15549,Blue,Electric,N/A,25719,,bmw,30614955
53,1 Series,2018,14349,N/A,26936,Petrol,38.2,1.5,bmw,30614960
54,1 Series,2018,16699,N/A,27991,Diesel,47.9,1.5,bmw,30603089
55,4 Series,2017,19349,N/A,29498,Petrol,48.7,2.0,bmw,30608116
56,2 Series,2018,16649,N/A,29659,Petrol,52.3,1.5,bmw,30602950
57,1 Series,2020,23599,N/A,31246,Petrol,40.4,1.5,bmw,30655037
58,3 Series,2018,15249,N/A,32625,Diesel,68.9,2.0,bmw,30602959
59,2 Series,2020,28699,N/A,17800,Petrol,36.2,2.0,bmw,30421728
60,2 Series,2016,11449,N/A,40390,Petrol,52.3,1.5,bmw,30447983
61,5 Series,2016,17049,N/A,32778,Diesel,60.1,2.0,bmw,30659951
