,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,X5,2018,34049,N/A,57804,Diesel,47.1,3.0,bmw,30755224
1,X3,2017,19990,Automatic,65200,Diesel,54.3,2.0,bmw,30381968
2,4 Series,2016,15950,Automatic,79035,Diesel,60.1,2.0,bmw,30036043
3,2 Series,2019,16995,Manual,28000,Petrol,52.3,1.5,bmw,30682818
4,5 Series,2019,29995,Automatic,33000,Diesel,60.1,3.0,bmw,29154925
5,4 Series,2018,21495,Automatic,38000,Diesel,65.7,2.0,bmw,29857746
6,X1,2019,22995,Automatic,45000,Diesel,None,2.0,bmw,30632313
7,X3,2017,19995,Automatic,53000,Diesel,54.3,2.0,bmw,30405780
8,3 Series,2017,19750,Automatic,61000,Diesel,56.5,3.0,bmw,29857747
9,1 Series,2019,13495,Automatic,67000,Diesel,78.5,1.5,bmw,30750474
10,4 Series,2023,73995,Automatic,21,Petrol,28,3.0,bmw,30718020
11,1 Series,2018,14299,N/A,26936,Petrol,38.2,1.5,bmw,30614960
12,1 Series,2019,16299,N/A,72144,Diesel,65.7,2.0,bmw,30447930
13,M3,2023,89995,Automatic,2805,Petrol,27.2,3.0,bmw,30735749
14,5 Series,2023,45995,Automatic,2924,Diesel,51.4,2.0,bmw,30637224
15,X4,2023,68995,Automatic,4200,Petrol,26.2,3.0,bmw,30718022
16,iX,2023,82995,Automatic,4333,Other,None,1.0,bmw,30231768
17,iX,2023,79995,Automatic,4476,Other,None,1.0,bmw,30654352
18,3 Series,2023,43995,Automatic,4765,Petrol,166.2,2.0,bmw,30306130
19,2 Series,2023,30995,Automatic,5237,Petrol,45.6,1.5,bmw,30735751
20,iX,2023,58995,Automatic,5429,Other,None,1.0,bmw,29719326
21,5 Series,2022,36495,Automatic,5504,Petrol,40.4,2.0,bmw,30382025
22,4 Series,2022,57995,Automatic,5807,Petrol,28,3.0,bmw,30397325
23,X2,2020,16599,N/A,45210,Diesel,55.4,2.0,bmw,30299706
24,X3,2016,18299,N/A,42327,Diesel,54.3,2.0,bmw,30348789
25,5 Series,2022,36495,Automatic,5504,Petrol,40.4,2.0,bmw,30382025
26,4 Series,2022,57995,Automatic,5807,Petrol,28,3.0,bmw,30397325
27,5 Series,2023,44995,Automatic,6076,Diesel,46.3,3.0,bmw,30750774
28,2 Series,2023,31995,Automatic,6263,Diesel,53.3,2.0,bmw,30637282
29,X5,2022,63995,Automatic,6857,Petrol,23.2,4.4,bmw,30203144
30,X3,2022,67995,Automatic,7010,Petrol,25.7,3.0,bmw,30405678
31,5 Series,2023,41995,Automatic,7968,Diesel,51.4,2.0,bmw,30654353
32,5 Series,2022,39500,Automatic,8412,Petrol,156.9,2.0,bmw,30112538
33,1 Series,2022,25495,Manual,8580,Diesel,54.3,1.5,bmw,30470768
34,4 Series,2022,59995,Automatic,8606,Petrol,28,3.0,bmw,30637253
35,3 Series,2018,16499,N/A,36984,Petrol,47.9,2.0,bmw,30572098
36,1 Series,2020,14799,N/A,66062,Diesel,58.9,1.5,bmw,30389396
37,3 Series,2023,42995,Automatic,9461,Petrol,188.3,2.0,bmw,30718013
38,2 Series,2023,33995,Automatic,9739,Petrol,43.5,2.0,bmw,30718034
39,X5,2023,65995,Automatic,10000,Diesel,34.9,3.0,bmw,30718033
40,2 Series,2023,36995,Automatic,10023,Diesel,57.7,2.0,bmw,30718027
41,5 Series,2022,36495,Automatic,10147,Petrol,40.4,2.0,bmw,30306122
42,5 Series,2023,40995,Automatic,10222,Diesel,49.6,2.0,bmw,30637284
43,i4,2022,52995,Automatic,11261,Other,None,1.0,bmw,30718025
44,3 Series,2022,39500,Automatic,11408,Diesel,43.5,3.0,bmw,30341981
45,3 Series,2023,39995,Automatic,11494,Petrol,39.8,2.0,bmw,30654351
46,X5,2023,65995,Automatic,11498,Diesel,34.9,3.0,bmw,30446028
47,X5,2018,34049,N/A,57804,Diesel,47.1,3.0,bmw,30755224
48,5 Series,2018,19049,N/A,56329,Hybrid,156.9,2.0,bmw,30531271
49,5 Series,2023,49995,Automatic,11706,Diesel,44.1,3.0,bmw,30637280
50,1 Series,2023,28995,Automatic,12102,Petrol,44.1,1.5,bmw,30654361
51,4 Series,2022,38995,Automatic,12526,Diesel,53.3,2.0,bmw,29396255
52,3 Series,2023,39995,Automatic,12606,Petrol,39.8,2.0,bmw,30654350
53,1 Series,2023,28995,Automatic,12883,Petrol,44.1,1.5,bmw,30718039
54,5 Series,2021,34995,Automatic,13108,Diesel,49.6,2.0,bmw,30405699
55,X5,2022,60995,Automatic,13363,Diesel,37.7,3.0,bmw,30405697
56,5 Series,2021,34995,Automatic,13464,Diesel,51.4,2.0,bmw,30637299
57,5 Series,2022,37495,Automatic,13538,Diesel,51.4,2.0,bmw,30341983
58,4 Series,2020,38995,Automatic,13722,Petrol,34,3.0,bmw,30637226
59,1 Series,2020,21149,N/A,11102,Diesel,57.7,1.5,bmw,30755082
60,X1,2017,15049,N/A,36567,Diesel,68.9,2.0,bmw,30751678
61,5 Series,2021,34995,Automatic,13464,Diesel,51.4,2.0,bmw,30637299
62,5 Series,2022,37495,Automatic,13538,Diesel,51.4,2.0,bmw,30341983
63,4 Series,2020,38995,Automatic,13722,Petrol,34,3.0,bmw,30637226
64,X1,2023,39995,Automatic,13784,Diesel,55.4,2.0,bmw,30718038
65,8 Series,2022,45995,Automatic,13906,Petrol,32.5,3.0,bmw,30717997
66,5 Series,2023,41995,Automatic,14147,Petrol,134.5,2.0,bmw,30718009
67,5 Series,2023,52995,Automatic,14195,Petrol,128.4,3.0,bmw,30654355
68,5 Series,2023,41500,Automatic,14350,Petrol,134.5,2.0,bmw,30654359
69,X1,2023,37995,Automatic,14547,Diesel,54.3,2.0,bmw,30718043
70,1 Series,2019,27500,Automatic,14645,Petrol,34.5,2.0,bmw,30735740
71,3 Series,2019,19999,N/A,37873,Diesel,64.2,2.0,bmw,30498544
72,3 Series,2019,19999,N/A,37873,Diesel,64.2,2.0,bmw,30498544
73,5 Series,2022,39995,Automatic,15452,Petrol,134.5,2.0,bmw,30382035
74,iX,2022,53995,Automatic,15718,Other,None,1.0,bmw,30637271
75,1 Series,2020,20995,Manual,16447,Petrol,41.5,1.5,bmw,30735742
76,X5,2022,58995,Automatic,16635,Diesel,37.7,3.0,bmw,30718028
77,X1,2020,31500,Automatic,17705,Petrol,148.7,1.5,bmw,30735745
78,5 Series,2022,39995,Automatic,18078,Diesel,46.3,3.0,bmw,30717999
