,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,1 Series,2020,20349,N/A,36202,Diesel,54.3,2.0,bmw,30608122
1,3 Series,2011,4690,Manual,81000,Diesel,62.8,2.0,bmw,30634401
2,X3,2007,2795,Manual,153852,Diesel,39.2,2.0,bmw,30690943
3,2 Series,2018,16849,N/A,33988,Petrol,52.3,1.5,bmw,30683516
4,1 Series,2020,21349,N/A,12036,Petrol,41.5,1.5,bmw,30732425
5,2 Series,2022,31049,N/A,13351,Diesel,53.3,2.0,bmw,30627178
6,1 Series,2020,23749,N/A,15276,Petrol,40.4,1.5,bmw,30679036
7,1 Series,2017,14049,N/A,15477,Diesel,68.9,2.0,bmw,30507582
8,3 Series,2016,18799,N/A,15607,Diesel,64.2,2.0,bmw,30643325
9,X2,2019,19799,N/A,15691,Diesel,55.4,2.0,bmw,30417398
10,1 Series,2019,21349,N/A,16843,Petrol,42.8,1.5,bmw,30654959
11,3 Series,2019,24799,N/A,16872,Petrol,42.2,2.0,bmw,30384460
12,X2,2019,19549,N/A,17165,Petrol,42.8,1.5,bmw,30687400
13,X2,2019,18299,N/A,18881,Petrol,42.8,1.5,bmw,30456288
14,4 Series,2018,18749,N/A,63169,Diesel,65.7,2.0,bmw,30674430
15,X2,2018,20999,N/A,26071,Petrol,39.2,2.0,bmw,30476714
16,3 Series,2018,17549,N/A,22293,Hybrid,148.7,2.0,bmw,30602859
17,1 Series,2016,16049,N/A,22621,Diesel,68.9,1.5,bmw,30572355
18,3 Series,2019,25699,N/A,23650,Diesel,52.3,2.0,bmw,30424971
19,X2,2019,19549,N/A,24282,Diesel,55.4,2.0,bmw,30643333
20,X1,2018,18049,N/A,24638,Petrol,40.4,1.5,bmw,30643417
21,X2,2018,21049,N/A,24739,Diesel,49.6,2.0,bmw,30659841
22,X2,2019,20899,N/A,24997,Diesel,49.6,2.0,bmw,30691373
23,3 Series,2020,26399,N/A,25175,Petrol,42.2,2.0,bmw,30674636
24,i3,2018,15549,Blue,Electric,N/A,25719,,bmw,30614955
25,2 Series,2017,13049,N/A,26018,Diesel,68.9,2.0,bmw,30447767
26,3 Series,2019,19049,N/A,50245,Diesel,62.8,2.0,bmw,30703207
27,1 Series,2020,18049,N/A,59043,Diesel,54.3,1.5,bmw,30572344
28,3 Series,2019,26549,N/A,26311,Diesel,52.3,2.0,bmw,30615002
29,1 Series,2018,14349,N/A,26936,Petrol,38.2,1.5,bmw,30614960
30,4 Series,2017,19349,N/A,29498,Petrol,48.7,2.0,bmw,30608116
31,2 Series,2018,16649,N/A,29659,Petrol,52.3,1.5,bmw,30602950
32,6 Series,2019,26049,N/A,29695,Diesel,44.1,2.0,bmw,30417357
33,X1,2019,23049,N/A,29909,Petrol,39.2,2.0,bmw,30602911
34,2 Series,2019,14849,N/A,30919,Petrol,42.8,1.5,bmw,30679014
35,2 Series,2019,17549,N/A,31166,Petrol,52.3,1.5,bmw,30674594
36,1 Series,2020,23599,N/A,31246,Petrol,40.4,1.5,bmw,30655037
37,i3,2020,16549,Grey,Electric,N/A,32222,,bmw,30703196
38,1 Series,2019,16949,N/A,65957,Petrol,54.3,1.5,bmw,30700545
39,X1,2019,22049,N/A,23632,Petrol,39.2,2.0,bmw,30557537
40,3 Series,2018,15249,N/A,32625,Diesel,68.9,2.0,bmw,30602959
41,5 Series,2016,17049,N/A,32778,Diesel,60.1,2.0,bmw,30659951
42,4 Series,2019,25949,N/A,33554,Petrol,41.5,3.0,bmw,30700841
43,2 Series,2018,16849,N/A,33988,Petrol,52.3,1.5,bmw,30683516
44,2 Series,2018,16299,N/A,34187,Petrol,37.2,1.5,bmw,30659925
45,1 Series,2017,14199,N/A,34705,Petrol,52.3,1.5,bmw,30703143
46,X1,2018,20399,N/A,35067,Petrol,35.3,2.0,bmw,30700683
47,2 Series,2019,17049,N/A,35530,Diesel,50.4,2.0,bmw,30643330
48,1 Series,2017,13099,N/A,35646,Petrol,53.3,1.5,bmw,30700681
49,1 Series,2017,14999,N/A,36127,Petrol,55.5,1.5,bmw,30643367
50,5 Series,2018,21899,N/A,46682,Diesel,49.6,2.0,bmw,30687404
51,X3,2017,18549,N/A,63608,Diesel,47.9,3.0,bmw,30271436
52,1 Series,2020,20349,N/A,36202,Diesel,54.3,2.0,bmw,30608122
53,3 Series,2018,16499,N/A,36984,Petrol,47.9,2.0,bmw,30572098
54,3 Series,2019,20749,N/A,37536,Diesel,54.3,2.0,bmw,30678952
55,3 Series,2018,18399,N/A,37638,Diesel,64.2,2.0,bmw,30700783
56,5 Series,2019,24549,N/A,38052,Diesel,49.6,2.0,bmw,30603145
57,3 Series,2020,21049,N/A,38143,Diesel,55.4,2.0,bmw,30627152
58,1 Series,2019,13699,N/A,38548,Petrol,56.5,1.5,bmw,30438113
59,4 Series,2019,20549,N/A,38678,Diesel,65.7,2.0,bmw,30654910
60,X2,2018,19049,N/A,39334,Diesel,50.4,2.0,bmw,30643504
61,2 Series,2017,12749,N/A,40425,Diesel,65.7,1.5,bmw,30620687
62,X1,2016,12949,N/A,59625,Diesel,68.9,2.0,bmw,30384491
63,X2,2018,18899,N/A,43782,Diesel,58.9,2.0,bmw,30261022
64,X1,2019,21799,N/A,33021,Petrol,39.2,2.0,bmw,30480233
65,1 Series,2020,20599,N/A,33064,Diesel,50.4,2.0,bmw,30447162
66,1 Series,2019,16499,N/A,33102,Diesel,50.4,1.5,bmw,30384543
67,4 Series,2019,25949,N/A,33554,Petrol,41.5,3.0,bmw,30700841
68,2 Series,2018,16849,N/A,33988,Petrol,52.3,1.5,bmw,30683516
69,2 Series,2018,16299,N/A,34187,Petrol,37.2,1.5,bmw,30659925
70,X2,2019,17499,N/A,34300,Diesel,55.4,2.0,bmw,30507549
71,X2,2019,19049,N/A,34588,Diesel,52.3,2.0,bmw,30582245
72,1 Series,2017,14199,N/A,34705,Petrol,52.3,1.5,bmw,30703143
73,X1,2018,20399,N/A,35067,Petrol,35.3,2.0,bmw,30700683
74,3 Series,2020,23099,N/A,66173,Hybrid,8.8,2.0,bmw,30674589
75,4 Series,2016,15549,N/A,51465,Diesel,64.2,2.0,bmw,30627099
76,4 Series,2019,19599,N/A,46843,Petrol,48.7,2.0,bmw,30674630
77,5 Series,2018,22199,N/A,47212,Diesel,49.6,2.0,bmw,30602912
78,5 Series,2016,16699,N/A,47308,Diesel,60.1,2.0,bmw,30417321
79,4 Series,2017,16849,N/A,47882,Diesel,65.7,2.0,bmw,30664262
