,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,1 Series,2020,18999,N/A,55641,Petrol,41.5,1.5,bmw,30700664
1,5 Series,2015,16000,Automatic,47797,Diesel,62.8,2.0,bmw,29442873
2,1 Series,2017,20000,Automatic,54559,Petrol,39.8,3.0,bmw,30447461
3,1 Series,2014,8000,Manual,62480,Diesel,None,2.0,bmw,30474383
4,X1,2013,10000,Manual,68270,Petrol,37.7,2.0,bmw,29850459
5,3 Series,2014,9000,Automatic,70925,Diesel,62.8,2.0,bmw,30472543
6,1 Series,2017,12000,Manual,73109,Petrol,52.3,1.5,bmw,28917082
7,2 Series,2016,14000,Automatic,75443,Petrol,51.4,1.5,bmw,30038027
8,1 Series,2015,9000,Manual,79104,Diesel,None,2.0,bmw,30278461
9,3 Series,2012,9000,Manual,80062,Diesel,61.4,2.0,bmw,30131133
10,3 Series,2016,12000,Automatic,80512,Petrol,51.4,1.5,bmw,29965609
11,4 Series,2018,19299,N/A,35487,Petrol,48.7,2.0,bmw,30451737
12,X2,2019,16699,N/A,30544,Petrol,42.8,1.5,bmw,30284904
13,3 Series,2014,9000,Automatic,88314,Diesel,62.8,2.0,bmw,30303596
14,3 Series,2012,9000,Automatic,89791,Diesel,62.8,2.0,bmw,29762301
15,3 Series,2016,10000,Manual,90131,Diesel,72.4,2.0,bmw,28992426
16,X5,2016,20000,Automatic,92767,Other,85.6,2.0,bmw,30509218
17,M3,2011,22000,Automatic,97630,Petrol,25.2,4.0,bmw,29572790
18,3 Series,2014,8500,Automatic,100482,Diesel,62.8,2.0,bmw,30257873
19,5 Series,2014,8000,Manual,103146,Diesel,65.7,2.0,bmw,30306112
20,1 Series,2020,22949,N/A,1170,Petrol,40.4,1.5,bmw,30289979
21,1 Series,2022,32699,Semi-Auto,9019,Petrol,34.5,2.0,bmw,30476836
22,1 Series,2020,19999,N/A,10964,Petrol,41.5,1.5,bmw,30161978
23,1 Series,2017,17549,N/A,48870,Diesel,65.7,2.0,bmw,30654985
24,X1,2016,15799,N/A,60825,Diesel,55.4,2.0,bmw,30401158
25,2 Series,2022,31049,N/A,13351,Diesel,53.3,2.0,bmw,30627178
26,1 Series,2020,23749,N/A,15276,Petrol,40.4,1.5,bmw,30679036
27,1 Series,2017,14049,N/A,15477,Diesel,68.9,2.0,bmw,30507582
28,3 Series,2016,18799,N/A,15607,Diesel,64.2,2.0,bmw,30643325
29,X2,2019,19799,N/A,15691,Diesel,55.4,2.0,bmw,30417398
30,1 Series,2019,21349,N/A,16843,Petrol,42.8,1.5,bmw,30654959
31,3 Series,2019,24799,N/A,16872,Petrol,42.2,2.0,bmw,30384460
32,X2,2019,19549,N/A,17165,Petrol,42.8,1.5,bmw,30687400
33,X2,2019,18299,N/A,18881,Petrol,42.8,1.5,bmw,30456288
34,4 Series,2020,21949,N/A,20156,Petrol,48.7,2.0,bmw,30602945
35,2 Series,2019,14849,N/A,30919,Petrol,42.8,1.5,bmw,30679014
36,2 Series,2018,16849,N/A,40640,Petrol,50.4,1.5,bmw,30751670
37,1 Series,2019,18499,N/A,16522,Petrol,44.1,1.5,bmw,30490056
38,1 Series,2019,21349,N/A,16843,Petrol,42.8,1.5,bmw,30654959
39,3 Series,2019,24799,N/A,16872,Petrol,42.2,2.0,bmw,30384460
40,1 Series,2020,20049,N/A,17004,Petrol,41.5,1.5,bmw,30572234
41,X2,2019,19549,N/A,17165,Petrol,42.8,1.5,bmw,30687400
42,2 Series,2018,18299,N/A,17178,Petrol,48.7,1.5,bmw,30476877
43,5 Series,2020,28799,N/A,17374,Diesel,47.9,2.0,bmw,30384661
44,2 Series,2020,28049,N/A,17800,Petrol,36.2,2.0,bmw,30421728
45,1 Series,2020,19299,N/A,18126,Petrol,44.1,1.5,bmw,30490046
46,1 Series,2020,17749,N/A,18667,Petrol,44.1,1.5,bmw,30299805
47,1 Series,2018,12399,N/A,57135,Petrol,53.3,1.5,bmw,30620619
