,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,X3,2016,18299,N/A,42327,Diesel,54.3,2.0,bmw,30348789
1,1 Series,2020,23999,N/A,14265,Petrol,40.4,1.5,bmw,30498579
2,1 Series,2020,23749,N/A,15276,Petrol,40.4,1.5,bmw,30679036
3,3 Series,2016,18799,N/A,15607,Diesel,64.2,2.0,bmw,30643325
4,X2,2019,19799,N/A,15691,Diesel,55.4,2.0,bmw,30417398
5,1 Series,2019,21349,N/A,16843,Petrol,42.8,1.5,bmw,30654959
6,X2,2019,19549,N/A,17165,Petrol,42.8,1.5,bmw,30687400
7,2 Series,2020,28299,N/A,17800,Petrol,36.2,2.0,bmw,30421728
8,2 Series,2020,22499,N/A,19529,Petrol,47.9,2.0,bmw,30429282
9,4 Series,2020,21949,N/A,20156,Petrol,48.7,2.0,bmw,30602945
10,1 Series,2020,20999,N/A,20414,Petrol,41.5,1.5,bmw,30417161
11,1 Series,2017,14199,N/A,59522,Diesel,62.8,2.0,bmw,30700827
12,2 Series,2017,10449,N/A,52426,Diesel,70.6,1.5,bmw,30700742
13,3 Series,2016,18799,N/A,15607,Diesel,64.2,2.0,bmw,30643325
14,X2,2019,19799,N/A,15691,Diesel,55.4,2.0,bmw,30417398
15,X2,2018,21849,N/A,15868,Petrol,39.2,2.0,bmw,30317285
16,1 Series,2019,18799,N/A,16522,Petrol,44.1,1.5,bmw,30490056
17,1 Series,2019,21349,N/A,16843,Petrol,42.8,1.5,bmw,30654959
18,3 Series,2019,24799,N/A,16872,Petrol,42.2,2.0,bmw,30384460
19,1 Series,2020,21699,N/A,17004,Petrol,41.5,1.5,bmw,30572234
20,X2,2019,19549,N/A,17165,Petrol,42.8,1.5,bmw,30687400
21,2 Series,2018,18699,N/A,17178,Petrol,48.7,1.5,bmw,30476877
22,5 Series,2020,28899,N/A,17374,Diesel,47.9,2.0,bmw,30384661
23,3 Series,2017,14049,N/A,61720,Hybrid,148.7,2.0,bmw,30654889
24,1 Series,2020,20699,N/A,39115,Petrol,40.4,1.5,bmw,30367170
