,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,1 Series,2019,16999,N/A,42620,Diesel,70.6,1.5,bmw,30484814
1,1 Series,2017,18100,Semi-Auto,69048,Petrol,39.8,3,bmw,30605428
2,X1,2018,20000,Manual,14679,Petrol,51.4,1.5,bmw,30493107
3,2 Series,2017,18400,Semi-Auto,14982,Petrol,48.7,1.5,bmw,30500841
4,3 Series,2018,16400,Semi-Auto,18843,Petrol,54.3,1.5,bmw,30297524
5,1 Series,2021,22250,Semi-Auto,19802,Petrol,40.4,1.5,bmw,29594686
6,4 Series,2020,24950,Semi-Auto,26533,Petrol,41.5,3,bmw,29758857
7,4 Series,2020,24650,Semi-Auto,29698,Petrol,41.5,3,bmw,29933018
8,X1,2020,24600,Semi-Auto,31357,Petrol,47.9,2,bmw,30454186
9,4 Series,2020,23850,Semi-Auto,37431,Petrol,41.5,3,bmw,29843106
10,3 Series,2016,17700,Semi-Auto,39845,Diesel,53.3,3,bmw,30052784
11,4 Series,2020,19049,N/A,69061,Petrol,48.7,2.0,bmw,30664195
12,1 Series,2019,16999,N/A,42620,Diesel,70.6,1.5,bmw,30484814
13,3 Series,2019,19500,Semi-Auto,78463,Hybrid,8.8,2,bmw,30721292
14,3 Series,2019,23200,Semi-Auto,7522,Petrol,42.2,2,bmw,30395718
15,X1,2020,21400,Manual,32802,Petrol,52.3,1.5,bmw,30395712
16,M6,2014,32995,Automatic,34000,Petrol,28.5,4.4,bmw,30633387
17,X1,2013,13495,Automatic,43500,Diesel,52.3,2.0,bmw,30235364
18,5 Series,2018,26395,Automatic,49000,Diesel,55.4,2.0,bmw,29820404
19,3 Series,2013,18295,Automatic,82000,Petrol,37.2,3.0,bmw,29178213
20,1 Series,2013,12995,Automatic,22000,Petrol,48.7,1.6,bmw,30388327
21,3 Series,2019,22995,Automatic,58000,Diesel,53.3,3.0,bmw,30166640
22,3 Series,2015,15295,Manual,67000,Diesel,57.6,2.0,bmw,30543917
23,1 Series,2020,19999,N/A,10964,Petrol,41.5,1.5,bmw,30161978
24,2 Series,2018,14149,N/A,61031,Diesel,49.6,2.0,bmw,30719596
25,3 Series,2013,18295,Automatic,82000,Petrol,37.2,3.0,bmw,29178213
26,1 Series,2020,22949,N/A,1170,Petrol,40.4,1.5,bmw,30289979
27,2 Series,2019,17749,N/A,8177,Diesel,None,2.0,bmw,30267208
28,1 Series,2022,33049,Semi-Auto,9019,Petrol,34.5,2.0,bmw,30476836
29,1 Series,2020,19999,N/A,10964,Petrol,41.5,1.5,bmw,30161978
30,1 Series,2020,21349,N/A,12036,Petrol,41.5,1.5,bmw,30732425
31,2 Series,2022,31049,N/A,13351,Diesel,53.3,2.0,bmw,30627178
32,1 Series,2020,23999,N/A,14265,Petrol,40.4,1.5,bmw,30498579
33,X1,2019,23999,N/A,14560,Petrol,39.2,2.0,bmw,30498571
34,1 Series,2020,23749,N/A,15276,Petrol,40.4,1.5,bmw,30679036
35,1 Series,2020,19049,N/A,43827,Petrol,41.5,1.5,bmw,30562798
36,1 Series,2017,16049,N/A,50891,Diesel,67.3,2.0,bmw,30603092
37,4 Series,2020,21949,N/A,20156,Petrol,48.7,2.0,bmw,30602945
38,1 Series,2020,20999,N/A,20414,Petrol,41.5,1.5,bmw,30417161
39,X1,2020,26849,N/A,21001,Petrol,48.7,2.0,bmw,30674634
40,5 Series,2019,24499,N/A,21192,Petrol,50.4,2.0,bmw,30531540
41,2 Series,2019,19949,N/A,21210,Petrol,50.4,1.5,bmw,30703153
42,i3,2020,20349,Black,Electric,N/A,21823,,bmw,30674590
43,X1,2019,25099,N/A,21957,Petrol,48.7,2.0,bmw,30691333
44,3 Series,2018,17549,N/A,22293,Hybrid,148.7,2.0,bmw,30602859
45,1 Series,2016,16049,N/A,22621,Diesel,68.9,1.5,bmw,30572355
46,3 Series,2019,25699,N/A,23650,Diesel,52.3,2.0,bmw,30424971
47,3 Series,2020,21049,N/A,38143,Diesel,55.4,2.0,bmw,30627152
48,3 Series,2019,15699,N/A,67836,Diesel,56.5,2.0,bmw,30299656
49,X1,2020,24699,N/A,24157,Petrol,40.9,1.5,bmw,30429194
50,X2,2019,19549,N/A,24282,Diesel,55.4,2.0,bmw,30643333
51,X1,2018,18049,N/A,24638,Petrol,40.4,1.5,bmw,30643417
52,X2,2018,21049,N/A,24739,Diesel,49.6,2.0,bmw,30659841
53,X2,2019,20899,N/A,24997,Diesel,49.6,2.0,bmw,30691373
54,3 Series,2020,26399,N/A,25175,Petrol,42.2,2.0,bmw,30674636
55,i3,2018,15549,Blue,Electric,N/A,25719,,bmw,30614955
56,2 Series,2017,13049,N/A,26018,Diesel,68.9,2.0,bmw,30447767
57,3 Series,2019,26549,N/A,26311,Diesel,52.3,2.0,bmw,30615002
58,1 Series,2018,14349,N/A,26936,Petrol,38.2,1.5,bmw,30614960
59,1 Series,2020,20599,N/A,33064,Diesel,50.4,2.0,bmw,30447162
60,2 Series,2018,16299,N/A,34187,Petrol,37.2,1.5,bmw,30659925
61,1 Series,2017,16299,N/A,27540,Diesel,68.9,2.0,bmw,30498674
62,2 Series,2019,19999,N/A,27570,Petrol,38.7,1.5,bmw,30448077
63,1 Series,2018,16699,N/A,27991,Diesel,47.9,1.5,bmw,30603089
64,1 Series,2019,14499,N/A,28733,Diesel,78.5,1.5,bmw,30587865
65,X1,2020,24799,N/A,29248,Petrol,40.9,1.5,bmw,30490052
66,4 Series,2017,19349,N/A,29498,Petrol,48.7,2.0,bmw,30608116
67,2 Series,2018,16649,N/A,29659,Petrol,52.3,1.5,bmw,30602950
68,6 Series,2019,26049,N/A,29695,Diesel,44.1,2.0,bmw,30417357
69,X1,2019,23049,N/A,29909,Petrol,39.2,2.0,bmw,30602911
70,1 Series,2021,22849,N/A,30883,Petrol,40.4,1.5,bmw,30514596
71,2 Series,2016,17049,N/A,40081,Petrol,35.8,3.0,bmw,30354503
72,X1,2016,17549,N/A,47023,Diesel,55.4,2.0,bmw,30719619
73,X1,2018,18049,N/A,24638,Petrol,40.4,1.5,bmw,30643417
74,X2,2018,21049,N/A,24739,Diesel,49.6,2.0,bmw,30659841
75,X2,2018,21599,N/A,24808,Petrol,39.8,2.0,bmw,30732417
76,X2,2019,20899,N/A,24997,Diesel,49.6,2.0,bmw,30691373
77,X1,2020,21899,N/A,25060,Petrol,41.5,1.5,bmw,30562674
78,3 Series,2020,26399,N/A,25175,Petrol,42.2,2.0,bmw,30674636
79,X2,2019,20049,N/A,25204,Petrol,42.2,1.5,bmw,30325223
80,X1,2018,21999,N/A,25300,Petrol,35.3,2.0,bmw,30498557
81,X1,2019,22699,N/A,25503,Petrol,39.2,2.0,bmw,30484951
82,i3,2018,15549,Blue,Electric,N/A,25719,,bmw,30614955
83,6 Series,2019,26049,N/A,29695,Diesel,44.1,2.0,bmw,30417357
84,5 Series,2016,14599,N/A,67365,Diesel,62.8,2.0,bmw,30490010
85,2 Series,2017,13049,N/A,26018,Diesel,68.9,2.0,bmw,30447767
86,X2,2018,20999,N/A,26071,Petrol,39.2,2.0,bmw,30476714
87,3 Series,2019,26549,N/A,26311,Diesel,52.3,2.0,bmw,30615002
88,2 Series,2020,21599,N/A,26572,Petrol,43.5,1.5,bmw,30485008
89,X1,2018,19049,N/A,26657,Diesel,60.1,2.0,bmw,30476837
90,1 Series,2018,14349,N/A,26936,Petrol,38.2,1.5,bmw,30614960
91,1 Series,2019,17949,N/A,27470,Petrol,54.3,1.5,bmw,30572204
92,1 Series,2017,16299,N/A,27540,Diesel,68.9,2.0,bmw,30498674
