,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,1 Series,2018,16599,N/A,43521,Diesel,68.9,2.0,bmw,30337909
1,6 Series,2014,18495,Automatic,63000,Diesel,None,3.0,bmw,27016597
2,5 Series,2013,7195,Manual,150000,Diesel,62.8,2.0,bmw,26971362
3,2 Series,2015,8995,Manual,50500,Diesel,68.9,2.0,bmw,30705038
4,1 Series,2019,23485,Automatic,42500,Petrol,39.8,3.0,bmw,29687815
5,6 Series,2014,18395,Automatic,42944,Diesel,49.6,3.0,bmw,30538960
6,X4,2017,27495,Automatic,24600,Diesel,47.1,3.0,bmw,29275664
7,X6,2017,28995,Automatic,48742,Diesel,44.8,3.0,bmw,30731888
8,1 Series,2020,19999,N/A,10964,Petrol,41.5,1.5,bmw,30161978
9,2 Series,2022,31049,N/A,13351,Diesel,53.3,2.0,bmw,30627178
10,1 Series,2020,24049,N/A,13896,Petrol,40.4,1.5,bmw,30572345
11,X2,2019,17499,N/A,34300,Diesel,55.4,2.0,bmw,30507549
12,2 Series,2017,16999,N/A,29287,Diesel,67.3,2.0,bmw,30726823
13,1 Series,2020,19999,N/A,10964,Petrol,41.5,1.5,bmw,30161978
14,1 Series,2020,21349,N/A,12036,Petrol,41.5,1.5,bmw,30732425
15,2 Series,2018,18049,N/A,12609,Diesel,51.4,2.0,bmw,30392913
16,2 Series,2022,31049,N/A,13351,Diesel,53.3,2.0,bmw,30627178
17,1 Series,2020,24049,N/A,13896,Petrol,40.4,1.5,bmw,30572345
18,1 Series,2020,23999,N/A,14265,Petrol,40.4,1.5,bmw,30498579
19,X1,2019,23999,N/A,14560,Petrol,39.2,2.0,bmw,30498571
20,1 Series,2020,23749,N/A,15276,Petrol,40.4,1.5,bmw,30679036
21,1 Series,2017,14049,N/A,15477,Diesel,68.9,2.0,bmw,30507582
22,3 Series,2016,18799,N/A,15607,Diesel,64.2,2.0,bmw,30643325
23,1 Series,2019,17049,N/A,48312,Diesel,47.9,1.5,bmw,30691366
24,2 Series,2018,15899,N/A,35648,Diesel,54.3,1.5,bmw,30429267
25,X1,2020,26849,N/A,21001,Petrol,48.7,2.0,bmw,30674634
26,5 Series,2019,24499,N/A,21192,Petrol,50.4,2.0,bmw,30531540
27,2 Series,2019,19949,N/A,21210,Petrol,50.4,1.5,bmw,30703153
28,i3,2020,20349,Black,Electric,N/A,21823,,bmw,30674590
29,X1,2019,25099,N/A,21957,Petrol,48.7,2.0,bmw,30691333
30,3 Series,2018,17549,N/A,22293,Hybrid,148.7,2.0,bmw,30602859
31,1 Series,2016,16049,N/A,22621,Diesel,68.9,1.5,bmw,30572355
32,X1,2019,22799,N/A,23632,Petrol,39.2,2.0,bmw,30557537
33,3 Series,2019,25699,N/A,23650,Diesel,52.3,2.0,bmw,30424971
34,X1,2020,24699,N/A,24157,Petrol,40.9,1.5,bmw,30429194
35,2 Series,2018,17449,N/A,39554,Petrol,38.2,2.0,bmw,30438197
36,X1,2019,21799,N/A,33021,Petrol,39.2,2.0,bmw,30480233
37,X2,2019,19549,N/A,24282,Diesel,55.4,2.0,bmw,30643333
38,2 Series,2020,21899,N/A,24341,Petrol,38.7,1.5,bmw,30531395
39,X1,2018,18049,N/A,24638,Petrol,40.4,1.5,bmw,30643417
40,X2,2018,21049,N/A,24739,Diesel,49.6,2.0,bmw,30659841
41,X2,2019,20899,N/A,24997,Diesel,49.6,2.0,bmw,30691373
42,3 Series,2020,26399,N/A,25175,Petrol,42.2,2.0,bmw,30674636
43,5 Series,2019,25799,N/A,25476,Diesel,49.6,2.0,bmw,30572150
44,i3,2018,15549,Blue,Electric,N/A,25719,,bmw,30614955
45,2 Series,2017,13049,N/A,26018,Diesel,68.9,2.0,bmw,30447767
46,3 Series,2019,26549,N/A,26311,Diesel,52.3,2.0,bmw,30615002
47,X2,2019,19549,N/A,17165,Petrol,42.8,1.5,bmw,30687400
48,5 Series,2016,17049,N/A,32778,Diesel,60.1,2.0,bmw,30659951
49,1 Series,2018,14349,N/A,26936,Petrol,38.2,1.5,bmw,30614960
50,1 Series,2017,16299,N/A,27540,Diesel,68.9,2.0,bmw,30498674
51,2 Series,2019,19999,N/A,27570,Petrol,38.7,1.5,bmw,30448077
52,1 Series,2018,16699,N/A,27991,Diesel,47.9,1.5,bmw,30603089
53,1 Series,2019,14499,N/A,28733,Diesel,78.5,1.5,bmw,30587865
54,3 Series,2020,27299,N/A,28911,Diesel,56.5,2.0,bmw,30531536
55,X1,2020,24799,N/A,29248,Petrol,40.9,1.5,bmw,30490052
56,4 Series,2017,19349,N/A,29498,Petrol,48.7,2.0,bmw,30608116
57,2 Series,2018,16649,N/A,29659,Petrol,52.3,1.5,bmw,30602950
58,6 Series,2019,26049,N/A,29695,Diesel,44.1,2.0,bmw,30417357
59,X1,2016,16399,N/A,54838,Diesel,57.6,2.0,bmw,30485038
60,3 Series,2019,20599,N/A,52767,Diesel,62.8,2.0,bmw,30498606
61,2 Series,2019,17799,N/A,24310,Petrol,53.3,1.5,bmw,30514582
62,2 Series,2020,21899,N/A,24341,Petrol,38.7,1.5,bmw,30531395
63,3 Series,2019,23499,N/A,24345,Diesel,52.3,2.0,bmw,30557473
64,X3,2019,24799,N/A,24370,Diesel,56.5,2.0,bmw,30585567
65,X1,2018,18049,N/A,24638,Petrol,40.4,1.5,bmw,30643417
66,X2,2018,21049,N/A,24739,Diesel,49.6,2.0,bmw,30659841
67,X2,2018,21599,N/A,24808,Petrol,39.8,2.0,bmw,30732417
68,X2,2019,20899,N/A,24997,Diesel,49.6,2.0,bmw,30691373
69,X1,2020,21899,N/A,25060,Petrol,41.5,1.5,bmw,30562674
70,3 Series,2020,26399,N/A,25175,Petrol,42.2,2.0,bmw,30674636
71,X2,2019,19549,N/A,24282,Diesel,55.4,2.0,bmw,30643333
72,2 Series,2019,21199,N/A,27177,Diesel,47.9,2.0,bmw,30557556
73,1 Series,2016,13699,N/A,32649,Petrol,46.3,2.0,bmw,30417358
74,5 Series,2016,17049,N/A,32778,Diesel,60.1,2.0,bmw,30659951
75,X3,2019,27299,N/A,33453,Petrol,30.4,2.0,bmw,30113693
76,4 Series,2019,25949,N/A,33554,Petrol,41.5,3.0,bmw,30700841
77,2 Series,2018,16849,N/A,33988,Petrol,52.3,1.5,bmw,30683516
78,X4,2019,32049,N/A,34097,Diesel,42.8,2.0,bmw,30417108
79,2 Series,2018,16299,N/A,34187,Petrol,37.2,1.5,bmw,30659925
80,5 Series,2017,20799,N/A,34515,Diesel,51.4,3.0,bmw,30593693
81,1 Series,2017,14199,N/A,34705,Petrol,52.3,1.5,bmw,30703143
82,X1,2018,20399,N/A,35067,Petrol,35.3,2.0,bmw,30700683
83,1 Series,2019,14049,N/A,66487,Diesel,70.6,2.0,bmw,30531436
84,2 Series,2017,10449,N/A,52426,Diesel,70.6,1.5,bmw,30700742
85,4 Series,2018,25299,N/A,26809,Petrol,41.5,3.0,bmw,30531258
86,1 Series,2018,14349,N/A,26936,Petrol,38.2,1.5,bmw,30614960
87,2 Series,2019,21199,N/A,27177,Diesel,47.9,2.0,bmw,30557556
88,1 Series,2019,17949,N/A,27470,Petrol,54.3,1.5,bmw,30572204
89,1 Series,2017,16299,N/A,27540,Diesel,68.9,2.0,bmw,30498674
90,4 Series,2018,19699,N/A,27548,Petrol,48.7,2.0,bmw,30577467
91,2 Series,2019,19999,N/A,27570,Petrol,38.7,1.5,bmw,30448077
92,i3,2019,16749,Black,Electric,N/A,27695,,bmw,30643427
93,1 Series,2020,20349,N/A,27838,Diesel,54.3,1.5,bmw,30732534
94,1 Series,2018,16699,N/A,27991,Diesel,47.9,1.5,bmw,30603089
95,4 Series,2020,21949,N/A,20156,Petrol,48.7,2.0,bmw,30602945
96,1 Series,2017,13299,N/A,55174,Diesel,68.9,1.5,bmw,30384388
97,2 Series,2020,21599,N/A,28438,Petrol,43.5,1.5,bmw,30726715
98,3 Series,2016,15499,N/A,28481,Diesel,64.2,2.0,bmw,30460798
99,1 Series,2019,14499,N/A,28733,Diesel,78.5,1.5,bmw,30587865
100,3 Series,2020,27299,N/A,28911,Diesel,56.5,2.0,bmw,30531536
101,X1,2020,24799,N/A,29248,Petrol,40.9,1.5,bmw,30490052
102,2 Series,2017,16999,N/A,29287,Diesel,67.3,2.0,bmw,30726823
103,4 Series,2017,19349,N/A,29498,Petrol,48.7,2.0,bmw,30608116
104,3 Series,2019,18999,N/A,29560,Petrol,48.7,2.0,bmw,30498535
105,2 Series,2018,16649,N/A,29659,Petrol,52.3,1.5,bmw,30602950
106,6 Series,2019,26049,N/A,29695,Diesel,44.1,2.0,bmw,30417357
107,X3,2019,27999,N/A,44089,Diesel,54.3,2.0,bmw,30719590
108,1 Series,2020,18999,N/A,55641,Petrol,41.5,1.5,bmw,30700664
109,3 Series,2019,25549,N/A,39413,Petrol,41.5,2.0,bmw,30447763
110,2 Series,2018,17449,N/A,39554,Petrol,38.2,2.0,bmw,30438197
111,2 Series,2017,12749,N/A,40425,Diesel,65.7,1.5,bmw,30620687
112,2 Series,2018,16749,N/A,40472,Petrol,50.4,1.5,bmw,30703159
113,2 Series,2016,15799,N/A,40585,Diesel,68.9,2.0,bmw,30593707
114,5 Series,2018,23049,N/A,40604,Diesel,49.6,2.0,bmw,30674603
115,X2,2019,18049,N/A,40905,Petrol,43.5,1.5,bmw,30683486
116,4 Series,2019,20049,N/A,41053,Diesel,58.9,2.0,bmw,30554784
117,3 Series,2017,15549,N/A,41171,Diesel,67.3,2.0,bmw,30627189
118,3 Series,2018,19549,N/A,41176,Diesel,60.1,2.0,bmw,30649123
119,1 Series,2018,14699,N/A,48788,Diesel,48.7,1.5,bmw,30643275
120,1 Series,2017,13299,N/A,55174,Diesel,68.9,1.5,bmw,30384388
121,X1,2019,18699,N/A,41731,Diesel,52.3,2.0,bmw,30451738
122,1 Series,2017,12549,N/A,42326,Petrol,53.3,1.5,bmw,30602921
123,1 Series,2019,16999,N/A,42620,Diesel,70.6,1.5,bmw,30484814
124,3 Series,2019,24049,N/A,42917,Diesel,52.3,2.0,bmw,30649189
125,1 Series,2019,18999,N/A,44044,Petrol,41.5,1.5,bmw,30593689
126,X2,2019,18299,N/A,44666,Diesel,53.3,2.0,bmw,30424962
127,2 Series,2016,15549,N/A,45378,Diesel,60.1,2.0,bmw,30608174
128,3 Series,2018,14999,N/A,45870,Diesel,67.3,2.0,bmw,30466782
129,5 Series,2018,18799,N/A,45967,Diesel,49.6,2.0,bmw,29993404
130,X1,2019,17349,N/A,46380,Diesel,51.4,2.0,bmw,30674668
131,2 Series,2017,12749,N/A,40425,Diesel,65.7,1.5,bmw,30620687
132,2 Series,2019,18049,N/A,49568,Hybrid,113,1.5,bmw,30627140
133,1 Series,2020,20599,N/A,33064,Diesel,50.4,2.0,bmw,30447162
134,1 Series,2019,16499,N/A,33102,Diesel,50.4,1.5,bmw,30384543
135,X3,2019,27299,N/A,33453,Petrol,30.4,2.0,bmw,30113693
