,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,X1,2020,21899,N/A,25060,Petrol,41.5,1.5,bmw,30562674
1,5 Series,2013,6990,Automatic,150000,Diesel,55.4,2.0,bmw,30583890
2,X6,2019,53495,Automatic,53500,Diesel,None,3.0,bmw,30715467
3,i8,2017,37995,Automatic,66000,Other,134.5,1.5,bmw,30398367
4,1 Series,2019,11395,Manual,83777,Diesel,78.5,1.5,bmw,29993655
5,X2,2020,24395,Automatic,36128,Petrol,36.2,2.0,bmw,28931424
6,5 Series,2015,13880,Automatic,90000,Diesel,51.4,2.0,bmw,30538969
7,M3,2017,33995,Automatic,34779,Petrol,34,3.0,bmw,30159868
8,1 Series,2014,12495,Manual,40278,Diesel,58.9,2.0,bmw,29403184
9,2 Series,2019,17599,Manual,22200,Petrol,40.4,1.5,bmw,30693313
10,4 Series,2022,39995,Automatic,5941,Other,50.4,3.0,bmw,30608002
11,M3,2017,33049,N/A,53464,Petrol,34,3.0,bmw,30281352
12,3 Series,2019,18999,N/A,29560,Petrol,48.7,2.0,bmw,30498535
13,4 Series,2021,79995,Automatic,8500,Petrol,28,3.0,bmw,29941897
14,4 Series,2017,29995,Automatic,12050,Petrol,32.5,3.0,bmw,30706814
15,X3,2020,29995,Automatic,24363,Diesel,54.3,2.0,bmw,30659741
16,1 Series,2020,21995,Automatic,27440,Diesel,57.7,1.5,bmw,30557055
17,X3,2018,27495,Automatic,29111,Diesel,54.3,2.0,bmw,30389113
18,4 Series,2017,29995,Automatic,30539,Petrol,32.5,3.0,bmw,30706815
19,1 Series,2018,14495,Manual,40461,Petrol,52.3,1.5,bmw,30246151
20,5 Series,2018,19795,Automatic,42899,Diesel,68.9,2.0,bmw,30539118
21,2 Series,2020,21995,Automatic,44226,Diesel,53.3,2.0,bmw,30346648
22,X1,2017,17995,Automatic,45750,Diesel,60.1,2.0,bmw,30570773
23,X2,2019,20049,N/A,25204,Petrol,42.2,1.5,bmw,30325223
24,2 Series,2019,17749,N/A,8177,Diesel,None,2.0,bmw,30267208
25,1 Series,2015,11995,Automatic,51196,Diesel,70.6,2.0,bmw,30262572
26,X2,2018,18495,Manual,52327,Diesel,49.6,2.0,bmw,29998465
27,4 Series,2018,19995,Automatic,52952,Petrol,45.6,2.0,bmw,30173859
28,1 Series,2019,14395,Manual,53348,Diesel,65.7,2.0,bmw,30635265
29,1 Series,2019,19995,Manual,54485,Petrol,41.5,1.5,bmw,30324964
30,X6,2015,23995,Automatic,56871,Diesel,47.1,3.0,bmw,30706826
31,2 Series,2016,12495,Manual,57655,Petrol,50.4,1.5,bmw,30539096
32,3 Series,2015,15995,Automatic,60400,Diesel,57.6,2.0,bmw,30346651
33,X3,2015,14495,Automatic,64245,Diesel,54.3,2.0,bmw,30706825
34,3 Series,2017,16995,Automatic,67449,Diesel,56.5,3.0,bmw,29931765
35,2 Series,2016,17949,N/A,55428,Petrol,37.2,3.0,bmw,30593619
36,1 Series,2018,15399,N/A,43146,Diesel,49.6,2.0,bmw,30360652
37,6 Series,2018,22995,Automatic,94241,Diesel,47.9,3.0,bmw,30437933
38,5 Series,2019,16995,Automatic,121466,Other,156.9,2.0,bmw,30608006
39,1 Series,2019,13995,Manual,34367,Petrol,38.7,1.5,bmw,30539116
40,X2,2018,18495,Manual,52327,Diesel,49.6,2.0,bmw,29998465
41,X5,2016,26995,Automatic,61989,Diesel,47.1,3.0,bmw,27365165
42,3 Series,2018,14995,Automatic,67015,Diesel,67.3,2.0,bmw,30539117
43,3 Series,2017,16995,Automatic,67449,Diesel,56.5,3.0,bmw,29931765
44,3 Series,2018,16995,Automatic,73607,Petrol,46.3,2.0,bmw,29576789
45,5 Series,2019,19995,Automatic,90674,Diesel,60.1,3.0,bmw,29931715
46,X3,2018,27495,Automatic,29111,Diesel,54.3,2.0,bmw,30389113
47,3 Series,2019,24049,N/A,42917,Diesel,52.3,2.0,bmw,30649189
48,X2,2019,20899,N/A,24997,Diesel,49.6,2.0,bmw,30691373
49,1 Series,2018,14495,Manual,40461,Petrol,52.3,1.5,bmw,30246151
