,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,3 Series,2017,13549,N/A,55088,Diesel,64.2,2.0,bmw,30664239
1,3 Series,2020,28649,N/A,18005,Petrol,41.5,2.0,bmw,30655032
2,4 Series,2020,21949,N/A,20156,Petrol,48.7,2.0,bmw,30602945
3,X1,2020,26849,N/A,21001,Petrol,48.7,2.0,bmw,30674634
4,2 Series,2019,19949,N/A,21210,Petrol,50.4,1.5,bmw,30703153
5,i3,2020,20349,Black,Electric,N/A,21823,,bmw,30674590
6,X1,2019,25099,N/A,21957,Petrol,48.7,2.0,bmw,30691333
7,3 Series,2018,16549,N/A,22078,Petrol,54.3,1.5,bmw,30577473
8,2 Series,2019,18499,N/A,22166,Petrol,38.2,2.0,bmw,30557562
9,3 Series,2018,17549,N/A,22293,Hybrid,148.7,2.0,bmw,30602859
10,1 Series,2016,16049,N/A,22621,Diesel,68.9,1.5,bmw,30572355
11,4 Series,2018,19499,N/A,35487,Petrol,48.7,2.0,bmw,30451737
12,X3,2019,24799,N/A,24370,Diesel,56.5,2.0,bmw,30585567
13,2 Series,2019,19949,N/A,21210,Petrol,50.4,1.5,bmw,30703153
14,i3,2020,20349,Black,Electric,N/A,21823,,bmw,30674590
15,X1,2019,25099,N/A,21957,Petrol,48.7,2.0,bmw,30691333
16,3 Series,2018,16549,N/A,22078,Petrol,54.3,1.5,bmw,30577473
17,2 Series,2019,18499,N/A,22166,Petrol,38.2,2.0,bmw,30557562
18,3 Series,2018,17549,N/A,22293,Hybrid,148.7,2.0,bmw,30602859
19,1 Series,2016,16049,N/A,22621,Diesel,68.9,1.5,bmw,30572355
20,1 Series,2020,19299,N/A,23082,Diesel,53.3,2.0,bmw,30046053
21,X1,2019,22799,N/A,23632,Petrol,39.2,2.0,bmw,30557537
22,3 Series,2019,25699,N/A,23650,Diesel,52.3,2.0,bmw,30424971
23,4 Series,2016,15899,N/A,69505,Diesel,65.7,2.0,bmw,30572075
24,2 Series,2018,17449,N/A,39554,Petrol,38.2,2.0,bmw,30438197
25,4 Series,2018,20049,N/A,27548,Petrol,48.7,2.0,bmw,30577467
26,i3,2019,17049,Black,Electric,N/A,27695,,bmw,30643427
27,1 Series,2018,16699,N/A,27991,Diesel,47.9,1.5,bmw,30603089
28,1 Series,2019,14499,N/A,28733,Diesel,78.5,1.5,bmw,30587865
29,4 Series,2017,19349,N/A,29498,Petrol,48.7,2.0,bmw,30608116
30,2 Series,2018,16649,N/A,29659,Petrol,52.3,1.5,bmw,30602950
31,X1,2019,23049,N/A,29909,Petrol,39.2,2.0,bmw,30602911
32,2 Series,2019,14849,N/A,30919,Petrol,42.8,1.5,bmw,30679014
33,2 Series,2019,17549,N/A,31166,Petrol,52.3,1.5,bmw,30674594
34,1 Series,2020,23599,N/A,31246,Petrol,40.4,1.5,bmw,30655037
35,X1,2019,22699,N/A,25503,Petrol,39.2,2.0,bmw,30484951
36,1 Series,2020,19999,N/A,10964,Petrol,41.5,1.5,bmw,30161978
37,1 Series,2018,23599,N/A,31588,Petrol,32.5,3.0,bmw,30572193
38,5 Series,2018,22599,N/A,32037,Diesel,65.7,2.0,bmw,30588052
39,X2,2019,17699,N/A,32056,Diesel,55.4,2.0,bmw,30572164
40,i3,2020,16549,Grey,Electric,N/A,32222,,bmw,30703196
41,3 Series,2018,15249,N/A,32625,Diesel,68.9,2.0,bmw,30602959
42,5 Series,2016,17049,N/A,32778,Diesel,60.1,2.0,bmw,30659951
43,4 Series,2019,25949,N/A,33554,Petrol,41.5,3.0,bmw,30700841
44,2 Series,2018,16849,N/A,33988,Petrol,52.3,1.5,bmw,30683516
45,2 Series,2018,16299,N/A,34187,Petrol,37.2,1.5,bmw,30659925
46,1 Series,2017,14199,N/A,34705,Petrol,52.3,1.5,bmw,30703143
47,4 Series,2019,21699,N/A,42574,Diesel,58.9,2.0,bmw,30562675
48,3 Series,2018,17849,N/A,63664,Hybrid,None,2.0,bmw,30719721
49,X1,2018,20399,N/A,35067,Petrol,35.3,2.0,bmw,30700683
50,1 Series,2019,16699,N/A,35219,Diesel,58.9,1.5,bmw,30700547
51,2 Series,2019,17049,N/A,35530,Diesel,50.4,2.0,bmw,30643330
52,X2,2019,21299,N/A,35542,Diesel,50.4,2.0,bmw,30602785
53,1 Series,2017,13099,N/A,35646,Petrol,53.3,1.5,bmw,30700681
54,1 Series,2021,23549,N/A,36105,Diesel,51.4,2.0,bmw,30557514
55,1 Series,2017,14999,N/A,36127,Petrol,55.5,1.5,bmw,30643367
56,1 Series,2020,20349,N/A,36202,Diesel,54.3,2.0,bmw,30608122
57,3 Series,2018,16499,N/A,36984,Petrol,47.9,2.0,bmw,30572098
58,4 Series,2016,18899,N/A,37468,Petrol,48.7,2.0,bmw,30572243
59,X2,2019,19049,N/A,34588,Diesel,52.3,2.0,bmw,30582245
60,5 Series,2016,12049,N/A,63594,Diesel,68.9,2.0,bmw,30201062
61,3 Series,2019,20749,N/A,37536,Diesel,54.3,2.0,bmw,30678952
62,3 Series,2018,18399,N/A,37638,Diesel,64.2,2.0,bmw,30700783
63,5 Series,2019,24549,N/A,38052,Diesel,49.6,2.0,bmw,30603145
64,3 Series,2020,21049,N/A,38143,Diesel,55.4,2.0,bmw,30627152
65,4 Series,2019,20549,N/A,38678,Diesel,65.7,2.0,bmw,30654910
66,X2,2018,19049,N/A,39334,Diesel,50.4,2.0,bmw,30643504
67,2 Series,2017,12749,N/A,40425,Diesel,65.7,1.5,bmw,30620687
68,2 Series,2018,16749,N/A,40472,Petrol,50.4,1.5,bmw,30703159
69,5 Series,2018,23049,N/A,40604,Diesel,49.6,2.0,bmw,30674603
70,X2,2019,18049,N/A,40905,Petrol,43.5,1.5,bmw,30683486
71,4 Series,2016,18899,N/A,37468,Petrol,48.7,2.0,bmw,30572243
72,X3,2017,18549,N/A,63608,Diesel,47.9,3.0,bmw,30271436
73,4 Series,2019,20049,N/A,41053,Diesel,58.9,2.0,bmw,30554784
74,3 Series,2017,15549,N/A,41171,Diesel,67.3,2.0,bmw,30627189
75,3 Series,2018,19549,N/A,41176,Diesel,60.1,2.0,bmw,30649123
76,1 Series,2017,12549,N/A,42326,Petrol,53.3,1.5,bmw,30602921
77,1 Series,2019,13449,N/A,42727,Diesel,78.5,1.5,bmw,30664192
78,3 Series,2019,24049,N/A,42917,Diesel,52.3,2.0,bmw,30649189
79,X2,2020,17249,N/A,45210,Diesel,55.4,2.0,bmw,30299706
80,2 Series,2016,15549,N/A,45378,Diesel,60.1,2.0,bmw,30608174
