,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,3 Series,2019,16349,N/A,67836,Diesel,56.5,2.0,bmw,30299656
1,3 Series,2012,7989,Manual,86977,Diesel,55.4,2.0,bmw,30364807
2,3 Series,2012,6989,Automatic,122111,Diesel,60.1,2.0,bmw,30494852
3,5 Series,2017,13200,Automatic,138000,Diesel,72.4,2.0,bmw,30048324
4,X1,2019,19489,Manual,34314,Petrol,51.4,1.5,bmw,30454126
5,2 Series,2022,28599,N/A,5445,Petrol,45.6,1.5,bmw,30572207
6,2 Series,2022,31049,N/A,13351,Diesel,53.3,2.0,bmw,30627178
7,1 Series,2020,24049,N/A,13896,Petrol,40.4,1.5,bmw,30572345
8,1 Series,2020,23749,N/A,15276,Petrol,40.4,1.5,bmw,30679036
9,3 Series,2016,18799,N/A,15607,Diesel,64.2,2.0,bmw,30643325
10,1 Series,2019,21349,N/A,16843,Petrol,42.8,1.5,bmw,30654959
11,3 Series,2018,23999,N/A,62015,Diesel,49.6,3.0,bmw,30531493
12,2 Series,2016,15799,N/A,40585,Diesel,68.9,2.0,bmw,30593707
13,X1,2019,24599,N/A,14560,Petrol,39.2,2.0,bmw,30498571
14,1 Series,2020,23749,N/A,15276,Petrol,40.4,1.5,bmw,30679036
15,1 Series,2017,14299,N/A,15477,Diesel,68.9,2.0,bmw,30507582
16,3 Series,2016,18799,N/A,15607,Diesel,64.2,2.0,bmw,30643325
17,X2,2019,19799,N/A,15691,Diesel,55.4,2.0,bmw,30417398
18,1 Series,2019,21349,N/A,16843,Petrol,42.8,1.5,bmw,30654959
19,1 Series,2020,21999,N/A,17004,Petrol,41.5,1.5,bmw,30572234
20,X2,2019,19549,N/A,17165,Petrol,42.8,1.5,bmw,30687400
21,2 Series,2018,19199,N/A,17178,Petrol,48.7,1.5,bmw,30476877
22,2 Series,2020,28299,N/A,17800,Petrol,36.2,2.0,bmw,30421728
23,X2,2019,20899,N/A,24997,Diesel,49.6,2.0,bmw,30691373
24,5 Series,2018,19349,N/A,56329,Hybrid,156.9,2.0,bmw,30531271
25,3 Series,2020,28649,N/A,18005,Petrol,41.5,2.0,bmw,30655032
26,1 Series,2020,19699,N/A,18126,Petrol,44.1,1.5,bmw,30490046
27,X2,2019,18499,N/A,18881,Petrol,42.8,1.5,bmw,30456288
28,X2,2020,20599,N/A,19237,Diesel,55.4,2.0,bmw,30480277
29,2 Series,2021,22299,N/A,19509,Petrol,47.1,1.5,bmw,30562778
30,2 Series,2020,22499,N/A,19529,Petrol,47.9,2.0,bmw,30429282
31,4 Series,2020,21949,N/A,20156,Petrol,48.7,2.0,bmw,30602945
32,1 Series,2020,20999,N/A,20414,Petrol,41.5,1.5,bmw,30417161
33,X1,2020,26849,N/A,21001,Petrol,48.7,2.0,bmw,30674634
34,5 Series,2019,24499,N/A,21192,Petrol,50.4,2.0,bmw,30531540
35,4 Series,2017,16849,N/A,47882,Diesel,65.7,2.0,bmw,30664262
36,1 Series,2017,14049,N/A,67834,Diesel,67.3,2.0,bmw,30674743
37,2 Series,2019,19949,N/A,21210,Petrol,50.4,1.5,bmw,30703153
38,i3,2020,20349,Black,Electric,N/A,21823,,bmw,30674590
39,X1,2019,25099,N/A,21957,Petrol,48.7,2.0,bmw,30691333
40,3 Series,2018,16549,N/A,22078,Petrol,54.3,1.5,bmw,30577473
41,1 Series,2020,21199,N/A,22099,Petrol,41.5,1.5,bmw,30484640
42,2 Series,2019,18499,N/A,22166,Petrol,38.2,2.0,bmw,30557562
43,3 Series,2018,17549,N/A,22293,Hybrid,148.7,2.0,bmw,30602859
44,1 Series,2016,16049,N/A,22621,Diesel,68.9,1.5,bmw,30572355
45,1 Series,2019,21999,N/A,22673,Diesel,57.7,1.5,bmw,30588067
46,4 Series,2019,21999,N/A,23027,Petrol,48.7,2.0,bmw,30602783
47,1 Series,2020,20999,N/A,20414,Petrol,41.5,1.5,bmw,30417161
48,2 Series,2018,14749,N/A,57127,Diesel,62.8,1.5,bmw,30643435
49,i3,2019,17049,Black,Electric,N/A,27695,,bmw,30643427
50,1 Series,2018,16699,N/A,27991,Diesel,47.9,1.5,bmw,30603089
51,1 Series,2019,14499,N/A,28733,Diesel,78.5,1.5,bmw,30587865
52,4 Series,2017,19349,N/A,29498,Petrol,48.7,2.0,bmw,30608116
53,2 Series,2018,16649,N/A,29659,Petrol,52.3,1.5,bmw,30602950
54,X1,2019,23049,N/A,29909,Petrol,39.2,2.0,bmw,30602911
55,2 Series,2019,14849,N/A,30919,Petrol,42.8,1.5,bmw,30679014
56,2 Series,2019,17549,N/A,31166,Petrol,52.3,1.5,bmw,30674594
57,1 Series,2020,23599,N/A,31246,Petrol,40.4,1.5,bmw,30655037
58,1 Series,2018,23599,N/A,31588,Petrol,32.5,3.0,bmw,30572193
59,X1,2019,22799,N/A,23632,Petrol,39.2,2.0,bmw,30557537
60,6 Series,2019,26049,N/A,29695,Diesel,44.1,2.0,bmw,30417357
61,X2,2019,20899,N/A,24997,Diesel,49.6,2.0,bmw,30691373
62,X1,2020,22299,N/A,25060,Petrol,41.5,1.5,bmw,30562674
63,3 Series,2020,26399,N/A,25175,Petrol,42.2,2.0,bmw,30674636
64,X1,2018,22549,N/A,25300,Petrol,35.3,2.0,bmw,30498557
65,5 Series,2019,25799,N/A,25476,Diesel,49.6,2.0,bmw,30572150
66,X1,2019,22999,N/A,25503,Petrol,39.2,2.0,bmw,30484951
67,i3,2018,15549,Blue,Electric,N/A,25719,,bmw,30614955
68,2 Series,2018,17049,N/A,25731,Petrol,53.3,1.5,bmw,30531405
69,2 Series,2017,13049,N/A,26018,Diesel,68.9,2.0,bmw,30447767
70,X2,2018,21299,N/A,26071,Petrol,39.2,2.0,bmw,30476714
71,3 Series,2019,17049,N/A,69382,Diesel,56.5,2.0,bmw,30664224
72,4 Series,2016,18899,N/A,37468,Petrol,48.7,2.0,bmw,30572243
73,3 Series,2019,26549,N/A,26311,Diesel,52.3,2.0,bmw,30615002
74,X1,2018,19499,N/A,26657,Diesel,60.1,2.0,bmw,30476837
75,4 Series,2018,25549,N/A,26809,Petrol,41.5,3.0,bmw,30531258
76,1 Series,2018,14349,N/A,26936,Petrol,38.2,1.5,bmw,30614960
77,2 Series,2019,21549,N/A,27177,Diesel,47.9,2.0,bmw,30557556
78,X3,2019,29049,N/A,27327,Diesel,54.3,2.0,bmw,30417109
79,1 Series,2019,18049,N/A,27470,Petrol,54.3,1.5,bmw,30572204
80,1 Series,2017,16299,N/A,27540,Diesel,68.9,2.0,bmw,30498674
81,4 Series,2018,20049,N/A,27548,Petrol,48.7,2.0,bmw,30577467
82,2 Series,2019,19999,N/A,27570,Petrol,38.7,1.5,bmw,30448077
83,1 Series,2020,21299,N/A,33064,Diesel,50.4,2.0,bmw,30447162
84,2 Series,2021,22299,N/A,19509,Petrol,47.1,1.5,bmw,30562778
85,3 Series,2018,16499,N/A,36984,Petrol,47.9,2.0,bmw,30572098
86,4 Series,2016,18899,N/A,37468,Petrol,48.7,2.0,bmw,30572243
87,3 Series,2019,20749,N/A,37536,Diesel,54.3,2.0,bmw,30678952
88,3 Series,2018,18399,N/A,37638,Diesel,64.2,2.0,bmw,30700783
89,5 Series,2019,24549,N/A,38052,Diesel,49.6,2.0,bmw,30603145
90,3 Series,2020,21049,N/A,38143,Diesel,55.4,2.0,bmw,30627152
91,4 Series,2018,17449,N/A,38179,Petrol,46.3,2.0,bmw,30608128
92,4 Series,2019,20549,N/A,38678,Diesel,65.7,2.0,bmw,30654910
