,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,1 Series,2019,17049,N/A,32713,Diesel,70.6,1.5,bmw,30582315
1,3 Series,2018,16499,Automatic,24735,Petrol,51.4,2,bmw,30363109
2,2 Series,2016,13999,Manual,30578,Diesel,68.9,1.5,bmw,30679327
3,5 Series,2016,18999,Automatic,32156,Diesel,53.3,3,bmw,30701241
4,3 Series,2017,15299,Manual,34174,Petrol,41.5,2,bmw,30583734
5,1 Series,2018,14499,Manual,38714,Petrol,52.3,1.5,bmw,30645213
6,1 Series,2016,12499,Manual,40758,Diesel,70.6,1.5,bmw,30431451
7,1 Series,2017,14499,Automatic,55626,Diesel,62.8,2,bmw,30386102
8,3 Series,2017,13799,Manual,72333,Diesel,58.9,2,bmw,30252441
9,3 Series,2015,12499,Automatic,73456,Diesel,58.9,2,bmw,30733670
10,5 Series,2015,14499,Automatic,78257,Diesel,50.4,3,bmw,29802842
11,4 Series,2018,16949,N/A,38179,Petrol,46.3,2.0,bmw,30608128
12,1 Series,2020,17749,N/A,18667,Petrol,44.1,1.5,bmw,30299805
13,3 Series,2013,8999,Automatic,83721,Diesel,50.4,2,bmw,30743612
14,4 Series,2018,16593,Manual,44479,Petrol,46.3,2,bmw,30743016
15,2 Series,2018,19114,Semi-Auto,18361,Petrol,51.4,1.5,bmw,30751506
16,1 Series,2016,19499,Manual,26000,Petrol,36.2,3,bmw,30375185
17,4 Series,2018,19999,Automatic,52000,Diesel,58.9,2,bmw,30291606
18,6 Series,2017,21999,Automatic,55000,Diesel,49.6,3,bmw,28930398
19,4 Series,2018,23499,Automatic,55000,Diesel,49.6,3,bmw,28071109
20,2 Series,2015,11999,Manual,56000,Diesel,64.2,2,bmw,27535497
21,X5,2015,22999,Automatic,58000,Diesel,47.9,2,bmw,30604232
22,2 Series,2017,12999,Manual,60000,Petrol,52.3,1.5,bmw,27277767
23,3 Series,2019,19549,N/A,36086,Diesel,56.5,2.0,bmw,30593687
24,1 Series,2019,17899,N/A,43987,Diesel,54.3,1.5,bmw,30741076
25,5 Series,2018,19499,Automatic,62000,Diesel,68.9,2,bmw,30622571
26,M3,2013,23499,Semi-Auto,68000,Petrol,25.2,4,bmw,29170999
27,3 Series,2016,9999,Manual,89000,Diesel,67.3,2,bmw,27904173
28,1 Series,2015,7499,Manual,100000,Petrol,50.4,1.6,bmw,30105108
29,3 Series,2008,2999,Manual,118000,Diesel,57.6,2,bmw,30743654
30,1 Series,2013,8995,Automatic,68313,Petrol,50.4,1.6,bmw,30305285
31,3 Series,2010,5375,Manual,99316,Diesel,62.8,2.0,bmw,30122798
32,1 Series,2017,22995,Automatic,35000,Petrol,39.8,3.0,bmw,29933880
33,X6,2016,27995,Automatic,49000,Diesel,44.8,3.0,bmw,30713789
34,5 Series,2014,12995,Automatic,54000,Diesel,57.6,2.0,bmw,30725640
35,X1,2019,18449,N/A,50473,Petrol,37.7,2.0,bmw,30726788
36,5 Series,2016,18049,N/A,45121,Petrol,43.5,2.0,bmw,30755154
37,1 Series,2017,17995,Automatic,34000,Diesel,67.3,2.0,bmw,30324264
38,3 Series,2017,23995,Automatic,34000,Diesel,51.4,3.0,bmw,30001170
39,1 Series,2019,14695,Manual,37000,Diesel,78.5,1.5,bmw,30537979
40,5 Series,2016,17495,Automatic,41700,Diesel,62.8,2.0,bmw,30001156
41,4 Series,2017,18995,Automatic,43000,Petrol,48.7,2.0,bmw,29930769
42,4 Series,2014,13995,Manual,71000,Diesel,53.3,2.0,bmw,30324278
43,3 Series,2014,11995,Manual,75800,Diesel,61.4,2.0,bmw,30537980
44,1 Series,2011,5995,Manual,96000,Diesel,None,2.0,bmw,30707272
45,2 Series,2017,13995,Manual,30986,Petrol,48.7,1.5,bmw,28777305
46,3 Series,2013,12995,Automatic,46975,Diesel,57.6,2.0,bmw,29606090
47,1 Series,2018,15399,N/A,43146,Diesel,49.6,2.0,bmw,30360652
48,X2,2018,18899,N/A,43782,Diesel,58.9,2.0,bmw,30261022
49,Z3,2001,4995,Manual,54000,Petrol,35.8,1.9,bmw,28685256
50,2 Series,2018,14995,Manual,55000,Petrol,52.3,1.5,bmw,29940810
