,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,2 Series,2016,12049,N/A,45666,Petrol,52.3,1.5,bmw,30514590
1,1 Series,2014,11000,Manual,53000,Diesel,64.2,2.0,bmw,30449034
2,1 Series,2016,12000,Manual,65000,Diesel,65.7,2.0,bmw,30435775
3,Z4,2021,31490,Semi-Auto,12888,Petrol,38.7,2,bmw,30486211
4,X5,2019,42470,Semi-Auto,50907,Diesel,37.7,3,bmw,30508658
5,2 Series,2019,16999,Manual,36002,Petrol,40.4,1.5,bmw,30555100
6,1 Series,2017,14899,Semi-Auto,63078,Diesel,65.7,2,bmw,30580383
7,2 Series,2015,13280,Semi-Auto,82639,Petrol,47.1,2,bmw,30655224
8,2 Series,2016,13999,Manual,34754,Petrol,48.7,1.5,bmw,30555111
9,1 Series,2015,10499,Manual,77106,Diesel,70.6,1.5,bmw,30682227
10,X5,2009,10290,Automatic,84000,Diesel,34,3.0,bmw,30633069
11,1 Series,2017,14049,N/A,67834,Diesel,67.3,2.0,bmw,30674743
12,2 Series,2020,28699,N/A,17800,Petrol,36.2,2.0,bmw,30421728
13,X6,2023,74990,Automatic,1900,Petrol,23,4.4,bmw,30242111
14,i3,2020,19390,White,Electric,Automatic,21800,,bmw,29965971
15,X1,2015,15500,Automatic,30939,Diesel,52.3,2.0,bmw,30657270
16,X1,2013,13795,Automatic,42908,Diesel,51.4,2.0,bmw,30652048
17,X1,2013,11400,Automatic,48373,Diesel,52.3,2.0,bmw,30652045
18,3 Series,2013,9750,Automatic,75109,Diesel,50.4,2.0,bmw,30652047
19,3 Series,2014,17850,Automatic,70733,Diesel,50.4,3.0,bmw,30652042
20,1 Series,2020,22949,N/A,1170,Petrol,40.4,1.5,bmw,30289979
21,2 Series,2022,28599,N/A,5445,Petrol,45.6,1.5,bmw,30572207
22,1 Series,2022,33699,Semi-Auto,9019,Petrol,34.5,2.0,bmw,30476836
23,5 Series,2018,18799,N/A,45967,Diesel,49.6,2.0,bmw,29993404
24,1 Series,2020,22949,N/A,1170,Petrol,40.4,1.5,bmw,30289979
25,2 Series,2018,18299,N/A,12609,Diesel,51.4,2.0,bmw,30392913
26,1 Series,2021,22999,N/A,12963,Petrol,44.1,1.5,bmw,30208474
27,2 Series,2022,31049,N/A,13351,Diesel,53.3,2.0,bmw,30627178
28,1 Series,2020,24049,N/A,13896,Petrol,40.4,1.5,bmw,30572345
29,1 Series,2020,23999,N/A,14265,Petrol,40.4,1.5,bmw,30498579
30,X1,2019,24599,N/A,14560,Petrol,39.2,2.0,bmw,30498571
31,1 Series,2020,23749,N/A,15276,Petrol,40.4,1.5,bmw,30679036
32,1 Series,2017,14299,N/A,15477,Diesel,68.9,2.0,bmw,30507582
33,3 Series,2016,18799,N/A,15607,Diesel,64.2,2.0,bmw,30643325
34,X2,2019,19999,N/A,15691,Diesel,55.4,2.0,bmw,30417398
35,1 Series,2022,33699,Semi-Auto,9019,Petrol,34.5,2.0,bmw,30476836
36,3 Series,2019,17049,N/A,69382,Diesel,56.5,2.0,bmw,30664224
37,X2,2018,21849,N/A,15868,Petrol,39.2,2.0,bmw,30317285
38,1 Series,2019,18799,N/A,16522,Petrol,44.1,1.5,bmw,30490056
39,1 Series,2019,21349,N/A,16843,Petrol,42.8,1.5,bmw,30654959
40,3 Series,2019,24799,N/A,16872,Petrol,42.2,2.0,bmw,30384460
41,1 Series,2020,21999,N/A,17004,Petrol,41.5,1.5,bmw,30572234
42,X2,2019,19549,N/A,17165,Petrol,42.8,1.5,bmw,30687400
43,2 Series,2018,19199,N/A,17178,Petrol,48.7,1.5,bmw,30476877
44,5 Series,2020,29999,N/A,17374,Diesel,47.9,2.0,bmw,30384661
45,2 Series,2020,28699,N/A,17800,Petrol,36.2,2.0,bmw,30421728
46,3 Series,2020,28649,N/A,18005,Petrol,41.5,2.0,bmw,30655032
47,2 Series,2022,31049,N/A,13351,Diesel,53.3,2.0,bmw,30627178
48,i3,2019,17049,Black,Electric,N/A,27695,,bmw,30643427
49,1 Series,2020,19699,N/A,18126,Petrol,44.1,1.5,bmw,30490046
50,X2,2019,18499,N/A,18881,Petrol,42.8,1.5,bmw,30456288
51,X2,2020,20599,N/A,19237,Diesel,55.4,2.0,bmw,30480277
52,2 Series,2021,22299,N/A,19509,Petrol,47.1,1.5,bmw,30562778
53,2 Series,2020,22799,N/A,19529,Petrol,47.9,2.0,bmw,30429282
54,4 Series,2020,21949,N/A,20156,Petrol,48.7,2.0,bmw,30602945
55,1 Series,2020,21299,N/A,20414,Petrol,41.5,1.5,bmw,30417161
56,X1,2020,26849,N/A,21001,Petrol,48.7,2.0,bmw,30674634
57,5 Series,2019,24499,N/A,21192,Petrol,50.4,2.0,bmw,30531540
58,i3,2020,20349,Black,Electric,N/A,21823,,bmw,30674590
59,X2,2019,17799,N/A,34300,Diesel,55.4,2.0,bmw,30507549
60,3 Series,2019,17049,N/A,69382,Diesel,56.5,2.0,bmw,30664224
61,X1,2019,25099,N/A,21957,Petrol,48.7,2.0,bmw,30691333
62,3 Series,2018,16549,N/A,22078,Petrol,54.3,1.5,bmw,30577473
63,1 Series,2020,21199,N/A,22099,Petrol,41.5,1.5,bmw,30484640
64,1 Series,2019,20799,N/A,22153,Petrol,40.4,1.5,bmw,30260974
65,2 Series,2019,18499,N/A,22166,Petrol,38.2,2.0,bmw,30557562
66,3 Series,2018,17549,N/A,22293,Hybrid,148.7,2.0,bmw,30602859
67,1 Series,2016,16049,N/A,22621,Diesel,68.9,1.5,bmw,30572355
68,1 Series,2019,21999,N/A,22673,Diesel,57.7,1.5,bmw,30588067
69,4 Series,2019,21999,N/A,23027,Petrol,48.7,2.0,bmw,30602783
70,1 Series,2020,19299,N/A,23082,Diesel,53.3,2.0,bmw,30046053
71,2 Series,2018,17849,N/A,39554,Petrol,38.2,2.0,bmw,30438197
72,X2,2019,17049,N/A,52006,Diesel,52.3,2.0,bmw,30384482
73,5 Series,2017,20049,N/A,23309,Diesel,68.9,2.0,bmw,30593677
74,X1,2019,22799,N/A,23632,Petrol,39.2,2.0,bmw,30557537
75,3 Series,2019,25999,N/A,23650,Diesel,52.3,2.0,bmw,30424971
76,X1,2020,25049,N/A,24157,Petrol,40.9,1.5,bmw,30429194
77,X2,2019,19549,N/A,24282,Diesel,55.4,2.0,bmw,30643333
78,2 Series,2019,18199,N/A,24310,Petrol,53.3,1.5,bmw,30514582
79,2 Series,2020,21899,N/A,24341,Petrol,38.7,1.5,bmw,30531395
80,3 Series,2019,23999,N/A,24345,Diesel,52.3,2.0,bmw,30557473
81,X3,2019,25799,N/A,24361,Diesel,56.5,2.0,bmw,30585567
82,X1,2018,18049,N/A,24638,Petrol,40.4,1.5,bmw,30643417
83,4 Series,2018,17199,N/A,60402,Diesel,65.7,2.0,bmw,30683581
84,1 Series,2020,24049,N/A,13896,Petrol,40.4,1.5,bmw,30572345
85,X2,2018,21049,N/A,24739,Diesel,49.6,2.0,bmw,30659841
86,3 Series,2018,19049,N/A,24882,Petrol,47.9,2.0,bmw,30308127
87,X2,2019,20899,N/A,24997,Diesel,49.6,2.0,bmw,30691373
88,X1,2020,22299,N/A,25060,Petrol,41.5,1.5,bmw,30562674
89,3 Series,2020,26399,N/A,25175,Petrol,42.2,2.0,bmw,30674636
90,X2,2019,20049,N/A,25204,Petrol,42.2,1.5,bmw,30325223
91,X1,2018,22549,N/A,25300,Petrol,35.3,2.0,bmw,30498557
92,5 Series,2019,25799,N/A,25476,Diesel,49.6,2.0,bmw,30572150
93,X1,2019,22999,N/A,25503,Petrol,39.2,2.0,bmw,30484951
94,i3,2018,15549,Blue,Electric,N/A,25719,,bmw,30614955
95,X1,2020,24799,N/A,29248,Petrol,40.9,1.5,bmw,30490052
96,1 Series,2019,17049,N/A,33102,Diesel,50.4,1.5,bmw,30384543
97,2 Series,2018,17049,N/A,25731,Petrol,53.3,1.5,bmw,30531405
98,2 Series,2017,13549,N/A,26018,Diesel,68.9,2.0,bmw,30447767
99,X2,2018,21299,N/A,26071,Petrol,39.2,2.0,bmw,30476714
100,3 Series,2019,26899,N/A,26292,Diesel,48.7,2.0,bmw,30438249
101,3 Series,2019,26549,N/A,26311,Diesel,52.3,2.0,bmw,30615002
102,2 Series,2020,21899,N/A,26572,Petrol,43.5,1.5,bmw,30485008
103,X1,2018,19499,N/A,26657,Diesel,60.1,2.0,bmw,30476837
104,4 Series,2018,25549,N/A,26809,Petrol,41.5,3.0,bmw,30531258
105,2 Series,2018,12499,N/A,26882,Diesel,58.9,1.5,bmw,30103605
106,1 Series,2018,14349,N/A,26936,Petrol,38.2,1.5,bmw,30614960
107,6 Series,2019,26349,N/A,29695,Diesel,44.1,2.0,bmw,30417357
108,X2,2019,17599,N/A,54399,Diesel,52.3,2.0,bmw,30551782
109,2 Series,2019,21549,N/A,27177,Diesel,47.9,2.0,bmw,30557556
110,X3,2019,29699,N/A,27327,Diesel,54.3,2.0,bmw,30417109
111,1 Series,2019,18049,N/A,27470,Petrol,54.3,1.5,bmw,30572204
112,1 Series,2017,16299,N/A,27540,Diesel,68.9,2.0,bmw,30498674
113,4 Series,2018,20049,N/A,27548,Petrol,48.7,2.0,bmw,30577467
114,2 Series,2019,20499,N/A,27570,Petrol,38.7,1.5,bmw,30448077
115,i3,2019,17049,Black,Electric,N/A,27695,,bmw,30643427
