,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Golf,2021,26799,N/A,24264,Diesel,54.3,2.0,volkswagen,29888496
1,Polo,2021,13990,Manual,59250,Petrol,51.4,1.0,volkswagen,30690262
2,Golf,2018,11990,Manual,84000,Petrol,58.9,1.0,volkswagen,30642651
3,Golf,2019,12490,Manual,86000,Diesel,57.7,1.6,volkswagen,30632328
4,Golf,2017,14950,Automatic,98162,Diesel,62.8,2.0,volkswagen,29901470
5,Touran,2021,21950,Automatic,44762,Petrol,42.8,1.5,volkswagen,30669404
6,T-Cross,2021,18750,Manual,17573,Petrol,48.7,1.0,volkswagen,29396493
7,Polo,2022,18995,Manual,8000,Petrol,52.3,1.0,volkswagen,30632316
8,Golf,2019,15995,Manual,53000,Diesel,55.4,1.6,volkswagen,27299371
9,T-Roc,2019,11995,Manual,114000,Diesel,51.4,1.6,volkswagen,30116852
10,T-Roc,2023,33490,Automatic,8,Diesel,57.7,2.0,volkswagen,30735710
11,Golf,2017,12549,N/A,52078,Diesel,58.9,1.6,volkswagen,30751685
12,Tiguan Allspace,2020,21549,N/A,49865,Diesel,46.3,2.0,volkswagen,30674653
13,Tiguan,2023,35990,Automatic,45,Petrol,40.4,1.5,volkswagen,30658172
14,Golf,2023,26950,Manual,1969,Petrol,49.6,1.5,volkswagen,30636881
15,Golf,2023,26750,Manual,2366,Petrol,49.6,1.5,volkswagen,30682657
16,ID4,2023,32750,Solid,Other,Automatic,None,,volkswagen,30636954
17,ID3,2023,30495,Solid,Other,Automatic,None,,volkswagen,30636957
18,Touareg,2023,71988,Automatic,4035,Diesel,33.6,3.0,volkswagen,30116789
19,Tiguan,2023,35990,Automatic,4166,Petrol,40.4,1.5,volkswagen,30636827
20,Polo,2022,19490,Automatic,4745,Petrol,51.4,1.0,volkswagen,30470602
21,Tiguan Allspace,2023,38950,Automatic,4849,Diesel,42.8,2.0,volkswagen,30636878
22,Golf,2022,27750,Automatic,6269,Petrol,49.6,1.5,volkswagen,30702736
23,Tiguan,2017,21799,N/A,27151,Diesel,58.9,2.0,volkswagen,30407571
24,Passat,2020,22599,N/A,24810,Petrol,43.5,1.5,volkswagen,30572035
25,Golf,2019,16450,Manual,8101,Petrol,51.4,1.0,volkswagen,30636905
26,Passat,2021,28450,Automatic,8464,Petrol,43.5,1.4,volkswagen,30071344
27,Tiguan,2023,37990,Automatic,8790,Diesel,49.6,2.0,volkswagen,30702725
28,Tiguan,2023,27990,Automatic,8919,Petrol,40.4,1.5,volkswagen,30682658
29,Polo,2021,18350,Manual,9001,Petrol,54.3,1.0,volkswagen,30669619
30,Golf,2022,24990,Manual,9952,Petrol,51.4,1.5,volkswagen,30735718
31,Arteon,2022,29750,Automatic,11182,Petrol,39.2,2.0,volkswagen,30654317
32,Passat,2021,25990,Automatic,12043,Petrol,43.5,1.4,volkswagen,29953942
33,Golf,2020,19850,Manual,12291,Petrol,49.6,1.5,volkswagen,30723280
34,Golf,2021,28490,Automatic,12513,Petrol,176.6,1.4,volkswagen,30730530
35,Passat,2020,19599,N/A,10470,Petrol,45.6,1.5,volkswagen,30476863
36,Polo,2019,12549,N/A,35519,Petrol,48.7,1.0,volkswagen,30531342
37,Golf,2021,28490,Automatic,12513,Petrol,176.6,1.4,volkswagen,30730530
38,Arteon,2023,31490,Automatic,12596,Petrol,39.2,2.0,volkswagen,30636882
39,Arteon,2023,46950,Automatic,12763,Petrol,36.2,2.0,volkswagen,30735717
40,Polo,2021,19990,Automatic,12780,Petrol,41.5,2.0,volkswagen,30428205
41,Polo,2022,17490,Manual,13394,Petrol,54.3,1.0,volkswagen,30636945
42,Golf,2021,17990,Manual,13521,Petrol,52.3,1.5,volkswagen,30414528
