,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Up,2019,8899,N/A,31100,Petrol,54.3,1.0,volkswagen,30448018
1,Polo,2023,22400,Manual,5000,Petrol,54.3,1,volkswagen,30608444
2,Polo,2023,22400,Manual,5000,Petrol,54.3,1,volkswagen,30304484
3,Golf,2023,23200,Manual,5000,Petrol,51.4,1.5,volkswagen,30005872
4,Polo,2023,23400,Manual,5000,Petrol,54.3,1,volkswagen,30608447
5,T-Cross,2023,23600,Manual,5000,Petrol,48.7,1,volkswagen,29860773
6,T-Cross,2023,23600,Manual,5000,Petrol,48.7,1,volkswagen,29986214
7,Golf,2023,23700,Manual,5000,Petrol,52.3,1.5,volkswagen,30151901
8,Golf,2023,24500,Manual,5000,Petrol,51.4,1.5,volkswagen,29860775
9,Golf,2023,24700,Manual,5000,Petrol,49.6,1.5,volkswagen,29864411
10,T-Cross,2023,26900,Manual,5000,Petrol,47.9,1,volkswagen,30608452
11,Golf,2017,16849,N/A,53244,Diesel,60.1,2.0,volkswagen,30659933
12,T-Cross,2019,16449,N/A,11641,Petrol,48.7,1.0,volkswagen,30477041
13,T-Roc,2023,27200,Manual,5000,Petrol,47.1,1,volkswagen,30304486
14,Taigo,2023,27800,Automatic,5000,Petrol,48.7,1.5,volkswagen,30608445
15,Tiguan,2023,36600,Semi-Auto,5000,Diesel,49.6,2,volkswagen,30005866
16,Tiguan,2023,39900,Semi-Auto,5000,Diesel,49.6,2,volkswagen,30608461
17,Arteon,2023,54900,Semi-Auto,5000,Petrol,30.7,2,volkswagen,30608459
18,T-Roc,2022,31200,Semi-Auto,6115,Petrol,38.2,2,volkswagen,30653658
19,Polo,2023,22000,Semi-Auto,7356,Petrol,51.4,1,volkswagen,30627357
20,Polo,2020,15700,Manual,12502,Petrol,50.4,1,volkswagen,30593815
21,Polo,2020,15900,Manual,14000,Petrol,50.4,1,volkswagen,30682098
22,Golf,2022,28400,Semi-Auto,15263,Diesel,61.4,2,volkswagen,30560007
23,Golf,2017,24449,N/A,45954,Petrol,39.8,2.0,volkswagen,30674479
24,T-Cross,2020,17299,N/A,21680,Petrol,48.7,1.0,volkswagen,30683571
25,T-Roc,2022,31200,Semi-Auto,6115,Petrol,38.2,2,volkswagen,30653658
26,Polo,2023,22000,Semi-Auto,7356,Petrol,51.4,1,volkswagen,30627357
27,Golf,2018,18700,Semi-Auto,10678,Petrol,47.1,1.5,volkswagen,30666727
28,Polo,2020,15700,Manual,12502,Petrol,50.4,1,volkswagen,30593815
29,Polo,2020,15900,Manual,14000,Petrol,50.4,1,volkswagen,30682098
30,Golf,2022,28400,Semi-Auto,15263,Diesel,61.4,2,volkswagen,30560007
31,Polo,2018,16400,Manual,16700,Petrol,49.6,1,volkswagen,30600368
32,T-Roc,2022,25500,Semi-Auto,17235,Petrol,44.8,1.5,volkswagen,30568634
33,Polo,2020,14900,Manual,17435,Petrol,47.9,1,volkswagen,30608458
34,Golf,2020,19495,Manual,18815,Petrol,47.1,1.5,volkswagen,30649288
35,Golf,2018,14549,N/A,38994,Diesel,55.4,1.6,volkswagen,30740874
36,Tiguan,2018,17799,N/A,32048,Petrol,46.3,1.4,volkswagen,30700669
37,Tiguan,2021,24495,Manual,25562,Petrol,44.1,1.5,volkswagen,30666728
38,T-Roc,2021,30900,Semi-Auto,27479,Petrol,31.7,2,volkswagen,30666731
39,ID3,2020,21700,White,Electric,Automatic,29836,,volkswagen,30660325
40,Polo,2019,15700,Manual,31805,Petrol,49.6,1,volkswagen,30666732
41,Golf,2017,17300,Semi-Auto,31897,Petrol,60.1,1.4,volkswagen,30666729
42,T-Roc,2018,16700,Manual,38288,Petrol,55.4,1,volkswagen,30664436
43,Polo,2020,13900,Manual,41484,Petrol,50.4,1,volkswagen,30664434
44,Golf,2017,21900,Manual,42789,Petrol,40.4,2,volkswagen,30660327
45,Golf,2020,18900,Semi-Auto,52909,Hybrid,141.3,1.4,volkswagen,30635647
46,Tiguan,2017,15700,Manual,64707,Diesel,58.9,2,volkswagen,30653657
47,Tiguan,2019,21199,N/A,32811,Petrol,37.7,1.5,volkswagen,30572078
48,T-Roc,2018,17549,N/A,32429,Petrol,44.1,1.0,volkswagen,30674615
49,T-Roc,2022,30900,Semi-Auto,4259,Petrol,46.3,1.5,volkswagen,30519793
50,Golf,2023,26400,Manual,4690,Diesel,61.4,2,volkswagen,30295153
51,Taigo,2023,23300,Manual,5000,Petrol,51.4,1,volkswagen,29721106
52,Golf,2023,23400,Manual,5000,Petrol,51.4,1.5,volkswagen,29721107
53,Golf,2023,29900,Semi-Auto,5000,Hybrid,49.6,1.5,volkswagen,30605850
54,T-Roc,2022,30400,Manual,5000,Petrol,47.1,1.5,volkswagen,29115196
55,Polo,2022,23900,Semi-Auto,5223,Petrol,50.4,1,volkswagen,30519798
56,Polo,2021,20900,Semi-Auto,5405,Petrol,49.6,1,volkswagen,30568633
57,Tiguan,2023,34900,Semi-Auto,5462,Diesel,49.6,2,volkswagen,30519791
58,Golf,2022,24900,Manual,5860,Petrol,49.6,1.5,volkswagen,30477167
59,Tiguan,2019,26699,N/A,20750,Petrol,31.4,2.0,volkswagen,30384340
60,Golf,2019,14049,N/A,45415,Diesel,56.5,1.6,volkswagen,30587960
61,Polo,2022,23900,Semi-Auto,6571,Petrol,50.4,1,volkswagen,30519794
62,T-Roc,2023,30900,Semi-Auto,7671,Petrol,46.3,1.5,volkswagen,30514717
63,Golf,2018,18700,Semi-Auto,10678,Petrol,47.1,1.5,volkswagen,30666727
64,Golf,2021,25500,Semi-Auto,11375,Hybrid,49.6,1.5,volkswagen,30683670
65,Tiguan Allspace,2021,32900,Semi-Auto,12416,Petrol,35.8,1.5,volkswagen,30421807
66,Scirocco,2017,17400,Manual,14823,Petrol,47.1,2,volkswagen,30551832
67,Polo,2020,15900,Manual,17259,Petrol,50.4,1,volkswagen,30664432
68,Tiguan,2021,31300,Semi-Auto,19331,Diesel,44.1,2,volkswagen,30511215
69,Golf,2020,25900,Semi-Auto,19800,Petrol,37.7,2,volkswagen,30524418
70,T-Roc,2020,19750,Manual,20377,Petrol,44.8,1.5,volkswagen,30364154
71,Tiguan,2020,19799,N/A,31075,Petrol,38.2,1.5,volkswagen,30514565
72,Golf,2019,17349,N/A,48543,Diesel,52.3,2.0,volkswagen,30480305
73,Touareg,2020,36600,Semi-Auto,23274,Diesel,34.5,3,volkswagen,30588102
74,Tiguan,2020,27900,Semi-Auto,24938,Petrol,36.7,2,volkswagen,26009136
75,Tiguan,2017,17900,Manual,25100,Diesel,58.9,2,volkswagen,30615852
76,Golf,2017,19900,Semi-Auto,28778,Hybrid,156.9,1.4,volkswagen,30600367
77,Tiguan,2018,18500,Manual,32715,Petrol,46.3,1.4,volkswagen,30568632
78,Tiguan Allspace,2020,30900,Semi-Auto,33132,Petrol,28.8,2,volkswagen,30511214
79,Polo,2020,18300,Semi-Auto,40516,Petrol,39.8,2,volkswagen,25840277
80,T-Roc,2020,18400,Manual,40688,Petrol,44.8,1.5,volkswagen,30495091
81,Golf,2023,28900,Semi-Auto,2371,Hybrid,49.6,1.5,volkswagen,30719742
82,Taigo,2023,25890,Automatic,6251,Petrol,46.3,1.5,volkswagen,30697400
83,Up,2018,8749,N/A,38644,Petrol,64.2,1.0,volkswagen,30691329
84,Golf,2016,17049,N/A,57328,Petrol,44.1,2.0,volkswagen,30674663
85,Golf,2020,25900,Semi-Auto,19800,Petrol,37.7,2,volkswagen,30524418
86,Tiguan Allspace,2020,30900,Semi-Auto,33132,Petrol,28.8,2,volkswagen,30511214
