,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Polo,2019,12849,N/A,32145,Petrol,48.7,1.0,volkswagen,30602885
1,Beetle,2013,7995,Automatic,91461,Diesel,52.3,2.0,volkswagen,30250404
2,Polo,2022,17989,Manual,3742,Petrol,54.3,1,volkswagen,30186276
3,Polo,2022,26289,Semi-Auto,4545,Petrol,41.5,2,volkswagen,30645897
4,Up,2023,15935,Manual,5000,Petrol,55.4,1,volkswagen,30610665
5,Taigo,2023,22989,Manual,5000,Petrol,52.3,1,volkswagen,30151880
6,Polo,2023,23280,Semi-Auto,5000,Petrol,51.4,1,volkswagen,30610662
7,Golf,2023,23989,Manual,5000,Petrol,52.3,1,volkswagen,30403513
8,Golf,2023,24989,Manual,5000,Petrol,51.4,1.5,volkswagen,29703026
9,Taigo,2023,25989,Manual,5000,Petrol,51.4,1,volkswagen,29860765
10,Polo,2022,26489,Semi-Auto,5000,Petrol,50.4,1,volkswagen,30004772
11,Polo,2021,15599,N/A,20496,Petrol,50.4,1.0,volkswagen,30700830
12,Golf,2019,14199,N/A,48730,Petrol,47.9,1.5,volkswagen,30674681
13,Polo,2022,26489,Semi-Auto,5000,Petrol,50.4,1,volkswagen,30004776
14,Golf,2023,29989,Semi-Auto,5000,Hybrid,49.6,1.5,volkswagen,30403512
15,Taigo,2023,30805,Automatic,5000,Petrol,47.9,1,volkswagen,30610663
16,T-Cross,2023,31115,Automatic,5000,Petrol,44.8,1.5,volkswagen,30610666
17,T-Roc,2023,34989,Semi-Auto,5000,Petrol,44.1,1.5,volkswagen,30610669
18,Passat,2023,37989,Semi-Auto,5000,Diesel,56.5,2,volkswagen,30286912
19,Golf,2023,37989,Semi-Auto,5000,Petrol,38.2,2,volkswagen,29860768
20,Tiguan,2023,39989,Semi-Auto,5000,Diesel,49.6,2,volkswagen,30286910
21,ID3,2023,41655,Grey,Electric,Automatic,5000,,volkswagen,30286909
22,Arteon,2023,49989,Semi-Auto,5000,Petrol,31,2,volkswagen,30151883
23,Up,2016,11199,N/A,17427,Petrol,67.3,1.0,volkswagen,30643328
24,Polo,2016,11949,N/A,17455,Petrol,60.1,1.2,volkswagen,30620627
25,Tiguan,2023,39989,Semi-Auto,5000,Diesel,49.6,2,volkswagen,30286910
26,ID3,2023,41655,Grey,Electric,Automatic,5000,,volkswagen,30286909
27,Arteon,2023,49989,Semi-Auto,5000,Petrol,31,2,volkswagen,30151883
28,Golf,2023,50989,Semi-Auto,5000,Petrol,36.2,2,volkswagen,29786737
29,ID5,2023,53395,Black,Electric,Automatic,5000,,volkswagen,30645898
30,Touareg,2023,80510,Semi-Auto,5000,Hybrid,94.2,3,volkswagen,30748557
31,Touareg,2023,61989,Semi-Auto,6199,Diesel,33.6,3,volkswagen,29860763
32,Up,2022,16989,Manual,7391,Petrol,53.3,1,volkswagen,30409635
33,T-Cross,2023,28989,Automatic,7500,Petrol,44.1,1.5,volkswagen,29703027
34,Golf,2022,24989,Manual,7736,Petrol,51.4,1.5,volkswagen,30610657
35,Polo,2021,15999,N/A,12893,Petrol,50.4,1.0,volkswagen,30751647
36,Golf,2019,18349,N/A,32982,Petrol,45.6,1.5,volkswagen,30627147
37,T-Roc,2022,23489,Manual,7850,Petrol,47.1,1,volkswagen,30610661
38,Taigo,2023,23489,Automatic,8052,Petrol,47.9,1,volkswagen,30610670
39,Golf,2020,23489,Semi-Auto,8311,Hybrid,44.8,1.5,volkswagen,30505687
40,Tiguan Allspace,2022,35989,Semi-Auto,11339,Petrol,37.2,1.5,volkswagen,30610658
41,T-Roc,2022,28489,Semi-Auto,11400,Petrol,44.8,1.5,volkswagen,30660287
42,Arteon,2022,32989,Semi-Auto,12302,Hybrid,44.8,1.4,volkswagen,29696713
43,T-Cross,2020,20489,Automatic,13224,Petrol,45.6,1,volkswagen,30610674
44,Golf,2022,20489,Manual,13617,Petrol,52.3,1,volkswagen,30610659
45,Polo,2019,14989,Manual,13835,Petrol,52.3,1,volkswagen,30660286
46,T-Roc,2022,29989,Semi-Auto,14051,Petrol,44.8,1.5,volkswagen,30686240
47,Polo,2018,13949,N/A,16077,Petrol,64.2,1.0,volkswagen,30732494
48,Tiguan,2016,17349,N/A,35999,Diesel,50.4,2.0,volkswagen,30751564
49,Polo,2020,17989,Semi-Auto,15572,Petrol,46.3,1,volkswagen,30629917
50,T-Roc,2022,26489,Semi-Auto,15654,Petrol,44.8,1.5,volkswagen,30689128
51,Golf,2020,20989,Semi-Auto,16605,Hybrid,44.8,1.5,volkswagen,30492995
52,Polo,2020,18849,Semi-Auto,16882,Petrol,46.3,1,volkswagen,29994414
53,Golf,2021,24489,Semi-Auto,21099,Hybrid,49.6,1.5,volkswagen,30652135
54,Polo,2021,15989,Manual,21222,Petrol,50.4,1,volkswagen,30617453
55,Polo,2020,15289,Manual,21674,Petrol,50.4,1,volkswagen,30734579
56,Golf,2020,17489,Manual,22461,Petrol,49.6,1.5,volkswagen,30610676
57,Tiguan,2021,29989,Semi-Auto,23464,Petrol,38.2,1.5,volkswagen,30236222
58,T-Roc,2021,21289,Manual,26006,Petrol,46.3,1,volkswagen,30689125
59,T-Cross,2019,15849,N/A,20274,Petrol,48.7,1.0,volkswagen,30476758
60,Polo,2020,15549,N/A,23778,Petrol,50.4,1.0,volkswagen,30746559
61,Polo,2021,15489,Manual,27101,Petrol,50.4,1,volkswagen,30709035
62,Golf,2021,21489,Manual,27159,Petrol,51.4,1.5,volkswagen,30610655
63,Polo,2019,13489,Manual,27571,Petrol,52.3,1,volkswagen,30505685
64,Golf,2019,16489,Manual,27643,Petrol,47.1,1.5,volkswagen,30709033
65,Touareg,2020,43989,Semi-Auto,29437,Diesel,33.6,3,volkswagen,30617449
66,Golf,2018,17489,Manual,29833,Petrol,55.4,1.5,volkswagen,30639813
67,Golf,2020,18789,Manual,29927,Petrol,49.6,1.5,volkswagen,30617455
68,T-Roc,2019,20789,Semi-Auto,31229,Petrol,39.8,1.5,volkswagen,30652141
69,Tiguan,2020,26989,Manual,31295,Diesel,45.6,2,volkswagen,30492991
70,Tiguan,2020,26989,Semi-Auto,31303,Petrol,36.7,2,volkswagen,30645892
71,T-Roc,2019,16699,N/A,31278,Diesel,50.4,1.6,volkswagen,30281334
72,Touareg,2018,26049,N/A,50246,Diesel,34.9,3.0,volkswagen,30507533
73,T-Cross,2020,20989,Automatic,31554,Petrol,45.6,1,volkswagen,30645893
74,Polo,2020,14289,Manual,32317,Petrol,47.9,1,volkswagen,30540109
75,Arteon,2019,23489,Semi-Auto,32567,Diesel,50.4,2,volkswagen,30645890
76,Golf,2020,16989,Manual,32660,Petrol,50.4,1.5,volkswagen,30617452
77,Tiguan,2019,19789,Manual,32857,Petrol,38.2,1.5,volkswagen,30645900
78,Up,2019,9489,Manual,33324,Petrol,54.3,1,volkswagen,30734578
79,Golf,2020,19489,Manual,33750,Petrol,45.6,1.5,volkswagen,30645894
80,Tiguan Allspace,2020,30789,Semi-Auto,33882,Petrol,35.8,1.5,volkswagen,30645891
81,Polo,2021,14289,Manual,35866,Petrol,51.4,1,volkswagen,30645896
82,Polo,2020,17289,Semi-Auto,42774,Petrol,46.3,1,volkswagen,30617454
83,Passat,2019,19049,N/A,21931,Diesel,53.3,2.0,volkswagen,30514540
84,Passat,2020,19299,N/A,48488,Diesel,47.1,1.6,volkswagen,30703181
85,Golf,2020,26989,Semi-Auto,42854,Petrol,38.2,2,volkswagen,30652137
86,Touareg,2020,37989,Semi-Auto,52712,Diesel,34,3,volkswagen,30629915
87,Arteon,2019,23489,Semi-Auto,53455,Diesel,44.1,2,volkswagen,30652143
88,Passat,2020,21989,Semi-Auto,58166,Diesel,52.3,2,volkswagen,30516962
89,Golf,2022,41489,Semi-Auto,3849,Petrol,36.2,2,volkswagen,30462904
90,Golf,2022,31489,Semi-Auto,10787,Petrol,38.2,2,volkswagen,30004779
91,Polo,2021,16989,Manual,13083,Petrol,54.3,1,volkswagen,30584559
92,Arteon,2022,28489,Semi-Auto,13260,Petrol,39.2,2,volkswagen,29696714
93,Polo,2020,19989,Semi-Auto,13569,Petrol,39.8,2,volkswagen,30645902
94,Passat,2022,23189,Semi-Auto,14312,Diesel,57.7,2,volkswagen,30236226
95,Passat,2019,16699,N/A,46201,Petrol,45.6,1.5,volkswagen,30484980
96,Golf,2018,14299,N/A,34915,Diesel,57.7,1.6,volkswagen,30719693
97,Polo,2019,13689,Manual,14570,Petrol,52.3,1,volkswagen,30170545
98,Arteon,2021,26489,Semi-Auto,14940,Diesel,58.9,2,volkswagen,30224383
99,Golf,2021,27489,Manual,16895,Petrol,38.2,2,volkswagen,29994409
100,Golf SV,2020,15989,Manual,18794,Petrol,45.6,1.5,volkswagen,30224379
101,T-Cross,2020,19389,Automatic,19543,Petrol,45.6,1,volkswagen,30505688
102,Golf,2021,20489,Manual,20009,Petrol,51.4,1.5,volkswagen,30505686
103,Polo,2021,14489,Manual,21723,Petrol,51.4,1,volkswagen,30403510
104,Polo,2019,15789,Manual,23688,Petrol,49.6,1,volkswagen,30264919
105,Golf,2020,24789,Semi-Auto,29305,Petrol,37.7,2,volkswagen,30264907
106,Tiguan,2021,31289,Semi-Auto,29323,Diesel,44.1,2,volkswagen,30610673
107,Golf,2019,14449,N/A,44201,Diesel,57.7,1.6,volkswagen,30674432
108,Golf,2019,17999,N/A,33569,Petrol,43.5,1.5,volkswagen,30284847
109,Passat,2019,17389,Manual,35169,Diesel,53.3,2,volkswagen,30310019
110,Tiguan,2019,19289,Manual,35653,Petrol,38.2,1.5,volkswagen,30610656
111,Polo,2019,18989,Semi-Auto,36720,Petrol,39.8,2,volkswagen,30554100
112,Golf,2018,19989,Semi-Auto,37571,Hybrid,166.2,1.4,volkswagen,30645901
113,T-Roc,2018,16489,Manual,38964,Petrol,55.4,1,volkswagen,30565303
114,T-Roc,2019,22489,Semi-Auto,43594,Petrol,41.5,1.5,volkswagen,30386819
115,Tiguan,2018,22989,Semi-Auto,46968,Petrol,38.2,2,volkswagen,30364145
116,Passat,2020,16489,Semi-Auto,52893,Diesel,55.4,2,volkswagen,30283030
117,Polo,2018,11289,Manual,54658,Petrol,64.2,1,volkswagen,30409632
118,Golf,2020,15189,Manual,55618,Petrol,50.4,1.5,volkswagen,30505682
119,Arteon,2019,17049,N/A,65671,Petrol,40.4,1.5,volkswagen,30588039
120,T-Roc,2020,21599,N/A,48074,Petrol,42.2,1.5,volkswagen,30678909
121,T-Roc,2019,17989,Manual,56664,Diesel,50.4,2,volkswagen,30516963
122,Tiguan,2021,30489,Semi-Auto,24469,Petrol,38.7,1.5,volkswagen,30645895
123,T-Roc,2020,18989,Manual,20234,Petrol,44.1,1,volkswagen,29780290
124,Golf,2018,16240,Semi-Auto,63968,Hybrid,156.9,1.4,volkswagen,30675555
125,Polo,2021,16399,N/A,2401,Petrol,51.4,1.0,volkswagen,30700618
126,Up,2020,13099,N/A,2906,Petrol,50.4,1.0,volkswagen,30687391
127,T-Cross,2020,22249,N/A,6049,Petrol,43.5,1.0,volkswagen,30726802
128,Polo,2019,14599,N/A,7867,Petrol,52.3,1.0,volkswagen,30424987
129,Polo,2020,16049,N/A,8094,Petrol,50.4,1.0,volkswagen,30502628
130,Polo,2020,16049,N/A,8353,Petrol,51.4,1.0,volkswagen,30654893
131,Golf,2019,15549,N/A,29733,Petrol,47.1,1.5,volkswagen,30429287
132,Tiguan,2019,17849,N/A,45770,Diesel,47.9,2.0,volkswagen,30562787
133,Polo,2021,16349,N/A,10007,Petrol,50.4,1.0,volkswagen,30703188
134,Polo,2018,13699,N/A,10435,Petrol,64.2,1.0,volkswagen,30392938
135,Passat,2020,19599,N/A,10470,Petrol,45.6,1.5,volkswagen,30476863
136,T-Cross,2021,19299,N/A,11180,Petrol,48.7,1.0,volkswagen,30312222
137,T-Cross,2021,20049,N/A,11634,Petrol,48.7,1.0,volkswagen,30602973
138,T-Cross,2019,16449,N/A,11641,Petrol,48.7,1.0,volkswagen,30477041
139,T-Cross,2020,17749,N/A,12532,Petrol,47.9,1.0,volkswagen,30456347
140,Golf,2018,20849,N/A,12683,Petrol,55.4,1.5,volkswagen,30649128
141,Polo,2021,17049,N/A,12950,Petrol,50.4,1.0,volkswagen,30678924
142,T-Cross,2021,19549,N/A,13322,Petrol,48.7,1.0,volkswagen,30700771
143,Polo,2021,15399,N/A,33892,Petrol,52.3,1.0,volkswagen,30514628
144,Golf,2019,16599,N/A,48652,Petrol,43.5,1.5,volkswagen,30659964
145,T-Cross,2019,16449,N/A,11641,Petrol,48.7,1.0,volkswagen,30477041
146,Polo,2019,14599,N/A,11711,Petrol,52.3,1.0,volkswagen,30572210
147,Polo,2021,15549,N/A,11915,Petrol,51.4,1.0,volkswagen,30572093
148,T-Cross,2020,17749,N/A,12532,Petrol,47.9,1.0,volkswagen,30456347
