,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Passat,2019,17699,N/A,56447,Diesel,51.4,2.0,volkswagen,30654967
1,Polo,2021,15149,N/A,19165,Petrol,51.4,1.0,volkswagen,30643168
2,Polo,2021,16099,N/A,19438,Petrol,47.9,1.0,volkswagen,30649179
3,Polo,2018,14349,N/A,19886,Petrol,64.2,1.0,volkswagen,30659895
4,Golf,2020,15849,Grey,Electric,N/A,20552,,volkswagen,30649182
5,T-Cross,2020,16249,N/A,22005,Petrol,48.7,1.0,volkswagen,30614961
6,Up,2018,9549,N/A,25051,Petrol,64.2,1.0,volkswagen,30659840
7,Golf,2019,16149,N/A,25732,Diesel,57.7,1.6,volkswagen,30643444
8,T-Cross,2020,16149,N/A,26600,Petrol,48.7,1.0,volkswagen,30643516
9,Golf,2018,26849,N/A,26634,Petrol,39.8,2.0,volkswagen,30643285
10,Polo,2017,12849,N/A,27517,Petrol,65.7,1.0,volkswagen,30664228
11,Golf,2016,17549,N/A,33483,Petrol,60.1,1.4,volkswagen,30674521
12,Golf,2019,19999,N/A,67853,Diesel,49.6,2.0,volkswagen,30649149
13,Golf,2019,15349,White,Electric,N/A,27541,,volkswagen,30654987
14,Polo,2016,11049,N/A,27628,Petrol,58.9,1.0,volkswagen,30627167
15,Up,2018,10749,N/A,30176,Petrol,64.2,1.0,volkswagen,30654950
16,Polo,2018,13099,N/A,32747,Petrol,52.3,1.0,volkswagen,30659858
17,Golf,2019,18349,N/A,32982,Petrol,45.6,1.5,volkswagen,30627147
18,T-Roc,2019,22349,N/A,32985,Petrol,39.8,1.5,volkswagen,30649169
19,Passat,2017,16849,N/A,34359,Diesel,68.9,2.0,volkswagen,30659930
20,Polo,2019,12599,Manual,34698,Petrol,48.7,1.0,volkswagen,30429151
21,Golf,2019,17549,N/A,36021,Petrol,44.8,1.5,volkswagen,30659869
22,Golf,2017,23449,N/A,36330,Petrol,39.8,2.0,volkswagen,30614940
23,Polo,2018,13549,N/A,32913,Petrol,62.8,1.0,volkswagen,30429268
24,Up,2017,7949,N/A,45654,Petrol,64.2,1.0,volkswagen,30587973
25,Scirocco,2017,19449,N/A,36407,Petrol,44.1,2.0,volkswagen,30655025
26,Tiguan,2018,25849,N/A,36655,Diesel,39.8,2.0,volkswagen,30614975
27,Passat,2018,15049,N/A,37639,Diesel,62.8,2.0,volkswagen,30603002
28,Passat,2018,14899,N/A,38670,Diesel,54.3,2.0,volkswagen,30664248
29,Tiguan,2017,19799,N/A,38735,Diesel,57.6,2.0,volkswagen,30643266
30,Golf,2019,13049,N/A,38834,Diesel,57.7,1.6,volkswagen,30664229
