,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Passat,2017,16849,N/A,34359,Diesel,68.9,2.0,volkswagen,30659930
1,Polo,2019,14599,N/A,7867,Petrol,52.3,1.0,volkswagen,30424987
2,Polo,2020,16049,N/A,8353,Petrol,51.4,1.0,volkswagen,30654893
3,Golf,2020,17199,Grey,Electric,N/A,9800,,volkswagen,30691298
4,T-Cross,2021,19999,N/A,9955,Petrol,43.5,1.0,volkswagen,30417329
5,Polo,2021,16349,N/A,10007,Petrol,50.4,1.0,volkswagen,30703188
6,T-Cross,2022,21499,N/A,10632,Petrol,45.6,1.0,volkswagen,30519607
7,T-Cross,2021,20049,N/A,11634,Petrol,48.7,1.0,volkswagen,30602973
8,Polo,2019,14999,N/A,11711,Petrol,52.3,1.0,volkswagen,30572210
9,Polo,2021,15749,N/A,11915,Petrol,51.4,1.0,volkswagen,30572093
10,T-Cross,2020,17749,N/A,12532,Petrol,47.9,1.0,volkswagen,30456347
11,Polo,2020,14949,N/A,27981,Petrol,50.4,1.0,volkswagen,30726808
12,T-Roc,2020,17599,N/A,18290,Petrol,44.8,1.0,volkswagen,30477034
13,Golf,2018,20849,N/A,12683,Petrol,55.4,1.5,volkswagen,30649128
14,Polo,2021,17049,N/A,12950,Petrol,50.4,1.0,volkswagen,30678924
15,Golf,2019,17799,N/A,13310,Petrol,50.4,1.5,volkswagen,30477079
16,T-Cross,2021,19549,N/A,13322,Petrol,48.7,1.0,volkswagen,30700771
17,Polo,2017,14599,N/A,13392,Petrol,60.1,1.2,volkswagen,30700650
18,Polo,2021,16049,N/A,14699,Petrol,47.9,1.0,volkswagen,30562785
19,Polo,2019,16699,N/A,14944,Petrol,45.6,1.0,volkswagen,30572025
20,Polo,2020,14499,N/A,15116,Petrol,48.7,1.0,volkswagen,30593597
21,Polo,2020,15899,N/A,15132,Petrol,50.4,1.0,volkswagen,30577484
22,T-Roc,2020,21549,N/A,15255,Petrol,44.1,1.5,volkswagen,30643361
23,Golf,2019,14199,N/A,48730,Petrol,47.9,1.5,volkswagen,30674681
24,Polo,2017,11049,N/A,32900,Petrol,60.1,1.2,volkswagen,30703123
25,Up,2016,10549,N/A,15348,Petrol,64.2,1.0,volkswagen,30683557
26,Polo,2020,17049,N/A,16025,Petrol,51.4,1.0,volkswagen,30643327
27,Polo,2021,16149,N/A,16096,Petrol,47.9,1.0,volkswagen,30603040
28,Polo,2020,16049,N/A,16189,Petrol,50.4,1.0,volkswagen,30659955
29,T-Cross,2021,17599,N/A,16211,Petrol,48.7,1.0,volkswagen,30572141
30,T-Cross,2020,17799,N/A,16933,Petrol,47.9,1.0,volkswagen,30424990
31,Polo,2020,16599,N/A,17347,Petrol,49.6,1.0,volkswagen,30582300
32,Up,2016,11549,N/A,17427,Petrol,67.3,1.0,volkswagen,30643328
33,Polo,2016,12399,N/A,17455,Petrol,60.1,1.2,volkswagen,30620627
34,Polo,2021,14799,N/A,17591,Petrol,51.4,1.0,volkswagen,30417120
35,Golf SV,2017,13049,N/A,47531,Diesel,65.7,2.0,volkswagen,30466767
36,Scirocco,2016,13549,N/A,46866,Petrol,52.3,1.4,volkswagen,30683547
37,Polo,2015,11549,N/A,13661,Petrol,60.1,1.2,volkswagen,30325307
38,Polo,2021,15699,N/A,13852,Petrol,51.4,1.0,volkswagen,30407476
39,Polo,2018,14699,N/A,13885,Petrol,60.1,1.0,volkswagen,30272244
40,T-Roc,2018,17899,N/A,14067,Petrol,44.1,1.0,volkswagen,30348618
41,Polo,2021,16049,N/A,14699,Petrol,47.9,1.0,volkswagen,30562785
42,T-Cross,2021,21099,N/A,14887,Petrol,43.5,1.0,volkswagen,30732544
43,Polo,2021,18999,N/A,14907,Petrol,41.5,2.0,volkswagen,30233529
44,Polo,2019,16699,N/A,14944,Petrol,45.6,1.0,volkswagen,30572025
45,Golf,2019,24799,N/A,15078,Petrol,37.7,2.0,volkswagen,30531353
46,Polo,2020,14499,N/A,15116,Petrol,48.7,1.0,volkswagen,30593597
47,T-Cross,2021,19299,N/A,20933,Petrol,48.7,1.0,volkswagen,30498584
48,Polo,2018,12549,N/A,22084,Petrol,60.1,1.0,volkswagen,30678990
49,Polo,2020,15899,N/A,15132,Petrol,50.4,1.0,volkswagen,30577484
