,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Golf,2019,15699,N/A,18897,Petrol,49.6,1.0,volkswagen,30490059
1,Polo,2019,15500,Semi-Auto,36085,Petrol,45.6,1,volkswagen,30617591
2,Tiguan Allspace,2018,19200,Manual,61872,Diesel,56.5,2,volkswagen,30663149
3,Polo,2021,15800,Manual,5713,Petrol,51.4,1,volkswagen,30721293
4,Golf,2019,16900,Manual,18134,Petrol,45.6,1.5,volkswagen,30441567
5,Polo,2017,13250,Manual,19141,Petrol,65.7,1,volkswagen,29917364
6,Tiguan,2013,8795,Manual,76809,Diesel,48.7,2.0,volkswagen,30528986
7,Scirocco,2017,14995,Manual,47000,Diesel,55.4,2.0,volkswagen,30342538
8,Golf,2019,16195,Automatic,50000,Petrol,44.8,1.0,volkswagen,30020757
9,Tiguan,2020,25995,Automatic,36000,Diesel,39.8,2.0,volkswagen,30725966
10,Polo,2021,16399,N/A,2401,Petrol,51.4,1.0,volkswagen,30700618
11,Tiguan,2019,24049,N/A,25056,Diesel,47.9,2.0,volkswagen,30407493
12,T-Roc,2019,15549,N/A,38136,Petrol,44.8,1.0,volkswagen,30587947
13,Up,2020,13099,N/A,2906,Petrol,50.4,1.0,volkswagen,30687391
14,Polo,2020,15049,N/A,6576,Petrol,48.7,1.0,volkswagen,30593599
15,Polo,2019,14599,N/A,7867,Petrol,52.3,1.0,volkswagen,30424987
16,Polo,2020,16049,N/A,8353,Petrol,51.4,1.0,volkswagen,30654893
17,Polo,2021,16349,N/A,10007,Petrol,50.4,1.0,volkswagen,30703188
18,T-Cross,2022,21499,N/A,10632,Petrol,45.6,1.0,volkswagen,30519607
19,T-Cross,2021,20049,N/A,11634,Petrol,48.7,1.0,volkswagen,30602973
20,Polo,2019,14999,N/A,11711,Petrol,52.3,1.0,volkswagen,30572210
21,Polo,2021,15749,N/A,11915,Petrol,51.4,1.0,volkswagen,30572093
22,T-Cross,2020,17749,N/A,12532,Petrol,47.9,1.0,volkswagen,30456347
23,T-Roc,2020,17999,N/A,13467,Petrol,None,1.0,volkswagen,30208447
24,Golf,2017,18199,N/A,40881,Petrol,44.1,2.0,volkswagen,30674688
25,Passat,2020,19599,N/A,10470,Petrol,45.6,1.5,volkswagen,30476863
26,T-Cross,2022,21499,N/A,10632,Petrol,45.6,1.0,volkswagen,30519607
27,T-Cross,2021,19299,N/A,11180,Petrol,48.7,1.0,volkswagen,30312222
28,T-Cross,2021,20049,N/A,11634,Petrol,48.7,1.0,volkswagen,30602973
29,T-Cross,2019,16449,N/A,11641,Petrol,48.7,1.0,volkswagen,30477041
30,Polo,2019,14999,N/A,11711,Petrol,52.3,1.0,volkswagen,30572210
31,Polo,2021,15749,N/A,11915,Petrol,51.4,1.0,volkswagen,30572093
32,T-Cross,2020,17749,N/A,12532,Petrol,47.9,1.0,volkswagen,30456347
33,Golf,2018,20849,N/A,12683,Petrol,55.4,1.5,volkswagen,30649128
34,Polo,2021,17049,N/A,12950,Petrol,50.4,1.0,volkswagen,30678924
35,T-Cross,2020,14049,N/A,60593,Petrol,47.9,1.0,volkswagen,30551761
36,T-Roc,2019,19449,N/A,42833,Diesel,50.4,1.6,volkswagen,30700863
37,Polo,2020,17049,N/A,16025,Petrol,51.4,1.0,volkswagen,30643327
38,Polo,2021,16149,N/A,16096,Petrol,47.9,1.0,volkswagen,30603040
39,Polo,2020,16049,N/A,16189,Petrol,50.4,1.0,volkswagen,30659955
40,Up,2016,11549,N/A,17427,Petrol,67.3,1.0,volkswagen,30643328
41,Polo,2016,12399,N/A,17455,Petrol,60.1,1.2,volkswagen,30620627
42,Polo,2021,14799,N/A,17591,Petrol,51.4,1.0,volkswagen,30417120
43,Golf,2019,16599,N/A,18250,Petrol,47.1,1.5,volkswagen,30451800
44,Polo,2018,13949,N/A,18271,Petrol,52.3,1.0,volkswagen,30587977
45,Up,2018,10599,N/A,18440,Petrol,64.2,1.0,volkswagen,30451762
46,Polo,2020,14949,N/A,18483,Petrol,52.3,1.0,volkswagen,30674474
47,T-Roc,2018,19999,N/A,49718,Petrol,53.3,1.5,volkswagen,30477062
48,Arteon,2020,19199,N/A,34878,Diesel,58.9,2.0,volkswagen,30208710
49,T-Cross,2020,16199,N/A,18618,Petrol,48.7,1.0,volkswagen,30417225
50,Scirocco,2017,16149,N/A,18823,Petrol,52.3,1.4,volkswagen,30674730
51,T-Cross,2020,17549,N/A,19119,Petrol,48.7,1.0,volkswagen,30643508
52,Polo,2021,15149,N/A,19165,Petrol,51.4,1.0,volkswagen,30643168
53,Up,2020,10799,N/A,19396,Petrol,54.3,1.0,volkswagen,30531318
54,Polo,2021,16099,N/A,19438,Petrol,47.9,1.0,volkswagen,30649179
55,Polo,2015,11399,N/A,19829,Petrol,60.1,1.2,volkswagen,30700713
56,Polo,2018,14349,N/A,19886,Petrol,64.2,1.0,volkswagen,30659895
