,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,T-Cross,2020,20399,N/A,9355,Petrol,43.5,1.0,volkswagen,30360640
1,Polo,2013,3995,Manual,110000,Petrol,51.4,1.2,volkswagen,30533759
2,Tiguan,2012,8699,Manual,85319,Diesel,48.7,2.0,volkswagen,30016791
3,Golf,2021,23489,Automatic,29104,Other,49.6,1.5,volkswagen,30332390
4,Golf,2019,22795,Automatic,41301,Petrol,37.7,2.0,volkswagen,30715556
5,Polo,2021,16399,N/A,2401,Petrol,51.4,1.0,volkswagen,30700618
6,Up,2020,13099,N/A,2906,Petrol,50.4,1.0,volkswagen,30687391
7,Polo,2020,15049,N/A,6576,Petrol,48.7,1.0,volkswagen,30593599
8,Polo,2019,14599,N/A,7867,Petrol,52.3,1.0,volkswagen,30424987
9,Polo,2020,16049,N/A,8353,Petrol,51.4,1.0,volkswagen,30654893
10,Golf,2020,17199,Grey,Electric,N/A,9800,,volkswagen,30691298
11,Up,2017,7799,N/A,24631,Petrol,64.2,1.0,volkswagen,30312248
12,Polo,2021,15699,N/A,20570,Petrol,47.9,1.0,volkswagen,30719694
13,Polo,2020,16049,N/A,8094,Petrol,50.4,1.0,volkswagen,30502628
14,Polo,2020,16049,N/A,8353,Petrol,51.4,1.0,volkswagen,30654893
15,T-Cross,2020,20399,N/A,9355,Petrol,43.5,1.0,volkswagen,30360640
16,Golf,2020,17199,Grey,Electric,N/A,9800,,volkswagen,30691298
17,T-Cross,2021,19999,N/A,9955,Petrol,43.5,1.0,volkswagen,30417329
18,Polo,2021,16349,N/A,10007,Petrol,50.4,1.0,volkswagen,30703188
19,Polo,2019,14549,N/A,10083,Petrol,52.3,1.0,volkswagen,30562724
20,Polo,2018,13699,N/A,10435,Petrol,64.2,1.0,volkswagen,30392938
21,Passat,2020,19599,N/A,10470,Petrol,45.6,1.5,volkswagen,30476863
22,T-Cross,2022,21499,N/A,10632,Petrol,45.6,1.0,volkswagen,30519607
23,Scirocco,2017,13999,N/A,51263,Petrol,47.1,2.0,volkswagen,30480289
24,T-Roc,2018,19199,N/A,59527,Petrol,42.2,1.5,volkswagen,30484996
25,T-Cross,2021,19549,N/A,13322,Petrol,48.7,1.0,volkswagen,30700771
26,Polo,2017,14599,N/A,13392,Petrol,60.1,1.2,volkswagen,30700650
27,Polo,2021,16049,N/A,14699,Petrol,47.9,1.0,volkswagen,30562785
28,Polo,2019,16699,N/A,14944,Petrol,45.6,1.0,volkswagen,30572025
29,Polo,2020,14499,N/A,15116,Petrol,48.7,1.0,volkswagen,30593597
30,Polo,2020,15899,N/A,15132,Petrol,50.4,1.0,volkswagen,30577484
31,T-Roc,2020,21549,N/A,15255,Petrol,44.1,1.5,volkswagen,30643361
32,Up,2016,10549,N/A,15348,Petrol,64.2,1.0,volkswagen,30683557
33,Polo,2020,17049,N/A,16025,Petrol,51.4,1.0,volkswagen,30643327
34,Polo,2021,16149,N/A,16096,Petrol,47.9,1.0,volkswagen,30603040
35,Passat,2017,15299,N/A,58305,Diesel,68.9,2.0,volkswagen,30740871
36,Tiguan,2019,21199,N/A,32811,Petrol,37.7,1.5,volkswagen,30572078
37,Polo,2020,16049,N/A,16189,Petrol,50.4,1.0,volkswagen,30659955
38,T-Cross,2020,17799,N/A,16933,Petrol,47.9,1.0,volkswagen,30424990
39,Polo,2020,16599,N/A,17347,Petrol,49.6,1.0,volkswagen,30582300
40,Up,2016,11549,N/A,17427,Petrol,67.3,1.0,volkswagen,30643328
41,Polo,2016,12399,N/A,17455,Petrol,60.1,1.2,volkswagen,30620627
42,Polo,2021,14799,N/A,17591,Petrol,51.4,1.0,volkswagen,30417120
43,Golf,2020,19699,N/A,17713,Petrol,47.1,1.5,volkswagen,30447858
44,Golf,2019,16599,N/A,18250,Petrol,47.1,1.5,volkswagen,30451800
45,Polo,2018,13949,N/A,18271,Petrol,52.3,1.0,volkswagen,30587977
46,Up,2018,10599,N/A,18440,Petrol,64.2,1.0,volkswagen,30451762
47,Polo,2019,14599,N/A,7867,Petrol,52.3,1.0,volkswagen,30424987
48,Polo,2019,12799,N/A,40938,Diesel,57.7,1.6,volkswagen,30741046
49,Polo,2020,14949,N/A,18483,Petrol,52.3,1.0,volkswagen,30674474
50,T-Cross,2020,16199,N/A,18618,Petrol,48.7,1.0,volkswagen,30417225
51,Scirocco,2017,16149,N/A,18823,Petrol,52.3,1.4,volkswagen,30674730
52,T-Cross,2020,17549,N/A,19119,Petrol,48.7,1.0,volkswagen,30643508
53,Polo,2021,15149,N/A,19165,Petrol,51.4,1.0,volkswagen,30643168
54,Up,2020,10799,N/A,19396,Petrol,54.3,1.0,volkswagen,30531318
55,Polo,2021,16099,N/A,19438,Petrol,47.9,1.0,volkswagen,30649179
56,Tiguan,2019,19699,N/A,19611,Petrol,44.8,1.5,volkswagen,30417157
57,Polo,2020,16199,N/A,19691,Petrol,51.4,1.0,volkswagen,30456314
58,Polo,2015,11399,N/A,19829,Petrol,60.1,1.2,volkswagen,30700713
59,Golf,2020,19699,N/A,17713,Petrol,47.1,1.5,volkswagen,30447858
60,Golf,2019,13599,N/A,62961,Diesel,55.4,2.0,volkswagen,30502655
61,Polo,2018,14349,N/A,19886,Petrol,64.2,1.0,volkswagen,30659895
62,Tiguan,2019,19699,N/A,20465,Petrol,40.9,1.5,volkswagen,30466716
63,Polo,2021,15599,N/A,20496,Petrol,50.4,1.0,volkswagen,30700830
64,Polo,2020,15899,N/A,20581,Petrol,49.6,1.0,volkswagen,30424993
65,Golf,2020,18049,N/A,20790,Petrol,49.6,1.5,volkswagen,30557530
66,T-Roc,2020,23099,N/A,21078,Petrol,42.2,1.5,volkswagen,30703173
67,Polo,2018,13049,N/A,21176,Petrol,64.2,1.0,volkswagen,30417141
68,T-Cross,2020,17299,N/A,21680,Petrol,48.7,1.0,volkswagen,30683571
69,T-Cross,2020,16249,N/A,22005,Petrol,48.7,1.0,volkswagen,30614961
70,Polo,2018,12549,N/A,22084,Petrol,60.1,1.0,volkswagen,30678990
71,Polo,2019,17299,N/A,22301,Petrol,46.3,1.0,volkswagen,30557519
72,Tiguan,2019,16499,N/A,63568,Diesel,47.9,2.0,volkswagen,30593660
73,Polo,2018,12749,N/A,22093,Petrol,60.1,1.0,volkswagen,30582297
74,Touareg,2019,31299,N/A,22115,Diesel,34.9,3.0,volkswagen,30466738
75,Tiguan Allspace,2020,27049,N/A,22241,Diesel,38.7,2.0,volkswagen,30447901
76,Tiguan,2020,28849,N/A,22459,Petrol,36.7,1.5,volkswagen,30643235
77,Golf,2020,23049,N/A,22670,Hybrid,141.3,1.4,volkswagen,30691349
78,T-Cross,2019,15499,N/A,22974,Petrol,47.9,1.0,volkswagen,30148582
79,T-Cross,2020,16949,N/A,23598,Petrol,48.7,1.0,volkswagen,30678986
80,Golf,2019,19999,N/A,23715,Diesel,52.3,2.0,volkswagen,30438142
81,Polo,2019,15699,N/A,23825,Petrol,51.4,1.0,volkswagen,30674674
82,Other,2021,13549,Blue,Electric,N/A,24120,,volkswagen,30614965
83,T-Roc,2018,18049,N/A,50038,Petrol,53.3,1.5,volkswagen,30732426
84,Tiguan,2018,17349,N/A,39923,Petrol,46.3,1.4,volkswagen,30649102
85,Passat,2020,22599,N/A,24810,Petrol,43.5,1.5,volkswagen,30572035
86,Golf,2019,18149,N/A,24827,Petrol,46.3,1.5,volkswagen,30700708
87,Polo,2021,15399,N/A,24937,Petrol,47.9,1.0,volkswagen,30703194
88,Golf,2019,21049,N/A,25038,Petrol,43.5,1.5,volkswagen,30620640
89,Up,2018,9549,N/A,25051,Petrol,64.2,1.0,volkswagen,30659840
90,T-Cross,2020,16549,N/A,25149,Petrol,48.7,1.0,volkswagen,30608158
91,Polo,2021,15349,N/A,25337,Petrol,47.9,1.0,volkswagen,30531508
92,Tiguan,2019,19199,N/A,25438,Petrol,40.9,1.5,volkswagen,30507592
93,T-Cross,2020,16849,N/A,25790,Petrol,47.9,1.0,volkswagen,30448036
94,T-Cross,2020,15999,N/A,26297,Petrol,48.7,1.0,volkswagen,30587950
95,Golf,2018,26849,N/A,26634,Petrol,39.8,2.0,volkswagen,30643285
96,Tiguan,2019,17249,N/A,39912,Diesel,47.9,2.0,volkswagen,30240213
97,Up,2020,10799,N/A,19396,Petrol,54.3,1.0,volkswagen,30531318
98,Up,2019,11049,N/A,19433,Petrol,55.4,1.0,volkswagen,30389371
99,Polo,2021,16099,N/A,19438,Petrol,47.9,1.0,volkswagen,30649179
