,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Passat,2019,18449,N/A,42505,Diesel,53.3,2.0,volkswagen,30531263
1,Polo,2010,5495,Manual,56623,Diesel,83.1,1.2,volkswagen,29403185
2,Polo,2013,5995,Automatic,86853,Petrol,47.9,1.4,volkswagen,29403183
3,Golf,2015,9995,Manual,48128,Diesel,68.9,1.6,volkswagen,29403173
4,T-Roc,2020,21599,Semi-Auto,27763,Petrol,None,1.5,volkswagen,30686596
5,Golf,2021,28995,Automatic,11435,Diesel,54.3,2.0,volkswagen,30246152
6,Polo,2018,11995,Manual,33511,Petrol,48.7,1.0,volkswagen,30324969
7,Golf,2016,12995,Automatic,42121,Diesel,62.8,2.0,volkswagen,30659740
8,Golf,2018,12795,Manual,45049,Petrol,58.9,1.0,volkswagen,30562585
9,Golf,2016,12295,Manual,26015,Petrol,53.3,1.4,volkswagen,30539098
10,Golf,2018,15995,Manual,40021,Petrol,55.4,1.5,volkswagen,30539092
11,Golf,2019,18799,N/A,33512,Petrol,43.5,1.5,volkswagen,30284847
12,Polo,2018,12999,N/A,32913,Petrol,62.8,1.0,volkswagen,30429268
13,Polo,2017,13995,Automatic,12968,Petrol,60.1,1.2,volkswagen,30346646
14,Tiguan,2021,23995,Automatic,18746,Petrol,40.4,1.5,volkswagen,30183655
15,Polo,2016,7995,Manual,53727,Petrol,60.1,1.0,volkswagen,30324976
16,Golf,2017,17495,Manual,61492,Petrol,44.1,2.0,volkswagen,30373089
17,Golf,2021,27995,Automatic,31343,Diesel,54.3,2.0,volkswagen,29931768
18,Touareg,2019,27995,Automatic,43537,Diesel,None,3.0,volkswagen,30706823
19,Polo,2014,7395,Manual,44408,Petrol,51.4,1.2,volkswagen,30539097
20,Golf,2015,10395,Automatic,60853,Diesel,58.9,1.6,volkswagen,30706819
21,Polo,2011,5394,Manual,73140,Petrol,51.4,1.2,volkswagen,30706822
22,Golf,2017,12995,Manual,96354,Diesel,60.1,2.0,volkswagen,30706818
23,Polo,2016,9799,N/A,51798,Petrol,60.1,1.2,volkswagen,30531557
24,Golf,2020,19799,N/A,18556,Petrol,45.6,1.5,volkswagen,30732472
25,Polo,2013,6995,Manual,57978,Petrol,51.4,1.2,volkswagen,30324960
26,Golf,2012,6999,Automatic,81362,Diesel,62.8,1.6,volkswagen,29654938
27,Tiguan,2016,14977,Manual,75000,Diesel,50.4,2,volkswagen,30589082
28,Golf,2016,10977,Manual,82000,Diesel,74.3,1.6,volkswagen,27504043
29,T-Roc,2018,17977,Manual,53000,Petrol,53.3,1.5,volkswagen,29125004
30,Golf,2016,8995,Automatic,51000,Petrol,54.3,1.4,volkswagen,30497181
31,Beetle,2014,8995,Manual,48000,Diesel,57.6,2.0,volkswagen,27325208
32,Scirocco,2015,8995,Manual,70000,Diesel,55.4,2.0,volkswagen,30154874
33,Tiguan,2009,2995,Manual,170000,Diesel,40.4,2.0,volkswagen,29869326
