,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,T-Cross,2021,19549,N/A,13322,Petrol,48.7,1.0,volkswagen,30700771
1,Polo,2021,16349,N/A,10007,Petrol,50.4,1.0,volkswagen,30703188
2,T-Cross,2022,21499,N/A,10632,Petrol,45.6,1.0,volkswagen,30519607
3,T-Cross,2021,20049,N/A,11634,Petrol,48.7,1.0,volkswagen,30602973
4,Polo,2019,14999,N/A,11711,Petrol,52.3,1.0,volkswagen,30572210
5,Polo,2021,15749,N/A,11915,Petrol,51.4,1.0,volkswagen,30572093
6,Tiguan,2019,22549,N/A,12507,Petrol,37.7,1.5,volkswagen,30700698
7,T-Cross,2020,17749,N/A,12532,Petrol,47.9,1.0,volkswagen,30456347
8,Golf,2018,20849,N/A,12683,Petrol,55.4,1.5,volkswagen,30649128
9,Polo,2021,17049,N/A,12950,Petrol,50.4,1.0,volkswagen,30678924
10,Golf,2019,17799,N/A,13310,Petrol,50.4,1.5,volkswagen,30477079
11,Passat,2019,15749,N/A,69249,Petrol,43.5,1.5,volkswagen,30572299
12,Polo,2019,13499,N/A,35337,Petrol,52.3,1.0,volkswagen,30691294
13,T-Roc,2020,21549,N/A,15255,Petrol,44.1,1.5,volkswagen,30643361
14,Up,2016,10549,N/A,15348,Petrol,64.2,1.0,volkswagen,30683557
15,Polo,2020,17049,N/A,16025,Petrol,51.4,1.0,volkswagen,30643327
16,Polo,2021,16149,N/A,16096,Petrol,47.9,1.0,volkswagen,30603040
17,Polo,2020,16049,N/A,16189,Petrol,50.4,1.0,volkswagen,30659955
18,T-Cross,2021,17599,N/A,16211,Petrol,48.7,1.0,volkswagen,30572141
19,Polo,2020,16599,N/A,17347,Petrol,49.6,1.0,volkswagen,30582300
20,Up,2016,11549,N/A,17427,Petrol,67.3,1.0,volkswagen,30643328
21,Polo,2016,12399,N/A,17455,Petrol,60.1,1.2,volkswagen,30620627
22,Polo,2018,13949,N/A,18271,Petrol,52.3,1.0,volkswagen,30587977
23,Golf,2017,22049,N/A,42663,Petrol,39.8,2.0,volkswagen,30477031
24,T-Cross,2019,15499,N/A,40969,Petrol,47.9,1.0,volkswagen,30643513
25,Polo,2021,16149,N/A,16096,Petrol,47.9,1.0,volkswagen,30603040
26,Polo,2020,16049,N/A,16189,Petrol,50.4,1.0,volkswagen,30659955
27,T-Cross,2021,17599,N/A,16211,Petrol,48.7,1.0,volkswagen,30572141
28,T-Cross,2020,17799,N/A,16933,Petrol,47.9,1.0,volkswagen,30424990
29,Polo,2020,16599,N/A,17347,Petrol,49.6,1.0,volkswagen,30582300
30,Up,2016,11549,N/A,17427,Petrol,67.3,1.0,volkswagen,30643328
31,Polo,2016,12399,N/A,17455,Petrol,60.1,1.2,volkswagen,30620627
32,Polo,2021,14799,N/A,17591,Petrol,51.4,1.0,volkswagen,30417120
33,Golf,2020,19699,N/A,17713,Petrol,47.1,1.5,volkswagen,30447858
34,Golf,2019,16599,N/A,18250,Petrol,47.1,1.5,volkswagen,30451800
35,Tiguan,2017,18049,N/A,40048,Diesel,49.6,2.0,volkswagen,30614986
36,Tiguan Allspace,2020,27049,N/A,22241,Diesel,38.7,2.0,volkswagen,30447901
37,Polo,2018,13949,N/A,18271,Petrol,52.3,1.0,volkswagen,30587977
38,Up,2018,10599,N/A,18440,Petrol,64.2,1.0,volkswagen,30451762
39,Polo,2020,14949,N/A,18483,Petrol,52.3,1.0,volkswagen,30674474
