,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Tiguan,2019,17049,N/A,30200,Petrol,42.2,1.5,volkswagen,30421688
1,Golf,2010,3795,Manual,90870,Diesel,74.3,1.6,volkswagen,30415318
2,Polo,2007,2495,Manual,107000,Petrol,43.5,1.4,volkswagen,30311915
3,Passat,2011,3995,Manual,121596,Diesel,65.7,1.6,volkswagen,30648630
4,Sharan,2013,12895,Automatic,65185,Diesel,49.6,2.0,volkswagen,30692177
5,Golf,2014,7995,Manual,75280,Petrol,44.1,1.4,volkswagen,30551023
6,Polo,2022,16749,Manual,18836,Petrol,54.3,1.0,volkswagen,30486384
7,Golf,2019,19199,Semi-Auto,19118,Petrol,45.6,1.5,volkswagen,30457151
8,Tiguan,2015,11495,Automatic,69276,Diesel,47.7,2.0,volkswagen,30562500
9,Tiguan,2016,11995,Manual,69892,Diesel,53.3,2.0,volkswagen,30233076
10,Tiguan,2016,15990,Manual,44500,Diesel,50.4,2,volkswagen,30557451
11,Polo,2018,12549,N/A,28661,Petrol,62.8,1.0,volkswagen,30281388
12,Golf,2019,16799,N/A,18250,Petrol,47.1,1.5,volkswagen,30451800
13,Golf,2019,13290,Manual,53684,Petrol,51.4,1,volkswagen,30055168
14,Passat,2019,15490,Manual,54680,Petrol,45.6,1.5,volkswagen,29967815
15,Passat,2020,15490,Manual,63948,Petrol,45.6,1.5,volkswagen,30418287
16,Up,2020,13099,N/A,2906,Petrol,50.4,1.0,volkswagen,30687391
17,Polo,2021,16599,N/A,4608,Petrol,53.3,1.0,volkswagen,30325193
18,Polo,2020,15049,N/A,6576,Petrol,48.7,1.0,volkswagen,30593599
19,Polo,2020,16299,N/A,7640,Petrol,50.4,1.0,volkswagen,30484981
20,Polo,2019,14799,N/A,7867,Petrol,52.3,1.0,volkswagen,30424987
21,Polo,2020,16399,N/A,8094,Petrol,50.4,1.0,volkswagen,30502628
22,Polo,2020,16049,N/A,8353,Petrol,51.4,1.0,volkswagen,30654893
23,Golf,2019,16749,N/A,27405,Petrol,47.1,1.5,volkswagen,30593592
24,Tiguan,2017,16499,N/A,47480,Diesel,58.9,2.0,volkswagen,30514524
25,T-Cross,2020,20999,N/A,9355,Petrol,43.5,1.0,volkswagen,30360640
26,Golf,2020,17199,Grey,Electric,N/A,9800,,volkswagen,30691298
27,Up,2018,12049,N/A,9911,Petrol,68.9,1.0,volkswagen,30643228
28,T-Cross,2021,20499,N/A,9955,Petrol,43.5,1.0,volkswagen,30417329
29,Polo,2015,13449,N/A,10083,Petrol,60.1,1.2,volkswagen,30608102
30,Polo,2019,14799,N/A,10083,Petrol,52.3,1.0,volkswagen,30562724
31,T-Cross,2020,18949,N/A,10317,Petrol,47.9,1.0,volkswagen,30484643
32,Polo,2018,13899,N/A,10435,Petrol,64.2,1.0,volkswagen,30392938
33,Passat,2020,19999,N/A,10470,Petrol,45.6,1.5,volkswagen,30476863
34,T-Cross,2022,21499,N/A,10632,Petrol,45.6,1.0,volkswagen,30519607
35,T-Roc,2019,15749,N/A,42952,Petrol,44.8,1.0,volkswagen,30367145
36,Polo,2017,12849,N/A,27517,Petrol,65.7,1.0,volkswagen,30664228
37,T-Cross,2021,19299,N/A,11180,Petrol,48.7,1.0,volkswagen,30312222
38,Golf,2020,17549,N/A,11462,Diesel,57.7,1.6,volkswagen,30608091
39,T-Cross,2021,20049,N/A,11634,Petrol,48.7,1.0,volkswagen,30602973
40,T-Cross,2019,16649,N/A,11641,Petrol,48.7,1.0,volkswagen,30477041
41,Polo,2019,14999,N/A,11711,Petrol,52.3,1.0,volkswagen,30572210
42,Polo,2021,15749,N/A,11915,Petrol,51.4,1.0,volkswagen,30572093
43,T-Cross,2020,17749,N/A,12532,Petrol,47.9,1.0,volkswagen,30456347
44,Golf,2018,20849,N/A,12683,Petrol,55.4,1.5,volkswagen,30649128
45,Tiguan,2019,19299,N/A,12691,Petrol,40.9,1.5,volkswagen,30325176
46,Polo,2021,19049,N/A,12721,Petrol,46.3,1.0,volkswagen,30502727
47,Up,2016,10549,N/A,15348,Petrol,64.2,1.0,volkswagen,30683557
48,Passat,2018,16849,N/A,69516,Hybrid,166,1.4,volkswagen,30643241
49,Polo,2021,17049,N/A,12950,Petrol,50.4,1.0,volkswagen,30678924
50,Polo,2018,13799,N/A,13178,Petrol,64.2,1.0,volkswagen,30466745
51,Golf,2019,17799,N/A,13310,Petrol,50.4,1.5,volkswagen,30477079
52,Tiguan,2019,22049,N/A,13496,Petrol,37.7,1.5,volkswagen,30687362
53,T-Cross,2020,17299,N/A,13542,Petrol,48.7,1.0,volkswagen,30498581
54,Golf,2021,19699,N/A,13590,Petrol,52.3,1.0,volkswagen,30531510
55,Polo,2015,11549,N/A,13661,Petrol,60.1,1.2,volkswagen,30325307
56,Polo,2021,16199,N/A,13852,Petrol,51.4,1.0,volkswagen,30407476
57,Polo,2018,14699,N/A,13885,Petrol,60.1,1.0,volkswagen,30272244
