,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Passat,2019,19349,N/A,21931,Diesel,53.3,2.0,volkswagen,30514540
1,Polo,2018,9995,Manual,60000,Petrol,58.9,1.0,volkswagen,30606765
2,Polo,2021,16399,N/A,2401,Petrol,51.4,1.0,volkswagen,30700618
3,Up,2020,13099,N/A,2906,Petrol,50.4,1.0,volkswagen,30687391
4,Polo,2020,15049,N/A,6576,Petrol,48.7,1.0,volkswagen,30593599
5,Polo,2019,14599,N/A,7867,Petrol,52.3,1.0,volkswagen,30424987
6,Polo,2020,16049,N/A,8353,Petrol,51.4,1.0,volkswagen,30654893
7,Golf,2020,17199,Grey,Electric,N/A,9800,,volkswagen,30691298
8,T-Cross,2021,19999,N/A,9955,Petrol,43.5,1.0,volkswagen,30417329
9,Polo,2021,16349,N/A,10007,Petrol,50.4,1.0,volkswagen,30703188
10,T-Cross,2022,21499,N/A,10632,Petrol,45.6,1.0,volkswagen,30519607
11,Polo,2020,14499,N/A,15116,Petrol,48.7,1.0,volkswagen,30593597
12,Polo,2021,16099,N/A,19438,Petrol,47.9,1.0,volkswagen,30649179
13,Golf,2018,20849,N/A,12683,Petrol,55.4,1.5,volkswagen,30649128
14,Polo,2021,17049,N/A,12950,Petrol,50.4,1.0,volkswagen,30678924
15,T-Cross,2021,19549,N/A,13322,Petrol,48.7,1.0,volkswagen,30700771
16,Polo,2017,14599,N/A,13392,Petrol,60.1,1.2,volkswagen,30700650
17,T-Roc,2020,19599,N/A,13467,Petrol,None,1.0,volkswagen,30208447
18,Golf,2020,16349,Black,Electric,N/A,14355,,volkswagen,30655008
19,Polo,2021,16049,N/A,14699,Petrol,47.9,1.0,volkswagen,30562785
20,Polo,2019,16699,N/A,14944,Petrol,45.6,1.0,volkswagen,30572025
21,Polo,2020,15899,N/A,15132,Petrol,50.4,1.0,volkswagen,30577484
22,T-Roc,2020,21549,N/A,15255,Petrol,44.1,1.5,volkswagen,30643361
23,Golf,2018,18199,N/A,39187,Petrol,55.4,1.5,volkswagen,30429149
24,Polo,2021,16049,N/A,14699,Petrol,47.9,1.0,volkswagen,30562785
25,Up,2016,10549,N/A,15348,Petrol,64.2,1.0,volkswagen,30683557
26,T-Cross,2019,17299,N/A,15837,Petrol,47.9,1.0,volkswagen,30572257
27,Polo,2020,17049,N/A,16025,Petrol,51.4,1.0,volkswagen,30643327
28,Polo,2021,16149,N/A,16096,Petrol,47.9,1.0,volkswagen,30603040
29,Polo,2020,16049,N/A,16189,Petrol,50.4,1.0,volkswagen,30659955
30,T-Cross,2021,17599,N/A,16211,Petrol,48.7,1.0,volkswagen,30572141
31,Polo,2020,16599,N/A,17347,Petrol,49.6,1.0,volkswagen,30582300
32,Up,2016,11549,N/A,17427,Petrol,67.3,1.0,volkswagen,30643328
33,Polo,2016,12399,N/A,17455,Petrol,60.1,1.2,volkswagen,30620627
34,Polo,2018,13949,N/A,18271,Petrol,52.3,1.0,volkswagen,30587977
35,Polo,2018,11549,N/A,42385,Petrol,64.2,1.0,volkswagen,30289934
36,T-Cross,2019,16399,N/A,28656,Petrol,47.9,1.0,volkswagen,30588062
37,Polo,2020,14949,N/A,18483,Petrol,52.3,1.0,volkswagen,30674474
38,Scirocco,2017,16149,N/A,18823,Petrol,52.3,1.4,volkswagen,30674730
39,T-Cross,2020,17549,N/A,19119,Petrol,48.7,1.0,volkswagen,30643508
40,Polo,2021,15149,N/A,19165,Petrol,51.4,1.0,volkswagen,30643168
41,Polo,2021,16099,N/A,19438,Petrol,47.9,1.0,volkswagen,30649179
