,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Tiguan,2019,17849,N/A,34470,Petrol,40.9,1.5,volkswagen,30546349
1,Golf,2021,28996,Semi-Auto,39999,Petrol,38.2,2,volkswagen,30396015
2,Passat,2017,9849,N/A,50633,Diesel,70.6,1.6,volkswagen,29888510
3,Polo,2020,13999,Manual,24191,Petrol,48.7,1.0,volkswagen,30033861
4,Golf,2019,16800,Automatic,41447,Diesel,54.3,1.6,volkswagen,30301383
5,Golf,2019,15999,Manual,43706,Petrol,51.4,1.0,volkswagen,30115412
6,Golf,2017,12999,Manual,21273,Petrol,65.7,1.0,volkswagen,29417742
7,Golf,2014,12999,Automatic,28640,Petrol,56.5,1.4,volkswagen,30235974
8,Up,2014,6299,Manual,43306,Petrol,67.3,1.0,volkswagen,28865156
9,Polo,2010,6299,Manual,46827,Petrol,47.9,1.4,volkswagen,30198078
10,Polo,2017,9499,Manual,58051,Petrol,60.1,1.0,volkswagen,30487221
11,Polo,2015,7899,Manual,83286,Petrol,60.1,1.2,volkswagen,30121069
12,Golf,2019,15568,Automatic,24826,Petrol,41.5,1.0,volkswagen,30501514
13,Scirocco,2017,15849,N/A,39646,Petrol,44.1,2.0,volkswagen,30587939
14,Tiguan,2021,20799,N/A,30647,Petrol,44.1,1.5,volkswagen,30307986
15,Touareg,2019,29951,Automatic,31659,Diesel,34.9,3.0,volkswagen,30680764
16,Golf,2014,12499,Semi-Auto,18748,Petrol,56.5,1.39,volkswagen,30375129
17,Touran,2015,10699,Manual,41150,Diesel,61.4,1.6,volkswagen,30701237
18,Beetle,2013,12499,Manual,57375,Petrol,41.5,1.39,volkswagen,30440863
19,Passat,2018,14299,Manual,58661,Diesel,51.4,2,volkswagen,30274193
20,Tiguan,2016,12699,Manual,59266,Diesel,53.3,2,volkswagen,30026125
21,Golf,2013,12299,Semi-Auto,38762,Petrol,60.1,1.39,volkswagen,30573676
22,Polo,2016,10699,Semi-Auto,49737,Petrol,60.1,1.2,volkswagen,30656578
23,Up,2021,16599,Manual,10400,Petrol,53.3,1,volkswagen,30661947
24,Passat,2017,19499,Semi-Auto,20971,Other,166,1.39,volkswagen,30616783
25,Scirocco,2017,13699,N/A,51263,Petrol,47.1,2.0,volkswagen,30480289
26,T-Cross,2020,18549,N/A,55078,Petrol,45.6,1.0,volkswagen,30608177
27,Passat,2018,14299,Manual,58661,Diesel,51.4,2,volkswagen,30274193
28,Tiguan,2016,12699,Manual,59266,Diesel,53.3,2,volkswagen,30026125
29,Up,2016,6499,Manual,68737,Petrol,61.4,1,volkswagen,30661950
30,Passat,2018,14999,Semi-Auto,69756,Diesel,51.4,2,volkswagen,30701245
31,Polo,2016,9700,Manual,26415,Petrol,60.1,1,volkswagen,30283874
32,Polo,2005,3495,Manual,60000,Petrol,47.1,1.2,volkswagen,30106419
33,Passat,2009,6495,Automatic,62000,Diesel,45.6,2.0,volkswagen,29283740
34,Passat,2012,8995,Automatic,65000,Diesel,54.3,2.0,volkswagen,29718744
35,Up,2012,6699,Semi-Auto,61000,Petrol,62.8,1,volkswagen,30743651
36,Golf,2017,19999,Manual,66000,Petrol,39.8,2,volkswagen,29812319
37,Scirocco,2017,13849,N/A,49942,Petrol,52.3,1.4,volkswagen,30746479
38,Tiguan,2019,16049,N/A,45488,Diesel,49.6,2.0,volkswagen,30577430
39,Up,2012,6699,Semi-Auto,61000,Petrol,62.8,1,volkswagen,30743651
40,Passat,2015,8999,Manual,97000,Diesel,67.3,2,volkswagen,30747919
41,Tiguan,2014,9699,Manual,56000,Diesel,53.3,2,volkswagen,30688384
42,Up,2013,6995,Manual,42131,Petrol,60.1,1.0,volkswagen,29532511
43,Tiguan,2013,8995,Manual,105758,Diesel,48.7,2.0,volkswagen,27965102
44,ID3,2020,22500,Grey,Electric,Automatic,22512,,volkswagen,29170469
45,Amarok,2019,38394,Automatic,25000,Diesel,28.3,3,volkswagen,30449810
46,Polo,2013,6495,Manual,79000,Petrol,47.9,1.4,volkswagen,30718528
47,Polo,2017,7995,Manual,90220,Petrol,60.1,1.2,volkswagen,30678294
48,Golf,2014,14995,Manual,60000,Petrol,39.8,2.0,volkswagen,30647541
49,Passat,2019,19049,N/A,21931,Diesel,53.3,2.0,volkswagen,30514540
50,Golf,2019,18149,N/A,24827,Petrol,46.3,1.5,volkswagen,30700708
51,Passat,2016,10845,Automatic,97000,Diesel,60.1,2.0,volkswagen,30713795
52,Polo,2018,12741,Automatic,62000,Petrol,61.4,1.0,volkswagen,30670238
53,T-Roc,2023,32990,Manual,3000,Petrol,45.6,1.5,volkswagen,30441684
54,Taigo,2022,19590,Manual,8308,Petrol,51.4,1,volkswagen,30699783
