,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Tiguan,2017,19049,N/A,29972,Diesel,58.9,2.0,volkswagen,30502690
1,Golf,2023,22290,Manual,7622,Petrol,50.4,1.5,volkswagen,30565670
2,T-Roc,2020,25999,Semi-Auto,9372,Petrol,41.5,1.5,volkswagen,30489019
3,T-Roc,2020,20491,Manual,9722,Petrol,44.1,1,volkswagen,30661421
4,Polo,2021,17192,Manual,10209,Petrol,51.4,1,volkswagen,30565676
5,Golf SV,2019,16992,Manual,14492,Petrol,45.6,1.5,volkswagen,30621600
6,T-Cross,2021,19696,Automatic,14809,Petrol,44.1,1,volkswagen,30401738
7,Taigo,2022,22992,Automatic,15418,Petrol,47.9,1,volkswagen,30565666
8,Golf,2021,34399,Semi-Auto,15903,Petrol,36.2,2,volkswagen,30565677
9,Arteon,2021,31998,Semi-Auto,16826,Hybrid,44.1,1.4,volkswagen,30661418
10,T-Roc,2020,22991,Semi-Auto,17167,Petrol,43.5,1.5,volkswagen,30661416
11,Golf,2017,22499,N/A,42663,Petrol,39.8,2.0,volkswagen,30477031
12,Up,2018,9749,N/A,29186,Petrol,64.2,1.0,volkswagen,30514509
13,Golf,2018,15791,Manual,17445,Diesel,57.7,1.6,volkswagen,30678001
14,T-Roc,2020,20991,Manual,18028,Petrol,44.8,1.5,volkswagen,30640175
15,Polo,2021,15492,Manual,18078,Petrol,51.4,1,volkswagen,30452442
16,Polo,2020,15692,Manual,18459,Petrol,50.4,1,volkswagen,30590820
17,T-Roc,2020,20994,Manual,19297,Petrol,44.8,1.5,volkswagen,30483744
18,Golf,2021,33999,Semi-Auto,20010,Petrol,36.2,2,volkswagen,30501814
19,Tiguan,2021,29993,Semi-Auto,20170,Petrol,38.7,1.5,volkswagen,30518491
20,Golf,2019,18199,Semi-Auto,21993,Petrol,47.1,1.5,volkswagen,30667388
21,Polo,2021,15990,Manual,22576,Petrol,50.4,1,volkswagen,29471964
22,Touareg,2021,47494,Semi-Auto,22658,Diesel,33.6,3,volkswagen,30454922
23,T-Cross,2020,17299,N/A,21680,Petrol,48.7,1.0,volkswagen,30683571
24,T-Cross,2021,16699,N/A,30179,Petrol,49.6,1.0,volkswagen,30480280
25,Golf,2019,16991,Manual,23376,Petrol,47.1,1.5,volkswagen,30621601
26,Golf,2020,15591,White,Electric,Automatic,25897,,volkswagen,30661423
27,Arteon,2020,25991,Semi-Auto,26208,Petrol,35.8,2,volkswagen,30631335
28,T-Roc,2019,18791,Manual,26689,Petrol,44.1,1,volkswagen,30600398
29,Golf,2020,18199,Semi-Auto,27016,Petrol,45.6,1.5,volkswagen,30473382
30,Polo,2020,16891,Manual,27568,Petrol,49.6,1,volkswagen,30661420
31,Golf,2020,16691,Manual,29608,Petrol,49.6,1.5,volkswagen,30647110
32,T-Roc,2020,28999,Semi-Auto,32718,Petrol,32.5,2,volkswagen,30250117
33,Tiguan,2018,19494,Semi-Auto,35913,Diesel,46.3,2,volkswagen,30271291
34,Tiguan,2020,19992,Manual,36684,Petrol,38.2,1.5,volkswagen,30470296
35,Tiguan,2019,25299,N/A,25056,Diesel,47.9,2.0,volkswagen,30407493
36,Polo,2019,17499,N/A,28443,Petrol,39.8,2.0,volkswagen,30485037
37,Touareg,2021,44694,Semi-Auto,37822,Diesel,33.6,3,volkswagen,30489017
38,Tiguan,2018,16992,Manual,48287,Petrol,46.3,1.4,volkswagen,30590818
39,Tiguan,2018,16491,Manual,56121,Petrol,46.3,1.4,volkswagen,30600394
40,Polo,2021,16491,Manual,8754,Petrol,50.4,1,volkswagen,30700171
41,Golf,2019,16991,Manual,21513,Petrol,47.1,1.5,volkswagen,30700173
42,T-Cross,2021,21957,Manual,14402,Petrol,47.1,1,volkswagen,30700172
43,Amarok,2017,29690,Automatic,39071,Diesel,36.2,3.0,volkswagen,29756499
44,Caravelle,2018,38990,Automatic,53338,Diesel,47.1,2.0,volkswagen,30615733
45,Polo,2018,14989,Manual,36000,Petrol,60.1,1.0,volkswagen,30249474
46,Polo,2019,15000,Automatic,27000,Petrol,45.6,1.0,volkswagen,30648229
47,Golf,2019,15999,N/A,63798,Petrol,45.6,1.5,volkswagen,30627181
48,Golf,2019,14049,N/A,47046,Petrol,49.6,1.0,volkswagen,30602949
49,Caddy Maxi,2015,11000,Manual,101000,Diesel,48.7,1.6,volkswagen,30036651
50,Golf,2019,16270,Manual,47513,Petrol,47.9,1.5,volkswagen,30667321
51,Golf,2019,16399,Semi-Auto,32370,Petrol,45.6,1,volkswagen,30555092
52,Polo,2011,4390,Manual,89000,Diesel,83.1,1.2,volkswagen,30328765
53,Golf,2009,5390,Automatic,109000,Diesel,52.3,2.0,volkswagen,29723217
54,Tiguan,2023,37990,Semi-Auto,3566,Hybrid,156.9,1.4,volkswagen,30425580
55,Taigo,2023,22490,Automatic,3754,Petrol,47.9,1,volkswagen,30653993
56,Golf,2022,34957,Semi-Auto,3898,Petrol,38.2,2,volkswagen,30579986
57,Polo,2020,19991,Semi-Auto,5013,Petrol,46.3,1,volkswagen,30574890
58,Taigo,2022,20492,Manual,5601,Petrol,51.4,1,volkswagen,30565663
59,Polo,2018,11049,N/A,46531,Petrol,60.1,1.0,volkswagen,30700715
60,Arteon,2019,19799,N/A,39015,Petrol,40.4,1.5,volkswagen,30401202
61,Taigo,2022,19990,Manual,5672,Petrol,51.4,1,volkswagen,30111864
62,Tiguan,2022,27990,Semi-Auto,5889,Diesel,50.4,2,volkswagen,30111873
63,T-Cross,2022,19990,Manual,6222,Petrol,49.6,1,volkswagen,30243688
64,Polo,2022,17990,Manual,7644,Petrol,54.3,1,volkswagen,30111871
65,Polo,2021,16297,Manual,9098,Petrol,50.4,1,volkswagen,30361387
66,T-Roc,2023,30990,Semi-Auto,11505,Diesel,57.7,2,volkswagen,30243689
67,Tiguan Allspace,2022,34990,Semi-Auto,11533,Diesel,47.1,2,volkswagen,30082771
68,T-Cross,2021,18495,Manual,11831,Petrol,49.6,1,volkswagen,30454916
69,Passat,2022,32990,Semi-Auto,12001,Hybrid,42.8,1.4,volkswagen,30111866
70,Golf,2019,19992,Semi-Auto,12346,Petrol,45.6,1.5,volkswagen,30647106
71,Golf,2018,13799,N/A,52475,Diesel,72.4,1.6,volkswagen,30678941
72,Golf,2020,23049,N/A,22670,Hybrid,141.3,1.4,volkswagen,30691349
73,T-Roc,2022,29491,Semi-Auto,12470,Diesel,57.7,2,volkswagen,30571155
74,Tiguan,2019,28992,Semi-Auto,12744,Petrol,36.7,2,volkswagen,30560175
75,Golf,2019,19399,Semi-Auto,13136,Petrol,44.8,1.5,volkswagen,30393735
76,Polo,2020,16791,Manual,14050,Petrol,50.4,1,volkswagen,30677997
77,Polo,2020,16291,Manual,14623,Petrol,50.4,1,volkswagen,30560173
78,T-Roc,2020,19992,Manual,15112,Petrol,44.1,1,volkswagen,30523050
79,Up,2017,10991,Manual,15448,Petrol,60.1,1,volkswagen,30574892
80,Golf,2019,26793,Semi-Auto,15601,Petrol,37.7,2,volkswagen,30501810
81,T-Roc,2021,24292,Semi-Auto,15616,Petrol,43.5,1.5,volkswagen,30617684
82,Golf,2020,25999,Semi-Auto,15701,Hybrid,176.6,1.4,volkswagen,30334952
83,Up,2017,9799,N/A,17932,Petrol,64.2,1.0,volkswagen,30384547
84,Polo,2016,10549,N/A,41826,Petrol,60.1,1.2,volkswagen,30700850
85,Golf,2015,14891,Semi-Auto,15927,Petrol,60.1,1.4,volkswagen,30571159
86,T-Cross,2021,17499,Manual,16849,Petrol,48.7,1,volkswagen,30122369
87,Tiguan Allspace,2023,36491,Semi-Auto,17178,Petrol,37.2,1.5,volkswagen,30652697
88,T-Roc,2018,18992,Manual,17965,Petrol,44.1,1,volkswagen,30523051
89,Polo,2021,16993,Manual,18018,Petrol,54.3,1,volkswagen,30571156
90,Polo,2020,15992,Manual,19435,Petrol,50.4,1,volkswagen,30549043
91,Golf,2016,17491,Semi-Auto,19913,Petrol,58.9,1.4,volkswagen,30653992
92,Tiguan,2019,23191,Semi-Auto,20076,Petrol,37.7,1.5,volkswagen,30612590
93,Polo,2019,16157,Manual,20504,Petrol,49.6,1,volkswagen,30579992
94,Golf,2019,17557,Semi-Auto,20695,Diesel,54.3,1.6,volkswagen,30647105
95,Golf,2020,19749,N/A,32205,Diesel,60.1,2.0,volkswagen,30289936
96,T-Cross,2019,15299,N/A,37802,Petrol,47.9,1.0,volkswagen,30219153
97,T-Roc,2020,20991,Manual,21030,Petrol,44.8,1.5,volkswagen,30682368
98,T-Roc,2020,19791,Manual,21252,Petrol,44.1,1,volkswagen,30600391
99,T-Roc,2020,20691,Manual,22436,Petrol,44.8,1.5,volkswagen,30642352
100,Tiguan,2020,28491,Semi-Auto,22950,Petrol,36.7,1.5,volkswagen,30611773
101,Polo,2021,16992,Manual,23058,Petrol,53.3,1,volkswagen,30565662
102,Golf,2019,22996,Manual,23418,Petrol,37.2,2,volkswagen,30425581
103,Passat,2019,22491,Semi-Auto,23710,Petrol,39.2,1.5,volkswagen,30653995
104,Arteon,2019,27793,Semi-Auto,24332,Diesel,44.1,2,volkswagen,30483740
105,Golf,2018,18999,Semi-Auto,25151,Petrol,43.5,1.5,volkswagen,30560174
106,Tiguan Allspace,2019,25996,Semi-Auto,26434,Petrol,35.8,1.5,volkswagen,30433334
107,Golf,2016,19999,N/A,50334,Petrol,39.8,2.0,volkswagen,30456364
108,T-Roc,2019,17849,N/A,41712,Diesel,50.4,1.6,volkswagen,30502731
109,Golf,2021,28793,Semi-Auto,26670,Petrol,38.2,2,volkswagen,30506568
110,Golf,2020,19291,Semi-Auto,26815,Petrol,45.6,1.5,volkswagen,30579990
111,Tiguan Allspace,2019,26991,Semi-Auto,27096,Diesel,44.1,2,volkswagen,30617683
112,Touareg,2021,47992,Semi-Auto,27480,Diesel,33.6,3,volkswagen,30506569
113,Golf,2020,19991,Manual,28014,Petrol,47.1,1.5,volkswagen,30612587
114,Golf,2017,15791,Semi-Auto,28033,Petrol,60.1,1,volkswagen,30663565
115,T-Roc,2019,18492,Manual,28681,Petrol,44.1,1,volkswagen,30560168
116,Golf,2018,22292,Manual,28754,Petrol,37.7,2,volkswagen,30518468
117,Up,2019,10791,Manual,29789,Petrol,55.4,1,volkswagen,30667386
118,Arteon,2020,22496,Semi-Auto,30297,Petrol,47.1,2,volkswagen,30393734
119,Touareg,2019,31299,N/A,22115,Diesel,34.9,3.0,volkswagen,30466738
120,Passat,2018,16199,N/A,35444,Diesel,68.9,1.6,volkswagen,30674754
121,Tiguan,2016,18791,Semi-Auto,30760,Diesel,57.6,2,volkswagen,30574891
122,Tiguan,2019,19857,Manual,32372,Diesel,47.9,2,volkswagen,30652698
123,Golf,2021,16992,Manual,32574,Petrol,52.3,1.5,volkswagen,30653990
124,Golf,2020,17291,Manual,32941,Petrol,49.6,1.5,volkswagen,30590808
125,Tiguan,2020,21991,Semi-Auto,35634,Petrol,37.7,1.5,volkswagen,30590811
126,T-Roc,2021,21991,Semi-Auto,35864,Petrol,43.5,1.5,volkswagen,30677995
127,Tiguan,2021,22991,Manual,39478,Petrol,44.8,1.5,volkswagen,30574893
128,Polo,2019,14991,Semi-Auto,39508,Petrol,45.6,1,volkswagen,30631324
129,Tiguan,2019,25497,Semi-Auto,40435,Diesel,39.2,2,volkswagen,30288223
130,Passat,2017,16991,Manual,46841,Diesel,68.9,2,volkswagen,30624990
131,Polo,2018,13899,N/A,10435,Petrol,64.2,1.0,volkswagen,30392938
132,Scirocco,2016,12049,N/A,63049,Petrol,52.3,1.4,volkswagen,30485020
133,T-Roc,2019,18992,Manual,49168,Petrol,53.3,1.5,volkswagen,30579991
134,Arteon,2018,19393,Semi-Auto,51459,Petrol,47.1,2,volkswagen,30617682
135,Tiguan,2017,17491,Semi-Auto,58952,Diesel,49.6,2,volkswagen,30612591
136,Polo,2022,20757,Semi-Auto,2568,Petrol,51.4,1,volkswagen,30698744
137,Up,2020,13291,Manual,5495,Petrol,50.4,1,volkswagen,30653994
138,Tiguan,2022,31891,Semi-Auto,27221,Petrol,39.2,1.5,volkswagen,30686784
139,Tiguan,2020,20257,Manual,30854,Petrol,38.2,1.5,volkswagen,30698745
140,Touareg,2018,32993,Semi-Auto,56361,Diesel,34,3,volkswagen,30483742
141,Tiguan,2023,33951,Semi-Auto,8337,Petrol,40.4,1.5,volkswagen,30686783
142,T-Roc,2021,29691,Semi-Auto,11827,Petrol,40.4,1.5,volkswagen,30596711
143,Golf,2019,16849,N/A,50435,Diesel,52.3,2.0,volkswagen,30649170
144,T-Roc,2018,17599,N/A,66495,Diesel,50.4,1.6,volkswagen,30519538
145,Tiguan,2020,26591,Semi-Auto,27619,Petrol,36.7,2,volkswagen,30693637
146,Tiguan,2020,20591,Manual,32158,Petrol,38.2,1.5,volkswagen,30686782
147,Tiguan,2019,24991,Semi-Auto,34539,Diesel,None,2,volkswagen,30686780
148,Tiguan,2019,17991,Manual,59532,Petrol,40.9,1.5,volkswagen,30678000
149,Polo,2014,8490,Manual,70327,Petrol,58.9,1.2,volkswagen,30569205
150,Golf,2013,6990,Manual,81416,Diesel,62.8,2.0,volkswagen,30469808
151,Tiguan,2013,8400,Manual,102625,Diesel,48.7,2.0,volkswagen,30652043
152,Up,2020,13099,N/A,2906,Petrol,50.4,1.0,volkswagen,30687391
153,Polo,2021,16599,N/A,4608,Petrol,53.3,1.0,volkswagen,30325193
154,Polo,2020,15049,N/A,6576,Petrol,48.7,1.0,volkswagen,30593599
155,T-Cross,2019,17299,N/A,15837,Petrol,47.9,1.0,volkswagen,30572257
156,Tiguan,2020,18549,N/A,26631,Petrol,42.2,1.5,volkswagen,30466663
157,Polo,2020,16299,N/A,7640,Petrol,50.4,1.0,volkswagen,30484981
158,Polo,2019,14799,N/A,7867,Petrol,52.3,1.0,volkswagen,30424987
159,Polo,2020,16399,N/A,8094,Petrol,50.4,1.0,volkswagen,30502628
160,Polo,2020,16049,N/A,8353,Petrol,51.4,1.0,volkswagen,30654893
161,T-Cross,2020,20999,N/A,9355,Petrol,43.5,1.0,volkswagen,30360640
162,Golf,2020,17199,Grey,Electric,N/A,9800,,volkswagen,30691298
163,Up,2018,12049,N/A,9911,Petrol,68.9,1.0,volkswagen,30643228
164,T-Cross,2021,20499,N/A,9955,Petrol,43.5,1.0,volkswagen,30417329
165,Polo,2015,13449,N/A,10083,Petrol,60.1,1.2,volkswagen,30608102
166,Polo,2019,14799,N/A,10083,Petrol,52.3,1.0,volkswagen,30562724
167,T-Cross,2019,17299,N/A,15837,Petrol,47.9,1.0,volkswagen,30572257
168,T-Roc,2020,19699,N/A,32500,Petrol,44.8,1.5,volkswagen,30551749
169,T-Cross,2020,18949,N/A,10317,Petrol,47.9,1.0,volkswagen,30484643
170,Polo,2018,13899,N/A,10435,Petrol,64.2,1.0,volkswagen,30392938
171,Passat,2020,19999,N/A,10470,Petrol,45.6,1.5,volkswagen,30476863
172,T-Cross,2022,21499,N/A,10632,Petrol,45.6,1.0,volkswagen,30519607
173,T-Cross,2021,19299,N/A,11180,Petrol,48.7,1.0,volkswagen,30312222
174,T-Cross,2021,20049,N/A,11634,Petrol,48.7,1.0,volkswagen,30602973
175,T-Cross,2019,16649,N/A,11641,Petrol,48.7,1.0,volkswagen,30477041
176,Polo,2019,14999,N/A,11711,Petrol,52.3,1.0,volkswagen,30572210
177,Polo,2021,15749,N/A,11915,Petrol,51.4,1.0,volkswagen,30572093
178,T-Cross,2020,17749,N/A,12532,Petrol,47.9,1.0,volkswagen,30456347
179,Polo,2020,17049,N/A,16025,Petrol,51.4,1.0,volkswagen,30643327
180,Touareg,2019,31049,N/A,67497,Diesel,34,3.0,volkswagen,30417296
181,Golf,2018,20849,N/A,12683,Petrol,55.4,1.5,volkswagen,30649128
182,Tiguan,2019,19299,N/A,12691,Petrol,40.9,1.5,volkswagen,30325176
183,Polo,2021,19049,N/A,12721,Petrol,46.3,1.0,volkswagen,30502727
184,Polo,2021,17049,N/A,12950,Petrol,50.4,1.0,volkswagen,30678924
185,Polo,2018,13799,N/A,13178,Petrol,64.2,1.0,volkswagen,30466745
186,Golf,2019,17799,N/A,13310,Petrol,50.4,1.5,volkswagen,30477079
187,T-Cross,2020,17299,N/A,13542,Petrol,48.7,1.0,volkswagen,30498581
188,Golf,2021,19699,N/A,13590,Petrol,52.3,1.0,volkswagen,30531510
189,Polo,2015,11549,N/A,13661,Petrol,60.1,1.2,volkswagen,30325307
190,Polo,2021,16199,N/A,13852,Petrol,51.4,1.0,volkswagen,30407476
191,T-Cross,2019,15199,N/A,43447,Petrol,47.9,1.0,volkswagen,30531492
192,Passat,2016,13799,N/A,64877,Diesel,61.4,2.0,volkswagen,30267235
193,Polo,2018,14699,N/A,13885,Petrol,60.1,1.0,volkswagen,30272244
194,T-Roc,2018,18649,N/A,14067,Petrol,44.1,1.0,volkswagen,30348618
195,Golf,2020,16349,Black,Electric,N/A,14355,,volkswagen,30655008
196,Polo,2021,16049,N/A,14699,Petrol,47.9,1.0,volkswagen,30562785
197,Polo,2021,18999,N/A,14907,Petrol,41.5,2.0,volkswagen,30233529
198,Polo,2019,16699,N/A,14944,Petrol,45.6,1.0,volkswagen,30572025
199,Golf,2019,25049,N/A,15078,Petrol,37.7,2.0,volkswagen,30531353
200,Polo,2020,14499,N/A,15116,Petrol,48.7,1.0,volkswagen,30593597
201,Polo,2020,15899,N/A,15132,Petrol,50.4,1.0,volkswagen,30577484
202,T-Roc,2020,21549,N/A,15255,Petrol,44.1,1.5,volkswagen,30643361
203,Tiguan,2019,17549,N/A,51495,Diesel,47.9,2.0,volkswagen,30281431
204,Tiguan,2019,16499,N/A,45488,Diesel,49.6,2.0,volkswagen,30577430
205,Up,2016,10549,N/A,15348,Petrol,64.2,1.0,volkswagen,30683557
206,T-Cross,2019,17299,N/A,15837,Petrol,47.9,1.0,volkswagen,30572257
207,Polo,2020,17049,N/A,16025,Petrol,51.4,1.0,volkswagen,30643327
208,Polo,2021,16149,N/A,16096,Petrol,47.9,1.0,volkswagen,30603040
209,Polo,2020,16049,N/A,16189,Petrol,50.4,1.0,volkswagen,30659955
210,Polo,2021,18999,N/A,16196,Petrol,51.4,1.0,volkswagen,30480217
211,T-Cross,2021,17599,N/A,16211,Petrol,48.7,1.0,volkswagen,30572141
212,T-Cross,2020,15999,N/A,16492,Petrol,49.6,1.0,volkswagen,30201097
213,Polo,2021,15999,N/A,16546,Petrol,50.4,1.0,volkswagen,30456360
214,T-Cross,2020,22299,N/A,16683,Petrol,45.6,1.0,volkswagen,30551740
215,Passat,2019,15799,N/A,52744,Diesel,51.4,2.0,volkswagen,30337898
216,Golf,2018,19299,N/A,37833,Petrol,55.4,1.5,volkswagen,30654873
217,T-Cross,2020,17999,N/A,16933,Petrol,47.9,1.0,volkswagen,30424990
218,T-Cross,2019,17999,N/A,17282,Petrol,47.9,1.0,volkswagen,30531433
219,Polo,2020,16599,N/A,17347,Petrol,49.6,1.0,volkswagen,30582300
220,T-Cross,2020,15949,N/A,17419,Petrol,48.7,1.0,volkswagen,30267280
221,Up,2016,11549,N/A,17427,Petrol,67.3,1.0,volkswagen,30643328
222,Polo,2016,12399,N/A,17455,Petrol,60.1,1.2,volkswagen,30620627
223,Polo,2021,15049,N/A,17591,Petrol,51.4,1.0,volkswagen,30417120
224,Golf,2020,20049,N/A,17713,Petrol,47.1,1.5,volkswagen,30447858
225,Up,2017,9799,N/A,17932,Petrol,64.2,1.0,volkswagen,30384547
226,Polo,2019,17699,N/A,18136,Petrol,39.8,2.0,volkswagen,30337849
227,T-Roc,2019,17199,N/A,36568,Diesel,50.4,1.6,volkswagen,30519618
228,Golf,2017,23449,N/A,36330,Petrol,39.8,2.0,volkswagen,30614940
229,Golf,2019,16799,N/A,18250,Petrol,47.1,1.5,volkswagen,30451800
230,Polo,2018,13949,N/A,18271,Petrol,52.3,1.0,volkswagen,30587977
231,T-Roc,2020,17799,N/A,18290,Petrol,44.8,1.0,volkswagen,30477034
232,Up,2018,10899,N/A,18440,Petrol,64.2,1.0,volkswagen,30451762
