,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Ignis,2021,10899,Manual,14728,Petrol,55.4,1.2,suzuki,30188214
1,Q2,2021,25950,Automatic,10457,Petrol,46.3,1.5,audi,30231868
2,Q4 e-tron,2022,41990,Automatic,10500,Other,None,0,audi,29748382
3,A5,2020,28990,Automatic,12346,Diesel,54.3,2.0,audi,30127852
4,TT,2020,30990,Automatic,12365,Petrol,34.9,2.0,audi,30405795
5,A4,2022,25990,Automatic,12800,Petrol,44.8,2.0,audi,30061121
6,Q2,2022,28990,Automatic,13851,Petrol,44.8,1.5,audi,30428355
7,TT,2020,27990,Automatic,13900,Petrol,40.9,2.0,audi,30411041
8,A5,2021,30990,Automatic,14058,Diesel,54.3,2.0,audi,30377164
9,A3,2021,26450,Automatic,14478,Petrol,47.9,1.5,audi,30428352
10,A5,2021,28450,Automatic,14744,Diesel,55.4,2.0,audi,30377160
11,5 Series,2016,16549,Semi-Auto,50622,Diesel,62.8,2.0,bmw,30557565
12,C Class,2016,17849,N/A,67583,Hybrid,74.3,2.1,mercedes-benz,30602932
13,A3,2020,21130,Manual,14800,Petrol,47.1,1.0,audi,30207880
14,Q2,2022,27990,Automatic,14965,Petrol,44.8,1.5,audi,30434084
15,Q7,2019,45990,Automatic,15000,Diesel,32.8,3.0,audi,29990075
16,A1,2019,18660,Automatic,16528,Petrol,47.9,1.0,audi,30405789
17,A1,2020,20990,Automatic,16665,Petrol,44.8,1.0,audi,30442544
18,A5,2021,30990,Automatic,17400,Diesel,54.3,2.0,audi,30335724
19,A6,2021,34250,Automatic,17500,Diesel,47.1,2.0,audi,30250449
20,Q3,2019,27490,Automatic,18000,Diesel,47.1,2.0,audi,30470835
21,RS6,2021,89990,Automatic,19106,Petrol,22.2,4.0,audi,30377149
22,A6,2019,27990,Automatic,19600,Diesel,50.4,2.0,audi,29983375
23,i30,2018,11199,Manual,38645,Petrol,56.5,1.0,hyundai,30348651
24,CX-3,2019,13849,Manual,49479,Petrol,42.8,2.0,mazda,30602789
25,A5,2021,29990,Automatic,20102,Diesel,54.3,2.0,audi,30377161
26,Q3,2019,27990,Automatic,20345,Petrol,None,0,audi,30470839
27,A4,2022,29650,Automatic,21220,Petrol,40.9,2.0,audi,30377151
28,A5,2021,26990,Automatic,22222,Diesel,57.7,2.0,audi,30405793
29,A4,2020,27990,Automatic,22705,Diesel,50.4,2.0,audi,30265920
30,A4,2020,24500,Automatic,23150,Diesel,54.3,2.0,audi,30428351
31,A1,2020,17450,Manual,23300,Petrol,48.7,1.0,audi,30460053
32,TT,2019,24450,Automatic,23447,Petrol,34.9,2.0,audi,29844349
33,A4,2019,25750,Automatic,24195,Petrol,39.2,2.0,audi,30411055
34,Q3,2020,31250,Automatic,24703,Petrol,31.4,2.0,audi,30321205
35,Hatch,2020,18549,Semi-Auto,9370,Petrol,47.9,1.5,mini,30354524
36,Mokka X,2019,15499,Semi-Auto,23243,Petrol,37.2,1.4,vauxhall,30360551
37,A5,2020,28450,Automatic,25759,Diesel,52.3,2.0,audi,30473594
38,Q2,2019,17950,Manual,26089,Petrol,47.1,1.0,audi,30464278
39,A4,2022,37990,Automatic,28111,Diesel,39.8,3.0,audi,30442548
40,Q7,2020,45450,Automatic,28548,Diesel,33.2,3.0,audi,30411051
41,A3,2017,12450,Manual,29000,Petrol,62.8,1.0,audi,30000145
42,Q8,2021,38990,Automatic,30041,Other,None,0,audi,30303631
43,RS3,2018,38990,Automatic,30250,Petrol,34,2.5,audi,30231866
44,Q2,2018,18250,Manual,31350,Petrol,50.4,1.4,audi,30131882
