,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Polo,2018,13499,Manual,21176,Petrol,64.2,1.0,volkswagen,30417141
1,A1,2017,12750,Manual,30414,Petrol,56.5,1.4,audi,30389232
2,EcoSport,2020,14300,Manual,30601,Petrol,47.1,1,ford,30361709
3,B Class,2014,11500,Automatic,32747,Diesel,None,1.8,mercedes-benz,30563446
4,Kuga,2021,27000,Automatic,36000,Petrol/Electric,201.8,2.5,ford,28995538
5,Tiguan,2019,19750,Automatic,38742,Diesel,46.3,2,volkswagen,30461290
6,Kuga,2020,19500,Manual,46015,Diesel,54.3,1.5,ford,30448102
7,Fiesta,2018,14600,Manual,48543,Petrol,40.3,1.5,ford,30408215
8,Fiesta,2019,11300,Manual,49812,Petrol,58.9,1,ford,30367494
9,Fiesta,2019,10200,Manual,55646,Petrol,48.7,1.1,ford,30503215
10,Arona,2018,11900,Manual,66397,Petrol,57.7,1,seat,30367490
11,595,2016,12899,Manual,24500,Petrol,47.1,1.4,abarth,30546376
12,Passat,2020,18299,Semi-Auto,53974,Diesel,55.4,2.0,volkswagen,30417297
13,Other,2019,12000,Automatic,21496,Petrol,67.3,1,peugeot,30425916
14,Aygo,2019,7950,Manual,59452,Petrol,56.5,1,toyota,30430272
15,Kuga,2021,31500,Automatic,6917,Diesel,None,2,ford,30583506
16,Kuga,2019,21000,Automatic,12680,Diesel,38.7,2,ford,30402030
17,Swift,2020,12000,Manual,13824,Petrol,None,1.2,suzuki,30563445
18,Ceed,2021,15500,Manual,14154,Petrol,53.3,1,kia,30461295
19,Puma,2020,18000,Manual,14924,Petrol,None,1,ford,30557627
20,Puma,2020,18000,Manual,18344,Petrol,None,1,ford,30557621
21,Qashqai,2019,17490,Automatic,21365,Petrol,None,1.3,nissan,30531840
22,Q2,2018,17250,Manual,25823,Petrol,None,1.4,audi,30557625
23,CRV,2017,18049,Manual,32019,Petrol,38.2,2.0,honda,30424961
24,C-HR,2019,19049,Automatic,55444,Hybrid,74.3,1.8,toyota,30392905
25,Puma,2020,18000,Manual,14924,Petrol,None,1,ford,30557627
26,Puma,2020,18000,Manual,18344,Petrol,None,1,ford,30557621
27,Qashqai,2019,17490,Automatic,21365,Petrol,None,1.3,nissan,30531840
28,Q2,2018,17250,Manual,25823,Petrol,None,1.4,audi,30557625
29,Fiesta,2020,14000,Manual,25893,Petrol,None,1,ford,30557619
30,2 Series,2019,20950,Automatic,26246,Petrol,47.9,2,bmw,30461291
31,IONIQ,2020,17250,Automatic,26834,Petrol/Electric,None,1.6,hyundai,30557630
32,Karoq,2020,20500,Manual,26929,Petrol,42.2,1.5,skoda,30503218
33,Galaxy,2018,21500,Automatic,27434,Diesel,None,2,ford,30583505
34,Fabia,2019,11700,Manual,27668,Petrol,None,1,skoda,30557628
35,Jazz,2019,11549,Manual,56568,Petrol,48.7,1.3,honda,30572026
36,Leon,2018,13899,Manual,52495,Petrol,49.6,1.5,seat,30490173
37,Fiesta,2019,10200,Manual,42964,Petrol,55.4,1.1,ford,30384736
38,Grandland X,2018,13250,Automatic,46984,Petrol,43.5,1.2,vauxhall,30503214
39,Q3,2017,17049,Semi-Auto,43815,Diesel,53.3,2.0,audi,30103530
40,208,2023,20995,Manual,10,Petrol,57.7,1.2,peugeot,30223683
41,Enyaq,2022,30990,White,Electric,Automatic,1505,,skoda,30027488
42,Countryman,2022,30990,Semi-Auto,1665,Petrol,44.8,1.5,mini,30384808
43,Octavia,2023,29990,Semi-Auto,1936,Diesel,62.8,2,skoda,30296087
44,Enyaq,2022,30990,Silver,Electric,Automatic,2000,,skoda,29993016
45,Kodiaq,2023,38990,Automatic,2000,Petrol,34.5,2,skoda,30389970
46,208,2023,19985,Manual,2118,Petrol,57.7,1.2,peugeot,30214793
47,UX 300e,2021,29995,Silver,Electric,Automatic,2438,,lexus,30277095
48,Ibiza,2021,17995,Manual,3300,Petrol,51.4,1,seat,30367712
49,Aygo,2021,15426,Semi-Auto,3777,Petrol,56.5,1,toyota,30344312
50,Qashqai,2017,12899,Manual,51403,Diesel,74.3,1.5,nissan,30337895
51,Polo,2018,11549,Manual,60832,Petrol,64.2,1.0,volkswagen,30546348
52,Kamiq,2022,20690,Manual,3951,Petrol,52.3,1,skoda,30452921
53,RX,2023,60995,Automatic,4284,Hybrid,44.8,2.5,lexus,30308642
54,Vitara,2022,22895,Automatic,4479,Hybrid,49.6,1.4,suzuki,30272500
55,Ignis,2022,17995,Automatic,4535,Hybrid,52.3,1.2,suzuki,30285018
56,RX,2023,60995,Automatic,5022,Hybrid,44.8,2.5,lexus,30308641
57,Puma,2021,22495,Semi-Auto,5025,Petrol,49.6,1,ford,30355269
58,Kamiq,2022,20690,Manual,5299,Petrol,50.4,1.5,skoda,29886425
59,Ignis,2021,13695,Manual,5300,Hybrid,55.4,1.2,suzuki,30503513
60,RX 450h,2021,46995,Automatic,5354,Hybrid,35.8,3.5,lexus,30256354
61,Swace,2021,20991,Automatic,6579,Hybrid,62.8,1.8,suzuki,29942143
62,A Class,2019,18899,Manual,32274,Petrol,28.5,1.3,mercedes-benz,30502659
63,Sportage,2017,14499,Manual,58075,Diesel,61.4,1.7,kia,30551762
64,NX,2023,53995,Automatic,6025,Hybrid,None,2.5,lexus,30408424
65,Swace,2021,20991,Automatic,6579,Hybrid,62.8,1.8,suzuki,29942143
66,Hatch,2022,30990,Semi-Auto,6929,Petrol,42.8,2,mini,30211128
67,Golf,2016,13999,Manual,69537,Diesel,67.3,2.0,volkswagen,30572332
68,C-HR,2022,24995,Automatic,9131,Hybrid,57.7,1.8,toyota,30491390
69,UX 300e,2022,33995,Grey,Electric,Automatic,9408,,lexus,30308640
70,UX 300e,2021,29495,Grey,Electric,Automatic,9556,,lexus,30256385
71,SX4,2020,18895,Manual,9651,Petrol,38.7,1.4,suzuki,30052084
72,3008,2022,32995,Semi-Auto,9886,Petrol,46.3,1.2,peugeot,30104191
73,Countryman,2019,18990,Manual,10270,Petrol,39.8,1.5,mini,30495064
74,Hatch,2020,21990,Semi-Auto,10365,Petrol,44.8,2,mini,30295138
75,Karoq,2022,24390,Manual,10853,Petrol,46.3,1.5,skoda,30150181
76,Countryman,2020,23290,Semi-Auto,11449,Petrol,41.5,1.5,mini,30408284
77,208,2021,15990,Manual,11631,Petrol,56.5,1.2,peugeot,30490930
78,Micra,2017,9349,Manual,41549,Diesel,88.3,1.5,nissan,30384659
79,C1,2018,8049,Manual,34577,Petrol,65.7,1.2,citroen,30551677
80,UX 250h,2021,27995,Automatic,12166,Hybrid,53.3,2,lexus,30256361
81,SX4,2019,16995,Manual,12576,Petrol,38.7,1.4,suzuki,30355273
82,NX,2022,41795,Automatic,12753,Hybrid,44.1,2.5,lexus,30384852
83,Swift,2021,15495,Automatic,13055,Hybrid,55.4,1.2,suzuki,30395808
84,Scala,2021,19490,Semi-Auto,15000,Petrol,48.7,1,skoda,30184819
85,Countryman,2021,35990,Semi-Auto,15235,Petrol,34.5,2,mini,30391208
86,Hatch,2021,20490,Semi-Auto,15616,Petrol,51.4,1.5,mini,30228059
87,RX 450h,2021,43995,Automatic,16180,Hybrid,35.8,3.5,lexus,30256383
88,Countryman,2021,30990,Semi-Auto,16560,Petrol,40.4,2,mini,30343909
89,Tipo,2019,12695,Manual,16850,Petrol,37.2,1.4,fiat,30466841
90,Ka+,2019,10849,Manual,26578,Petrol,43.5,1.2,ford,30484954
91,Duster,2019,13199,Manual,19321,Petrol,41.5,1.0,dacia,30451768
92,Countryman,2021,30990,Semi-Auto,16560,Petrol,40.4,2,mini,30343909
93,Tipo,2019,12695,Manual,16850,Petrol,37.2,1.4,fiat,30466841
94,Corolla,2022,25995,Automatic,16880,Hybrid,53.3,2,toyota,30478001
95,EcoSport,2019,15995,Semi-Auto,17000,Petrol,44.1,1,ford,30132665
96,Hatch,2021,18890,Semi-Auto,17347,Petrol,51.4,1.5,mini,30495065
