,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Mondeo,2017,15349,Semi-Auto,54111,Diesel,67.3,2.0,ford,30424938
1,Scirocco,2012,6995,Manual,83037,Petrol,42.8,1.4,volkswagen,30564231
2,A1,2015,8495,Manual,85731,Diesel,80.7,1.6,audi,30558552
3,Astra,2010,3995,Manual,90353,Petrol,44.8,1.6,vauxhall,30129393
4,X Trail,2017,10750,Manual,93892,Diesel,57.6,1.6,nissan,30481749
5,Range Rover Evoque,2012,12750,Automatic,94502,Diesel,43.5,2.2,land rover,29957424
6,C Class,2009,4995,Automatic,98144,Diesel,42.2,2.1,mercedes-benz,30525089
7,A3,2018,11950,Automatic,98461,Petrol,56.5,1.5,audi,30252312
8,Grand C-MAX,2011,4795,Manual,99966,Diesel,53.3,2.0,ford,30481750
9,Range Rover,2016,29750,Automatic,102658,Diesel,33.6,4.4,land rover,30344552
10,Kuga,2019,18099,Manual,21311,Petrol,39.2,1.5,ford,30477016
11,CLA Class,2015,11250,Automatic,110915,Diesel,62.8,2.1,mercedes-benz,30313682
12,5 Series,2017,20089,N/A,34515,Diesel,51.4,3.0,bmw,30593693
13,i40,2017,5795,Automatic,150442,Diesel,60.1,1.7,hyundai,30583576
14,i30,2011,3250,Manual,97445,Petrol,46.3,1.4,hyundai,29905274
15,Up,2018,12399,Manual,16549,Petrol,50.4,1.0,volkswagen,30161852
16,CX-30,2022,22695,Manual,12209,Petrol,49.6,2,mazda,30505772
17,Fabia,2021,14895,Manual,13712,Petrol,51.4,1,skoda,30505774
18,Karoq,2020,21498,Manual,18606,Petrol,42.8,1.5,skoda,30448369
19,Scala,2021,24998,Semi-Auto,18671,Petrol,42.8,1,skoda,30373468
20,Kamiq,2021,19495,Manual,20383,Petrol,48.7,1.5,skoda,30518368
21,Superb,2022,25995,Manual,20389,Diesel,57.7,2,skoda,30408350
22,Octavia,2022,22799,Manual,23357,Petrol,50.4,1.5,skoda,30454873
23,Octavia,2022,18599,Manual,23638,Petrol,52.3,1.5,skoda,30429541
24,Fabia,2022,14349,Manual,24518,Petrol,55.4,1,skoda,30346738
25,Karoq,2018,15795,Manual,27098,Diesel,62.8,1.6,skoda,30490330
26,Tiguan,2020,22049,Manual,15458,Petrol,38.2,1.5,volkswagen,30392909
27,Corsa,2017,8499,Manual,21618,Petrol,None,1.4,vauxhall,30208681
28,Octavia,2020,19299,Manual,35303,Petrol,49.6,1.5,skoda,30477903
29,C1,2018,8295,Manual,46327,Petrol,68.9,1,citroen,30490327
30,Yeti,2016,12695,Semi-Auto,47070,Petrol,51.4,1.2,skoda,30490329
31,Kodiaq,2018,18495,Automatic,50764,Petrol,44.8,1.4,skoda,30485484
32,Sandero,2015,5495,Manual,58882,Petrol,48.7,1.1,dacia,29811974
33,C4,2014,5995,Manual,60742,Diesel,67.3,1.6,citroen,30350094
34,V40,2013,6995,Manual,66680,Diesel,78.5,1.6,volvo,30444965
35,Mazda3,2012,4995,Manual,71520,Petrol,43.5,1.6,mazda,30495919
36,Rio,2012,6495,Automatic,71635,Petrol,44.1,1.4,kia,30547616
37,Focus,2013,5995,Manual,71684,Diesel,67.3,1.6,ford,30547615
38,Fabia,2017,12049,Manual,21689,Petrol,64.2,1.0,skoda,30421758
39,Mondeo,2016,13799,Semi-Auto,47761,Diesel,57.7,2.0,ford,30417233
40,A7,2014,14995,Automatic,71803,Diesel,None,3.0,audi,30038094
41,Leon,2013,8995,Automatic,76532,Diesel,60.1,1.6,seat,29709174
42,Leon,2019,12249,Manual,43128,Diesel,61.4,1.6,seat,30354506
43,Corsa,2019,7495,Manual,96687,Petrol,43.5,1.4,vauxhall,30430850
44,Carens,2016,7995,Manual,98360,Diesel,62.8,1.7,kia,30430848
45,Focus,2013,5495,Manual,92782,Diesel,67.3,1.6,ford,30569016
46,i30,2012,5995,Manual,87355,Diesel,74.3,1.6,hyundai,30569017
47,Fiesta,2014,6995,Manual,58720,Petrol,54.3,1.2,ford,29072308
48,T-Roc,2019,20949,Semi-Auto,24516,Petrol,39.8,1.5,volkswagen,30417140
49,Megane,2014,6500,Manual,71500,Diesel,80.7,1.5,renault,29927754
50,3 Series,2012,8995,Manual,73000,Petrol,42.8,2.0,bmw,29633694
51,Fiesta,2016,7500,Manual,74000,Petrol,62.8,1.0,ford,30472551
52,A3,2016,10995,Manual,80500,Diesel,74.3,1.6,audi,30368493
53,Golf,2013,7995,Manual,80700,Diesel,68.9,1.6,volkswagen,30534547
54,A1,2012,7995,Manual,81000,Diesel,74.3,1.6,audi,29306741
55,Touran,2011,7500,Automatic,83000,Diesel,55.4,1.6,volkswagen,30091388
56,B Class,2013,9500,Automatic,84000,Diesel,64.2,1.8,mercedes-benz,30100749
57,Venga,2013,6995,Automatic,86000,Petrol,43.5,1.6,kia,30408804
58,V60,2019,19699,Semi-Auto,43441,Diesel,61.4,2.0,volvo,30354603
59,Touareg,2015,16999,Automatic,94100,Diesel,42.8,3.0,volkswagen,30179572
60,Golf,2016,13595,Manual,95000,Diesel,67.3,2.0,volkswagen,29607779
61,Countryman,2011,5995,Manual,96600,Petrol,47.1,1.6,mini,29772448
62,3 Series,2013,11995,Automatic,100100,Diesel,62.8,2.0,bmw,30091390
63,Qashqai,2013,5995,Manual,101000,Diesel,54.3,1.5,nissan,30564255
64,Kuga,2018,10995,Manual,101000,Diesel,64.2,1.5,ford,30521426
