,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Fiesta,2017,8899,Manual,32875,Petrol,54.3,1.2,ford,30421718
1,Juke,2020,16094,Manual,13000,Petrol,47.9,1,nissan,30456474
2,Qashqai,2020,18432,Manual,14000,Petrol,44.1,1.3,nissan,30557333
3,Captur,2019,13800,Semi-Auto,14109,Diesel,67.6,1.5,renault,30016442
4,Qashqai,2019,17618,Manual,14118,Petrol,40.4,1.3,nissan,30514767
5,Arona,2019,16024,Semi-Auto,14208,Diesel,48.7,1.6,seat,30295787
6,X Trail,2020,18888,Manual,16000,Diesel,43.5,1.7,nissan,30287204
7,Qashqai,2020,20870,Semi-Auto,16241,Petrol,42.2,1.3,nissan,30452855
8,Qashqai,2020,18860,Manual,16484,Petrol,39.8,1.3,nissan,30368057
9,Xceed,2022,18703,Manual,16847,Petrol,44.8,1.5,kia,30362371
10,Fiesta,2020,14902,Manual,18044,Petrol,51.4,1,ford,30495715
11,595,2017,11449,Manual,25157,Petrol,47.1,1.4,abarth,30519566
12,C3,2016,7349,Manual,56380,Diesel,80.7,1.6,citroen,30531488
13,Clio,2020,13127,Manual,10897,Petrol,49.6,1,renault,30318480
14,Sandero Stepway,2020,9972,Manual,12033,Petrol,45.6,1,dacia,30449653
15,Clio,2020,11300,Manual,12578,Petrol,49.6,1,renault,30216233
16,Fiesta,2020,13700,Manual,12900,Petrol,58.9,1,ford,29777778
17,Juke,2020,16094,Manual,13000,Petrol,47.9,1,nissan,30456474
18,Kadjar,2019,15061,Manual,13044,Petrol,42.16,1.3,renault,30452954
19,Captur,2019,13800,Semi-Auto,14109,Diesel,67.6,1.5,renault,30016442
20,Qashqai,2019,17618,Manual,14118,Petrol,40.4,1.3,nissan,30514767
21,Arona,2019,16024,Semi-Auto,14208,Diesel,48.7,1.6,seat,30295787
22,Ibiza,2021,17587,Manual,14483,Petrol,55.4,1,seat,30568762
23,Scirocco,2017,14799,Semi-Auto,49661,Diesel,58.9,2.0,volkswagen,30178622
24,Kuga,2019,14649,Manual,48208,Diesel,45.6,1.5,ford,30572224
25,T-Roc,2019,18599,Manual,52388,Diesel,50.4,1.6,volkswagen,30267216
26,Duster,2020,12199,Manual,40607,Petrol,41.5,1,dacia,30503827
27,Corsa,2019,9499,Manual,41848,Petrol,43.5,1.4,vauxhall,30491269
28,Juke,2020,15443,Manual,47225,Petrol,46.3,1,nissan,30558176
29,Clio,2020,9400,Manual,50650,Petrol,49.6,1,renault,30285666
30,DS 3,2016,7555,Manual,54993,Petrol,62.8,1.2,ds,30448618
31,Fiesta,2020,12165,Manual,16551,Petrol,52.3,1.1,ford,30558174
32,Juke,2019,12799,Manual,34000,Petrol,34,1.6,nissan,30575407
33,Qashqai,2019,15999,Manual,38351,Petrol,40.4,1.3,nissan,30573204
34,Qashqai,2020,15654,Manual,20625,Diesel,53.3,1.5,nissan,30568667
35,Sandero Stepway,2019,8810,Manual,32000,Petrol,45.6,1,dacia,30568263
36,Passat,2016,14449,Manual,49948,Diesel,68.9,2.0,volkswagen,30373353
37,XC60,2016,19049,Semi-Auto,29384,Diesel,60.1,2.0,volvo,30201074
38,C3,2019,12610,Manual,29241,Petrol,58.9,1.2,citroen,30499701
39,Kadjar,2019,15273,Manual,30750,Petrol,42.16,1.3,renault,30481378
40,F-PACE,2019,32599,Automatic,31019,Petrol,30.7,2,jaguar,30390036
41,Swift,2019,10600,Manual,31581,Hybrid,49.6,1.2,suzuki,29738073
42,Sandero Stepway,2019,8810,Manual,32000,Petrol,45.6,1,dacia,30568263
43,Sportage,2020,20622,Automatic,33914,Hybrid,48.7,1.6,kia,30290709
44,Juke,2019,12799,Manual,34000,Petrol,34,1.6,nissan,30575407
45,Qashqai,2018,17509,Automatic,34300,Petrol,50.4,1.2,nissan,30503106
46,Ceed,2020,17903,Semi-Auto,36317,Hybrid,217.3,1.6,kia,30313455
47,X2,2019,19293,Semi-Auto,36756,Petrol,38.7,2,bmw,30285665
48,CLA Class,2020,23699,Semi-Auto,44505,Petrol,44.8,1.3,mercedes-benz,30572143
49,E-PACE,2019,19149,Manual,34990,Diesel,53.3,2.0,jaguar,30281182
50,X Trail,2019,19899,Manual,38250,Diesel,None,1.7,nissan,30501788
51,Astra,2017,9202,Manual,38541,Petrol,52.3,1.4,vauxhall,30520950
52,Fabia,2016,8000,Manual,40018,Petrol,60.1,1.2,skoda,30313454
53,Corsa,2019,9499,Manual,41848,Petrol,43.5,1.4,vauxhall,30491269
54,EcoSport,2016,8479,Manual,48500,Petrol,44.8,1.5,ford,30568764
55,Clio,2020,9400,Manual,50650,Petrol,49.6,1,renault,30285666
56,Corsa,2019,8050,Manual,54000,Petrol,43.5,1.4,vauxhall,30452953
57,DS 3,2016,7555,Manual,54993,Petrol,62.8,1.2,ds,30448618
58,Juke,2016,8564,Manual,55214,Petrol,50.4,1.2,nissan,30568666
59,Fiesta,2015,7147,Manual,57485,Petrol,65.7,1,ford,30568761
60,1 Series,2021,24399,Semi-Auto,36105,Diesel,51.4,2.0,bmw,30557514
61,Vitara,2018,14399,Manual,12490,Petrol,53.3,1.6,suzuki,30484960
62,Corsa,1994,6995,Automatic,9749,Petrol,None,1.4,vauxhall,29625339
63,EcoSport,2019,14990,Manual,10233,Petrol,51.4,1.0,ford,30255569
64,SL Class,1980,49995,Automatic,10900,Petrol,None,5.0,mercedes-benz,27589607
65,Astra,2016,12795,Automatic,26748,Petrol,50.4,1.4,vauxhall,30031087
66,IQ,2009,6995,Automatic,27540,Petrol,55.4,1.3,toyota,30519327
67,A7,2011,17995,Automatic,30354,Petrol,34.4,3.0,audi,30480054
68,Turbo R,1996,37995,Automatic,38980,Petrol,15.9,6.8,bentley,30232952
69,X1,2015,13495,Automatic,47792,Diesel,56.5,2.0,bmw,29561304
70,S80,2013,9750,Automatic,54800,Diesel,57.6,2.0,volvo,29687559
71,Other,1997,15995,Automatic,56000,Petrol,None,4.0,daimler,30023960
72,Discovery Sport,2016,18599,Automatic,69855,Diesel,53.3,2.0,land rover,30476986
73,Focus,2020,16799,Manual,39875,Petrol,60.1,1.0,ford,30490169
74,X5,2003,7495,Automatic,61708,Petrol,20.3,4.4,bmw,29300383
75,S2000,2005,17995,Manual,64392,Petrol,28.5,2.0,honda,30245792
76,Other,1994,22995,Automatic,74960,Petrol,16.5,6.8,rolls-royce,30023957
77,SL Class,1980,29995,Automatic,78187,Petrol,None,4.5,mercedes-benz,27355497
78,4 Series,2015,10995,Manual,80800,Diesel,65.7,2.0,bmw,29764288
79,Cayenne,2012,19995,Automatic,83500,Petrol,26.9,4.8,porsche,30446487
80,Arnage,2002,27990,Automatic,85260,Petrol,14.7,6.8,bentley,28518060
81,GS,2004,3995,Automatic,94176,Petrol,24.8,3.0,lexus,30337153
82,E Class,2013,7495,Automatic,96400,Diesel,53.3,2.1,mercedes-benz,30526340
83,Spider,1998,3990,Manual,115258,Petrol,30.7,2.0,alfa romeo,30128675
84,Q2,2019,17399,Manual,30520,Diesel,49.6,1.6,audi,30289983
85,C1,2019,9449,Manual,27686,Petrol,68.9,1.0,citroen,30519626
86,E Class,2010,5750,Automatic,123800,Diesel,41.5,3.0,mercedes-benz,30278901
87,C Class,2010,8795,Automatic,64220,Petrol,29.1,3.5,mercedes-benz,30570351
88,Z4,2007,12995,Manual,26800,Petrol,32.8,3.0,bmw,30577066
89,SL Class,2006,14995,Automatic,35128,Petrol,23.3,5.0,mercedes-benz,30577067
