,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Vitara,2019,13549,Manual,34613,Petrol,44.1,1.0,suzuki,30551731
1,Sandero,2021,10999,Manual,7083,Petrol,53.3,1,dacia,29464324
2,Megane,2022,22699,Automatic,10835,Hybrid,217.3,1.6,renault,30425330
3,Clio,2019,15999,Semi-Auto,13446,Petrol,45.6,1.3,renault,30393535
4,Megane,2021,19999,Automatic,13974,Hybrid,235.4,1.6,renault,30425329
5,Clio,2021,13999,Manual,14402,Petrol,None,1,renault,30499376
6,Captur,2020,12899,Manual,15395,Petrol,52.3,0.9,renault,30503117
7,C3,2017,9999,Manual,15806,Petrol,60.1,1.2,citroen,30450415
8,Duster,2020,11299,Manual,15846,Petrol,41.5,1,dacia,30407754
9,Clio,2019,11499,Manual,16606,Petrol,None,0.9,renault,30499203
10,308,2020,14499,Manual,17086,Petrol,52.3,1.2,peugeot,30407759
11,Swift,2019,9649,Manual,22980,Petrol,55.4,1.2,suzuki,30267209
12,1 Series,2017,16699,Semi-Auto,27540,Diesel,68.9,2.0,bmw,30498674
13,Megane,2021,19999,Automatic,13974,Hybrid,235.4,1.6,renault,30425329
14,Clio,2021,13999,Manual,14402,Petrol,None,1,renault,30499376
15,Sandero Stepway,2020,10999,Manual,15220,Petrol,55.4,0.9,dacia,30466987
16,Captur,2020,12899,Manual,15395,Petrol,52.3,0.9,renault,30503117
17,Kadjar,2019,16399,Manual,15627,Petrol,42.16,1.3,renault,30554520
18,C3,2017,9999,Manual,15806,Petrol,60.1,1.2,citroen,30450415
19,Duster,2020,11299,Manual,15846,Petrol,41.5,1,dacia,30407754
20,Duster,2020,14799,Manual,16423,Petrol,43.5,1.3,dacia,30568424
21,Clio,2019,11499,Manual,16606,Petrol,None,0.9,renault,30499203
22,308,2020,14499,Manual,17086,Petrol,52.3,1.2,peugeot,30407759
23,A3,2018,18849,Semi-Auto,30976,Petrol,45.6,1.0,audi,30178653
24,IONIQ,2016,14549,Semi-Auto,56501,Hybrid,78.5,1.6,hyundai,30519613
25,Captur,2019,11799,Manual,35987,Diesel,67.3,1.5,renault,30438566
26,Captur,2020,13699,Manual,37848,Petrol,47.1,1,renault,30490725
27,Clio,2018,9499,Manual,38392,Petrol,60.1,0.9,renault,30467061
28,Clio,2018,9699,Manual,38625,Diesel,85.6,1.5,renault,30515005
29,Fiesta,2017,9499,Manual,38656,Petrol,62.8,1,ford,30477945
30,CX-5,2019,19699,Manual,40174,Petrol,38.2,2,mazda,30477950
31,2008,2016,8199,Manual,42523,Diesel,76.3,1.6,peugeot,30477933
32,Clio,2017,9299,Manual,47747,Diesel,None,1.5,renault,30499374
33,Captur,2016,8999,Manual,47797,Diesel,78.5,1.5,renault,30320229
34,C-MAX,2017,8999,Manual,66529,Diesel,68.9,1.5,ford,30477947
35,Q3,2018,18049,Manual,41075,Petrol,49.6,1.4,audi,30373273
36,IS,2017,20449,Automatic,34047,Hybrid,None,2.5,lexus,30557540
37,Captur,2023,20299,Manual,2091,Petrol,48.7,1.3,renault,30458787
