,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,2 Series,2020,23999,Semi-Auto,21145,Petrol,42.2,1.5,bmw,30447888
1,Yaris,2020,14995,Automatic,30916,Petrol,47.9,1.5,toyota,30040634
2,Rapid,2016,9495,Manual,32100,Diesel,78.5,1.4,skoda,29893170
3,Pulsar,2016,9995,Manual,33453,Petrol,54.3,1.2,nissan,30471067
4,Turismo,2018,14995,Automatic,36201,Diesel,37.6,2.2,ssangyong,29884356
5,Juke,2019,14495,Automatic,36560,Petrol,34.9,1.6,nissan,30103207
6,Rifter,2019,15995,Manual,36801,Diesel,51.4,1.5,peugeot,30278665
7,Corsa,2016,8995,Automatic,37021,Petrol,47.9,1.4,vauxhall,30498246
8,Grandland X,2020,14995,Automatic,37202,Petrol,42.8,1.2,vauxhall,30494579
9,Ateca,2019,15495,Manual,39219,Diesel,52.3,2.0,seat,30443171
10,Insignia,2016,9995,Automatic,40870,Diesel,57.6,1.6,vauxhall,29893176
11,C Class,2017,19149,Semi-Auto,39538,Diesel,61.4,2.1,mercedes-benz,30498498
12,Tiguan Allspace,2020,29049,Semi-Auto,30359,Petrol,35.8,1.5,volkswagen,30519513
13,C4 Cactus,2016,7995,Manual,41000,Diesel,78.5,1.6,citroen,29653595
14,3 Series,2015,11995,Manual,46985,Petrol,52.3,1.5,bmw,29653602
15,IX35,2014,8495,Manual,48047,Diesel,53.3,1.7,hyundai,29653592
16,Tiguan,2017,14995,Manual,62900,Diesel,60.1,2.0,volkswagen,29653596
17,C-HR,2019,15495,Automatic,63780,Other,72.4,1.8,toyota,29851999
18,Zafira,2016,10495,Automatic,72300,Diesel,46.3,2.0,vauxhall,29754472
19,Kuga,2015,9995,Manual,75000,Diesel,54.3,2.0,ford,29653604
20,SLK,2005,5995,Automatic,75799,Petrol,32.1,1.8,mercedes-benz,29791953
21,Micra,2007,3495,Automatic,81322,Petrol,42.8,1.2,nissan,29849421
22,Golf,2013,6995,Manual,81790,Diesel,64.2,1.6,volkswagen,29913000
23,Pro Ceed,2018,10999,Manual,53606,Diesel,72.4,1.6,kia,30392898
24,GLE Class,2017,31549,Semi-Auto,45103,Diesel,42.8,3.0,mercedes-benz,30546339
25,4 Series,2016,11995,Manual,85050,Diesel,67.3,2.0,bmw,29653598
26,A3,2017,12995,Manual,87187,Diesel,65.7,2.0,audi,30497004
27,3 Series,2018,13995,Automatic,95800,Diesel,70.6,2.0,bmw,29653590
28,S60,2018,9475,Manual,99415,Petrol,50.4,2.0,volvo,29776343
29,Convertible,2007,2995,Manual,101000,Petrol,40.4,1.6,mini,29770570
30,Yaris,2007,2495,Manual,105000,Petrol,47.1,1.3,toyota,30228755
31,Astra,2014,3995,Manual,105278,Diesel,65.7,1.7,vauxhall,30195414
32,9 3,2006,2995,Manual,118674,Diesel,44.8,1.9,saab,30248731
33,SL Class,2023,104995,Automatic,1800,Petrol,31,2.0,mercedes-benz,30346967
34,A Class,2021,28495,Automatic,1900,Petrol,46.3,1.3,mercedes-benz,28282216
35,DS 4,2017,8049,Manual,68635,Petrol,56.5,1.2,ds,30396741
36,Ceed,2018,13199,Manual,26713,Diesel,72.4,1.6,kia,30531537
37,Other,2023,47995,Grey,Electric,Automatic,2000,,subaru,30558522
38,Outback,2023,38995,Automatic,3086,Petrol,33.2,2.5,subaru,30356303
39,Forester,2022,36950,Automatic,4000,Petrol,34.9,2.0,subaru,29354475
40,Forester,2023,36995,Automatic,4500,Petrol,34.9,2.0,subaru,30301377
