,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A3,2019,19349,Semi-Auto,47961,Petrol,42.2,1.5,audi,30429218
1,A3,2018,20549,Semi-Auto,17658,Petrol,44.1,1.0,audi,30354550
2,Q3,2018,23049,Semi-Auto,17828,Petrol,42.2,2.0,audi,30531379
3,Q3,2019,28999,Semi-Auto,18488,Petrol,31.4,2.0,audi,30225428
4,Q2,2017,20549,Semi-Auto,18737,Petrol,52.3,1.4,audi,30476980
5,A4,2017,18349,Semi-Auto,19234,Petrol,55.4,2.0,audi,30447891
6,Q2,2017,20299,Semi-Auto,19659,Petrol,52.3,1.4,audi,30438124
7,A1,2016,14549,Manual,20261,Petrol,55.4,1.4,audi,30498623
8,Q3,2019,29099,Semi-Auto,24186,Diesel,47.1,2.0,audi,30519565
9,A1,2018,13799,Manual,25435,Petrol,67.3,1.0,audi,30384511
10,A3,2020,22849,Semi-Auto,25442,Petrol,50.4,1.5,audi,30514568
11,A1,2019,17999,Manual,27922,Petrol,50.4,1.0,audi,30384545
12,A3,2020,17299,Manual,54048,Diesel,55.4,2.0,audi,30294971
13,Q2,2019,19549,Manual,16130,Diesel,47.9,1.6,audi,30348726
14,A5,2017,17299,Semi-Auto,16916,Diesel,70.6,2.0,audi,30155551
15,Q2,2019,17549,Manual,17188,Diesel,49.6,1.6,audi,30281213
16,A3,2020,24699,Semi-Auto,17347,Petrol,47.9,1.5,audi,30367131
17,A5,2019,28049,Semi-Auto,17503,Petrol,39.2,2.0,audi,30531542
18,A1,2019,18799,Manual,17505,Petrol,46.3,1.5,audi,30384531
19,A3,2018,20549,Semi-Auto,17658,Petrol,44.1,1.0,audi,30354550
20,A3,2019,20499,Manual,17787,Petrol,42.8,1.5,audi,30360583
21,A4,2020,19449,Manual,17793,Petrol,42.2,2.0,audi,30438207
22,Q3,2018,23049,Semi-Auto,17828,Petrol,42.2,2.0,audi,30531379
23,Q2,2018,16049,Manual,45390,Petrol,55.4,1.0,audi,30476962
24,A4,2018,19799,Semi-Auto,37940,Petrol,50.4,1.4,audi,30484827
25,A3,2019,20049,Semi-Auto,28552,Petrol,42.2,1.5,audi,30392945
26,Q2,2017,15799,Manual,29438,Diesel,61.4,1.6,audi,30079701
27,A3,2018,18549,Semi-Auto,30119,Diesel,53.3,1.6,audi,30531561
28,A3,2018,18849,Semi-Auto,30976,Petrol,45.6,1.0,audi,30178653
29,A3,2018,19749,Semi-Auto,31117,Petrol,44.8,1.0,audi,30531530
30,A3,2018,18549,Manual,32214,Petrol,46.3,1.0,audi,30447992
31,A3,2018,14049,Manual,32326,Petrol,60.1,1.0,audi,30225419
32,Q5,2017,26049,Semi-Auto,32402,Diesel,55.4,2.0,audi,30476891
33,A3,2018,19349,Semi-Auto,33025,Petrol,56.5,1.5,audi,30531457
34,A1,2018,13549,Manual,33149,Petrol,55.4,1.4,audi,30502634
