,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Q3,2018,18049,Manual,41075,Petrol,49.6,1.4,audi,30373273
1,A3,2018,19749,Semi-Auto,31117,Petrol,44.8,1.0,audi,30531530
2,A3,2020,21130,Manual,14800,Petrol,47.1,1.0,audi,30207880
3,Q2,2022,27990,Automatic,14965,Petrol,44.8,1.5,audi,30434084
4,Q7,2019,45990,Automatic,15000,Diesel,32.8,3.0,audi,29990075
5,A1,2019,18660,Automatic,16528,Petrol,47.9,1.0,audi,30405789
6,A1,2020,20990,Automatic,16665,Petrol,44.8,1.0,audi,30442544
7,A5,2021,30990,Automatic,17400,Diesel,54.3,2.0,audi,30335724
8,A6,2021,34250,Automatic,17500,Diesel,47.1,2.0,audi,30250449
9,Q3,2019,27490,Automatic,18000,Diesel,47.1,2.0,audi,30470835
10,RS6,2021,89990,Automatic,19106,Petrol,22.2,4.0,audi,30377149
11,A6,2019,27990,Automatic,19600,Diesel,50.4,2.0,audi,29983375
12,A6,2017,16049,Semi-Auto,50344,Diesel,67.3,2.0,audi,30502710
13,A3,2019,17249,Manual,42652,Petrol,42.2,1.5,audi,30401231
14,A5,2021,29990,Automatic,20102,Diesel,54.3,2.0,audi,30377161
15,Q3,2019,27990,Automatic,20345,Petrol,None,0,audi,30470839
16,A4,2022,29650,Automatic,21220,Petrol,40.9,2.0,audi,30377151
17,A5,2021,26990,Automatic,22222,Diesel,57.7,2.0,audi,30405793
18,A4,2020,27990,Automatic,22705,Diesel,50.4,2.0,audi,30265920
19,A4,2020,24500,Automatic,23150,Diesel,54.3,2.0,audi,30428351
20,A1,2020,17450,Manual,23300,Petrol,48.7,1.0,audi,30460053
21,TT,2019,24450,Automatic,23447,Petrol,34.9,2.0,audi,29844349
22,A4,2019,25750,Automatic,24195,Petrol,39.2,2.0,audi,30411055
23,Q3,2020,31250,Automatic,24703,Petrol,31.4,2.0,audi,30321205
24,A3,2017,15999,Semi-Auto,66286,Petrol,56.5,1.4,audi,30438204
25,A3,2018,16499,N/A,38949,Petrol,60.1,1.0,audi,30608114
26,A5,2020,28450,Automatic,25759,Diesel,52.3,2.0,audi,30473594
27,Q2,2019,17950,Manual,26089,Petrol,47.1,1.0,audi,30464278
28,A4,2022,37990,Automatic,28111,Diesel,39.8,3.0,audi,30442548
29,Q7,2020,45450,Automatic,28548,Diesel,33.2,3.0,audi,30411051
30,A3,2017,12450,Manual,29000,Petrol,62.8,1.0,audi,30000145
31,Q8,2021,38990,Automatic,30041,Other,None,0,audi,30303631
32,RS3,2018,38990,Automatic,30250,Petrol,34,2.5,audi,30231866
33,Q2,2018,18250,Manual,31350,Petrol,50.4,1.4,audi,30131882
34,Q2,2017,16650,Manual,32034,Petrol,52.3,1.4,audi,30414729
35,TT,2020,23990,Automatic,32137,Petrol,40.9,2.0,audi,30382089
36,Q2,2018,16499,Manual,55490,Petrol,53.3,1.0,audi,30551769
37,Q2,2017,19299,Manual,12396,Petrol,50.4,1.4,audi,30354455
38,Q2,2019,18450,Manual,32300,Petrol,42.8,1.5,audi,30470838
39,Q2,2019,18950,Manual,33673,Diesel,47.9,1.6,audi,30335727
40,Q7,2020,45450,Automatic,33950,Diesel,33.2,3.0,audi,29901478
41,A6,2020,29750,Automatic,34200,Diesel,50.4,2.0,audi,30397520
42,Q7,2020,48990,Automatic,37250,Diesel,33.2,3.0,audi,30321204
43,A6,2019,23990,Automatic,37300,Diesel,50.4,2.0,audi,30099358
44,A8,2019,30990,Automatic,37450,Diesel,40.4,3.0,audi,29996457
45,A5,2019,24750,Automatic,39064,Diesel,50.4,2.0,audi,30202904
46,Q5,2018,27990,Automatic,39600,Diesel,55.4,2.0,audi,30460051
47,Q5,2018,35450,Automatic,40044,Petrol,34,3.0,audi,30464281
48,A6,2017,16049,Semi-Auto,50344,Diesel,67.3,2.0,audi,30502710
49,A3,2018,18299,Manual,32214,Petrol,46.3,1.0,audi,30447992
50,RS5,2019,43990,Automatic,41000,Petrol,29.7,2.9,audi,30442542
51,Q3,2018,15900,Manual,47732,Petrol,51.4,1.4,audi,30165893
52,A4,2019,19990,Manual,50741,Petrol,38.7,2.0,audi,30279997
53,A6,2017,14850,Manual,57600,Diesel,65.7,2.0,audi,30473593
54,A6,2019,21990,Automatic,68000,Diesel,50.4,2.0,audi,30447415
55,A1,2015,9820,Manual,68235,Petrol,55.4,1.4,audi,30473595
56,A3,2017,12450,Manual,72300,Petrol,60.1,1.4,audi,30470837
57,Q2,2018,16495,Manual,13452,Petrol,50.4,1.4,audi,29182546
58,A6,2019,31995,Automatic,48031,Diesel,39.2,3.0,audi,27114470
59,A6,2018,28950,Automatic,59776,Petrol,30.1,4.0,audi,30322730
60,Q2,2017,14549,N/A,46522,Diesel,64.2,1.6,audi,30602865
61,Q2,2018,16699,Manual,41551,Petrol,52.3,1.4,audi,30582290
62,A4,2019,19194,Automatic,73267,Diesel,51.4,2.0,audi,30529019
63,A5,2015,14495,Automatic,94011,Diesel,47.9,3.0,audi,28751542
64,A1,2015,10450,Manual,37000,Petrol,53.3,1.4,audi,30225824
65,Q5,2020,29990,Automatic,55995,Diesel,38.2,2.0,audi,30094501
66,TT,2015,19990,Automatic,71000,Petrol,41.5,2.0,audi,30575963
67,A6,2019,23950,Automatic,75162,Diesel,50.4,2.0,audi,29559472
68,A3,2018,14450,Automatic,78785,Diesel,54.3,1.6,audi,30244508
69,A5,2017,19950,Automatic,98000,Petrol,37.7,3.0,audi,30527931
70,e-tron,2020,29990,Automatic,16260,Other,None,1.0,audi,29187830
71,e-tron,2020,44990,Automatic,26000,Other,None,1.0,audi,30445970
72,Q3,2016,15449,Manual,52098,Petrol,49.6,1.4,audi,30348592
73,A3,2020,17549,Semi-Auto,51041,Hybrid,141.3,1.4,audi,30476721
74,A4,2016,12495,Manual,71000,Petrol,51.4,1.4,audi,30288819
75,A1,2020,18250,Automatic,28162,Petrol,46.3,1.0,audi,30021234
76,A6,2020,26490,Automatic,30611,Diesel,50.4,2.0,audi,29550521
77,A1,2014,8995,Manual,64380,Petrol,52.3,1.4,audi,30030043
78,TT,2010,6950,Manual,94000,Diesel,53.3,2.0,audi,30370757
79,A1,2020,17885,Manual,3683,Petrol,49.6,1.0,audi,30324364
80,A1,2022,18995,Manual,7847,Petrol,51.4,1.0,audi,30474068
81,A4,2022,32845,Automatic,8776,Petrol,39.8,2.0,audi,30062404
82,A3,2021,23795,Automatic,10683,Petrol,49.6,1.5,audi,30360098
83,Q2,2022,20495,Manual,10738,Petrol,48.7,1.0,audi,30412802
84,Q2,2017,14549,N/A,46522,Diesel,64.2,1.6,audi,30602865
85,Q2,2017,19849,N/A,25392,Petrol,52.3,1.4,audi,30614892
86,A4,2019,26995,Automatic,17562,Petrol,38.2,2.0,audi,28236511
87,A6,2019,28945,Automatic,18060,Diesel,47.9,2.0,audi,29707190
88,A5,2020,27345,Automatic,18155,Diesel,51.4,2.0,audi,30474067
89,A4,2021,29995,Automatic,20555,Diesel,52.3,2.0,audi,29397155
90,Q3,2019,26795,Automatic,24240,Diesel,47.1,2.0,audi,30245882
91,TT,2020,23745,Manual,25181,Petrol,40.9,2.0,audi,30366651
92,Q3,2019,25995,Automatic,32381,Diesel,40.9,2.0,audi,28965696
93,A3,2022,25995,Automatic,33480,Diesel,60.1,2.0,audi,30379063
94,TT,2015,16375,Manual,41343,Diesel,67.3,2.0,audi,30306605
95,TT,2012,10999,Manual,63652,Diesel,53.3,2.0,audi,28854043
96,Q3,2019,28049,Semi-Auto,24186,Diesel,47.1,2.0,audi,30519565
97,TT,2019,21499,Semi-Auto,50129,Petrol,40.9,2.0,audi,30429219
98,TT,2007,5999,Automatic,87266,Petrol,29.7,3.2,audi,28971146
99,A4,2015,9995,Manual,99359,Diesel,61.4,2.0,audi,30118044
100,TT,2005,3995,Automatic,145589,Petrol,28.8,3.2,audi,28307593
101,A1,2021,18650,Manual,9500,Petrol,50.4,1.0,audi,30529308
102,Q3,2016,16750,Manual,41000,Diesel,52.3,2.0,audi,30372218
103,A3,2015,10850,Manual,80000,Diesel,67.3,2.0,audi,30447592
104,A3,2020,18950,Manual,33705,Petrol,44.8,1.5,audi,29788683
105,Q2,2021,24799,Semi-Auto,8030,Petrol,44.8,1.5,audi,30312514
106,Q2,2021,23999,Semi-Auto,13457,Petrol,46.3,1.5,audi,30474992
107,Q2,2020,19399,Semi-Auto,26912,Diesel,47.9,1.6,audi,30542423
108,A5,2019,21049,Manual,26502,Petrol,37.7,2.0,audi,30148646
109,A3,2019,14349,Manual,54982,Petrol,47.1,1.0,audi,30557516
110,TT,2020,21799,Semi-Auto,28731,Petrol,40.9,2,audi,30460986
111,Q8,2020,58999,Semi-Auto,30000,Diesel,31.4,4,audi,30444106
112,A4,2021,24899,Semi-Auto,32806,Diesel,54.3,2,audi,30531610
113,Q2,2020,19999,Semi-Auto,40000,Diesel,46.3,1.6,audi,30596336
114,A5,2018,21499,Semi-Auto,48046,Diesel,62.8,2,audi,30563374
115,A5,2019,19599,Semi-Auto,51396,Diesel,48.7,2,audi,30275373
116,A5,2018,25499,Semi-Auto,59432,Petrol,36.7,3,audi,30438477
