,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A1,2018,14349,Manual,27099,Petrol,None,1.4,audi,30208532
1,A1,2021,17710,Manual,21562,Petrol,49.6,1,audi,30491842
2,A3,2018,17270,Manual,33162,Petrol,54.3,1.5,audi,30520889
3,A6,2019,22190,Semi-Auto,36628,Diesel,50.4,2,audi,30491841
4,Q5,2018,26510,Semi-Auto,37006,Diesel,55.4,2,audi,30520883
5,A4,2019,20230,Semi-Auto,38276,Petrol,38.2,2,audi,30491850
6,Q2,2020,22000,Manual,18855,Petrol,43.5,1.5,audi,30568786
7,A3,2021,23530,Semi-Auto,10000,Petrol,49.6,1.5,audi,30491387
8,A3,2019,20698,Semi-Auto,23994,Petrol,42.2,1.5,audi,30500792
9,Q5,2019,28596,Semi-Auto,35774,Petrol,32.1,2,audi,30157469
10,Q2,2023,30900,Manual,3851,Petrol,44.8,1.5,audi,30151896
11,A3,2018,17649,Semi-Auto,38386,Diesel,70.6,1.6,audi,30476977
12,A4,2017,15049,N/A,63825,Diesel,67.3,2.0,audi,30591122
13,Q5,2023,47900,Semi-Auto,3987,Diesel,42.8,2,audi,29843013
14,A3,2023,30300,Semi-Auto,4156,Diesel,58.9,2,audi,30011086
15,TT,2023,34700,Semi-Auto,4529,Petrol,40.9,2,audi,29843009
16,A3,2023,25200,Manual,4538,Petrol,48.7,1.5,audi,29696787
17,A5,2023,34300,Semi-Auto,4549,Petrol,42.8,2,audi,30297483
18,TT,2023,34700,Semi-Auto,4578,Petrol,40.9,2,audi,29700032
19,A5,2023,44200,Semi-Auto,4623,Petrol,36.7,2,audi,30449611
20,Q5,2023,42900,Semi-Auto,4716,Petrol,33.6,2,audi,30256055
21,A6,2023,34500,Semi-Auto,4729,Petrol,39.2,2,audi,29864406
22,A7,2023,46900,Semi-Auto,4823,Diesel,47.1,2,audi,30449610
23,A5,2018,17299,Manual,63818,Diesel,67.3,2.0,audi,30562753
24,A5,2019,27699,Semi-Auto,17503,Petrol,39.2,2.0,audi,30531542
25,A7,2023,46900,Semi-Auto,4823,Diesel,47.1,2,audi,30449610
26,A6,2023,40600,Semi-Auto,5017,Petrol,38.2,2,audi,30148767
27,A3,2023,32900,Semi-Auto,5128,Diesel,58.9,2,audi,29857250
28,Q5,2023,42900,Semi-Auto,5146,Diesel,43.5,2,audi,29696792
29,A1,2023,21200,Manual,5227,Petrol,50.4,1,audi,29843010
30,A3,2022,26900,Manual,5326,Petrol,46.3,1.5,audi,29508093
31,Q3,2023,35400,Semi-Auto,5426,Diesel,51.4,2,audi,30011087
32,A5,2023,52600,Semi-Auto,5445,Diesel,39.2,3,audi,30519777
33,A3,2023,33005,Semi-Auto,5722,Petrol,46.3,1.5,audi,30546426
34,Q3,2023,37750,Semi-Auto,6796,Petrol,40.4,1.5,audi,30511204
35,A3,2019,18699,Semi-Auto,37612,Petrol,44.1,1.0,audi,30251051
36,Q2,2017,14599,Manual,45012,Petrol,55.4,1.0,audi,30587893
37,A5,2023,54900,Semi-Auto,9168,Diesel,39.2,3,audi,30555004
38,A8,2022,47800,Semi-Auto,10836,Petrol,30.1,3,audi,28363608
39,A4,2022,34400,Semi-Auto,12073,Diesel,50.4,2,audi,29093133
40,A3,2023,28690,Semi-Auto,13957,Petrol,46.3,1.5,audi,30524414
41,A3,2019,31678,Semi-Auto,14042,Petrol,34.9,2,audi,30525842
42,A5,2020,26300,Semi-Auto,14747,Diesel,50.4,2,audi,30451943
43,A7,2022,38400,Semi-Auto,16089,Diesel,47.1,2,audi,28503539
44,A3,2022,27490,Semi-Auto,16588,Diesel,58.9,2,audi,30519778
45,Q2,2020,20966,Manual,19305,Petrol,45.6,1,audi,30511202
46,RS Q3,2019,44900,Semi-Auto,19523,Petrol,28.8,2.5,audi,26580243
47,A1,2018,14049,Manual,29106,Diesel,76.3,1.6,audi,30582298
