,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A4,2017,17349,N/A,56400,Diesel,65.7,2.0,audi,30593654
1,A5,2014,12000,Manual,76276,Petrol,None,2.0,audi,30307558
2,A6,2015,12995,Manual,89450,Diesel,64.2,2.0,audi,29884844
3,RS5,2021,57989,Semi-Auto,11051,Petrol,29.1,2.9,audi,30186277
4,A1,2022,20549,Manual,3368,Petrol,49.6,1.0,audi,30498582
5,A1,2018,17299,Semi-Auto,8608,Petrol,56.5,1.4,audi,30519563
6,A5,2020,25049,Manual,9831,Petrol,37.7,2.0,audi,30272351
7,A1,2020,21699,Semi-Auto,10871,Petrol,44.1,1.0,audi,30490006
8,Q2,2018,20599,Manual,11125,Petrol,50.4,1.4,audi,30460843
9,Q2,2020,22499,Manual,11864,Petrol,47.9,1.5,audi,30438231
10,Q2,2017,19299,Manual,12396,Petrol,50.4,1.4,audi,30354455
11,A4,2020,18549,Semi-Auto,61093,Diesel,55.4,2.0,audi,30401255
12,TT,2016,18089,N/A,33737,Petrol,43.5,2.0,audi,30602790
13,A1,2018,13399,Manual,12464,Petrol,67.3,1.0,audi,30447875
14,A3,2019,19199,Manual,13069,Petrol,44.1,1.5,audi,30480279
15,A4,2020,22799,Semi-Auto,15013,Petrol,42.2,2.0,audi,30360650
16,Q3,2020,28299,Semi-Auto,15307,Diesel,47.1,2.0,audi,30384445
17,A4,2020,24799,Manual,15332,Petrol,39.2,2.0,audi,30389343
18,A5,2019,24549,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
19,Q2,2019,19399,Manual,15777,Petrol,47.1,1.0,audi,30502667
20,Q3,2017,21299,Semi-Auto,15787,Diesel,53.3,2.0,audi,30587925
21,A4,2019,23699,Semi-Auto,15883,Petrol,38.7,2.0,audi,30572181
22,TT,2018,22049,Manual,16120,Petrol,46.3,2.0,audi,30354478
23,Q2,2019,17049,Manual,19811,Diesel,49.6,1.6,audi,30255934
24,A3,2018,15549,Semi-Auto,59583,Diesel,70.6,1.6,audi,30577530
25,Q2,2019,19549,Manual,16130,Diesel,47.9,1.6,audi,30348726
26,A1,2019,17549,Semi-Auto,16482,Petrol,48.7,1.0,audi,30367103
27,Q2,2020,18649,N/A,17013,Diesel,49.6,1.6,audi,30603059
28,Q2,2019,17549,Manual,17188,Diesel,49.6,1.6,audi,30281213
29,A5,2019,27699,Semi-Auto,17503,Petrol,39.2,2.0,audi,30531542
30,A1,2019,18799,Manual,17505,Petrol,46.3,1.5,audi,30384531
31,A3,2018,20299,Semi-Auto,17658,Petrol,44.1,1.0,audi,30354550
32,A3,2019,20499,Manual,17787,Petrol,42.8,1.5,audi,30360583
33,A4,2020,19449,Manual,17793,Petrol,42.2,2.0,audi,30438207
34,Q3,2018,23049,Semi-Auto,17828,Petrol,42.2,2.0,audi,30531379
35,A3,2018,19949,Semi-Auto,24410,Petrol,56.5,1.5,audi,30480271
36,A4,2016,15999,Semi-Auto,57443,Diesel,65.7,2.0,audi,30196776
37,A3,2019,18399,Manual,18142,Petrol,47.1,1.0,audi,30447771
38,Q3,2019,27999,Semi-Auto,18488,Petrol,31.4,2.0,audi,30225428
39,Q2,2017,20449,Semi-Auto,18737,Petrol,52.3,1.4,audi,30476980
40,A4,2017,18049,Semi-Auto,19234,Petrol,55.4,2.0,audi,30447891
41,A3,2017,20749,Semi-Auto,19450,Petrol,47.9,2.0,audi,30312224
42,Q2,2017,20049,Semi-Auto,19659,Petrol,52.3,1.4,audi,30438124
43,Q2,2019,17049,Manual,19811,Diesel,49.6,1.6,audi,30255934
44,Q2,2021,19799,Manual,20179,Petrol,48.7,1.0,audi,30075060
45,A1,2016,14299,Manual,20261,Petrol,55.4,1.4,audi,30498623
46,A5,2019,24849,Semi-Auto,20415,Petrol,39.8,2.0,audi,30557493
47,TT,2016,12899,Manual,66853,Diesel,62.8,2.0,audi,30225417
48,A1,2018,12649,Manual,40155,Petrol,67.3,1.0,audi,30308199
49,A3,2016,17099,Manual,20436,Petrol,57.6,1.4,audi,30577457
50,Q2,2019,17799,Manual,21634,Diesel,49.6,1.6,audi,30407515
51,A3,2019,20499,Semi-Auto,22907,Petrol,44.1,1.0,audi,30424960
52,Q2,2018,19299,N/A,23068,Petrol,53.3,1.0,audi,30477080
53,A6,2019,22849,Semi-Auto,23233,Diesel,50.4,2.0,audi,30255917
54,A3,2019,17049,Manual,23720,Petrol,47.9,1.0,audi,30317352
55,A4,2019,23699,Manual,23762,Petrol,38.2,2.0,audi,30295009
56,TT,2017,18849,Manual,24011,Petrol,47.1,1.8,audi,30557572
57,Q3,2019,28049,Semi-Auto,24186,Diesel,47.1,2.0,audi,30519565
58,A3,2018,19949,Semi-Auto,24410,Petrol,56.5,1.5,audi,30480271
59,A4,2017,13049,Manual,53681,Petrol,53.3,1.4,audi,30572056
60,Q3,2017,17049,Semi-Auto,43815,Diesel,53.3,2.0,audi,30103530
61,A3,2020,23199,Manual,24968,Petrol,45.6,1.5,audi,30490110
62,A3,2017,14349,Manual,25420,Diesel,67.3,2.0,audi,30417305
63,A3,2020,22849,Semi-Auto,25442,Petrol,50.4,1.5,audi,30514568
64,Q2,2021,23049,Semi-Auto,25474,Petrol,46.3,1.5,audi,30272298
65,Q2,2019,17849,Manual,25702,Diesel,49.6,1.6,audi,30407524
66,Q2,2020,17999,Manual,25735,Petrol,47.1,1.0,audi,30603108
67,Q2,2021,26549,Semi-Auto,25855,Petrol,44.8,1.5,audi,30498510
68,A3,2018,20049,Semi-Auto,26351,Petrol,56.5,1.5,audi,30307975
69,A5,2019,21049,Manual,26502,Petrol,37.7,2.0,audi,30148646
70,TT,2016,16999,Manual,26602,Petrol,47.1,1.8,audi,30466704
71,A3,2019,15849,Manual,40587,Petrol,47.1,1.0,audi,30155458
