,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A6,2018,16249,Semi-Auto,50405,Petrol,50.4,1.8,audi,30587962
1,A1,2015,10450,Manual,59000,Diesel,80.7,1.6,audi,30113915
2,A3,2010,5450,Manual,70000,Diesel,61.4,2.0,audi,30208957
3,Q3,2014,10950,Manual,51000,Diesel,54.3,2.0,audi,30588915
4,Q3,2018,21995,Manual,31600,Petrol,40.4,1.4,audi,30451548
5,A1,2014,7995,Manual,66691,Diesel,None,1.6,audi,30593401
6,A1,2022,20549,Manual,3368,Petrol,49.6,1.0,audi,30498582
7,A3,2019,14349,Manual,54982,Petrol,47.1,1.0,audi,30557516
8,A1,2020,20049,Semi-Auto,13978,Petrol,44.8,1.5,audi,30079667
9,A4,2020,22799,Semi-Auto,15013,Petrol,42.2,2.0,audi,30360650
10,Q3,2020,28299,Semi-Auto,15307,Diesel,47.1,2.0,audi,30384445
11,A4,2020,24799,Manual,15332,Petrol,39.2,2.0,audi,30389343
12,Q2,2019,19399,Manual,15777,Petrol,47.1,1.0,audi,30502667
13,A3,2019,20499,Manual,17787,Petrol,42.8,1.5,audi,30360583
14,A4,2020,19449,Manual,17793,Petrol,42.2,2.0,audi,30438207
15,Q3,2018,23049,Semi-Auto,17828,Petrol,42.2,2.0,audi,30531379
16,A3,2019,18399,Manual,18142,Petrol,47.1,1.0,audi,30447771
17,A3,2017,17499,Semi-Auto,37591,Petrol,57.7,1.4,audi,30417230
18,A3,2019,17049,Manual,23720,Petrol,47.9,1.0,audi,30317352
19,A4,2019,23699,Manual,23762,Petrol,38.2,2.0,audi,30295009
20,TT,2017,18849,Manual,24011,Petrol,47.1,1.8,audi,30557572
21,A3,2018,19949,Semi-Auto,24410,Petrol,56.5,1.5,audi,30480271
22,A3,2020,23199,Manual,24968,Petrol,45.6,1.5,audi,30490110
23,A3,2017,14349,Manual,25420,Diesel,67.3,2.0,audi,30417305
24,A3,2020,22849,Semi-Auto,25442,Petrol,50.4,1.5,audi,30514568
25,Q2,2021,23049,Semi-Auto,25474,Petrol,46.3,1.5,audi,30272298
26,Q2,2019,17849,Manual,25702,Diesel,49.6,1.6,audi,30407524
27,Q2,2021,26549,Semi-Auto,25855,Petrol,44.8,1.5,audi,30498510
28,Q2,2018,15099,Manual,59931,Petrol,47.9,1.0,audi,30577471
29,A3,2018,20049,Semi-Auto,26351,Petrol,56.5,1.5,audi,30307975
30,TT,2016,16999,Manual,26602,Petrol,47.1,1.8,audi,30466704
31,A7,2018,32049,Semi-Auto,26802,Diesel,38.2,3.0,audi,30348878
32,Q3,2017,21999,Semi-Auto,26824,Petrol,42.2,2.0,audi,30466681
33,A3,2017,14899,Semi-Auto,39012,Diesel,70.6,1.6,audi,30251044
34,A3,2015,18349,Automatic,27531,Petrol,42.8,1.8,audi,30562667
35,Q3,2019,24699,Manual,27654,Diesel,42.8,2.0,audi,30407545
36,Q2,2017,19699,Semi-Auto,28711,Petrol,52.3,1.4,audi,30281127
37,A1,2016,16649,Semi-Auto,29430,Petrol,56.5,1.4,audi,30498603
