,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A3,2019,15099,Manual,34610,Diesel,49.6,1.6,audi,30572263
1,A3,2016,14995,Manual,63000,Petrol,58.9,1.4,audi,30218528
2,A3,2017,14250,Manual,47653,Diesel,67.3,1.6,audi,30536713
3,Q2,2018,14995,Manual,53591,Petrol,55.4,1.0,audi,30195792
4,A3,2017,15399,Manual,50558,Petrol,55.4,1.5,audi,30476834
5,Q2,2020,22799,Manual,11864,Petrol,47.9,1.5,audi,30438231
6,A1,2018,13399,Manual,12464,Petrol,67.3,1.0,audi,30447875
7,A3,2019,19299,Manual,13069,Petrol,44.1,1.5,audi,30480279
8,Q2,2019,17199,Manual,13493,Diesel,49.6,1.6,audi,30188219
9,A1,2020,20049,Semi-Auto,13978,Petrol,44.8,1.5,audi,30079667
10,A4,2020,25999,Semi-Auto,14706,Diesel,50.4,2.0,audi,30161794
11,A4,2020,22799,Semi-Auto,15013,Petrol,42.2,2.0,audi,30360650
12,Q3,2020,28299,Semi-Auto,15307,Diesel,47.1,2.0,audi,30384445
13,A4,2020,24799,Manual,15332,Petrol,39.2,2.0,audi,30389343
14,A5,2019,24549,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
15,Q2,2019,17299,Manual,27808,Diesel,49.6,1.6,audi,30308121
16,Q3,2017,16749,Manual,52369,Petrol,49.6,1.4,audi,30417264
17,Q2,2019,19399,Manual,15777,Petrol,47.1,1.0,audi,30502667
18,Q2,2019,19549,Manual,16130,Diesel,47.9,1.6,audi,30348726
19,Q2,2019,17549,Manual,17188,Diesel,49.6,1.6,audi,30281213
20,A3,2020,24699,Semi-Auto,17347,Petrol,47.9,1.5,audi,30367131
21,A5,2019,28049,Semi-Auto,17503,Petrol,39.2,2.0,audi,30531542
22,A1,2019,18799,Manual,17505,Petrol,46.3,1.5,audi,30384531
23,A3,2018,20549,Semi-Auto,17658,Petrol,44.1,1.0,audi,30354550
24,A3,2019,20499,Manual,17787,Petrol,42.8,1.5,audi,30360583
25,A4,2020,19449,Manual,17793,Petrol,42.2,2.0,audi,30438207
26,Q3,2018,23049,Semi-Auto,17828,Petrol,42.2,2.0,audi,30531379
27,Q3,2019,22749,Semi-Auto,64173,Diesel,47.1,2.0,audi,30572281
28,A4,2017,15599,Manual,52364,Diesel,70.6,2.0,audi,30466623
29,A3,2019,18399,Manual,18142,Petrol,47.1,1.0,audi,30447771
30,Q3,2019,28999,Semi-Auto,18488,Petrol,31.4,2.0,audi,30225428
31,Q2,2017,20549,Semi-Auto,18737,Petrol,52.3,1.4,audi,30476980
32,A4,2017,18349,Semi-Auto,19234,Petrol,55.4,2.0,audi,30447891
33,A3,2017,20749,Semi-Auto,19450,Petrol,47.9,2.0,audi,30312224
34,Q2,2017,20299,Semi-Auto,19659,Petrol,52.3,1.4,audi,30438124
35,Q2,2019,17749,Manual,19811,Diesel,49.6,1.6,audi,30255934
36,A5,2019,24849,Semi-Auto,20415,Petrol,39.8,2.0,audi,30557493
37,Q2,2019,17799,Manual,21634,Diesel,49.6,1.6,audi,30407515
38,A1,2016,13849,Manual,22682,Petrol,56.5,1.4,audi,30551720
39,A7,2019,30049,Semi-Auto,36525,Diesel,None,3.0,audi,30208623
40,A3,2019,17699,Manual,27158,Petrol,42.8,1.5,audi,30531545
41,A3,2019,20499,Semi-Auto,22907,Petrol,44.1,1.0,audi,30424960
42,A6,2019,23849,Semi-Auto,23233,Diesel,50.4,2.0,audi,30255917
43,A3,2019,17049,Manual,23720,Petrol,47.9,1.0,audi,30317352
44,A4,2019,23699,Manual,23762,Petrol,38.2,2.0,audi,30295009
45,TT,2017,18849,Manual,24011,Petrol,47.1,1.8,audi,30557572
46,Q3,2019,29099,Semi-Auto,24186,Diesel,47.1,2.0,audi,30519565
47,A3,2018,19949,Semi-Auto,24410,Petrol,56.5,1.5,audi,30480271
48,A1,2019,17749,Semi-Auto,24708,Petrol,45.6,1.0,audi,30511608
49,A3,2020,23199,Manual,24968,Petrol,45.6,1.5,audi,30490110
50,A3,2017,14349,Manual,25420,Diesel,67.3,2.0,audi,30417305
51,A4,2019,22799,Semi-Auto,47417,Diesel,49.6,2.0,audi,30367048
52,A4,2016,15999,Semi-Auto,57443,Diesel,65.7,2.0,audi,30196776
53,A3,2020,22849,Semi-Auto,25442,Petrol,50.4,1.5,audi,30514568
54,Q2,2021,23049,Semi-Auto,25474,Petrol,46.3,1.5,audi,30272298
55,Q2,2019,17849,Manual,25702,Diesel,49.6,1.6,audi,30407524
56,Q2,2021,26549,Semi-Auto,25855,Petrol,44.8,1.5,audi,30498510
57,A3,2018,20049,Semi-Auto,26351,Petrol,56.5,1.5,audi,30307975
