,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Q2,2020,16549,Manual,44613,Diesel,49.6,1.6,audi,30240302
1,Q2,2018,20599,Manual,11125,Petrol,50.4,1.4,audi,30460843
2,Q2,2020,22799,Manual,11864,Petrol,47.9,1.5,audi,30438231
3,Q2,2017,19649,Manual,12396,Petrol,50.4,1.4,audi,30354455
4,A1,2018,13399,Manual,12464,Petrol,67.3,1.0,audi,30447875
5,A3,2019,19299,Manual,13069,Petrol,44.1,1.5,audi,30480279
6,A1,2021,18499,Manual,13108,Petrol,49.6,1.0,audi,30498683
7,Q2,2019,17199,Manual,13493,Diesel,49.6,1.6,audi,30188219
8,A1,2020,20049,Semi-Auto,13978,Petrol,44.8,1.5,audi,30079667
9,Q2,2019,17699,Manual,14075,Diesel,49.6,1.6,audi,30251057
10,A4,2020,25999,Semi-Auto,14706,Diesel,50.4,2.0,audi,30161794
11,Q2,2019,17849,Manual,25702,Diesel,49.6,1.6,audi,30407524
12,Q3,2017,19349,Manual,50793,Diesel,50.4,2.0,audi,30392965
13,A4,2017,18349,Semi-Auto,19234,Petrol,55.4,2.0,audi,30447891
14,Q2,2017,20299,Semi-Auto,19659,Petrol,52.3,1.4,audi,30438124
15,A1,2016,14549,Manual,20261,Petrol,55.4,1.4,audi,30498623
16,Q3,2019,29099,Semi-Auto,24186,Diesel,47.1,2.0,audi,30519565
17,A3,2020,22849,Semi-Auto,25442,Petrol,50.4,1.5,audi,30514568
18,A5,2019,22049,Manual,26502,Petrol,37.7,2.0,audi,30148646
19,Q3,2017,21999,Semi-Auto,26824,Petrol,42.2,2.0,audi,30466681
20,A3,2019,18049,Manual,26872,Petrol,42.8,1.5,audi,30531364
21,A1,2018,14349,Manual,27099,Petrol,None,1.4,audi,30208532
22,Q2,2019,17349,Manual,27137,Petrol,47.9,1.0,audi,30476994
23,Q2,2020,17349,Manual,48874,Diesel,49.6,1.6,audi,30514629
24,Q2,2019,18299,Manual,38155,Petrol,42.8,1.5,audi,30498637
25,A5,2019,28049,Semi-Auto,17503,Petrol,39.2,2.0,audi,30531542
26,A1,2019,18799,Manual,17505,Petrol,46.3,1.5,audi,30384531
27,A3,2018,20549,Semi-Auto,17658,Petrol,44.1,1.0,audi,30354550
28,A3,2019,20499,Manual,17787,Petrol,42.8,1.5,audi,30360583
29,A4,2020,19449,Manual,17793,Petrol,42.2,2.0,audi,30438207
30,Q3,2018,23049,Semi-Auto,17828,Petrol,42.2,2.0,audi,30531379
31,A1,2017,12199,Manual,17889,Petrol,None,1.0,audi,30208671
32,A3,2019,18399,Manual,18142,Petrol,47.1,1.0,audi,30447771
33,Q3,2019,28999,Semi-Auto,18488,Petrol,31.4,2.0,audi,30225428
34,Q2,2017,20549,Semi-Auto,18737,Petrol,52.3,1.4,audi,30476980
35,Q3,2016,18599,Semi-Auto,42355,Petrol,None,1.4,audi,30484632
36,A5,2019,20549,Semi-Auto,57960,Petrol,39.8,2.0,audi,30360567
37,Q5,2017,26049,Semi-Auto,32402,Diesel,55.4,2.0,audi,30476891
38,A3,2018,19349,Semi-Auto,33025,Petrol,56.5,1.5,audi,30531457
39,A1,2018,13549,Manual,33149,Petrol,55.4,1.4,audi,30502634
40,A3,2020,19849,Manual,33654,Petrol,47.1,1.0,audi,30484974
41,A5,2017,22499,Semi-Auto,33710,Diesel,62.8,2.0,audi,30425012
42,A4,2016,14249,Manual,33985,Petrol,53.3,1.4,audi,30531512
43,Q3,2017,16899,Manual,35658,Petrol,51.4,1.4,audi,30456376
44,A3,2019,18199,Manual,36183,Diesel,51.4,1.6,audi,30090207
45,A7,2019,31049,Semi-Auto,36525,Diesel,None,3.0,audi,30208623
46,A1,2017,12499,Manual,37113,Petrol,67.3,1.0,audi,30451802
47,TT,2016,16649,Semi-Auto,68191,Petrol,43.5,2.0,audi,30502625
48,Q2,2019,17399,Manual,30520,Diesel,49.6,1.6,audi,30289983
49,A6,2019,23849,Semi-Auto,23233,Diesel,50.4,2.0,audi,30255917
50,A3,2019,17049,Manual,23720,Petrol,47.9,1.0,audi,30317352
51,A4,2019,23699,Manual,23762,Petrol,38.2,2.0,audi,30295009
52,TT,2017,18849,Manual,24011,Petrol,47.1,1.8,audi,30557572
53,Q3,2019,29099,Semi-Auto,24186,Diesel,47.1,2.0,audi,30519565
54,A3,2018,19949,Semi-Auto,24410,Petrol,56.5,1.5,audi,30480271
55,A1,2019,17749,Semi-Auto,24708,Petrol,45.6,1.0,audi,30511608
56,A3,2020,23199,Manual,24968,Petrol,45.6,1.5,audi,30490110
57,A3,2017,14349,Manual,25420,Diesel,67.3,2.0,audi,30417305
58,A3,2020,22849,Semi-Auto,25442,Petrol,50.4,1.5,audi,30514568
59,TT,2018,22549,Manual,16120,Petrol,46.3,2.0,audi,30354478
60,A3,2019,18399,Manual,18142,Petrol,47.1,1.0,audi,30447771
61,Q2,2020,16549,Manual,44613,Diesel,49.6,1.6,audi,30240302
62,Q2,2020,20049,Semi-Auto,44746,Diesel,47.9,2.0,audi,30429162
63,A3,2017,17849,Semi-Auto,45336,Petrol,56.5,1.5,audi,30498652
64,Q2,2018,16049,Manual,45390,Petrol,55.4,1.0,audi,30476962
65,A3,2019,14349,Manual,46959,Petrol,48.7,1.0,audi,30490077
66,Q2,2019,20149,Manual,47193,Petrol,42.2,1.0,audi,30514546
67,A3,2019,18949,Manual,47431,Diesel,51.4,1.6,audi,30531573
68,A1,2017,12949,Manual,48180,Petrol,58.9,1.4,audi,30448008
69,A1,2017,11549,Manual,48734,Petrol,67.3,1.0,audi,30095383
70,A4,2019,19649,Semi-Auto,48739,Diesel,48.7,2.0,audi,30531400
71,A7,2019,31049,Semi-Auto,36525,Diesel,None,3.0,audi,30208623
72,A3,2019,20049,Semi-Auto,28552,Petrol,42.2,1.5,audi,30392945
73,Q2,2020,17349,Manual,48874,Diesel,49.6,1.6,audi,30514629
74,A1,2018,14449,Manual,49274,Petrol,54.3,1.4,audi,30476849
75,Q5,2016,21299,Semi-Auto,49297,Petrol,37.7,2.0,audi,30476987
76,A3,2020,21049,Manual,49765,Petrol,45.6,1.5,audi,30531455
77,TT,2019,21799,Semi-Auto,50129,Petrol,40.9,2.0,audi,30429219
78,A6,2017,16049,Semi-Auto,50344,Diesel,67.3,2.0,audi,30502710
79,A3,2018,17749,Semi-Auto,50892,Diesel,62.8,2.0,audi,30240292
80,A1,2017,11849,Manual,51858,Petrol,55.4,1.4,audi,30502746
81,A5,2018,19049,Semi-Auto,52326,Diesel,67.3,2.0,audi,30447809
82,A4,2017,15599,Manual,52364,Diesel,70.6,2.0,audi,30466623
83,A6,2019,19299,Semi-Auto,63094,Diesel,50.4,2.0,audi,30095326
84,A3,2019,20499,Semi-Auto,22907,Petrol,44.1,1.0,audi,30424960
85,A3,2019,17499,Manual,28472,Petrol,46.3,1.0,audi,30042484
86,A3,2019,20049,Semi-Auto,28552,Petrol,42.2,1.5,audi,30392945
87,Q2,2017,19699,Semi-Auto,28711,Petrol,52.3,1.4,audi,30281127
88,A1,2016,16649,Semi-Auto,29430,Petrol,56.5,1.4,audi,30498603
89,S3,2017,22299,Manual,29851,Petrol,40.4,2.0,audi,30384458
90,A4,2018,18199,Manual,29901,Petrol,51.4,1.4,audi,30240270
91,A3,2018,18549,Semi-Auto,30119,Diesel,53.3,1.6,audi,30531561
92,Q3,2017,18049,Manual,30162,Petrol,49.6,1.4,audi,30267317
93,Q5,2019,28849,Semi-Auto,30184,Diesel,39.2,2.0,audi,30546311
94,Q3,2017,18549,Manual,30287,Petrol,49.6,1.4,audi,30389290
95,A3,2020,17249,Semi-Auto,53694,Hybrid,141.3,1.4,audi,30447775
96,A3,2017,14349,Manual,25420,Diesel,67.3,2.0,audi,30417305
97,A5,2019,22049,Semi-Auto,59952,Petrol,39.8,2.0,audi,30531474
98,A3,2016,14049,Manual,60913,Petrol,60.1,1.4,audi,30476948
99,A3,2021,21699,Semi-Auto,61122,Petrol,46.3,1.5,audi,30531469
100,A6,2019,19299,Semi-Auto,63094,Diesel,50.4,2.0,audi,30095326
101,A6,2017,18549,Semi-Auto,66406,Diesel,61.4,2.0,audi,30476753
102,TT,2016,13399,Manual,66853,Diesel,62.8,2.0,audi,30225417
103,Q3,2016,15049,Manual,67929,Diesel,55.4,2.0,audi,30447966
104,A5,2018,19899,Semi-Auto,68503,Diesel,65.7,2.0,audi,30438174
105,A6,2016,15849,Semi-Auto,68914,Diesel,64.2,2.0,audi,30531358
106,A5,2018,16549,Manual,69332,Diesel,65.7,2.0,audi,30107816
107,Q2,2020,16549,Manual,44613,Diesel,49.6,1.6,audi,30240302
108,A6,2016,15849,Semi-Auto,68914,Diesel,64.2,2.0,audi,30531358
109,A3,2019,18799,Manual,32601,Diesel,51.4,1.6,audi,30421767
110,A3,2018,18549,Manual,32648,Petrol,42.2,1.5,audi,30251263
111,A1,2018,14449,Manual,32778,Petrol,55.4,1.4,audi,30360557
112,A3,2018,19349,Semi-Auto,33025,Petrol,56.5,1.5,audi,30531457
113,A1,2018,13549,Manual,33149,Petrol,55.4,1.4,audi,30502634
114,TT,2016,24349,Semi-Auto,33263,Petrol,40.9,2.0,audi,30456317
115,A3,2020,19849,Manual,33654,Petrol,47.1,1.0,audi,30484974
116,A5,2017,22499,Semi-Auto,33710,Diesel,62.8,2.0,audi,30425012
117,Q5,2019,28549,Semi-Auto,33895,Diesel,38.2,2.0,audi,30460862
118,A5,2018,22699,Semi-Auto,33931,Diesel,57.7,2.0,audi,30308229
119,A4,2017,15599,Manual,52364,Diesel,70.6,2.0,audi,30466623
120,A1,2016,13849,Manual,22682,Petrol,56.5,1.4,audi,30551720
121,A3,2018,20049,Semi-Auto,26351,Petrol,56.5,1.5,audi,30307975
