,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Q3,2018,19399,Manual,62483,Petrol,45.6,1.4,audi,30312190
1,Q5,2021,37991,Semi-Auto,6059,Diesel,43.5,2,audi,30253533
2,A4,2023,31991,Semi-Auto,7500,Petrol,44.8,2,audi,29509359
3,A3,2022,23741,Manual,7800,Petrol,51.4,1,audi,29473607
4,Q5,2021,34991,Semi-Auto,7893,Diesel,44.8,2,audi,30310147
5,A3,2022,25241,Manual,8000,Petrol,48.7,1.5,audi,29473619
6,A3,2022,28491,Semi-Auto,8000,Diesel,61.4,2,audi,29608275
7,A5,2022,31991,Semi-Auto,8000,Diesel,58.9,2,audi,29473618
8,A3,2022,26491,Manual,8920,Petrol,50.4,1,audi,30403910
9,A3,2022,23641,Manual,9000,Petrol,51.4,1,audi,29473635
10,A3,2022,26991,Manual,10000,Petrol,50.4,1,audi,29473616
11,A3,2018,14299,Manual,36176,Diesel,70.6,1.6,audi,30587915
12,A1,2018,14049,Manual,29106,Diesel,76.3,1.6,audi,30582298
13,A3,2021,22991,Semi-Auto,11860,Petrol,53.3,1,audi,29795432
14,A5,2022,31991,Semi-Auto,12500,Diesel,57.7,2,audi,29473600
15,TT,2019,26991,Automatic,12939,Petrol,38.7,2,audi,30315156
16,A1,2021,19491,Manual,13737,Petrol,49.6,1,audi,30186484
17,A5,2021,29991,Semi-Auto,14500,Diesel,57.7,2,audi,29473634
18,Q5,2022,44491,Semi-Auto,14877,Diesel,42.8,2,audi,30253536
19,A3,2022,37991,Semi-Auto,15531,Petrol,35.3,2,audi,30253531
20,Q5,2021,35491,Semi-Auto,15614,Diesel,44.8,2,audi,29769145
21,A5,2022,30991,Semi-Auto,15680,Diesel,57.7,2,audi,29473629
22,Q5,2021,33991,Semi-Auto,15708,Diesel,44.8,2,audi,30216603
23,A5,2020,26549,Semi-Auto,31049,Diesel,50.4,2.0,audi,30531275
24,S3,2017,22299,Manual,29851,Petrol,40.4,2.0,audi,30384458
25,TT,2020,32491,Semi-Auto,25097,Petrol,35.3,2,audi,30357820
26,A3,2020,17491,Manual,35200,Petrol,44.8,1.5,audi,30011351
27,A3,2022,36991,Semi-Auto,2000,Diesel,57.7,2,audi,29473643
28,Q3,2023,34791,Semi-Auto,2376,Diesel,51.4,2,audi,30253530
29,A4,2023,31991,Semi-Auto,7500,Petrol,44.8,2,audi,29509359
30,A3,2022,28491,Semi-Auto,8000,Diesel,61.4,2,audi,29608275
31,TT,2020,26991,Semi-Auto,18788,Petrol,40.9,2,audi,29877877
32,A3,2022,26491,Manual,8920,Petrol,50.4,1,audi,30403910
33,A1,2019,23999,Automatic,4505,Petrol,47.1,1.0,audi,29717609
34,A1,2021,21500,Manual,13185,Petrol,50.4,1.0,audi,30301387
