,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,X2,2018,16599,Manual,36412,Diesel,55.4,2.0,bmw,30284897
1,2 Series,2020,22740,Automatic,59139,Petrol,38.7,1.5,bmw,30472505
2,2 Series,2019,17749,Manual,28341,Petrol,51.4,1.5,bmw,30327648
3,2 Series,2018,15085,Manual,30754,Petrol,40.9,1.5,bmw,30533635
4,2 Series,2019,16595,Manual,39328,Petrol,40.4,1.5,bmw,30171928
5,1 Series,2020,25499,Semi-Auto,1170,Petrol,40.4,1.5,bmw,30289979
6,2 Series,2019,20349,Semi-Auto,8177,Diesel,None,2.0,bmw,30267208
7,1 Series,2022,34549,Semi-Auto,9019,Petrol,34.5,2.0,bmw,30476836
8,3 Series,2018,21399,Semi-Auto,9952,Diesel,64.2,2.0,bmw,30251067
9,1 Series,2020,22199,Manual,10964,Petrol,41.5,1.5,bmw,30161978
10,1 Series,2021,20049,Manual,10996,Diesel,58.9,1.5,bmw,30155455
11,2 Series,2019,19049,Semi-Auto,49622,Diesel,48.7,2.0,bmw,30090220
12,X2,2019,18199,Manual,19706,Diesel,55.4,2.0,bmw,30113650
13,2 Series,2018,19349,Semi-Auto,12609,Diesel,51.4,2.0,bmw,30392913
14,1 Series,2021,24599,Semi-Auto,12963,Petrol,None,1.5,bmw,30208474
15,X1,2018,17799,Manual,13616,Diesel,60.1,2.0,bmw,30240300
16,1 Series,2020,25749,Semi-Auto,14265,Petrol,40.4,1.5,bmw,30498579
17,X1,2019,25899,Semi-Auto,14560,Petrol,39.2,2.0,bmw,30498571
18,1 Series,2019,16099,Semi-Auto,14739,Diesel,None,1.5,bmw,30208411
19,1 Series,2017,14499,Manual,15477,Diesel,68.9,2.0,bmw,30507582
20,X2,2019,20799,Manual,15691,Diesel,55.4,2.0,bmw,30417398
21,X2,2018,23149,Semi-Auto,15868,Petrol,39.2,2.0,bmw,30317285
22,1 Series,2019,19799,Manual,16522,Petrol,44.1,1.5,bmw,30490056
23,4 Series,2018,17899,Semi-Auto,53882,Diesel,65.7,2.0,bmw,30367171
24,1 Series,2019,15699,Manual,45502,Diesel,70.6,1.5,bmw,30294989
25,2 Series,2020,23899,Semi-Auto,21145,Petrol,42.2,1.5,bmw,30447888
26,5 Series,2019,25049,Semi-Auto,21192,Petrol,50.4,2.0,bmw,30531540
27,5 Series,2020,24299,Semi-Auto,21832,Petrol,50.4,2.0,bmw,30032961
28,1 Series,2017,15099,Manual,22811,Petrol,52.3,1.5,bmw,30447991
29,2 Series,2018,20599,Semi-Auto,23386,Petrol,46.3,2.0,bmw,30447808
30,3 Series,2019,26849,Semi-Auto,23650,Diesel,52.3,2.0,bmw,30424971
31,1 Series,2019,18549,Manual,23718,Diesel,72.4,1.5,bmw,30354621
32,2 Series,2019,19049,Semi-Auto,24310,Petrol,53.3,1.5,bmw,30514582
33,2 Series,2020,22599,Semi-Auto,24341,Petrol,38.7,1.5,bmw,30531395
34,2 Series,2018,17549,Semi-Auto,25731,Petrol,53.3,1.5,bmw,30531405
35,X2,2019,19499,Manual,44666,Diesel,53.3,2.0,bmw,30424962
36,5 Series,2018,21249,Semi-Auto,66514,Diesel,49.6,2.0,bmw,30546265
37,4 Series,2019,23049,Semi-Auto,18819,Petrol,48.7,2.0,bmw,30507551
38,X2,2019,19299,Manual,18881,Petrol,42.8,1.5,bmw,30456288
39,1 Series,2020,23399,Semi-Auto,18906,Petrol,40.4,1.5,bmw,30290058
40,2 Series,2018,16049,Manual,18938,Petrol,52.3,1.5,bmw,30178594
41,X2,2020,20999,Manual,19237,Diesel,55.4,2.0,bmw,30480277
42,1 Series,2021,25499,Semi-Auto,19299,Petrol,44.1,1.5,bmw,30354616
43,2 Series,2021,22499,Manual,19509,Petrol,47.1,1.5,bmw,30562778
44,X2,2019,18199,Manual,19706,Diesel,55.4,2.0,bmw,30113650
45,1 Series,2020,21699,Manual,20110,Petrol,41.5,1.5,bmw,30460885
46,1 Series,2020,22299,Manual,20414,Petrol,41.5,1.5,bmw,30417161
47,X1,2019,19349,Manual,41731,Diesel,52.3,2.0,bmw,30451738
48,i3,2016,13549,Automatic,44989,OTHER,470.8,,bmw,30551733
49,1 Series,2021,24249,Semi-Auto,30883,Petrol,40.4,1.5,bmw,30514596
50,3 Series,2018,21549,Semi-Auto,31568,Diesel,62.8,2.0,bmw,30531509
51,3 Series,2019,24999,Semi-Auto,31795,Hybrid,None,2.0,bmw,30190721
52,5 Series,2018,26349,Semi-Auto,31852,Diesel,60.1,3.0,bmw,30476900
53,X1,2019,23049,Semi-Auto,32531,Petrol,39.2,2.0,bmw,30490069
54,X1,2019,23049,Semi-Auto,33021,Petrol,39.2,2.0,bmw,30480233
55,X2,2018,16449,Manual,33057,Diesel,55.4,2.0,bmw,30178428
56,1 Series,2020,23049,Semi-Auto,33064,Diesel,50.4,2.0,bmw,30447162
57,X3,2019,28799,Semi-Auto,33453,Petrol,30.4,2.0,bmw,30113693
58,3 Series,2018,18899,Semi-Auto,33851,Diesel,64.2,2.0,bmw,30219256
59,X1,2016,18049,Semi-Auto,45995,Diesel,55.4,2.0,bmw,30551774
60,2 Series,2020,29299,Semi-Auto,17800,Petrol,36.2,2.0,bmw,30421728
61,X4,2019,32849,Semi-Auto,34097,Diesel,42.8,2.0,bmw,30417108
62,X2,2019,18549,Manual,34300,Diesel,55.4,2.0,bmw,30507549
63,1 Series,2020,21399,Manual,34431,Petrol,41.5,1.5,bmw,30498681
64,1 Series,2018,15849,Semi-Auto,35119,Petrol,55.5,1.5,bmw,30480214
65,2 Series,2018,17049,Manual,35648,Diesel,54.3,1.5,bmw,30429267
66,3 Series,2018,19049,Semi-Auto,35803,Hybrid,134.5,2.0,bmw,30531382
67,2 Series,2016,13299,Manual,35901,Diesel,64.2,2.0,bmw,30281378
68,X5,2017,33549,Automatic,36189,Diesel,47.1,3.0,bmw,30514622
69,1 Series,2019,20549,Semi-Auto,36406,Diesel,65.7,2.0,bmw,30514585
70,1 Series,2020,22549,Semi-Auto,36537,Petrol,40.4,1.5,bmw,30438132
71,3 Series,2015,18049,Semi-Auto,30551,Diesel,53.3,3.0,bmw,30255977
72,X1,2020,25299,Semi-Auto,29248,Petrol,40.9,1.5,bmw,30490052
73,2 Series,2019,19049,Semi-Auto,24310,Petrol,53.3,1.5,bmw,30514582
74,2 Series,2020,22599,Semi-Auto,24341,Petrol,38.7,1.5,bmw,30531395
75,3 Series,2019,24499,Semi-Auto,24345,Diesel,52.3,2.0,bmw,30557473
76,2 Series,2018,17299,Manual,24697,Petrol,52.3,1.5,bmw,30384673
77,3 Series,2018,20499,Semi-Auto,24882,Petrol,47.9,2.0,bmw,30308127
78,X1,2020,23199,Automatic,25060,Petrol,41.5,1.5,bmw,30562674
79,X2,2019,21549,Semi-Auto,25204,Petrol,42.2,1.5,bmw,30325223
80,X1,2018,23299,Semi-Auto,25300,Petrol,35.3,2.0,bmw,30498557
81,X1,2019,23699,Semi-Auto,25503,Petrol,39.2,2.0,bmw,30484951
82,2 Series,2018,17549,Semi-Auto,25731,Petrol,53.3,1.5,bmw,30531405
83,4 Series,2020,24099,Semi-Auto,35549,Diesel,65.7,2.0,bmw,30519586
84,X1,2017,17399,Semi-Auto,50814,Diesel,60.1,2.0,bmw,30348713
85,2 Series,2017,13899,Manual,26018,Diesel,68.9,2.0,bmw,30447767
86,X2,2018,21699,Semi-Auto,26071,Petrol,39.2,2.0,bmw,30476714
87,2 Series,2019,17549,Manual,26207,Petrol,52.3,1.5,bmw,30233501
88,3 Series,2019,27299,Semi-Auto,26292,Diesel,48.7,2.0,bmw,30438249
89,1 Series,2018,17049,Semi-Auto,26363,Diesel,50.4,2.0,bmw,30507617
90,2 Series,2020,22949,Manual,26572,Petrol,43.5,1.5,bmw,30485008
91,X1,2018,20049,Semi-Auto,26657,Diesel,60.1,2.0,bmw,30476837
92,4 Series,2018,26049,Semi-Auto,26809,Petrol,41.5,3.0,bmw,30531258
93,2 Series,2018,13999,Manual,26882,Diesel,58.9,1.5,bmw,30103605
94,2 Series,2017,13949,Manual,26886,Diesel,65.7,2.0,bmw,30112195
95,X1,2016,16949,Semi-Auto,43019,Diesel,60.1,2.0,bmw,30348889
96,2 Series,2019,17349,Manual,42562,Petrol,52.3,1.5,bmw,30546306
97,2 Series,2019,22049,Semi-Auto,27177,Diesel,47.9,2.0,bmw,30557556
98,1 Series,2017,16699,Semi-Auto,27540,Diesel,68.9,2.0,bmw,30498674
99,2 Series,2019,20799,Semi-Auto,27570,Petrol,38.7,1.5,bmw,30448077
100,3 Series,2018,20049,Semi-Auto,27611,Diesel,64.2,2.0,bmw,30354612
101,5 Series,2019,25299,Semi-Auto,27867,Diesel,56.5,3.0,bmw,30438212
102,3 Series,2019,24349,Manual,27979,Diesel,54.3,2.0,bmw,30485033
103,3 Series,2016,16499,Semi-Auto,28481,Diesel,64.2,2.0,bmw,30460798
104,3 Series,2020,28249,Semi-Auto,28911,Diesel,56.5,2.0,bmw,30531536
105,X2,2019,20999,Manual,29154,Petrol,42.8,1.5,bmw,30502742
106,X1,2020,25299,Semi-Auto,29248,Petrol,40.9,1.5,bmw,30490052
107,2 Series,2018,16649,Manual,43492,Diesel,64.2,2.0,bmw,30317373
108,5 Series,2018,23049,Semi-Auto,58761,Diesel,56.5,3.0,bmw,30178588
109,3 Series,2019,19949,Semi-Auto,29560,Petrol,48.7,2.0,bmw,30498535
110,6 Series,2019,26849,Semi-Auto,29695,Diesel,44.1,2.0,bmw,30417357
111,2 Series,2019,17399,Manual,29771,Petrol,52.3,1.5,bmw,30289976
112,X1,2019,22049,Semi-Auto,30266,Petrol,39.2,2.0,bmw,30251040
113,X2,2019,18449,Manual,30544,Petrol,42.8,1.5,bmw,30284904
114,3 Series,2015,18049,Semi-Auto,30551,Diesel,53.3,3.0,bmw,30255977
115,4 Series,2018,17699,Semi-Auto,30656,Diesel,70.6,2.0,bmw,30255974
116,1 Series,2019,15999,Semi-Auto,30754,Diesel,78.5,1.5,bmw,30401230
117,1 Series,2019,16649,Manual,30801,Diesel,50.4,1.5,bmw,30502744
118,1 Series,2021,24249,Semi-Auto,30883,Petrol,40.4,1.5,bmw,30514596
119,3 Series,2015,14049,Manual,46248,Petrol,47.9,2.0,bmw,30354582
120,1 Series,2018,14499,Semi-Auto,39889,Diesel,50.4,2.0,bmw,30188286
121,X1,2019,19049,Semi-Auto,56330,Diesel,48.7,2.0,bmw,30480243
122,1 Series,2019,15349,Manual,56734,Diesel,70.6,1.5,bmw,30502739
123,1 Series,2020,15799,Manual,56856,Diesel,57.7,1.5,bmw,30148603
124,1 Series,2018,15849,Semi-Auto,57319,Diesel,67.3,2.0,bmw,30284902
125,2 Series,2018,11249,Manual,57491,Petrol,44.1,1.5,bmw,30531511
126,2 Series,2016,15049,Automatic,57932,Diesel,68.9,2.0,bmw,30392961
127,3 Series,2020,21749,Semi-Auto,57946,Diesel,52.3,2.0,bmw,30095437
128,5 Series,2018,23049,Semi-Auto,58761,Diesel,56.5,3.0,bmw,30178588
129,4 Series,2020,21549,Semi-Auto,59423,Diesel,65.7,2.0,bmw,30531392
130,2 Series,2018,15349,Semi-Auto,60518,Petrol,50.4,1.5,bmw,30485014
131,X1,2020,23199,Automatic,25060,Petrol,41.5,1.5,bmw,30562674
132,X1,2018,21949,Semi-Auto,35015,Petrol,35.3,2.0,bmw,30317297
133,X2,2018,18449,Automatic,61287,Diesel,58.9,2.0,bmw,30181569
134,3 Series,2018,25349,Semi-Auto,62015,Diesel,49.6,3.0,bmw,30531493
135,X3,2017,20699,Semi-Auto,63608,Diesel,47.9,3.0,bmw,30271436
136,1 Series,2019,14549,Manual,63670,Diesel,70.6,1.5,bmw,30502650
137,3 Series,2017,16049,Semi-Auto,64050,Diesel,64.2,2.0,bmw,30531272
138,X3,2019,26149,Semi-Auto,64172,Diesel,54.3,2.0,bmw,30233585
139,1 Series,2020,21049,Semi-Auto,64187,Diesel,51.4,2.0,bmw,30519612
140,4 Series,2019,19699,Semi-Auto,64382,Diesel,65.7,2.0,bmw,30447869
141,3 Series,2016,14299,Manual,65227,Petrol,41.5,2.0,bmw,30447877
142,1 Series,2019,16049,Semi-Auto,66487,Diesel,70.6,2.0,bmw,30531436
143,X2,2019,17749,Manual,31772,Petrol,42.8,1.5,bmw,30348767
144,1 Series,2019,16099,Semi-Auto,14739,Diesel,None,1.5,bmw,30208411
145,X4,2019,32849,Semi-Auto,34097,Diesel,42.8,2.0,bmw,30417108
146,X2,2019,18549,Manual,34300,Diesel,55.4,2.0,bmw,30507549
147,1 Series,2020,21399,Manual,34431,Petrol,41.5,1.5,bmw,30498681
148,X3,2019,30049,Semi-Auto,34450,Diesel,54.3,2.0,bmw,30272428
149,X1,2019,19899,Semi-Auto,34499,Petrol,39.2,2.0,bmw,30042385
150,4 Series,2019,18899,Manual,34988,Petrol,46.3,2.0,bmw,30373312
151,X1,2018,21949,Semi-Auto,35015,Petrol,35.3,2.0,bmw,30317297
152,3 Series,2018,19349,Semi-Auto,35053,Diesel,64.2,2.0,bmw,30562706
153,3 Series,2018,17999,Semi-Auto,35097,Petrol,48.7,2.0,bmw,30337911
154,1 Series,2018,15849,Semi-Auto,35119,Petrol,55.5,1.5,bmw,30480214
155,2 Series,2018,17549,Semi-Auto,31582,Petrol,40.9,1.5,bmw,30466724
156,1 Series,2017,21849,Semi-Auto,36886,Petrol,39.8,3.0,bmw,30448021
157,4 Series,2018,20549,Semi-Auto,35487,Petrol,48.7,2.0,bmw,30451737
158,X1,2019,22299,Semi-Auto,35494,Petrol,39.2,2.0,bmw,30392891
159,4 Series,2020,24099,Semi-Auto,35549,Diesel,65.7,2.0,bmw,30519586
160,2 Series,2018,17049,Manual,35648,Diesel,54.3,1.5,bmw,30429267
161,3 Series,2018,19049,Semi-Auto,35803,Hybrid,134.5,2.0,bmw,30531382
162,2 Series,2016,13299,Manual,35901,Diesel,64.2,2.0,bmw,30281378
163,X1,2019,19449,Semi-Auto,35930,Diesel,49.6,2.0,bmw,30557528
164,1 Series,2018,14499,Semi-Auto,36010,Diesel,50.4,1.5,bmw,30417106
165,1 Series,2021,24399,Semi-Auto,36105,Diesel,51.4,2.0,bmw,30557514
166,X5,2017,33549,Automatic,36189,Diesel,47.1,3.0,bmw,30514622
167,2 Series,2020,29299,Semi-Auto,17800,Petrol,36.2,2.0,bmw,30421728
168,1 Series,2020,16549,Manual,66062,Diesel,58.9,1.5,bmw,30389396
169,3 Series,2015,18049,Semi-Auto,30551,Diesel,53.3,3.0,bmw,30255977
170,3 Series,2017,18049,Semi-Auto,32307,Petrol,48.7,2.0,bmw,30502620
171,X3,2019,30049,Semi-Auto,34450,Diesel,54.3,2.0,bmw,30272428
172,X1,2019,19899,Semi-Auto,34499,Petrol,39.2,2.0,bmw,30042385
173,4 Series,2019,18899,Manual,34988,Petrol,46.3,2.0,bmw,30373312
174,X1,2019,22299,Semi-Auto,35494,Petrol,39.2,2.0,bmw,30392891
175,X1,2019,19449,Semi-Auto,35930,Diesel,49.6,2.0,bmw,30557528
176,1 Series,2018,14499,Semi-Auto,36010,Diesel,50.4,1.5,bmw,30417106
177,1 Series,2021,24399,Semi-Auto,36105,Diesel,51.4,2.0,bmw,30557514
178,1 Series,2016,12399,Manual,36886,Petrol,56.5,1.5,bmw,30557515
179,2 Series,2016,18699,Semi-Auto,40081,Petrol,35.8,3.0,bmw,30354503
180,X1,2016,14749,Manual,59303,Diesel,68.9,2.0,bmw,30384491
181,1 Series,2018,15649,Semi-Auto,37233,Diesel,49.6,2.0,bmw,30075351
182,4 Series,2019,20999,Semi-Auto,39026,Diesel,47.1,2.0,bmw,30233446
183,3 Series,2019,26599,Semi-Auto,39413,Petrol,41.5,2.0,bmw,30447763
184,2 Series,2019,17349,Manual,42562,Petrol,52.3,1.5,bmw,30546306
185,1 Series,2019,18049,Manual,42620,Diesel,70.6,1.5,bmw,30484814
186,X2,2019,19699,Semi-Auto,43415,Petrol,42.2,1.5,bmw,30267215
187,X1,2019,17299,Manual,43458,Diesel,52.3,2.0,bmw,30480274
188,1 Series,2019,18049,Manual,43898,Diesel,70.6,1.5,bmw,30451776
189,3 Series,2019,20949,Semi-Auto,44684,Diesel,54.3,2.0,bmw,30480312
190,X2,2018,21199,Semi-Auto,45647,Diesel,58.9,2.0,bmw,30557521
191,1 Series,2019,15349,Manual,56734,Diesel,70.6,1.5,bmw,30502739
192,1 Series,2020,21499,Semi-Auto,41849,Petrol,40.4,1.5,bmw,30367173
193,1 Series,2020,19049,Manual,38932,Diesel,54.3,1.5,bmw,30132492
194,2 Series,2021,23049,Semi-Auto,38952,Petrol,42.2,1.5,bmw,30298465
195,4 Series,2019,20999,Semi-Auto,39026,Diesel,47.1,2.0,bmw,30233446
196,1 Series,2020,22199,Semi-Auto,39115,Petrol,40.4,1.5,bmw,30367170
197,1 Series,2017,21849,Semi-Auto,39136,Petrol,39.8,3.0,bmw,30562772
198,4 Series,2018,20349,Semi-Auto,39338,Petrol,48.7,2.0,bmw,30546320
199,3 Series,2018,25049,Semi-Auto,39411,Diesel,51.4,3.0,bmw,30417308
200,3 Series,2019,26599,Semi-Auto,39413,Petrol,41.5,2.0,bmw,30447763
201,3 Series,2020,21899,Semi-Auto,39491,Diesel,54.3,2.0,bmw,30429165
202,2 Series,2018,18499,Semi-Auto,39554,Petrol,38.2,2.0,bmw,30438197
203,2 Series,2016,15049,Automatic,57932,Diesel,68.9,2.0,bmw,30392961
204,2 Series,2016,15049,Automatic,57932,Diesel,68.9,2.0,bmw,30392961
205,1 Series,2018,14499,Semi-Auto,39889,Diesel,50.4,2.0,bmw,30188286
206,2 Series,2016,18699,Semi-Auto,40081,Petrol,35.8,3.0,bmw,30354503
207,2 Series,2016,11399,Manual,40390,Petrol,52.3,1.5,bmw,30447983
208,1 Series,2018,13549,Manual,40410,Diesel,52.3,2.0,bmw,30429245
209,3 Series,2018,15699,Semi-Auto,40521,Petrol,54.3,1.5,bmw,30348875
210,1 Series,2020,20049,Manual,41070,Petrol,41.5,1.5,bmw,30447932
211,X2,2019,16799,Manual,41242,Petrol,42.8,1.5,bmw,30337921
212,1 Series,2019,14299,Manual,41261,Diesel,72.4,1.5,bmw,30424954
213,5 Series,2020,24799,Semi-Auto,41398,Diesel,46.3,2.0,bmw,30354622
214,X1,2019,19349,Manual,41731,Diesel,52.3,2.0,bmw,30451738
215,2 Series,2019,19499,Semi-Auto,38721,Petrol,48.7,1.5,bmw,30389317
216,1 Series,2019,16099,Semi-Auto,14739,Diesel,None,1.5,bmw,30208411
217,X3,2018,28399,Semi-Auto,41756,Diesel,54.3,2.0,bmw,30484628
