,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,5 Series,2019,24549,Semi-Auto,38052,Diesel,49.6,2.0,bmw,30603145
1,3 Series,2019,19950,Automatic,65445,Petrol,47.9,2.0,bmw,30527927
2,4 Series,2016,16950,Automatic,79035,Diesel,60.1,2.0,bmw,30036043
3,2 Series,2019,19990,Automatic,41432,Diesel,48.7,2.0,bmw,29655077
4,i3,2020,17945,Automatic,17519,Other,None,0,bmw,29188700
5,3 Series,2018,18995,Automatic,30965,Petrol,48.7,2.0,bmw,29671976
6,5 Series,2020,24990,Automatic,26627,Diesel,49.6,2.0,bmw,30288673
7,4 Series,2018,18990,Automatic,35860,Diesel,60.1,2.0,bmw,30238015
8,3 Series,2019,21990,Automatic,50697,Petrol,8.8,2.0,bmw,29851678
9,2 Series,2018,13990,Manual,52598,Petrol,52.3,1.5,bmw,30175530
10,2 Series,2016,15495,Automatic,23000,Petrol,55.4,1.5,bmw,30194710
11,1 Series,2017,16699,Semi-Auto,27540,Diesel,68.9,2.0,bmw,30498674
12,1 Series,2019,15990,Manual,25879,Diesel,58.9,1.5,bmw,30293679
13,5 Series,2019,29995,Automatic,33000,Diesel,60.1,3.0,bmw,29154925
14,2 Series,2016,13995,Manual,38000,Diesel,44.1,1.5,bmw,26966930
15,4 Series,2018,21495,Automatic,38000,Diesel,65.7,2.0,bmw,29857746
16,X3,2019,27990,Automatic,38978,Petrol,30.4,2.0,bmw,30306034
17,1 Series,2015,10495,Manual,44000,Diesel,68.9,2.0,bmw,30470828
18,X3,2017,19995,Automatic,53000,Diesel,54.3,2.0,bmw,30405780
19,3 Series,2017,19750,Automatic,61000,Diesel,56.5,3.0,bmw,29857747
20,5 Series,2017,14990,Automatic,83335,Diesel,62.8,2.0,bmw,30231758
21,X5,2023,73995,Automatic,101,Petrol,23.2,4.4,bmw,30248327
22,1 Series,2020,17599,Manual,50752,Diesel,54.3,1.5,bmw,30255941
23,5 Series,2016,15499,Semi-Auto,58313,Diesel,65.7,2.0,bmw,30546220
24,iX,2022,60995,Automatic,1380,Other,None,1.0,bmw,30321805
25,X4,2022,67995,Automatic,1819,Petrol,26.2,3.0,bmw,30377434
26,X5,2023,92995,Automatic,2155,Petrol,21.6,4.4,bmw,30244346
27,2 Series,2022,27995,Automatic,2470,Petrol,45.6,1.5,bmw,30470769
28,i4,2022,58995,Automatic,3485,Other,None,1.0,bmw,30341992
29,X3,2022,50500,Automatic,3751,Petrol,128.4,2.0,bmw,30153745
30,M8,2023,94995,Automatic,3944,Petrol,24.4,4.4,bmw,30446030
31,i4,2023,62995,Automatic,3986,Other,None,0,bmw,30382014
32,iX,2023,85995,Automatic,4333,Other,None,1.0,bmw,30231768
33,i4,2022,58995,Automatic,4441,Other,None,1.0,bmw,30101801
34,1 Series,2018,14349,Semi-Auto,36010,Diesel,50.4,1.5,bmw,30417106
35,X1,2018,19699,Semi-Auto,26657,Diesel,60.1,2.0,bmw,30476837
36,5 Series,2023,47995,Automatic,4578,Petrol,156.9,2.0,bmw,30345593
37,X7,2023,101995,Automatic,4586,Petrol,21.9,4.4,bmw,30306120
38,3 Series,2023,45995,Automatic,4765,Petrol,166.2,2.0,bmw,30306130
39,3 Series,2023,45995,Automatic,4863,Petrol,166.2,2.0,bmw,30382032
40,5 Series,2022,38995,Automatic,5504,Petrol,40.4,2.0,bmw,30382025
41,i4,2022,51995,Automatic,5545,Other,None,1.0,bmw,30341988
42,3 Series,2023,40995,Automatic,5558,Petrol,40.9,2.0,bmw,30188706
43,4 Series,2022,59995,Automatic,5807,Petrol,28,3.0,bmw,30397325
44,3 Series,2022,44995,Automatic,6438,Petrol,34.5,3.0,bmw,30244344
45,X5,2022,67995,Automatic,6857,Petrol,23.2,4.4,bmw,30203144
46,3 Series,2018,18349,Semi-Auto,62221,Diesel,62.8,2.0,bmw,30546224
47,X1,2016,16949,Semi-Auto,43019,Diesel,60.1,2.0,bmw,30348889
48,X5,2022,63995,Automatic,6914,Diesel,37.7,3.0,bmw,29432234
49,X3,2022,69995,Automatic,7010,Petrol,25.7,3.0,bmw,30405678
50,X5,2022,68995,Automatic,7304,Petrol,188.3,3.0,bmw,30048060
51,2 Series,2022,32995,Automatic,7451,Petrol,45.6,1.5,bmw,30188708
52,3 Series,2023,40995,Automatic,7528,Diesel,52.3,2.0,bmw,30130402
53,2 Series,2023,32995,Automatic,8052,Diesel,53.3,2.0,bmw,30397318
54,3 Series,2023,43995,Automatic,8273,Petrol,188.3,2.0,bmw,30446029
55,3 Series,2022,33995,Automatic,8321,Petrol,39.2,2.0,bmw,30306124
56,5 Series,2022,41995,Automatic,8412,Petrol,156.9,2.0,bmw,30112538
57,8 Series,2021,42995,Automatic,8455,Petrol,32.5,3.0,bmw,30130395
58,1 Series,2020,20349,Manual,18667,Petrol,44.1,1.5,bmw,30299805
59,2 Series,2021,22499,Manual,19509,Petrol,47.1,1.5,bmw,30562778
60,1 Series,2022,27500,Manual,8580,Diesel,54.3,1.5,bmw,30470768
61,3 Series,2023,46995,Automatic,8811,Diesel,46.3,3.0,bmw,30382031
62,4 Series,2022,35995,Automatic,8966,Diesel,57.7,2.0,bmw,30405676
63,4 Series,2023,45995,Automatic,9083,Diesel,50.4,3.0,bmw,30116827
64,X4,2023,55995,Automatic,9204,Diesel,42.8,3.0,bmw,30116826
65,1 Series,2022,35995,Automatic,9244,Petrol,34.5,2.0,bmw,30382013
66,4 Series,2022,37995,Automatic,9509,Petrol,39.2,2.0,bmw,30405687
67,3 Series,2022,34995,Automatic,9535,Petrol,39.2,2.0,bmw,30306125
68,iX,2022,57995,Automatic,9792,Other,None,1.0,bmw,30382028
69,4 Series,2022,49995,Automatic,9850,Petrol,34,3.0,bmw,30116825
70,2 Series,2018,17549,Semi-Auto,25731,Petrol,53.3,1.5,bmw,30531405
71,2 Series,2018,15049,Semi-Auto,60518,Petrol,50.4,1.5,bmw,30485014
72,X5,2023,67995,Automatic,9850,Diesel,34.9,3.0,bmw,30428311
73,5 Series,2023,42500,Automatic,9861,Diesel,49.6,2.0,bmw,30345595
74,5 Series,2022,37995,Automatic,10147,Petrol,40.4,2.0,bmw,30306122
75,2 Series,2022,33995,Automatic,10209,Diesel,57.7,2.0,bmw,30225905
76,4 Series,2022,38500,Automatic,10445,Petrol,39.2,2.0,bmw,30306126
77,X5,2022,63995,Automatic,10623,Diesel,34.9,3.0,bmw,30397319
78,4 Series,2021,56995,Automatic,11123,Petrol,28,3.0,bmw,30470753
79,2 Series,2021,27995,Automatic,11128,Petrol,45.6,1.5,bmw,30382041
80,2 Series,2022,31995,Automatic,11387,Petrol,45.6,1.5,bmw,30414680
81,3 Series,2022,41995,Automatic,11408,Diesel,43.5,3.0,bmw,30341981
82,X2,2019,20999,Manual,29154,Petrol,42.8,1.5,bmw,30502742
83,2 Series,2019,20799,Semi-Auto,27570,Petrol,38.7,1.5,bmw,30448077
84,X5,2023,67995,Automatic,11498,Diesel,34.9,3.0,bmw,30446028
85,2 Series,2022,28995,Automatic,11608,Petrol,45.6,1.5,bmw,30405689
86,i3,2018,15549,Blue,Electric,N/A,25719,,bmw,30614955
