,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,X2,2018,17149,Manual,62957,Diesel,53.3,2.0,bmw,30582215
1,3 Series,2014,9000,Automatic,70925,Diesel,62.8,2.0,bmw,30472543
2,1 Series,2017,12000,Manual,73109,Petrol,52.3,1.5,bmw,28917082
3,2 Series,2016,14000,Automatic,75443,Petrol,51.4,1.5,bmw,30038027
4,1 Series,2015,9000,Manual,79104,Diesel,None,2.0,bmw,30278461
5,3 Series,2012,9000,Manual,80062,Diesel,61.4,2.0,bmw,30131133
6,3 Series,2016,12000,Automatic,80512,Petrol,51.4,1.5,bmw,29965609
7,3 Series,2014,9000,Automatic,88314,Diesel,62.8,2.0,bmw,30303596
8,3 Series,2012,9000,Automatic,89791,Diesel,62.8,2.0,bmw,29762301
9,3 Series,2016,10000,Manual,90131,Diesel,72.4,2.0,bmw,28992426
10,X5,2016,20000,Automatic,92767,Other,85.6,2.0,bmw,30509218
11,1 Series,2019,19349,Manual,32713,Diesel,70.6,1.5,bmw,30582315
12,5 Series,2018,21249,Semi-Auto,66514,Diesel,49.6,2.0,bmw,30546265
13,M3,2011,22000,Automatic,97630,Petrol,25.2,4.0,bmw,29572790
14,3 Series,2014,8500,Automatic,100482,Diesel,62.8,2.0,bmw,30257873
15,5 Series,2014,8000,Manual,103146,Diesel,65.7,2.0,bmw,30306112
16,1 Series,2020,25499,Semi-Auto,1170,Petrol,40.4,1.5,bmw,30289979
17,2 Series,2022,29049,Manual,5445,Petrol,45.6,1.5,bmw,30572207
18,2 Series,2019,20349,Semi-Auto,8177,Diesel,None,2.0,bmw,30267208
19,1 Series,2021,23799,Semi-Auto,12963,Petrol,None,1.5,bmw,30208474
20,1 Series,2020,24499,Semi-Auto,13896,Petrol,40.4,1.5,bmw,30572345
21,1 Series,2020,25749,Semi-Auto,14265,Petrol,40.4,1.5,bmw,30498579
22,X1,2019,25899,Semi-Auto,14560,Petrol,39.2,2.0,bmw,30498571
23,X3,2019,31049,Semi-Auto,42766,Diesel,54.3,2.0,bmw,30514604
24,2 Series,2018,15599,Semi-Auto,53734,Diesel,None,2.0,bmw,30208768
25,2 Series,2018,18949,Semi-Auto,12609,Diesel,51.4,2.0,bmw,30392913
26,1 Series,2021,23799,Semi-Auto,12963,Petrol,None,1.5,bmw,30208474
27,X1,2018,17049,Manual,13616,Diesel,60.1,2.0,bmw,30240300
28,1 Series,2020,24499,Semi-Auto,13896,Petrol,40.4,1.5,bmw,30572345
29,1 Series,2020,25749,Semi-Auto,14265,Petrol,40.4,1.5,bmw,30498579
30,X1,2019,25899,Semi-Auto,14560,Petrol,39.2,2.0,bmw,30498571
31,1 Series,2017,14499,Manual,15477,Diesel,68.9,2.0,bmw,30507582
32,X2,2019,20799,Manual,15691,Diesel,55.4,2.0,bmw,30417398
33,X2,2018,23249,Semi-Auto,15868,Petrol,39.2,2.0,bmw,30317285
34,1 Series,2019,19499,Manual,16522,Petrol,44.1,1.5,bmw,30490056
35,3 Series,2018,18049,Semi-Auto,36609,Diesel,62.8,2.0,bmw,30063517
36,X4,2019,28699,Semi-Auto,64875,Diesel,42.8,2.0,bmw,30477044
37,1 Series,2020,22299,Manual,20414,Petrol,41.5,1.5,bmw,30417161
38,X2,2018,22799,Semi-Auto,20969,Petrol,39.8,2.0,bmw,30308112
39,5 Series,2019,25049,Semi-Auto,21192,Petrol,50.4,2.0,bmw,30531540
40,1 Series,2020,19699,Manual,21670,Petrol,44.8,1.5,bmw,30551734
41,3 Series,2018,16849,Automatic,22078,Petrol,54.3,1.5,bmw,30577473
42,1 Series,2020,21949,Manual,22099,Petrol,41.5,1.5,bmw,30484640
43,1 Series,2019,22299,Semi-Auto,22153,Petrol,40.4,1.5,bmw,30260974
44,2 Series,2019,19249,Semi-Auto,22166,Petrol,38.2,2.0,bmw,30557562
45,5 Series,2019,26899,Semi-Auto,22565,Petrol,47.9,2.0,bmw,30373300
46,1 Series,2017,15099,Manual,22811,Petrol,52.3,1.5,bmw,30447991
47,4 Series,2020,21549,Semi-Auto,59423,Diesel,65.7,2.0,bmw,30531392
48,3 Series,2016,16499,Semi-Auto,28481,Diesel,64.2,2.0,bmw,30460798
49,1 Series,2020,23399,Semi-Auto,18906,Petrol,40.4,1.5,bmw,30290058
50,X2,2020,20799,Manual,19237,Diesel,55.4,2.0,bmw,30480277
51,2 Series,2021,22499,Manual,19509,Petrol,47.1,1.5,bmw,30562778
52,4 Series,2020,22349,N/A,20156,Petrol,48.7,2.0,bmw,30602945
53,1 Series,2020,22299,Manual,20414,Petrol,41.5,1.5,bmw,30417161
54,X2,2018,22799,Semi-Auto,20969,Petrol,39.8,2.0,bmw,30308112
55,5 Series,2019,25049,Semi-Auto,21192,Petrol,50.4,2.0,bmw,30531540
56,1 Series,2020,19699,Manual,21670,Petrol,44.8,1.5,bmw,30551734
57,3 Series,2018,16849,Automatic,22078,Petrol,54.3,1.5,bmw,30577473
58,1 Series,2020,21949,Manual,22099,Petrol,41.5,1.5,bmw,30484640
59,1 Series,2016,15049,Manual,32649,Petrol,46.3,2.0,bmw,30417358
60,5 Series,2018,22449,N/A,47212,Diesel,49.6,2.0,bmw,30602912
61,1 Series,2019,22299,Semi-Auto,22153,Petrol,40.4,1.5,bmw,30260974
62,2 Series,2019,19249,Semi-Auto,22166,Petrol,38.2,2.0,bmw,30557562
63,3 Series,2018,17549,N/A,22293,Hybrid,148.7,2.0,bmw,30602859
64,5 Series,2019,26899,Semi-Auto,22565,Petrol,47.9,2.0,bmw,30373300
65,1 Series,2016,16199,Semi-Auto,22621,Diesel,68.9,1.5,bmw,30572355
66,1 Series,2019,22349,Semi-Auto,22673,Diesel,57.7,1.5,bmw,30588067
67,1 Series,2017,15099,Manual,22811,Petrol,52.3,1.5,bmw,30447991
