,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,1 Series,2018,14999,Semi-Auto,42784,Diesel,52.3,2.0,bmw,30354611
1,1 Series,2020,25749,Semi-Auto,14265,Petrol,40.4,1.5,bmw,30498579
2,X1,2019,25899,Semi-Auto,14560,Petrol,39.2,2.0,bmw,30498571
3,1 Series,2017,14499,Manual,15477,Diesel,68.9,2.0,bmw,30507582
4,X2,2019,20799,Manual,15691,Diesel,55.4,2.0,bmw,30417398
5,5 Series,2020,25549,Semi-Auto,16837,Diesel,49.6,2.0,bmw,30046169
6,3 Series,2019,25549,Semi-Auto,16872,Petrol,42.2,2.0,bmw,30384460
7,2 Series,2018,19849,Semi-Auto,17178,Petrol,48.7,1.5,bmw,30476877
8,5 Series,2020,30949,Semi-Auto,17374,Diesel,47.9,2.0,bmw,30384661
9,1 Series,2020,20349,Manual,18667,Petrol,44.1,1.5,bmw,30299805
10,X2,2019,19299,Manual,18881,Petrol,42.8,1.5,bmw,30456288
11,X1,2017,17299,Semi-Auto,56430,Diesel,57.6,2.0,bmw,30281450
12,1 Series,2019,16749,Manual,17709,Petrol,52.3,1.5,bmw,30233550
13,2 Series,2018,19849,Semi-Auto,17178,Petrol,48.7,1.5,bmw,30476877
14,5 Series,2020,30949,Semi-Auto,17374,Diesel,47.9,2.0,bmw,30384661
15,1 Series,2020,20349,Manual,18667,Petrol,44.1,1.5,bmw,30299805
16,X2,2019,19299,Manual,18881,Petrol,42.8,1.5,bmw,30456288
17,1 Series,2020,23399,Semi-Auto,18906,Petrol,40.4,1.5,bmw,30290058
18,2 Series,2021,22499,Manual,19509,Petrol,47.1,1.5,bmw,30562778
19,1 Series,2020,22299,Manual,20414,Petrol,41.5,1.5,bmw,30417161
20,X2,2018,22799,Semi-Auto,20969,Petrol,39.8,2.0,bmw,30308112
21,2 Series,2020,23999,Semi-Auto,21145,Petrol,42.2,1.5,bmw,30447888
22,5 Series,2019,25049,Semi-Auto,21192,Petrol,50.4,2.0,bmw,30531540
23,3 Series,2018,25349,Semi-Auto,62015,Diesel,49.6,3.0,bmw,30531493
24,4 Series,2020,24099,Semi-Auto,35549,Diesel,65.7,2.0,bmw,30519586
25,1 Series,2020,19699,Manual,21670,Petrol,44.8,1.5,bmw,30551734
26,3 Series,2018,16849,Automatic,22078,Petrol,54.3,1.5,bmw,30577473
27,1 Series,2020,21949,Manual,22099,Petrol,41.5,1.5,bmw,30484640
28,1 Series,2019,22299,Semi-Auto,22153,Petrol,40.4,1.5,bmw,30260974
29,2 Series,2019,19249,Semi-Auto,22166,Petrol,38.2,2.0,bmw,30557562
30,5 Series,2019,26899,Semi-Auto,22565,Petrol,47.9,2.0,bmw,30373300
31,1 Series,2017,15099,Manual,22811,Petrol,52.3,1.5,bmw,30447991
32,1 Series,2020,21149,Manual,22862,Petrol,41.5,1.5,bmw,30260985
33,X1,2018,21949,Semi-Auto,23119,Petrol,37.7,2.0,bmw,30284856
34,X1,2019,23449,Semi-Auto,23632,Petrol,39.2,2.0,bmw,30557537
35,3 Series,2016,16499,Semi-Auto,28481,Diesel,64.2,2.0,bmw,30460798
36,X2,2019,19299,Manual,18881,Petrol,42.8,1.5,bmw,30456288
37,2 Series,2018,17549,Semi-Auto,25731,Petrol,53.3,1.5,bmw,30531405
38,X2,2018,21699,Semi-Auto,26071,Petrol,39.2,2.0,bmw,30476714
39,3 Series,2019,27299,Semi-Auto,26292,Diesel,48.7,2.0,bmw,30438249
40,4 Series,2018,26049,Semi-Auto,26809,Petrol,41.5,3.0,bmw,30531258
41,2 Series,2019,22049,Semi-Auto,27177,Diesel,47.9,2.0,bmw,30557556
42,1 Series,2017,16699,Semi-Auto,27540,Diesel,68.9,2.0,bmw,30498674
43,2 Series,2019,20799,Semi-Auto,27570,Petrol,38.7,1.5,bmw,30448077
44,3 Series,2018,20049,Semi-Auto,27611,Diesel,64.2,2.0,bmw,30354612
45,3 Series,2016,16499,Semi-Auto,28481,Diesel,64.2,2.0,bmw,30460798
