,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,1 Series,2018,16599,Semi-Auto,43146,Diesel,49.6,2.0,bmw,30360652
1,X1,2018,20700,Manual,14679,Petrol,51.4,1.5,bmw,30493107
2,2 Series,2017,18750,Semi-Auto,14982,Petrol,48.7,1.5,bmw,30500841
3,3 Series,2021,28600,Semi-Auto,18383,Petrol,41.5,2,bmw,30574585
4,2 Series,2019,21700,Semi-Auto,24805,Petrol,47.9,2,bmw,30450350
5,4 Series,2020,25800,Semi-Auto,26533,Petrol,41.5,3,bmw,29758857
6,4 Series,2020,25600,Semi-Auto,29698,Petrol,41.5,3,bmw,29933018
7,X1,2020,25400,Semi-Auto,31357,Petrol,47.9,2,bmw,30454186
8,X1,2018,18500,Manual,33969,Petrol,51.4,1.5,bmw,30450362
9,4 Series,2016,17600,Semi-Auto,37407,Diesel,60.1,2,bmw,30553886
10,4 Series,2020,24600,Semi-Auto,37431,Petrol,41.5,3,bmw,29843106
11,4 Series,2019,22449,Automatic,42574,Diesel,58.9,2.0,bmw,30562675
12,2 Series,2016,13449,Manual,54128,Petrol,50.4,1.5,bmw,30572064
13,X3,2015,16495,Semi-Auto,56314,Diesel,54.3,2,bmw,30526874
14,3 Series,2019,27300,Semi-Auto,13951,Petrol,40.9,2,bmw,29507208
15,1 Series,2021,23400,Semi-Auto,19802,Petrol,40.4,1.5,bmw,29594686
16,3 Series,2015,13995,Semi-Auto,46407,Diesel,62.8,2,bmw,30391519
17,1 Series,2012,6750,Manual,61960,Diesel,62.8,2.0,bmw,30528987
18,1 Series,2013,12995,Automatic,22000,Petrol,48.7,1.6,bmw,30388327
19,X1,2013,13495,Automatic,43500,Diesel,52.3,2.0,bmw,30235364
20,4 Series,2018,24795,Automatic,46000,Petrol,41.5,3.0,bmw,29403708
21,5 Series,2018,26395,Automatic,49000,Diesel,55.4,2.0,bmw,29820404
22,3 Series,2019,24350,Automatic,58000,Diesel,53.3,3.0,bmw,30166640
23,1 Series,2019,14799,Manual,28733,Diesel,78.5,1.5,bmw,30587865
24,X3,2019,30049,Semi-Auto,27327,Diesel,54.3,2.0,bmw,30417109
25,3 Series,2015,15495,Manual,67000,Diesel,57.6,2.0,bmw,30543917
26,3 Series,2013,18295,Automatic,82000,Petrol,37.2,3.0,bmw,29178213
27,1 Series,2013,9495,Manual,69000,Diesel,64.2,2.0,bmw,30586661
28,3 Series,2016,15295,Manual,65000,Diesel,61.4,2.0,bmw,30535517
29,1 Series,2020,25499,Semi-Auto,1170,Petrol,40.4,1.5,bmw,30289979
30,2 Series,2019,20349,Semi-Auto,8177,Diesel,None,2.0,bmw,30267208
31,3 Series,2018,21399,Semi-Auto,9952,Diesel,64.2,2.0,bmw,30251067
32,1 Series,2020,25749,Semi-Auto,14265,Petrol,40.4,1.5,bmw,30498579
33,X1,2019,25899,Semi-Auto,14560,Petrol,39.2,2.0,bmw,30498571
34,1 Series,2017,14499,Manual,15477,Diesel,68.9,2.0,bmw,30507582
35,X1,2019,23449,Semi-Auto,23632,Petrol,39.2,2.0,bmw,30557537
36,3 Series,2019,20999,N/A,36086,Diesel,56.5,2.0,bmw,30593687
37,1 Series,2020,25749,Semi-Auto,14265,Petrol,40.4,1.5,bmw,30498579
38,X1,2019,25899,Semi-Auto,14560,Petrol,39.2,2.0,bmw,30498571
39,1 Series,2017,14499,Manual,15477,Diesel,68.9,2.0,bmw,30507582
40,X2,2019,20799,Manual,15691,Diesel,55.4,2.0,bmw,30417398
41,X2,2018,23249,Semi-Auto,15868,Petrol,39.2,2.0,bmw,30317285
42,5 Series,2020,25549,Semi-Auto,16837,Diesel,49.6,2.0,bmw,30046169
43,3 Series,2019,25549,Semi-Auto,16872,Petrol,42.2,2.0,bmw,30384460
44,2 Series,2018,19849,Semi-Auto,17178,Petrol,48.7,1.5,bmw,30476877
45,5 Series,2020,30949,Semi-Auto,17374,Diesel,47.9,2.0,bmw,30384661
46,1 Series,2020,20349,Manual,18667,Petrol,44.1,1.5,bmw,30299805
47,4 Series,2019,22799,Semi-Auto,18819,Petrol,48.7,2.0,bmw,30507551
48,1 Series,2019,15499,Manual,45502,Diesel,70.6,1.5,bmw,30294989
49,X2,2019,19299,Manual,18881,Petrol,42.8,1.5,bmw,30456288
50,1 Series,2020,23399,Semi-Auto,18906,Petrol,40.4,1.5,bmw,30290058
51,2 Series,2021,22499,Manual,19509,Petrol,47.1,1.5,bmw,30562778
52,1 Series,2020,22299,Manual,20414,Petrol,41.5,1.5,bmw,30417161
53,X2,2018,22799,Semi-Auto,20969,Petrol,39.8,2.0,bmw,30308112
54,5 Series,2019,25049,Semi-Auto,21192,Petrol,50.4,2.0,bmw,30531540
55,1 Series,2020,19699,Manual,21670,Petrol,44.8,1.5,bmw,30551734
56,3 Series,2018,16849,Automatic,22078,Petrol,54.3,1.5,bmw,30577473
57,1 Series,2020,21949,Manual,22099,Petrol,41.5,1.5,bmw,30484640
